,Unnamed: 0,date,hospitalized,SMA7,SMA_ratio7,SMA8,SMA_ratio8,SMA9,SMA_ratio9,SMA10,SMA_ratio10,SMA11,SMA_ratio11,SMA12,SMA_ratio12,SMA13,SMA_ratio13,SMA14,SMA_ratio14
0,0,2020-06-13,40.0,,,,,,,,,,,,,,,,
1,1,2020-06-14,48.0,,,,,,,,,,,,,,,,
2,2,2020-06-15,59.0,,,,,,,,,,,,,,,,
3,3,2020-06-16,71.0,,,,,,,,,,,,,,,,
4,4,2020-06-17,69.0,,,,,,,,,,,,,,,,
5,5,2020-06-18,68.0,,,,,,,,,,,,,,,,
6,6,2020-06-19,68.0,423.0,0.16342141863699583,,,,,,,,,,,,,,
7,7,2020-06-20,66.0,449.0,0.16268115942028985,489.0,0.17717391304347826,,,,,,,,,,,,
8,8,2020-06-21,63.0,464.0,0.16192071468453378,512.0,0.1786711334450028,552.0,0.19262981574539365,,,,,,,,,,
9,9,2020-06-22,61.0,466.0,0.1656005685856432,525.0,0.1865671641791045,573.0,0.20362473347547974,613.0,0.21783937455579247,,,,,,,,
10,10,2020-06-23,57.0,452.0,0.15437158469945356,523.0,0.17862021857923496,582.0,0.1987704918032787,630.0,0.2151639344262295,670.0,0.22882513661202186,,,,,,
11,11,2020-06-24,56.0,439.0,0.15151515151515152,508.0,0.17532960585352383,579.0,0.19983433423068958,638.0,0.2201974183750949,686.0,0.23676399530613654,726.0,0.2505694760820045,,,,
12,12,2020-06-25,55.0,426.0,0.1504237288135593,494.0,0.17443502824858756,563.0,0.1987994350282486,634.0,0.22387005649717515,693.0,0.24470338983050846,741.0,0.2616525423728814,781.0,0.2757768361581921,,
13,13,2020-06-26,52.0,410.0,0.14774774774774774,478.0,0.17225225225225224,546.0,0.19675675675675675,615.0,0.22162162162162163,686.0,0.2472072072072072,745.0,0.26846846846846845,793.0,0.2857657657657658,833.0,0.30018018018018017
14,14,2020-06-27,52.0,396.0,0.14126712328767124,462.0,0.16481164383561644,530.0,0.18906963470319635,598.0,0.21332762557077628,667.0,0.23794235159817353,738.0,0.2632705479452055,797.0,0.28431792237442927,845.0,0.3014412100456621
15,15,2020-06-28,53.0,386.0,0.13578162375123118,449.0,0.1579428732235824,515.0,0.18115942028985507,583.0,0.20507949908540873,651.0,0.22899957788096242,720.0,0.2532714225411566,791.0,0.27824679893063176,850.0,0.29900098494442096
16,16,2020-06-29,52.0,377.0,0.1247435642909139,438.0,0.14492753623188406,501.0,0.1657732777446893,567.0,0.1876116736152472,635.0,0.21011183905764014,703.0,0.2326120045000331,772.0,0.2554430547283436,843.0,0.27893587452848917
17,17,2020-06-30,53.0,373.0,0.12548782128919392,430.0,0.14466424438164446,491.0,0.1651863813753196,554.0,0.18638137531960705,620.0,0.20858565468981294,688.0,0.23146279101063114,756.0,0.25433992733144933,825.0,0.2775534921275737
18,18,2020-07-01,52.0,369.0,0.12535670607419486,425.0,0.14438103003125424,482.0,0.1637450740589754,543.0,0.18446799836934366,606.0,0.20587036282103546,672.0,0.2282918874847126,740.0,0.2513928522897133,808.0,0.274493817094714
19,19,2020-07-02,53.0,367.0,0.12961785689058417,422.0,0.1490428763156036,478.0,0.168821077911987,535.0,0.1889524616797344,596.0,0.21049657413293776,659.0,0.2327470509288691,725.0,0.2560570742388924,793.0,0.2800734618916437
20,20,2020-07-03,54.0,369.0,0.13065646908859146,421.0,0.14906876283549325,476.0,0.16854330429856243,532.0,0.18837192833368743,589.0,0.20855463494086823,650.0,0.23015367183627222,713.0,0.25246087387578786,779.0,0.27583032363147086
