,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,1
25,3/13/20,0
26,3/14/20,1
27,3/15/20,0
28,3/16/20,0
29,3/17/20,1
30,3/18/20,1
31,3/19/20,1
32,3/20/20,2
33,3/21/20,3
34,3/22/20,2
35,3/23/20,4
36,3/24/20,5
37,3/25/20,5
38,3/26/20,5
39,3/27/20,12
40,3/28/20,9
41,3/29/20,4
42,3/30/20,10
43,3/31/20,10
44,4/1/20,14
45,4/2/20,9
46,4/3/20,10
47,4/4/20,8
48,4/5/20,10
49,4/6/20,7
50,4/7/20,6
51,4/8/20,6
52,4/9/20,14
53,4/10/20,21
54,4/11/20,31
55,4/12/20,25
56,4/13/20,30
57,4/14/20,27
58,4/15/20,22
59,4/16/20,27
60,4/17/20,41
61,4/18/20,37
62,4/19/20,38
63,4/20/20,38
64,4/21/20,38
65,4/22/20,56
66,4/23/20,78
67,4/24/20,57
68,4/25/20,61
69,4/26/20,61
70,4/27/20,65
71,4/28/20,60
72,4/29/20,68
73,4/30/20,65
74,5/1/20,91
75,5/2/20,77
76,5/3/20,75
77,5/4/20,68
78,5/5/20,75
79,5/6/20,73
80,5/7/20,67
81,5/8/20,66
82,5/9/20,66
83,5/10/20,73
84,5/11/20,73
85,5/12/20,68
86,5/13/20,74
87,5/14/20,78
88,5/15/20,62
89,5/16/20,64
90,5/17/20,77
91,5/18/20,63
92,5/19/20,43
93,5/20/20,57
94,5/21/20,58
95,5/22/20,56
96,5/23/20,47
97,5/24/20,48
98,5/25/20,29
99,5/26/20,34
100,5/27/20,38
101,5/28/20,37
102,5/29/20,46
103,5/30/20,32
104,5/31/20,41
105,6/1/20,26
106,6/2/20,36
107,6/3/20,41
108,6/4/20,44
109,6/5/20,31
110,6/6/20,24
111,6/7/20,43
112,6/8/20,28
113,6/9/20,19
114,6/10/20,46
115,6/11/20,38
116,6/12/20,32
117,6/13/20,22
118,6/14/20,38
119,6/15/20,26
120,6/16/20,27
121,6/17/20,23
122,6/18/20,23
123,6/19/20,30
124,6/20/20,20
125,6/21/20,19
126,6/22/20,18
127,6/23/20,15
128,6/24/20,22
129,6/25/20,13
130,6/26/20,25
131,6/27/20,16
132,6/28/20,24
133,6/29/20,17
134,6/30/20,12
135,7/1/20,18
136,7/2/20,13
137,7/3/20,26
138,7/4/20,21
139,7/5/20,22
140,7/6/20,18
141,7/7/20,15
142,7/8/20,14
143,7/9/20,9
144,7/10/20,21
145,7/11/20,18
146,7/12/20,21
147,7/13/20,10
148,7/14/20,11
149,7/15/20,11
150,7/16/20,5
151,7/17/20,17
152,7/18/20,20
153,7/19/20,9
154,7/20/20,15
155,7/21/20,23
156,7/22/20,17
157,7/23/20,9
158,7/24/20,20
159,7/25/20,13
160,7/26/20,14
161,7/27/20,14
162,7/28/20,4
163,7/29/20,9
164,7/30/20,17
165,7/31/20,15
166,8/1/20,14
167,8/2/20,12
168,8/3/20,13
169,8/4/20,9
170,8/5/20,17
171,8/6/20,12
172,8/7/20,15
173,8/8/20,25
174,8/9/20,10
175,8/10/20,14
176,8/11/20,10
177,8/12/20,17
178,8/13/20,11
179,8/14/20,25
180,8/15/20,26
181,8/16/20,16
182,8/17/20,19
183,8/18/20,20
184,8/19/20,26
185,8/20/20,31
186,8/21/20,20
187,8/22/20,21
188,8/23/20,18
189,8/24/20,20
190,8/25/20,11
191,8/26/20,13
192,8/27/20,28
193,8/28/20,10
194,8/29/20,25
195,8/30/20,10
196,8/31/20,25
197,9/1/20,19
198,9/2/20,24
