,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,1
25,3/13/20,0
26,3/14/20,1
27,3/15/20,0
28,3/16/20,0
29,3/17/20,1
30,3/18/20,1
31,3/19/20,1
32,3/20/20,2
33,3/21/20,3
34,3/22/20,2
35,3/23/20,4
36,3/24/20,5
37,3/25/20,5
38,3/26/20,5
39,3/27/20,12
40,3/28/20,9
41,3/29/20,4
42,3/30/20,10
43,3/31/20,10
44,4/1/20,14
45,4/2/20,9
46,4/3/20,10
47,4/4/20,8
48,4/5/20,10
49,4/6/20,7
50,4/7/20,6
51,4/8/20,6
52,4/9/20,14
53,4/10/20,12
54,4/11/20,4
55,4/12/20,4
56,4/13/20,14
57,4/14/20,10
58,4/15/20,11
59,4/16/20,7
60,4/17/20,8
61,4/18/20,12
62,4/19/20,9
63,4/20/20,10
64,4/21/20,9
65,4/22/20,6
66,4/23/20,4
67,4/24/20,14
68,4/25/20,11
69,4/26/20,13
70,4/27/20,5
71,4/28/20,16
72,4/29/20,21
73,4/30/20,31
74,5/1/20,25
75,5/2/20,30
76,5/3/20,27
77,5/4/20,22
78,5/5/20,27
79,5/6/20,41
80,5/7/20,37
81,5/8/20,38
82,5/9/20,38
83,5/10/20,38
84,5/11/20,56
85,5/12/20,78
86,5/13/20,57
87,5/14/20,61
88,5/15/20,61
89,5/16/20,65
90,5/17/20,60
91,5/18/20,68
92,5/19/20,65
93,5/20/20,91
94,5/21/20,77
95,5/22/20,75
96,5/23/20,68
97,5/24/20,75
98,5/25/20,73
99,5/26/20,67
100,5/27/20,66
101,5/28/20,66
102,5/29/20,73
103,5/30/20,73
104,5/31/20,68
105,6/1/20,74
106,6/2/20,78
107,6/3/20,62
108,6/4/20,64
109,6/5/20,77
110,6/6/20,63
111,6/7/20,43
112,6/8/20,57
113,6/9/20,58
114,6/10/20,56
115,6/11/20,47
116,6/12/20,48
117,6/13/20,29
118,6/14/20,34
119,6/15/20,38
120,6/16/20,37
121,6/17/20,46
122,6/18/20,32
123,6/19/20,41
124,6/20/20,26
125,6/21/20,36
126,6/22/20,41
127,6/23/20,44
128,6/24/20,31
129,6/25/20,24
130,6/26/20,43
131,6/27/20,28
132,6/28/20,19
133,6/29/20,46
134,6/30/20,38
135,7/1/20,32
136,7/2/20,22
137,7/3/20,38
138,7/4/20,26
139,7/5/20,27
140,7/6/20,23
141,7/7/20,23
142,7/8/20,30
143,7/9/20,20
144,7/10/20,19
145,7/11/20,18
146,7/12/20,15
147,7/13/20,22
148,7/14/20,13
149,7/15/20,25
150,7/16/20,16
151,7/17/20,24
152,7/18/20,17
153,7/19/20,12
154,7/20/20,18
155,7/21/20,13
156,7/22/20,26
157,7/23/20,21
158,7/24/20,22
159,7/25/20,18
160,7/26/20,15
161,7/27/20,14
162,7/28/20,9
163,7/29/20,21
164,7/30/20,18
165,7/31/20,21
166,8/1/20,10
167,8/2/20,11
168,8/3/20,11
169,8/4/20,5
170,8/5/20,17
171,8/6/20,20
172,8/7/20,9
173,8/8/20,15
174,8/9/20,23
175,8/10/20,17
176,8/11/20,9
177,8/12/20,20
178,8/13/20,13
179,8/14/20,14
180,8/15/20,14
181,8/16/20,4
182,8/17/20,9
183,8/18/20,17
184,8/19/20,15
185,8/20/20,14
186,8/21/20,12
187,8/22/20,13
188,8/23/20,9
189,8/24/20,17
190,8/25/20,12
191,8/26/20,15
192,8/27/20,25
193,8/28/20,10
194,8/29/20,14
195,8/30/20,10
196,8/31/20,17
197,9/1/20,11
198,9/2/20,25
