,date,admits
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,2.38
25,3/13/20,0
26,3/14/20,2.38
27,3/15/20,0
28,3/16/20,0
29,3/17/20,2.38
30,3/18/20,2.38
31,3/19/20,2.38
32,3/20/20,4.76
33,3/21/20,7.14
34,3/22/20,4.76
35,3/23/20,9.52
36,3/24/20,11.9
37,3/25/20,11.9
38,3/26/20,11.9
39,3/27/20,28.56
40,3/28/20,21.42
41,3/29/20,9.52
42,3/30/20,23.8
43,3/31/20,23.8
44,4/1/20,33.32
45,4/2/20,21.42
46,4/3/20,23.8
47,4/4/20,19.04
48,4/5/20,23.8
49,4/6/20,16.66
50,4/7/20,14.28
51,4/8/20,14.28
52,4/9/20,33.32
53,4/10/20,28.56
54,4/11/20,9.52
55,4/12/20,9.52
56,4/13/20,33.32
57,4/14/20,23.8
58,4/15/20,26.18
59,4/16/20,16.66
60,4/17/20,19.04
61,4/18/20,26.18
62,4/19/20,19.04
63,4/20/20,11.9
64,4/21/20,33.32
65,4/22/20,21.42
66,4/23/20,16.66
67,4/24/20,26.18
68,4/25/20,23.8
69,4/26/20,9.52
70,4/27/20,26.18
71,4/28/20,35.7
72,4/29/20,30.94
73,4/30/20,26.18
74,5/1/20,16.66
75,5/2/20,16.66
76,5/3/20,19.04
77,5/4/20,16.66
78,5/5/20,26.18
79,5/6/20,28.56
80,5/7/20,28.56
81,5/8/20,21.42
82,5/9/20,21.42
83,5/10/20,11.9
84,5/11/20,16.66
85,5/12/20,30.94
86,5/13/20,16.66
87,5/14/20,33.32
88,5/15/20,40.46
89,5/16/20,30.94
90,5/17/20,30.94
91,5/18/20,16.66
92,5/19/20,28.56
93,5/20/20,21.42
94,5/21/20,23.8
95,5/22/20,21.42
96,5/23/20,14.28
97,5/24/20,9.52
98,5/25/20,33.32
99,5/26/20,26.18
100,5/27/20,30.94
101,5/28/20,11.9
102,5/29/20,38.08
103,5/30/20,26.18
104,5/31/20,9.52
105,6/1/20,42.84
106,6/2/20,28.56
107,6/3/20,40.46
108,6/4/20,26.18
109,6/5/20,30.94
110,6/6/20,19.04
111,6/7/20,33.32
112,6/8/20,21.42
113,6/9/20,35.7
114,6/10/20,61.88
115,6/11/20,49.98
116,6/12/20,73.78
117,6/13/20,59.5
118,6/14/20,71.4
119,6/15/20,64.26
120,6/16/20,52.36
121,6/17/20,64.26
122,6/18/20,97.58
123,6/19/20,88.06
124,6/20/20,90.44
125,6/21/20,90.44
126,6/22/20,90.44
127,6/23/20,133.28
128,6/24/20,185.64
129,6/25/20,135.66
130,6/26/20,145.18
131,6/27/20,145.18
132,6/28/20,154.7
133,6/29/20,142.8
134,6/30/20,161.84
135,7/1/20,154.7
136,7/2/20,216.58
137,7/3/20,183.26
138,7/4/20,178.5
139,7/5/20,161.84
140,7/6/20,178.5
141,7/7/20,173.74
142,7/8/20,159.46
143,7/9/20,157.08
144,7/10/20,157.08
145,7/11/20,173.74
146,7/12/20,173.74
147,7/13/20,161.84
148,7/14/20,176.12
149,7/15/20,185.64
150,7/16/20,147.56
151,7/17/20,152.32
152,7/18/20,183.26
153,7/19/20,149.94
154,7/20/20,102.34
155,7/21/20,135.66
156,7/22/20,138.04
157,7/23/20,133.28
158,7/24/20,111.86
159,7/25/20,114.24
160,7/26/20,69.02
161,7/27/20,80.92
162,7/28/20,90.44
163,7/29/20,88.06
164,7/30/20,109.48
165,7/31/20,76.16
166,8/1/20,97.58
167,8/2/20,61.88
168,8/3/20,85.68
169,8/4/20,97.58
170,8/5/20,104.72
