,date,admits,,,
1,2/22/20,0,,,
2,2/23/20,0,,,
3,2/24/20,0,,,
4,2/25/20,0,,,
5,2/26/20,0,,,
6,2/27/20,0,,,
7,2/28/20,0,,,
8,2/29/20,0,,,
9,3/1/20,0,,,
10,3/2/20,0,,,
11,3/3/20,0,,,
12,3/4/20,0,,,
13,3/5/20,0,,,
14,3/6/20,0,,,
15,3/7/20,0,,,
16,3/8/20,0,,,
17,3/9/20,0,,,
18,3/10/20,0,,,
19,3/11/20,0,,,
20,3/12/20,0,,,
21,3/13/20,2.38,,,
22,3/13/20,0,,,
23,3/14/20,4.76,,,
24,3/15/20,7.14,,,
25,3/16/20,7.14,,,
26,3/17/20,9.52,,,
27,3/18/20,11.9,,,
28,3/19/20,2.38,,,
29,3/20/20,4.76,,,
30,3/21/20,11.9,,,
31,3/22/20,7.14,,,
32,3/23/20,28.56,,,
33,3/24/20,23.8,,,
34,3/25/20,21.42,,,
35,3/26/20,9.52,,,
36,3/27/20,7.14,,,
37,3/28/20,4.76,,,
38,3/29/20,33.32,,,
39,3/30/20,38.08,,,
40,3/31/20,35.7,,,
41,4/1/20,19.04,,,
42,4/2/20,16.66,,,
43,4/3/20,11.9,,,
44,4/4/20,7.14,,,
45,4/5/20,23.8,,,
46,4/6/20,40.46,,,
47,4/7/20,14.28,,,
48,4/8/20,14.28,,,
49,4/9/20,9.52,,,
50,4/10/20,9.52,,,
51,4/11/20,11.9,,,
52,4/12/20,21.42,,,
53,4/13/20,21.42,,,
54,4/14/20,47.6,,,
55,4/15/20,14.28,,,
56,4/16/20,16.66,,,
57,4/17/20,14.28,,,
58,4/18/20,0,,,
59,4/19/20,7.14,,,
60,4/20/20,19.04,,,
61,4/21/20,49.98,,,
62,4/22/20,66.64,,,
63,4/23/20,47.6,,,
64,4/24/20,114.24,,,
65,4/25/20,35.7,,,
66,4/26/20,28.56,,,
67,4/27/20,23.8,,,
68,4/28/20,49.98,,,
69,4/29/20,35.7,,,
70,4/30/20,42.84,,,
71,5/1/20,26.18,,,
72,5/2/20,26.18,,,
73,5/3/20,23.8,,,
74,5/4/20,38.08,,,
75,5/5/20,26.18,,,
76,5/6/20,30.94,,,
77,5/7/20,42.84,,,
78,5/8/20,26.18,,,
79,5/9/20,23.8,,,
80,5/10/20,59.5,,,
81,5/11/20,78.54,,,
82,5/12/20,40.46,,,
83,5/13/20,52.36,,,
84,5/14/20,33.32,,,
85,5/15/20,45.22,,,
86,5/16/20,26.18,,,
87,5/17/20,73.78,,,
88,5/18/20,66.64,,,
89,5/19/20,42.84,,,
90,5/20/20,59.5,,,
91,5/21/20,52.36,,,
92,5/22/20,28.56,,,
93,5/23/20,42.84,,,
94,5/24/20,35.7,,,
95,5/25/20,26.18,,,
96,5/26/20,26.18,,,
97,5/27/20,47.6,,,
98,5/28/20,61.88,,,
99,5/29/20,19.04,,,
100,5/30/20,7.14,,,
101,5/31/20,73.78,,,
102,6/1/20,59.5,,,
103,6/2/20,66.64,,,
104,6/3/20,1016.26,,,
105,6/4/20,266.56,,,
106,6/5/20,107.1,,,
107,6/6/20,30.94,,,
108,6/7/20,140.42,,,
109,6/8/20,373.66,,,
110,6/9/20,202.3,,,
111,6/10/20,173.74,,,
112,6/11/20,366.52,,,
113,6/12/20,159.46,,,
114,6/13/20,261.8,,,
115,6/14/20,466.48,,,
116,6/15/20,556.92,,,
117,6/16/20,466.48,,,
118,6/17/20,235.62,,,
119,6/19/20,483.14,,,
120,6/20/20,952,,,
121,6/21/20,487.9,,,
122,6/22/20,476,,,
123,6/23/20,678.3,,,
124,6/24/20,1090.04,,,
125,6/25/20,630.7,,,
126,6/27/20,12706.82,,,
127,6/28/20,940.1,,,
128,6/29/20,1782.62,,,
129,6/30/20,1182.86,,,
130,7/1/20,1723.12,,,
131,7/2/20,1656.48,,,
132,7/3/20,1408.96,,,
133,7/4/20,775.88,,,
134,7/5/20,690.2,,,
135,7/6/20,1142.4,,,
136,7/7/20,1530.34,,,
137,7/8/20,1832.6,,,
138,7/9/20,1854.02,,,
139,7/10/20,2284.8,,,
140,7/11/20,1292.34,,,
141,7/12/20,1106.7,,,
142,7/13/20,861.56,,,
143,7/14/20,1851.64,,,
144,7/15/20,1677.9,,,
145,7/16/20,1661.24,,,
146,7/17/20,1082.9,,,
147,7/18/20,840.14,,,
148,7/19/20,923.44,,,
149,7/20/20,871.08,,,
150,7/21/20,1092.42,,,
151,7/22/20,1320.9,,,
152,7/23/20,1149.54,,,
153,7/24/20,994.84,,,
154,7/25/20,809.2,,,
155,7/26/20,523.6,,,
156,7/27/20,452.2,,,
157,7/28/20,1125.74,,,
158,7/29/20,975.8,,,
159,7/30/20,792.54,,,
160,7/31/20,668.78,,,
161,8/1/20,954.38,,,
162,8/2/20,518.84,,,
163,8/3/20,763.98,,,
164,8/4/20,771.12,,,
165,8/5/20,1408.96,,,
166,8/6/20,733.04,,,
167,8/7/20,1573.18,,,
168,8/8/20,1711.22,,,
169,8/9/20,2932.16,,,
170,8/10/20,1435.14,,,
171,8/11/20,1028.16,,,
172,8/12/20,1185.24,,,
173,8/13/20,1149.54,,,
174,8/14/20,1018.64,,,
175,8/15/20,3255.84,,,
176,8/16/20,1116.22,,,
177,8/17/20,188.02,,,
178,8/18/20,1361.36,,,
179,8/19/20,1140.02,,,
180,8/20/20,623.56,,,
181,8/21/20,702.1,,,
182,8/22/20,675.92,,,
183,8/23/20,373.66,,,
184,8/24/20,330.82,,,
185,8/25/20,545.02,,,
186,8/26/20,595,,,
187,8/27/20,478.38,,,
188,8/28/20,816.34,,,
189,8/29/20,397.46,,,
190,8/30/20,752.08,,,
191,8/31/20,166.6,,,
192,9/1/20,540.26,,,
193,9/2/20,378.42,,,
194,9/3/20,261.8,,,
195,9/4/20,509.32,,,
196,9/5/20,387.94,,,
197,9/6/20,285.6,,,
198,9/7/20,185.64,,,
199,9/8/20,268.94,,,
200,9/9/20,578.34,,,
201,9/10/20,573.58,,,
202,9/11/20,721.14,,,
203,9/12/20,271.32,,,
204,9/13/20,368.9,,,
205,9/14/20,221.34,,,
206,9/15/20,625.94,,,
207,9/16/20,504.56,,,
208,9/17/20,473.62,,,
209,9/18/20,530.74,,,
210,9/19/20,623.56,,,
211,9/20/20,287.98,,,
212,9/21/20,166.6,,,
213,9/22/20,504.56,,,
214,9/23/20,440.3,,,
215,9/24/20,459.34,,,
216,9/25/20,847.28,,,
217,9/26/20,430.78,,,
218,9/27/20,107.1,,,
219,9/28/20,126.14,,,
220,9/29/20,652.12,,,
221,9/30/20,364.14,,,
222,10/1/20,385.56,,,
223,10/2/20,357,,,
224,10/3/20,266.56,,,
225,10/4/20,261.8,,,
226,10/5/20,102.34,,,
227,10/6/20,461.72,,,
228,10/7/20,871.08,,,
229,10/8/20,297.5,,,
230,10/9/20,221.34,,,
231,10/10/20,399.84,,,
232,10/11/20,197.54,,,
233,10/12/20,145.18,,,
234,10/13/20,654.5,,,
235,10/14/20,459.34,,,
236,10/15/20,445.06,,,
237,10/16/20,335.58,,,
238,10/17/20,599.76,,,
239,10/18/20,266.56,,,
240,10/19/20,230.86,,,
241,10/20/20,430.78,,,
242,10/21/20,395.08,,,
243,10/22/20,399.84,,,
244,10/23/20,435.54,,,
245,10/24/20,418.88,,,
246,10/25/20,202.3,,,
247,10/26/20,128.52,,,
248,10/27/20,523.6,,,
249,10/28/20,497.42,,,
250,10/29/20,459.34,,,
251,10/30/20,409.36,,,
252,10/31/20,464.1,,,
253,11/1/20,195.16,,,
254,11/2/20,199.92,,,
255,11/3/20,459.34,,,
256,11/4/20,414.12,,,
257,11/5/20,640.22,,,
258,11/6/20,618.8,,,
259,11/7/20,514.08,,,
260,11/8/20,287.98,,,
261,11/9/20,704.48,,,
262,11/10/20,954.38,,,
263,11/11/20,559.3,,,
264,11/12/20,790.16,,,
265,11/13/20,699.72,,,
266,11/14/20,1111.46,,,
267,11/15/20,385.56,,,
268,11/16/20,540.26,,,
269,11/17/20,890.12,,,
270,11/18/20,997.22,,,
271,11/19/20,1178.1,,,
272,11/20/20,1632.68,,,
273,11/21/20,1259.02,,,
274,11/22/20,1092.42,,,
275,11/23/20,987.7,,,
276,11/24/20,2322.88,,,
277,11/25/20,1361.36,,,
278,11/26/20,1011.5,,,
279,11/27/20,468.86,,,
280,11/28/20,1580.32,,,
281,11/29/20,1563.66,,,
282,11/30/20,1101.94,,,
283,12/1/20,1406.58,,,
284,12/2/20,1751.68,,,
285,12/3/20,1485.12,,,
286,12/4/20,1606.5,,,
287,12/5/20,1178.1,,,
288,12/6/20,1408.96,,,
289,12/7/20,1313.76,,,
290,12/8/20,1896.86,,,
291,12/9/20,1480.36,,,
292,12/10/20,1732.64,,,
293,12/11/20,2256.24,,,
294,12/12/20,1620.78,,,
295,12/13/20,1404.2,,,
296,12/14/20,1128.12,,,
297,12/15/20,2758.42,,,
298,12/16/20,3108.28,,,
299,12/17/20,2142,,,
300,12/18/20,2265.76,,,
301,12/19/20,2092.02,,,
302,12/20/20,711.62,,,
303,12/21/20,2529.94,,,
304,12/22/20,3877.02,,,
305,12/23/20,2986.9,,,
306,12/24/20,1904,,,
307,12/25/20,1587.46,,,
308,12/26/20,1682.66,,,
309,12/27/20,1563.66,,,
310,12/28/20,454.58,,,
311,12/29/20,3143.98,,,
312,12/30/20,3460.52,,,
313,12/31/20,2763.18,,,
314,1/1/21,1347.08,,,
315,1/2/21,0,,,
316,1/3/21,2310.98,,,
317,1/4/21,947.24,,,
318,1/5/21,6411.72,,,
319,1/6/21,3265.36,,,
320,1/7/21,2977.38,,,
321,1/8/21,3039.26,,,
322,1/9/21,2648.94,,,
323,1/10/21,1147.16,,,
324,1/11/21,0,,,
325,1/12/21,6097.56,,,
326,1/13/21,2034.9,,,
327,1/14/21,4724.3,,,
328,1/15/21,4314.94,,,
329,1/16/21,3503.36,,,
330,1/17/21,721.14,,,
331,1/18/21,978.18,,,
332,1/19/21,1658.86,,,
333,1/20/21,7156.66,,,
334,1/21/21,2932.16,,,
335,1/22/21,3681.86,,,
336,1/23/21,2065.84,,,
337,1/24/21,873.46,,,
338,1/25/21,740.18,,,
339,1/26/21,4510.1,,,
340,1/27/21,2856,,,
341,1/28/21,2877.42,,,
342,1/29/21,3143.98,,,
343,1/30/21,2508.52,,,
344,1/31/21,666.4,,,
345,2/1/21,4310.18,,,
346,2/2/21,5295.5,,,
347,2/3/21,2729.86,,,
348,2/4/21,1977.78,,,
349,2/5/21,2096.78,,,
350,2/6/21,1844.5,,,
351,2/7/21,473.62,,,
352,2/8/21,618.8,,,
353,2/9/21,2677.5,,,
354,2/10/21,1946.84,,,
355,2/11/21,1335.18,,,
356,2/12/21,1358.98,,,
357,2/13/21,1154.3,,,
358,2/14/21,-11.9,,,
359,2/15/21,0,,,
360,2/16/21,173.74,,,
361,2/17/21,30.94,,,
362,2/18/21,16.66,,,
363,2/19/21,4.76,,,
364,2/20/21,14.28,,,
365,2/21/21,0,,,
366,2/22/21,654.5,,,
367,2/23/21,1447.04,,,
368,2/24/21,1182.86,,,
369,2/25/21,752.08,,,
370,2/26/21,661.64,,,
371,2/27/21,871.08,,,
372,2/28/21,606.9,,,
373,3/1/21,152.32,,,
374,3/2/21,3479.56,,,
375,3/3/21,828.24,,,
376,3/4/21,583.1,,,
377,3/5/21,406.98,,,
378,3/6/21,495.04,,,
379,3/7/21,142.8,,,
380,3/8/21,352.24,,,
381,3/9/21,735.42,,,
382,3/10/21,466.48,,,
383,3/11/21,735.42,,,
384,3/12/21,749.7,,,
385,3/13/21,442.68,,,
386,3/14/21,188.02,,,
387,3/15/21,226.1,,,
388,3/16/21,1009.12,,,
389,3/17/21,518.84,,,
390,3/18/21,304.64,,,
391,3/19/21,456.96,,,
392,3/20/21,359.38,,,
393,3/21/21,230.86,,,
394,3/22/21,257.04,,,
395,3/23/21,771.12,,,
396,3/24/21,378.42,,,
397,3/25/21,471.24,,,
398,3/26/21,549.78,,,
399,3/27/21,352.24,,,
400,3/28/21,397.46,,,
401,3/29/21,261.8,,,
402,3/30/21,752.08,,,
403,3/31/21,376.04,,,
404,4/1/21,521.22,,,
405,4/2/21,516.46,,,
406,4/3/21,271.32,,,
407,4/4/21,168.98,,,
408,4/5/21,45.22,,,
409,4/6/21,1101.94,,,
410,4/7/21,564.06,,,
411,4/8/21,559.3,,,
412,4/9/21,625.94,,,
413,4/10/21,411.74,,,
