,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,0
30,3/18/20,0
31,3/19/20,0
32,3/20/20,0
33,3/21/20,0
34,3/22/20,0
35,3/23/20,0
36,3/24/20,2.38
37,3/25/20,2.38
38,3/26/20,7.14
39,3/27/20,7.14
40,3/28/20,7.14
41,3/29/20,7.14
42,3/30/20,9.52
43,3/31/20,9.52
44,4/1/20,11.9
45,4/2/20,11.9
46,4/3/20,16.66
47,4/4/20,19.04
48,4/5/20,26.18
49,4/6/20,28.56
50,4/7/20,30.94
51,4/8/20,33.32
52,4/9/20,38.08
53,4/10/20,38.08
54,4/11/20,45.22
55,4/12/20,47.6
56,4/13/20,47.6
57,4/14/20,54.74
58,4/15/20,61.88
59,4/16/20,69.02
60,4/17/20,78.54
61,4/18/20,83.3
62,4/19/20,90.44
63,4/20/20,92.82
64,4/21/20,97.58
65,4/22/20,102.34
66,4/23/20,109.48
67,4/24/20,121.38
68,4/25/20,123.76
69,4/26/20,130.9
70,4/27/20,130.9
71,4/28/20,138.04
72,4/29/20,138.04
73,4/30/20,142.8
74,5/1/20,149.94
75,5/2/20,157.08
76,5/3/20,161.84
77,5/4/20,166.6
78,5/5/20,168.98
79,5/6/20,171.36
80,5/7/20,178.5
81,5/8/20,188.02
82,5/9/20,190.4
83,5/10/20,195.16
84,5/11/20,207.06
85,5/12/20,211.82
86,5/13/20,216.58
87,5/14/20,218.96
88,5/15/20,223.72
89,5/16/20,223.72
90,5/17/20,226.1
91,5/18/20,235.62
92,5/19/20,238
93,5/20/20,242.76
94,5/21/20,247.52
95,5/22/20,254.66
96,5/23/20,257.04
97,5/24/20,259.42
98,5/25/20,261.8
99,5/26/20,266.56
100,5/27/20,271.32
101,5/28/20,278.46
102,5/29/20,283.22
103,5/30/20,283.22
104,5/31/20,285.6
105,6/1/20,287.98
106,6/2/20,292.74
107,6/3/20,297.5
108,6/4/20,299.88
109,6/5/20,302.26
110,6/6/20,304.64
111,6/7/20,307.02
112,6/8/20,311.78
113,6/9/20,311.78
114,6/10/20,316.54
115,6/11/20,321.3
116,6/12/20,328.44
117,6/13/20,333.2
118,6/14/20,335.58
119,6/15/20,342.72
120,6/16/20,349.86
121,6/17/20,359.38
122,6/18/20,364.14
123,6/19/20,368.9
124,6/20/20,371.28
125,6/21/20,376.04
126,6/22/20,378.42
127,6/23/20,385.56
128,6/24/20,390.32
129,6/25/20,395.08
130,6/26/20,404.6
131,6/27/20,414.12
132,6/28/20,426.02
133,6/29/20,440.3
134,6/30/20,459.34
135,7/1/20,473.62
136,7/2/20,483.14
137,7/3/20,499.8
138,7/4/20,516.46
139,7/5/20,533.12
140,7/6/20,554.54
141,7/7/20,587.86
142,7/8/20,609.28
143,7/9/20,633.08
144,7/10/20,656.88
145,7/11/20,678.3
146,7/12/20,692.58
147,7/13/20,704.48
148,7/14/20,725.9
149,7/15/20,761.6
150,7/16/20,806.82
151,7/17/20,842.52
152,7/18/20,863.94
153,7/19/20,885.36
154,7/20/20,899.64
155,7/21/20,923.44
156,7/22/20,954.38
157,7/23/20,987.7
158,7/24/20,1004.36
159,7/25/20,1025.78
160,7/26/20,1044.82
161,7/27/20,1066.24
162,7/28/20,1090.04
163,7/29/20,1120.98
164,7/30/20,1140.02
165,7/31/20,1166.2
166,8/1/20,1180.48
167,8/2/20,1216.18
168,8/3/20,1235.22
169,8/4/20,1247.12
170,8/5/20,1275.68
