,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,1
25,3/13/20,1
26,3/14/20,2
27,3/15/20,2
28,3/16/20,2
29,3/17/20,3
30,3/18/20,4
31,3/19/20,5
32,3/20/20,7
33,3/21/20,9
34,3/22/20,11
35,3/23/20,14
36,3/24/20,18
37,3/25/20,23
38,3/26/20,26
39,3/27/20,30
40,3/28/20,32
41,3/29/20,35
42,3/30/20,42
43,3/31/20,48
44,4/1/20,57
45,4/2/20,62
46,4/3/20,64
47,4/4/20,59
48,4/5/20,65
49,4/6/20,64
50,4/7/20,66
51,4/8/20,67
52,4/9/20,72
53,4/10/20,118
54,4/11/20,131
55,4/12/20,125
56,4/13/20,138
57,4/14/20,144
58,4/15/20,146
59,4/16/20,154
60,4/17/20,169
61,4/18/20,181
62,4/19/20,185
63,4/20/20,201
64,4/21/20,218
65,4/22/20,236
66,4/23/20,274
67,4/24/20,293
68,4/25/20,299
69,4/26/20,316
70,4/27/20,351
71,4/28/20,368
72,4/29/20,369
73,4/30/20,376
74,5/1/20,415
75,5/2/20,418
76,5/3/20,434
77,5/4/20,446
78,5/5/20,466
79,5/6/20,469
80,5/7/20,458
81,5/8/20,440
82,5/9/20,438
83,5/10/20,435
84,5/11/20,434
85,5/12/20,459
86,5/13/20,469
87,5/14/20,492
88,5/15/20,479
89,5/16/20,469
90,5/17/20,466
91,5/18/20,480
92,5/19/20,480
93,5/20/20,459
94,5/21/20,453
95,5/22/20,438
96,5/23/20,423
97,5/24/20,409
98,5/25/20,396
99,5/26/20,390
100,5/27/20,370
101,5/28/20,371
102,5/29/20,355
103,5/30/20,338
104,5/31/20,321
105,6/1/20,307
106,6/2/20,310
107,6/3/20,309
108,6/4/20,308
109,6/5/20,297
110,6/6/20,279
111,6/7/20,275
112,6/8/20,278
113,6/9/20,271
114,6/10/20,279
115,6/11/20,275
116,6/12/20,263
117,6/13/20,236
118,6/14/20,228
119,6/15/20,234
120,6/16/20,236
121,6/17/20,230
122,6/18/20,215
123,6/19/20,208
124,6/20/20,190
125,6/21/20,184
126,6/22/20,172
127,6/23/20,171
128,6/24/20,171
129,6/25/20,158
130,6/26/20,159
131,6/27/20,155
132,6/28/20,148
133,6/29/20,139
134,6/30/20,136
135,7/1/20,133
136,7/2/20,125
137,7/3/20,129
138,7/4/20,128
139,7/5/20,129
140,7/6/20,124
141,7/7/20,127
142,7/8/20,122
143,7/9/20,99
144,7/10/20,92
145,7/11/20,97
146,7/12/20,91
147,7/13/20,90
148,7/14/20,93
149,7/15/20,86
150,7/16/20,74
151,7/17/20,79
152,7/18/20,82
153,7/19/20,84
154,7/20/20,79
155,7/21/20,91
156,7/22/20,93
157,7/23/20,86
158,7/24/20,89
159,7/25/20,85
160,7/26/20,79
161,7/27/20,84
162,7/28/20,78
163,7/29/20,73
164,7/30/20,79
165,7/31/20,83
166,8/1/20,79
167,8/2/20,72
168,8/3/20,75
169,8/4/20,78
170,8/5/20,85
171,8/6/20,79
172,8/7/20,80
173,8/8/20,88
174,8/9/20,84
175,8/10/20,87
176,8/11/20,89
177,8/12/20,92
178,8/13/20,90
179,8/14/20,98
180,8/15/20,103
181,8/16/20,97
182,8/17/20,100
183,8/18/20,104
184,8/19/20,118
185,8/20/20,133
186,8/21/20,132
187,8/22/20,116
188,8/23/20,115
189,8/24/20,118
190,8/25/20,114
191,8/26/20,112
192,8/27/20,114
193,8/28/20,111
194,8/29/20,112
195,8/30/20,97
196,8/31/20,105
197,9/1/20,117
198,9/2/20,126
