,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,1
25,3/13/20,1
26,3/14/20,2
27,3/15/20,2
28,3/16/20,2
29,3/17/20,3
30,3/18/20,4
31,3/19/20,5
32,3/20/20,7
33,3/21/20,9
34,3/22/20,11
35,3/23/20,14
36,3/24/20,18
37,3/25/20,23
38,3/26/20,26
39,3/27/20,30
40,3/28/20,32
41,3/29/20,35
42,3/30/20,42
43,3/31/20,48
44,4/1/20,57
45,4/2/20,62
46,4/3/20,64
47,4/4/20,59
48,4/5/20,65
49,4/6/20,64
50,4/7/20,66
51,4/8/20,67
52,4/9/20,72
53,4/10/20,73
54,4/11/20,70
55,4/12/20,68
56,4/13/20,75
57,4/14/20,75
58,4/15/20,77
59,4/16/20,77
60,4/17/20,79
61,4/18/20,100
62,4/19/20,102
63,4/20/20,97
64,4/21/20,94
65,4/22/20,88
66,4/23/20,85
67,4/24/20,93
68,4/25/20,96
69,4/26/20,100
70,4/27/20,89
71,4/28/20,85
72,4/29/20,111
73,4/30/20,118
74,5/1/20,131
75,5/2/20,125
76,5/3/20,138
77,5/4/20,144
78,5/5/20,146
79,5/6/20,154
80,5/7/20,169
81,5/8/20,181
82,5/9/20,185
83,5/10/20,201
84,5/11/20,218
85,5/12/20,236
86,5/13/20,274
87,5/14/20,293
88,5/15/20,299
89,5/16/20,316
90,5/17/20,351
91,5/18/20,368
92,5/19/20,369
93,5/20/20,376
94,5/21/20,415
95,5/22/20,418
96,5/23/20,434
97,5/24/20,446
98,5/25/20,466
99,5/26/20,469
100,5/27/20,458
101,5/28/20,440
102,5/29/20,438
103,5/30/20,435
104,5/31/20,434
105,6/1/20,459
106,6/2/20,469
107,6/3/20,492
108,6/4/20,479
109,6/5/20,469
110,6/6/20,466
111,6/7/20,480
112,6/8/20,480
113,6/9/20,459
114,6/10/20,453
115,6/11/20,438
116,6/12/20,423
117,6/13/20,409
118,6/14/20,396
119,6/15/20,390
120,6/16/20,370
121,6/17/20,371
122,6/18/20,355
123,6/19/20,338
124,6/20/20,321
125,6/21/20,307
126,6/22/20,310
127,6/23/20,309
128,6/24/20,308
129,6/25/20,297
130,6/26/20,279
131,6/27/20,275
132,6/28/20,278
133,6/29/20,271
134,6/30/20,279
135,7/1/20,275
136,7/2/20,263
137,7/3/20,236
138,7/4/20,228
139,7/5/20,234
140,7/6/20,236
141,7/7/20,230
142,7/8/20,215
143,7/9/20,208
144,7/10/20,190
145,7/11/20,184
146,7/12/20,172
147,7/13/20,171
148,7/14/20,171
149,7/15/20,158
150,7/16/20,159
151,7/17/20,155
152,7/18/20,148
153,7/19/20,139
154,7/20/20,136
155,7/21/20,133
156,7/22/20,125
157,7/23/20,129
158,7/24/20,128
159,7/25/20,129
160,7/26/20,124
161,7/27/20,127
162,7/28/20,122
163,7/29/20,99
164,7/30/20,92
165,7/31/20,97
166,8/1/20,91
167,8/2/20,90
168,8/3/20,93
169,8/4/20,86
170,8/5/20,74
171,8/6/20,79
172,8/7/20,82
173,8/8/20,84
174,8/9/20,79
175,8/10/20,91
176,8/11/20,93
177,8/12/20,86
178,8/13/20,89
179,8/14/20,85
180,8/15/20,79
181,8/16/20,84
182,8/17/20,78
183,8/18/20,73
184,8/19/20,79
185,8/20/20,83
186,8/21/20,79
187,8/22/20,72
188,8/23/20,75
189,8/24/20,78
190,8/25/20,85
191,8/26/20,79
192,8/27/20,80
193,8/28/20,88
194,8/29/20,84
195,8/30/20,87
196,8/31/20,89
197,9/1/20,92
198,9/2/20,90
