,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,2.38
25,3/13/20,2.38
26,3/14/20,4.76
27,3/15/20,4.76
28,3/16/20,4.76
29,3/17/20,7.14
30,3/18/20,9.52
31,3/19/20,11.9
32,3/20/20,16.66
33,3/21/20,21.42
34,3/22/20,26.18
35,3/23/20,33.32
36,3/24/20,42.84
37,3/25/20,54.74
38,3/26/20,61.88
39,3/27/20,71.4
40,3/28/20,76.16
41,3/29/20,83.3
42,3/30/20,99.96
43,3/31/20,114.24
44,4/1/20,135.66
45,4/2/20,147.56
46,4/3/20,152.32
47,4/4/20,140.42
48,4/5/20,154.7
49,4/6/20,152.32
50,4/7/20,157.08
51,4/8/20,159.46
52,4/9/20,171.36
53,4/10/20,173.74
54,4/11/20,166.6
55,4/12/20,161.84
56,4/13/20,178.5
57,4/14/20,178.5
58,4/15/20,183.26
59,4/16/20,183.26
60,4/17/20,188.02
61,4/18/20,180.88
62,4/19/20,188.02
63,4/20/20,190.4
64,4/21/20,195.16
65,4/22/20,204.68
66,4/23/20,197.54
67,4/24/20,190.4
68,4/25/20,176.12
69,4/26/20,180.88
70,4/27/20,192.78
71,4/28/20,207.06
72,4/29/20,214.2
73,4/30/20,223.72
74,5/1/20,214.2
75,5/2/20,204.68
76,5/3/20,211.82
77,5/4/20,216.58
78,5/5/20,228.48
79,5/6/20,245.14
80,5/7/20,245.14
81,5/8/20,233.24
82,5/9/20,216.58
83,5/10/20,218.96
84,5/11/20,221.34
85,5/12/20,223.72
86,5/13/20,228.48
87,5/14/20,228.48
88,5/15/20,245.14
89,5/16/20,242.76
90,5/17/20,247.52
91,5/18/20,245.14
92,5/19/20,238
93,5/20/20,242.76
94,5/21/20,230.86
95,5/22/20,223.72
96,5/23/20,209.44
97,5/24/20,202.3
98,5/25/20,221.34
99,5/26/20,228.48
100,5/27/20,238
101,5/28/20,211.82
102,5/29/20,202.3
103,5/30/20,204.68
104,5/31/20,197.54
105,6/1/20,226.1
106,6/2/20,223.72
107,6/3/20,235.62
108,6/4/20,218.96
109,6/5/20,216.58
110,6/6/20,197.54
111,6/7/20,211.82
112,6/8/20,218.96
113,6/9/20,233.24
114,6/10/20,264.18
115,6/11/20,280.84
116,6/12/20,311.78
117,6/13/20,297.5
118,6/14/20,328.44
119,6/15/20,342.72
120,6/16/20,347.48
121,6/17/20,366.52
122,6/18/20,402.22
123,6/19/20,430.78
124,6/20/20,440.3
125,6/21/20,478.38
126,6/22/20,518.84
127,6/23/20,561.68
128,6/24/20,652.12
129,6/25/20,697.34
130,6/26/20,711.62
131,6/27/20,752.08
132,6/28/20,835.38
133,6/29/20,875.84
134,6/30/20,878.22
135,7/1/20,894.88
136,7/2/20,987.7
137,7/3/20,994.84
138,7/4/20,1032.92
139,7/5/20,1061.48
140,7/6/20,1109.08
141,7/7/20,1116.22
142,7/8/20,1090.04
143,7/9/20,1047.2
144,7/10/20,1042.44
145,7/11/20,1035.3
146,7/12/20,1032.92
147,7/13/20,1092.42
148,7/14/20,1116.22
149,7/15/20,1170.96
150,7/16/20,1140.02
151,7/17/20,1116.22
152,7/18/20,1109.08
153,7/19/20,1142.4
154,7/20/20,1142.4
155,7/21/20,1092.42
156,7/22/20,1078.14
157,7/23/20,1042.44
158,7/24/20,1006.74
159,7/25/20,973.42
160,7/26/20,942.48
161,7/27/20,928.2
162,7/28/20,880.6
163,7/29/20,882.98
164,7/30/20,844.9
165,7/31/20,804.44
166,8/1/20,763.98
167,8/2/20,730.66
168,8/3/20,737.8
