,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,0
30,3/18/20,0
31,3/19/20,0
32,3/20/20,0
33,3/21/20,0
34,3/22/20,1
35,3/23/20,0
36,3/24/20,1
37,3/25/20,1
38,3/26/20,9
39,3/27/20,8
40,3/28/20,9
41,3/29/20,11
42,3/30/20,12
43,3/31/20,17
44,4/1/20,23
45,4/2/20,29
46,4/3/20,31
47,4/4/20,37
48,4/5/20,43
49,4/6/20,43
50,4/7/20,41
51,4/8/20,40
52,4/9/20,41
53,4/10/20,46
54,4/11/20,49
55,4/12/20,48
56,4/13/20,52
57,4/14/20,52
58,4/15/20,59
59,4/16/20,63
60,4/17/20,63
61,4/18/20,64
62,4/19/20,71
63,4/20/20,84
64,4/21/20,86
65,4/22/20,94
66,4/23/20,106
67,4/24/20,109
68,4/25/20,114
69,4/26/20,114
70,4/27/20,114
71,4/28/20,121
72,4/29/20,132
73,4/30/20,133
74,5/1/20,145
75,5/2/20,151
76,5/3/20,156
77,5/4/20,137
78,5/5/20,140
79,5/6/20,148
80,5/7/20,149
81,5/8/20,132
82,5/9/20,133
83,5/10/20,134
84,5/11/20,151
85,5/12/20,154
86,5/13/20,159
87,5/14/20,151
88,5/15/20,158
89,5/16/20,151
90,5/17/20,158
91,5/18/20,158
92,5/19/20,153
93,5/20/20,160
94,5/21/20,150
95,5/22/20,148
96,5/23/20,151
97,5/24/20,151
98,5/25/20,145
99,5/26/20,140
100,5/27/20,133
101,5/28/20,128
102,5/29/20,131
103,5/30/20,127
104,5/31/20,119
105,6/1/20,119
106,6/2/20,114
107,6/3/20,113
108,6/4/20,111
109,6/5/20,106
110,6/6/20,105
111,6/7/20,96
112,6/8/20,98
113,6/9/20,101
114,6/10/20,98
115,6/11/20,98
116,6/12/20,92
117,6/13/20,89
118,6/14/20,86
119,6/15/20,83
120,6/16/20,83
121,6/17/20,79
122,6/18/20,78
123,6/19/20,73
124,6/20/20,67
125,6/21/20,63
126,6/22/20,63
127,6/23/20,58
128,6/24/20,59
129,6/25/20,57
130,6/26/20,58
131,6/27/20,57
132,6/28/20,57
133,6/29/20,52
134,6/30/20,51
135,7/1/20,48
136,7/2/20,44
137,7/3/20,48
138,7/4/20,47
139,7/5/20,43
140,7/6/20,42
141,7/7/20,41
142,7/8/20,42
143,7/9/20,40
144,7/10/20,38
145,7/11/20,34
146,7/12/20,37
147,7/13/20,37
148,7/14/20,34
149,7/15/20,33
150,7/16/20,29
151,7/17/20,26
152,7/18/20,20
153,7/19/20,27
154,7/20/20,27
155,7/21/20,32
156,7/22/20,30
157,7/23/20,28
158,7/24/20,30
159,7/25/20,27
160,7/26/20,24
161,7/27/20,24
162,7/28/20,19
163,7/29/20,18
164,7/30/20,22
165,7/31/20,26
166,8/1/20,24
167,8/2/20,26
168,8/3/20,27
169,8/4/20,25
170,8/5/20,27
171,8/6/20,27
172,8/7/20,28
173,8/8/20,27
174,8/9/20,28
175,8/10/20,30
176,8/11/20,32
177,8/12/20,31
178,8/13/20,35
179,8/14/20,36
180,8/15/20,32
181,8/16/20,36
182,8/17/20,30
183,8/18/20,43
184,8/19/20,45
185,8/20/20,46
186,8/21/20,44
187,8/22/20,43
188,8/23/20,42
189,8/24/20,39
190,8/25/20,43
191,8/26/20,40
192,8/27/20,39
193,8/28/20,41
194,8/29/20,41
195,8/30/20,41
196,8/31/20,42
197,9/1/20,37
198,9/2/20,41
