,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,0
30,3/18/20,0
31,3/19/20,0
32,3/20/20,0
33,3/21/20,0
34,3/22/20,1
35,3/23/20,0
36,3/24/20,1
37,3/25/20,1
38,3/26/20,9
39,3/27/20,8
40,3/28/20,9
41,3/29/20,11
42,3/30/20,12
43,3/31/20,17
44,4/1/20,23
45,4/2/20,29
46,4/3/20,31
47,4/4/20,37
48,4/5/20,43
49,4/6/20,43
50,4/7/20,41
51,4/8/20,40
52,4/9/20,41
53,4/10/20,42
54,4/11/20,48
55,4/12/20,44
56,4/13/20,50
57,4/14/20,48
58,4/15/20,41
59,4/16/20,41
60,4/17/20,39
61,4/18/20,39
62,4/19/20,38
63,4/20/20,39
64,4/21/20,38
65,4/22/20,40
66,4/23/20,39
67,4/24/20,42
68,4/25/20,41
69,4/26/20,41
70,4/27/20,38
71,4/28/20,39
72,4/29/20,44
73,4/30/20,46
74,5/1/20,49
75,5/2/20,48
76,5/3/20,52
77,5/4/20,52
78,5/5/20,59
79,5/6/20,63
80,5/7/20,63
81,5/8/20,64
82,5/9/20,71
83,5/10/20,84
84,5/11/20,86
85,5/12/20,94
86,5/13/20,106
87,5/14/20,109
88,5/15/20,114
89,5/16/20,114
90,5/17/20,114
91,5/18/20,121
92,5/19/20,132
93,5/20/20,133
94,5/21/20,145
95,5/22/20,151
96,5/23/20,156
97,5/24/20,137
98,5/25/20,140
99,5/26/20,148
100,5/27/20,149
101,5/28/20,132
102,5/29/20,133
103,5/30/20,134
104,5/31/20,151
105,6/1/20,154
106,6/2/20,159
107,6/3/20,151
108,6/4/20,158
109,6/5/20,151
110,6/6/20,158
111,6/7/20,158
112,6/8/20,153
113,6/9/20,160
114,6/10/20,150
115,6/11/20,148
116,6/12/20,151
117,6/13/20,151
118,6/14/20,145
119,6/15/20,140
120,6/16/20,133
121,6/17/20,128
122,6/18/20,131
123,6/19/20,127
124,6/20/20,119
125,6/21/20,119
126,6/22/20,114
127,6/23/20,113
128,6/24/20,111
129,6/25/20,106
130,6/26/20,105
131,6/27/20,96
132,6/28/20,98
133,6/29/20,101
134,6/30/20,98
135,7/1/20,98
136,7/2/20,92
137,7/3/20,89
138,7/4/20,86
139,7/5/20,83
140,7/6/20,83
141,7/7/20,79
142,7/8/20,78
143,7/9/20,73
144,7/10/20,67
145,7/11/20,63
146,7/12/20,63
147,7/13/20,58
148,7/14/20,59
149,7/15/20,57
150,7/16/20,58
151,7/17/20,57
152,7/18/20,57
153,7/19/20,52
154,7/20/20,51
155,7/21/20,48
156,7/22/20,44
157,7/23/20,48
158,7/24/20,47
159,7/25/20,43
160,7/26/20,42
161,7/27/20,41
162,7/28/20,42
163,7/29/20,40
164,7/30/20,38
165,7/31/20,34
166,8/1/20,37
167,8/2/20,37
168,8/3/20,34
169,8/4/20,33
170,8/5/20,29
171,8/6/20,26
172,8/7/20,20
173,8/8/20,27
174,8/9/20,27
175,8/10/20,32
176,8/11/20,30
177,8/12/20,28
178,8/13/20,30
179,8/14/20,27
180,8/15/20,24
181,8/16/20,24
182,8/17/20,19
183,8/18/20,18
184,8/19/20,22
185,8/20/20,26
186,8/21/20,24
187,8/22/20,26
188,8/23/20,27
189,8/24/20,25
190,8/25/20,27
191,8/26/20,27
192,8/27/20,28
193,8/28/20,27
194,8/29/20,28
195,8/30/20,30
196,8/31/20,32
197,9/1/20,31
198,9/2/20,35
