,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,0
24,3/12/20,0
25,3/13/20,0
26,3/14/20,0
27,3/15/20,0
28,3/16/20,0
29,3/17/20,0
30,3/18/20,0
31,3/19/20,0
32,3/20/20,0
33,3/21/20,0
34,3/22/20,2.38
35,3/23/20,0
36,3/24/20,2.38
37,3/25/20,2.38
38,3/26/20,21.42
39,3/27/20,19.04
40,3/28/20,21.42
41,3/29/20,26.18
42,3/30/20,28.56
43,3/31/20,40.46
44,4/1/20,54.74
45,4/2/20,69.02
46,4/3/20,73.78
47,4/4/20,88.06
48,4/5/20,102.34
49,4/6/20,102.34
50,4/7/20,97.58
51,4/8/20,95.2
52,4/9/20,97.58
53,4/10/20,99.96
54,4/11/20,114.24
55,4/12/20,104.72
56,4/13/20,119
57,4/14/20,114.24
58,4/15/20,97.58
59,4/16/20,97.58
60,4/17/20,92.82
61,4/18/20,83.3
62,4/19/20,85.68
63,4/20/20,88.06
64,4/21/20,83.3
65,4/22/20,73.78
66,4/23/20,80.92
67,4/24/20,85.68
68,4/25/20,80.92
69,4/26/20,76.16
70,4/27/20,83.3
71,4/28/20,85.68
72,4/29/20,85.68
73,4/30/20,83.3
74,5/1/20,92.82
75,5/2/20,80.92
76,5/3/20,83.3
77,5/4/20,78.54
78,5/5/20,76.16
79,5/6/20,78.54
80,5/7/20,76.16
81,5/8/20,85.68
82,5/9/20,85.68
83,5/10/20,92.82
84,5/11/20,85.68
85,5/12/20,80.92
86,5/13/20,73.78
87,5/14/20,83.3
88,5/15/20,80.92
89,5/16/20,85.68
90,5/17/20,83.3
91,5/18/20,83.3
92,5/19/20,92.82
93,5/20/20,90.44
94,5/21/20,92.82
95,5/22/20,90.44
96,5/23/20,95.2
97,5/24/20,92.82
98,5/25/20,99.96
99,5/26/20,97.58
100,5/27/20,97.58
101,5/28/20,90.44
102,5/29/20,92.82
103,5/30/20,80.92
104,5/31/20,83.3
105,6/1/20,95.2
106,6/2/20,97.58
107,6/3/20,92.82
108,6/4/20,90.44
109,6/5/20,88.06
110,6/6/20,85.68
111,6/7/20,95.2
112,6/8/20,90.44
113,6/9/20,85.68
114,6/10/20,104.72
115,6/11/20,109.48
116,6/12/20,116.62
117,6/13/20,114.24
118,6/14/20,123.76
119,6/15/20,123.76
120,6/16/20,140.42
121,6/17/20,149.94
122,6/18/20,149.94
123,6/19/20,152.32
124,6/20/20,168.98
125,6/21/20,199.92
126,6/22/20,204.68
127,6/23/20,223.72
128,6/24/20,252.28
129,6/25/20,259.42
130,6/26/20,271.32
131,6/27/20,271.32
132,6/28/20,271.32
133,6/29/20,287.98
134,6/30/20,314.16
135,7/1/20,316.54
136,7/2/20,345.1
137,7/3/20,359.38
138,7/4/20,371.28
139,7/5/20,326.06
140,7/6/20,333.2
141,7/7/20,352.24
142,7/8/20,354.62
143,7/9/20,314.16
144,7/10/20,316.54
145,7/11/20,318.92
146,7/12/20,359.38
147,7/13/20,366.52
148,7/14/20,378.42
149,7/15/20,359.38
150,7/16/20,376.04
151,7/17/20,359.38
152,7/18/20,376.04
153,7/19/20,376.04
154,7/20/20,364.14
155,7/21/20,380.8
156,7/22/20,357
157,7/23/20,352.24
158,7/24/20,359.38
159,7/25/20,359.38
160,7/26/20,345.1
161,7/27/20,333.2
162,7/28/20,316.54
163,7/29/20,304.64
164,7/30/20,311.78
165,7/31/20,302.26
166,8/1/20,283.22
167,8/2/20,283.22
168,8/3/20,271.32
169,8/4/20,268.94
170,8/5/20,264.18
171,8/6/20,252.28
