vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2,,,,,,,,,,
9/27/21,0.002211,0,0,0,0,4570.433,779.4976,1243.907,539.903,2398.7068,1878.3912,,,,,,,,,,
9/28/21,0.000133,0,0,0,0,274.5568,46.8384,74.732,32.4394,144.0852,112.8358,,,,,,,,,,
9/29/21,0.000007,0,0,0,0,13.6612,2.3324,3.7128,1.6184,7.1638,5.6168,,,,,,,,,,
9/30/21,0.000133,0,0,0,0,273.819,46.6956,74.5178,32.3442,143.7044,112.5264,,,,,,,,,,
10/1/21,0.000297,0,0,0,0,614.3494,104.7914,167.195,72.5662,322.4424,252.4942,,,,,,,,,,
10/2/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
10/3/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
10/4/21,0.000369,0,0,0,0,761.957,129.948,207.3694,90.0116,399.8876,313.1604,,,,,,,,,,
10/5/21,0.0004,0,0,0,0,826.0028,140.8722,224.8148,97.58,433.517,339.4832,,,,,,,,,,
10/6/21,0.000059,0,0,0,0,122.4034,20.8726,33.32,14.4704,64.2362,50.3132,,,,,,,,,,
10/8/21,0.000197,0,0,0,0,406.8134,69.377,110.7176,48.0522,213.5098,167.195,,,,,,,,,,
10/9/21,0.000175,0,0,0,0,362.117,61.761,98.5558,42.7686,190.043,148.8214,,,,,,,,,,
10/10/21,0.000289,0,0,0,0,597.5704,101.9116,162.6492,70.5908,313.6364,245.5922,,,,,,,,,,
10/11/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
10/12/21,0.000289,0,0,0,0,597.5704,101.9116,162.6492,70.5908,313.6364,245.5922,,,,,,,,,,
10/13/21,0.000022,0,0,0,0,45.6246,7.7826,12.4236,5.3788,23.9428,18.7544,,,,,,,,,,
10/14/21,0.00018,0,0,0,0,372.3272,63.4984,101.3404,43.9824,195.4218,153.034,,,,,,,,,,
10/15/21,0.00015,0,0,0,0,126.378,190.519,34.391,131.9472,162.4826,127.2348,,,,,,,,,,
10/16/21,0.000201,0,0,0,0,0,382.228,0,264.7512,217.532,170.3604,,,,,,,,,,
10/17/21,0.000201,0,0,0,0,0,382.228,0,264.7512,217.532,170.3604,,,,,,,,,,
10/18/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
10/19/21,0.000201,0,0,0,0,0,382.228,0,264.7512,217.532,170.3604,,,,,,,,,,
10/20/21,0.0001,0,0,0,0,0,190.7094,0,132.09,108.528,84.9898,,,,,,,,,,
10/21/21,0.0001,0,0,0,0,0,190.7094,0,132.09,108.528,84.9898,,,,,,,,,,
10/22/21,0.00014,0,0,0,0,0,266.2982,0,184.45,151.5584,118.6906,,,,,,,,,,
10/23/21,0.000243,0,0,0,0,0,462.4816,0,320.3242,263.228,206.1318,,,,,,,,,,
10/24/21,0.000397,0,0,0,0,0,756.6258,0,524.076,430.6372,337.2222,,,,,,,,,,
10/25/21,0.036782,0,0,0,0,56471.7356,27665.2628,15369.564,19161.9512,39901.89,31246.6868,,,,,,,,,,
10/26/21,0.002646,0,0,0,0,0,5044.172,0,3493.7686,2870.8512,2248.1242,,,,,,,,,,
10/27/21,0.000448,0,0,0,0,0,853.6584,0,591.2634,485.8532,380.443,,,,,,,,,,
10/28/21,0.001063,0,0,0,0,0,2026.1178,0,1403.367,1153.1576,903.0196,,,,,,,,,,
10/29/21,0.00113,0,0,0,0,0,2153.8286,0,1491.8078,1225.819,959.9254,,,,,,,,,,
10/30/21,0.00113,0,0,0,0,0,2153.8286,0,1491.8078,1225.819,959.9254,,,,,,,,,,
10/31/21,0.002202,0,0,0,0,0,4196.2494,0,2906.456,2388.2586,1870.204,,,,,,,,,,
11/1/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
11/2/21,0.001173,0,0,0,0,0,2236.3908,0,1549.023,1272.824,996.744,,,,,,,,,,
11/3/21,0.000413,0,0,0,0,0,786.7804,0,544.9724,447.797,350.6692,,,,,,,,,,
11/4/21,0.000475,0,0,0,0,0,906.2088,0,627.6774,515.7698,403.886,,,,,,,,,,
11/5/21,0.000484,0,0,0,0,0,923.3686,0,639.5536,525.5278,411.5258,,,,,,,,,,
11/6/21,0.000365,0,0,0,0,0,695.555,0,481.7596,395.8892,309.995,,,,,,,,,,
11/7/21,0.000365,0,0,0,0,0,695.555,0,481.7596,395.8892,309.995,,,,,,,,,,
11/8/21,0.000365,0,0,0,0,0,695.555,0,481.7596,395.8892,309.995,,,,,,,,,,
11/9/21,0.000335,0,0,0,0,0,639.387,0,442.8704,363.902,284.9574,,,,,,,,,,
11/10/21,0.000992,0,0,0,0,0,1890.1484,0,1309.1904,1075.76,842.401,,,,,,,,,,
11/11/21,0.001197,0,0,0,0,0,2280.397,0,1579.487,1297.8616,1016.3552,,,,,,,,,,
11/12/21,0.001176,0,0,0,0,0,2240.9604,0,1552.1646,1275.4182,998.767,,,,,,,,,,
11/13/21,0.001395,0,0,0,0,0,2658.6504,0,1841.4774,1513.1564,1184.9306,,,,,,,,,,
11/14/21,0.003775,0,0,0,0,0,7194.5734,0,4983.2202,4094.7424,3206.5264,,,,,,,,,,
11/15/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
11/16/21,0.003775,0,0,0,0,0,7194.5734,0,4983.2202,4094.7424,3206.5264,,,,,,,,,,
11/17/21,0.00158,0,0,0,0,0,3010.0336,0,2084.8562,1713.1478,1341.5346,,,,,,,,,,
11/18/21,0.005422,0,0,0,0,0,10334.6026,0,7158.1356,5881.8606,4606.014,,,,,,,,,,
11/19/21,0.001832,0,0,0,0,0,3492.293,0,2418.8892,1987.6094,1556.4724,,,,,,,,,,
11/20/21,0.000745,0,0,0,0,0,1462.153,0,1012.7376,767.8118,601.2832,,,,,,,,,,
11/21/21,0.002129,0,0,0,0,0,4557.938,0,3156.9748,1835.8368,1437.6152,,,,,,,,,,
11/22/21,0.004426,0,0,0,0,0,9466.6642,0,6556.9714,3822.6132,2993.4688,,,,,,,,,,
11/23/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
11/24/21,0.003149,0,0,0,0,0,6732.6154,0,4663.253,2721.649,2131.29,,,,,,,,,,
11/25/21,0.00896,0,0,0,0,0,21310.4724,0,14781.0138,5691.2702,4456.8118,,,,,,,,,,
11/26/21,0.003694,0,0,0,0,0,9520.6902,0,4995.9294,2549.2418,1996.2726,,,,,,,,,,
11/27/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
11/28/21,0.01223,0,0,0,0,0,29541.75,0,16877.3416,9364.0862,7332.899,,,,,,,,,,
11/29/21,0.003874,0,0,0,0,0,10460.0524,0,5642.6944,2182.0078,1708.6972,,,,,,,,,,
11/30/21,0.003268,0,0,0,0,0,8963.7702,0,4680.3414,1806.5866,1414.7196,,,,,,,,,,
12/1/21,0.00359,0,0,0,0,0,9772.1848,0,4817.8102,2207.0454,1728.3084,,,,,,,,,,
12/2/21,0.00391,0,0,0,0,10435.3956,0,3883.3984,1685.5874,2340.3968,1832.7428,,,,,,,,,,
12/3/21,0.003464,0,0,0,0,9193.0594,0,3551.8406,1541.6688,2012.8136,1576.2026,,,,,,,,,,
12/4/21,0.003978,0,0,0,0,10145.5592,0,4338.8828,1883.2702,2333.59,1827.3878,,,,,,,,,,
12/5/21,0.004289,0,0,0,0,10778.2822,0,5182.4738,2249.4332,2199.0962,1722.0966,,,,,,,,,,
12/6/21,0.002032,0,0,0,0,0,0,10486.0182,0,0,0,,,,,,,,,,
12/7/21,0.004215,0,0,0,0,16647.0528,0,0,0,2862.069,2241.246,,,,,,,,,,
12/8/21,0.001432,0,0,0,0,0,0,7389.8048,0,0,0,,,,,,,,,,
12/9/21,0.004057,0,0,0,0,11959.1906,0,6383.2552,0,1456.322,1140.4246,,,,,,,,,,
12/10/21,0.003641,0,0,0,0,9321.6746,0,7345.275,0,1190.4522,932.246,,,,,,,,,,
12/11/21,0.003678,0,0,0,0,11816.3192,0,2619.7374,0,2547.0046,1994.5352,,,,,,,,,,
12/12/21,0.001358,0,0,0,0,5592.8572,0,0,0,793.2302,621.1562,,,,,,,,,,
12/13/21,0.001862,0,0,0,0,0,0,9610.2972,0,0,0,,,,,,,,,,
12/14/21,0.00482,0,0,0,0,16942.1966,0,4206.293,0,2089.3068,1636.1072,,,,,,,,,,
12/15/21,0.002321,0,0,0,0,7266.259,0,2973.334,0,975.1812,763.6468,,,,,,,,,,
12/16/21,0.002732,0,0,0,0,7365.267,0,5341.2436,0,780.8304,611.4696,,,,,,,,,,
12/17/21,0.004709,0,0,0,0,18554.599,0,3887.3968,0,1042.3448,816.2686,,,,,,,,,,
12/18/21,0.003804,0,0,0,0,14782.4656,0,3495.3394,0,758.7678,594.1908,,,,,,,,,,
12/19/21,0.002932,0,0,0,0,13759.4702,0,0,0,768.0736,601.4498,,,,,,,,,,
12/20/21,0.001203,0,0,0,0,0,0,6205.255,0,0,0,,,,,,,,,,
12/21/21,0.006118,0,0,0,0,22342.4642,0,3582.6378,0,3166.233,2479.4126,,,,,,,,,,
12/22/21,0.004202,0,0,0,0,15057.8316,0,3730.4834,0,1624.6356,1272.229,,,,,,,,,,
12/23/21,0.004094,0,0,0,0,14635.0722,0,5003.9976,0,834.8802,653.786,,,,,,,,,,
12/24/21,0.005764,0,0,0,0,23017.694,0,4542.4442,0,1226.2712,960.2824,,,,,,,,,,
12/25/21,0.005092,0,0,0,0,17504.0908,0,6614.2104,0,1211.0392,948.3348,,,,,,,,,,
12/26/21,0.006438,0,0,0,0,25603.6354,0,3948.9436,0,2057.0578,1610.8554,,,,,,,,,,
12/27/21,0.004674,0,0,0,0,20127.898,0,2170.2268,0,1021.5198,799.9656,,,,,,,,,,
12/28/21,0.002382,0,0,0,0,9295.2566,0,2253.0984,0,418.6896,327.845,,,,,,,,,,
12/29/21,0.002961,0,0,0,0,9840.9192,0,4338.7876,0,617.9908,483.9254,,,,,,,,,,
12/30/21,0.003637,0,0,0,0,16838.976,0,0,0,1083.138,848.1844,,,,,,,,,,
12/31/21,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/1/22,0.041109,0,0,0,0,126717.2214,0,55954.7996,0,16531.6466,12945.7244,,,,,,,,,,
1/2/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/3/22,0.007193,0,0,0,0,27556.592,0,7141.9516,0,1357.2902,1062.8842,,,,,,,,,,
1/4/22,0.00256,0,0,0,0,10704.5736,0,1927.3478,0,324.989,254.4934,,,,,,,,,,
1/5/22,0.001477,0,0,0,0,5329.296,0,1510.8716,0,437.6344,342.6962,,,,,,,,,,
1/6/22,0.003116,0,0,0,0,11966.4972,0,2543.9344,0,880.005,689.1052,,,,,,,,,,
1/7/22,0.003411,0,0,0,0,13205.6442,0,3134.8884,0,708.1928,554.5876,,,,,,,,,,
1/8/22,0.003095,0,0,0,0,12015.787,0,2822.8466,0,634.3414,496.7536,,,,,,,,,,
1/9/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/10/22,0.006067,0,0,0,0,22551.3092,0,6277.964,0,1390.2532,1088.6834,,,,,,,,,,
1/11/22,0.001419,0,0,0,0,5639.6956,0,1291.5308,0,219.1266,171.598,,,,,,,,,,
1/12/22,0.001622,0,0,0,0,6297.1706,0,1474.0768,0,337.127,263.9896,,,,,,,,,,
1/13/22,0.001896,0,0,0,0,7154.2086,0,1904.1428,0,407.4084,319.0152,,,,,,,,,,
1/14/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/15/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/16/22,0.005083,0,0,0,0,16071.8544,2741.1174,3567.0964,1548.2852,1293.9346,1013.2612,,,,,,,,,,
1/17/22,0.000969,0,0,0,0,887.5972,2741.1174,726.2332,315.2072,184.0454,144.1328,,,,,,,,,,
1/18/22,0.000974,0,0,0,0,1089.2546,2741.1174,652.6436,283.2914,145.7512,114.1448,,,,,,,,,,
1/19/22,0.000614,0,0,0,0,2381.8326,0,396.151,171.955,122.451,95.8902,,,,,,,,,,
1/20/22,0.001689,0,0,0,0,6088.3256,0,1223.1772,530.9066,491.5652,384.9174,,,,,,,,,,
1/21/22,0.001527,0,0,0,0,5876.2914,0,1036.1568,449.7486,289.765,226.9092,,,,,,,,,,
1/22/22,0.001897,0,0,0,0,6958.287,0,1327.564,576.2218,520.0538,407.2418,,,,,,,,,,
1/23/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/24/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1/25/22,0.003141,0,0,0,0,11977.8736,0,2163.1582,938.91,635.1982,497.42,,,,,,,,,,
1/26/22,0.001035,0,0,0,0,4061.3272,0,609.9702,264.7512,227.5756,178.1906,,,,,,,,,,
1/27/22,0.00134,0,0,0,0,4674.1772,0,863.1546,374.6596,560.8232,439.1814,,,,,,,,,,
1/28/22,0.00153,0,0,0,283.577,5709.9056,0,918.3706,398.6262,328.2972,257.0876,,,,,,,,,,
1/29/22,0.001338,0,0,0,162.435,5010.733,0,861.917,374.136,278.4838,218.1032,,,,,,,,,,
1/30/22,0.001673,0,0,0,2254.1456,4566.1014,0,892.3334,387.3212,300.3084,235.1678,,,,,,,,,,
1/31/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/1/22,0.005072,0,0,0,7181.4834,14653.422,0,2248.5764,975.9904,625.7734,490.0182,,,,,,,,,,
2/2/22,0.001491,0,0,0,2770.201,3658.7502,0,598.0226,259.5628,228.956,179.3092,,,,,,,,,,
2/3/22,0.002328,0,0,0,4733.344,5481.1162,0,903.3052,392.0812,283.6008,222.0778,,,,,,,,,,
2/4/22,0.002315,0,0,0,4030.6966,5793.3722,0,998.9098,433.5646,385.7504,302.0934,,,,,,,,,,
2/5/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/6/22,0.003283,0,0,2174.9154,2629.9,9203.6028,0,1486.8336,645.3608,447.2496,350.2408,,,,,,,,,,
2/7/22,0.003283,0,0,4804.8154,0,9203.6028,0,2132.1944,0,447.2496,350.2408,,,,,,,,,,
2/8/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2/9/22,0.002789,0,0,4563.5072,0,7659.8396,0,1655.0044,0,289.6698,226.8378,,,,,,,,,,
2/10/22,0.001621,0,0,1717.4794,0,4952.185,0,1177.862,0,290.003,227.0996,,,,,,,,,,
2/11/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/12/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/13/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/14/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/15/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/16/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/17/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/18/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/19/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/20/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/21/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/22/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/23/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/24/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/25/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/26/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/27/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
2/28/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
3/1/22,0.000961,0,0,1175.2678,0,2894.3656,0,635.9836,0,142.8,111.8362,,,,,,,,,,
3/2/22,0.001362,0,0,1318.3534,0,4641.238,0,823.599,0,136.4216,106.8382,,,,,,,,,,
3/3/22,0.0015,0,0,979.846,0,4953.9938,0,1285.2,0,291.074,227.9564,,,,,,,,,,
3/4/22,0.001193,0,0,911.4924,0,3733.149,0,1004.598,0,286.5282,224.3864,,,,,,,,,,
3/5/22,0.000931,0,0,742.56,0,3120.299,0,651.287,0,161.364,126.378,,,,,,,,,,
3/6/22,0.000675,0,0,590.6446,0,2181.032,0,485.163,0,128.1868,100.3884,,,,,,,,,,
3/7/22,0.000805,0,0,691.6756,0,2623.0694,0,623.7266,0,121.5704,95.2,,,,,,,,,,
3/8/22,0.000428,0,0,434.707,0,1396.941,0,290.836,0,48.5996,38.0324,,,,,,,,,,
3/9/22,0.000507,0,0,392.938,0,1684.683,0,394.485,0,80.682,63.189,,,,,,,,,,
3/10/22,0.000502,0,0,462.7196,0,1583.4854,0,363.8306,0,99.8886,78.2068,,,,,,,,,,
3/11/22,0.000664,0,0,568.9866,0,2126.887,0,522.291,0,116.0488,90.8684,,,,,,,,,,
3/12/22,0.000664,0,0,564.655,0,2099.279,0,482.664,0,155.295,121.618,,,,,,,,,,
3/13/22,0.000811,0,0,631.176,0,2598.96,0,660.569,0,163.1252,127.7108,,,,,,,,,,
3/14/22,0.000727,0,0,566.3686,0,2367.8144,0,589.6926,0,127.6394,99.96,,,,,,,,,,
3/15/22,0.000492,0,0,408.5746,0,1639.1774,0,365.3776,0,71.2572,55.811,,,,,,,,,,
3/16/22,0.00061,0,0,535.738,0,1860.6364,0,449.5344,0,167.7662,131.376,,,,,,,,,,
3/17/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/18/22,0.001355,0,0,1351.602,0,4195.5592,0,989.0804,0,254.9694,199.682,,,,,,,,,,
3/19/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/20/22,0.001162,0,0,1079.1634,0,3654.7518,0,895.951,0,203.6804,159.5076,,,,,,,,,,
3/21/22,0.00051,0,0,385.203,0,1701.7,0,409.955,0,75.4698,59.1192,,,,,,,,,,
3/22/22,0.000476,0,0,351.169,0,1607.333,0,409.955,0,48.5996,38.0324,,,,,,,,,,
3/23/22,0.000192,0,0,130.2574,0,645.337,0,159.936,0,29.7262,23.2764,,,,,,,,,,
3/24/22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3/25/22,0.001016,0,0,845.138,0,3384.4314,0,738.8234,0,153.034,119.833,,,,,,,,,,
3/26/22,0.000633,0,0,676.039,0,2000.271,0,389.844,0,112.7882,88.3218,,,,,,,,,,
3/27/22,0.000586,0,0,549.0422,0,1894.1706,0,414.3104,0,94.4622,73.9704,,,,,,,,,,
3/28/22,0.000517,0,0,516.698,0,1590.316,0,413.049,0,82.4194,64.5456,,,,,,,,,,
3/29/22,0.000453,0,0,380.562,0,1528.436,0,349.622,0,45.101,35.343,,,,,,,,,,
3/30/22,0.000448,0,0,328.2734,0,1544.144,0,333.2,0,60.095,47.0526,,,,,,,,,,
3/31/22,0.000537,0,0,455.294,0,1682.7314,0,427.8764,0,114.8588,89.9402,,,,,,,,,,
4/1/22,0.000421,0,0,456.96,0,1334.0138,0,265.727,0,65.5214,51.289,,,,,,,,,,
4/2/22,0.000491,0,0,468.9076,0,1623.7074,0,305.0446,0,74.732,58.5242,,,,,,,,,,
4/3/22,0.000593,0,0,590.954,0,1936.844,0,396.032,0,78.0878,61.1422,,,,,,,,,,
4/4/22,0.000525,0,0,456.365,0,1710.982,0,385.203,0,85.8942,67.2588,,,,,,,,,,
4/5/22,0.000402,0,0,416.143,0,1279.369,0,275.366,0,59.8808,46.886,,,,,,,,,,
4/6/22,0.000808,0,0,668.304,0,2727.361,0,614.159,0,89.3452,69.9958,,,,,,,,,,
4/7/22,0.000877,0,0,851.326,0,2778.0074,0,684.6784,0,119.1904,93.3436,,,,,,,,,,
4/8/22,0.001206,0,0,1239.3136,0,3856.0284,0,809.3666,0,179.69,140.7294,,,,,,,,,,
4/9/22,0.001047,0,0,1043.273,0,3345.1138,0,723.639,0,161.8162,126.7112,,,,,,,,,,
4/10/22,0.001095,0,0,991.9364,0,3573.808,0,798.847,0,158.984,124.4978,,,,,,,,,,
4/11/22,0.000896,0,0,699.4106,0,3034.5714,0,673.2306,0,121.5704,95.2,,,,,,,,,,
4/12/22,0.000973,0,0,737.919,0,3389.477,0,703.885,0,107.576,84.252,,,,,,,,,,
4/13/22,0.000777,0,0,711.62,0,2654.652,0,488.852,0,87.6316,68.6154,,,,,,,,,,
4/14/22,0.000848,0,0,786.0426,0,2814.8974,0,574.2226,0,112.0266,87.7268,,,,,,,,,,
4/15/22,0.00116,0,0,1046.5336,0,3845.6992,0,782.7344,0,174.0732,136.3264,,,,,,,,,,
4/16/22,0.001006,0,0,892.9284,0,3442.313,0,616.301,0,133.8274,104.8152,,,,,,,,,,
4/17/22,0.001158,0,0,995.316,0,3959.2728,0,768.502,0,142.7286,111.7648,,,,,,,,,,
4/18/22,0.001065,0,0,858.585,0,3635.45,0,771.953,0,129.2578,101.2452,,,,,,,,,,
4/19/22,0.000939,0,0,717.808,0,3256.435,0,660.569,0,117.1198,91.7252,,,,,,,,,,
4/20/22,0.000745,0,0,628.2486,0,2644.7274,0,438.0866,0,73.8514,57.834,,,,,,,,,,
4/21/22,0.000944,0,0,775.6658,0,3258.0534,0,626.7254,0,118.2146,92.582,,,,,,,,,,
4/22/22,0.000944,0,0,775.6658,0,3258.0534,0,626.7254,0,118.2146,92.582,,,,,,,,,,
4/23/22,0.000944,0,0,775.6658,0,3258.0534,0,626.7254,0,118.2146,92.582,,,,,,,,,,
4/24/22,0.000944,0,0,775.6658,0,3258.0534,0,626.7254,0,118.2146,92.582,,,,,,,,,,
4/25/22,0.000944,0,0,775.6658,0,3258.0534,0,626.7254,0,118.2146,92.582,,,,,,,,,,
4/26/22,0.000944,0,0,775.6658,0,3258.0534,0,626.7254,0,118.2146,92.582,,,,,,,,,,
4/27/22,0.001574,0,0,1340.0114,0,5523.028,0,953.547,0,171.1458,134.0178,,,,,,,,,,
4/28/22,0.001008,0,0,1037.085,0,3247.6528,0,650.93,0,147.9408,115.8346,,,,,,,,,,
4/29/22,0.001601,0,0,1557.115,0,5450.3666,0,927.5098,0,184.1168,144.1566,,,,,,,,,,
4/30/22,0.001601,0,0,1557.115,0,5450.3666,0,927.5098,0,184.1168,144.1566,,,,,,,,,,
5/1/22,0.001392,0,0,1184.6212,0,4829.6626,0,846.9468,0,180.7372,141.5386,,,,,,,,,,
5/2/22,0.001392,0,0,1184.6212,0,4829.6626,0,846.9468,0,180.7372,141.5386,,,,,,,,,,
5/3/22,0.00055,0,0,539.903,0,1893.528,0,309.4,0,52.9312,41.4358,,,,,,,,,,
5/4/22,0.000919,0,0,855.3244,0,3114.4442,0,589.0024,0,104.244,81.634,,,,,,,,,,
5/5/22,0.001474,0,0,1436.8298,0,4897.2546,0,921.3218,0,197.8256,154.9142,,,,,,,,,,
5/6/22,0.001071,0,0,909.4694,0,3757.9962,0,571.9854,0,160.65,125.783,,,,,,,,,,
5/7/22,0.000958,0,0,670.3746,0,3380.076,0,613.6116,0,157.1038,123.0222,,,,,,,,,,
5/8/22,0.000958,0,0,670.3746,0,3380.076,0,613.6116,0,157.1038,123.0222,,,,,,,,,,
5/9/22,0.000868,0,0,816.9826,0,2986.6144,0,487.5906,0,106.8144,83.657,,,,,,,,,,
5/10/22,0.000492,0,0,439.6574,0,1709.673,0,320.824,0,39.27,30.7496,,,,,,,,,,
5/11/22,0.000935,0,0,699.5534,0,3361.869,0,596.19,0,93.058,72.8756,,,,,,,,,,
5/12/22,0.001585,0,0,1091.111,0,5698.7434,0,1003.3604,0,215.509,168.742,,,,,,,,,,
5/13/22,0.001171,0,0,670.327,0,4142.4614,0,910.5404,0,179.928,140.896,,,,,,,,,,
5/14/22,0.000707,0,0,549.9466,0,2499.8092,0,406.8134,0,106.4098,83.3238,,,,,,,,,,
5/15/22,0.000609,0,0,469.455,0,2123.674,0,414.477,0,76.2076,59.6904,,,,,,,,,,
5/16/22,0.000609,0,0,469.455,0,2123.674,0,414.477,0,76.2076,59.6904,,,,,,,,,,
5/17/22,0.000609,0,0,469.455,0,2123.674,0,414.477,0,76.2076,59.6904,,,,,,,,,,
5/18/22,0.00046,0,0,359.2134,0,1582.819,0,311.542,0,68.7582,53.8594,,,,,,,,,,
5/19/22,0.000612,0,0,287.9086,0,2287.3704,0,382.3946,0,113.764,89.0834,,,,,,,,,,
5/20/22,0.000671,0,0,369.733,0,2507.687,0,414.596,0,96.2948,75.4222,,,,,,,,,,
5/21/22,0.000579,0,0,337.722,0,2103.5154,0,356.7144,0,104.4344,81.8006,,,,,,,,,,
5/22/22,0.000618,0,0,370.0424,0,2142.833,0,453.866,0,125.1642,98.0084,,,,,,,,,,
5/23/22,0.000504,0,0,366.9484,0,1701.938,0,382.704,0,82.6336,64.7122,,,,,,,,,,
5/24/22,0.0003,0,0,249.2336,0,1094.6334,0,159.6266,0,26.1562,20.468,,,,,,,,,,
5/25/22,0.000274,0,0,193.375,0,1004.003,0,174.811,0,23.4192,18.3498,,,,,,,,,,
5/26/22,0.000246,0,0,134.7556,0,935.2924,0,165.8146,0,18.326,14.3514,,,,,,,,,,
5/27/22,0.000423,0,0,267.631,0,1488.214,0,300.118,0,72.0188,56.3822,,,,,,,,,,
5/28/22,0.000545,0,0,286.195,0,2020.382,0,315.588,0,106.7192,83.5618,,,,,,,,,,
5/29/22,0.000546,0,0,251.5184,0,1903.5478,0,405.552,0,144.6802,113.3118,,,,,,,,,,
5/30/22,0.000461,0,0,294.6916,0,1658.2412,0,313.9934,0,62.1656,48.671,,,,,,,,,,
5/31/22,0.000244,0,0,168.7896,0,902.8054,0,153.4386,0,20.0634,15.708,,,,,,,,,,
6/1/22,0.000439,0,0,283.101,0,1520.701,0,280.007,0,102.3876,80.1584,,,,,,,,,,
6/2/22,0.000435,0,0,212.2484,0,1565.802,0,322.371,0,80.92,63.3556,,,,,,,,,,
6/3/22,0.000443,0,0,234.0254,0,1628.277,0,271.5104,0,85.5848,67.0208,,,,,,,,,,
6/4/22,0.001702,0,0,824.8604,0,6079.948,0,1199.52,0,380.2288,297.7618,,,,,,,,,,
6/5/22,0.001197,0,0,535.5714,0,4505.102,0,809.676,0,185.0212,144.8944,,,,,,,,,,
6/6/22,0.000722,0,0,432.089,0,2453.1374,0,528.4314,0,172.9784,135.4458,,,,,,,,,,
6/7/22,0.000227,0,0,144.109,0,818.9342,0,141.9908,0,36.176,28.322,,,,,,,,,,
6/8/22,0.000227,0,0,144.109,0,818.9342,0,141.9908,0,36.176,28.322,,,,,,,,,,
