date,transmission_reduction,cocooning,rIH,HICUR,mu
2/15/20,0.052257,0,0.65973087,0.16314143,0.4400823
2/16/20,0.052257,0,0.660665589,0.16269328,0.4400823
2/17/20,0.052257,0,0.661597741,0.162246362,0.4400823
2/18/20,0.052257,0,0.662527332,0.161800671,0.4400823
2/19/20,0.052257,0,0.663454369,0.161356205,0.4400823
2/20/20,0.052257,0,0.66437886,0.160912959,0.4400823
2/21/20,0.052257,0,0.665300811,0.160470931,0.4400823
2/22/20,0.052257,0,0.66622023,0.160030118,0.4400823
2/23/20,0.052257,0,0.667137123,0.159590515,0.4400823
2/24/20,0.052257,0,0.668051497,0.15915212,0.4400823
2/25/20,0.052257,0,0.66896336,0.158714929,0.4400823
2/26/20,0.052257,0,0.669872718,0.158278939,0.4400823
2/27/20,0.052257,0,0.670779577,0.157844147,0.4400823
2/28/20,0.052257,0,0.671683946,0.157410549,0.4400823
2/29/20,0.052257,0,0.67258583,0.156978142,0.4400823
3/1/20,0.052257,0,0.673485237,0.156546923,0.4400823
3/2/20,0.052257,0,0.674382173,0.156116889,0.4400823
3/3/20,0.052257,0,0.675276645,0.155688036,0.4400823
3/4/20,0.052257,0,0.67616866,0.155260361,0.4400823
3/5/20,0.052257,0,0.677058225,0.154833861,0.4400823
3/6/20,0.052257,0,0.677945346,0.154408532,0.4400823
3/7/20,0.052257,0,0.67883003,0.153984372,0.4400823
3/8/20,0.052257,0,0.679712284,0.153561377,0.4400823
3/9/20,0.052257,0,0.680592114,0.153139544,0.4400823
3/10/20,0.052257,0,0.681469528,0.152718869,0.4400823
3/11/20,0.052257,0,0.682344531,0.15229935,0.4400823
3/12/20,0.052257,0,0.68321713,0.151880984,0.4400823
3/13/20,0.052257,0,0.684087333,0.151463767,0.4400823
3/14/20,0.052257,0,0.684955145,0.151047696,0.4400823
3/15/20,0.052257,0,0.685820573,0.150632768,0.4400823
3/16/20,0.052257,0,0.686683624,0.15021898,0.4400823
3/17/20,0.052257,0,0.687544304,0.149806328,0.4400823
3/18/20,0.052257,0,0.68840262,0.14939481,0.4400823
3/19/20,0.052257,0,0.689258578,0.148984423,0.4400823
3/20/20,0.052257,0,0.690112185,0.148575163,0.4400823
3/21/20,0.052257,0,0.690963447,0.148167027,0.4400823
3/22/20,0.052257,0,0.69181237,0.147760012,0.4400823
3/23/20,0.052257,0,0.692658961,0.147354115,0.4400823
3/24/20,0.787752,0.787752,0.693503227,0.146949333,0.4400823
3/25/20,0.787752,0.787752,0.694345174,0.146545663,0.4400823
3/26/20,0.787752,0.787752,0.695184808,0.146143103,0.4400823
3/27/20,0.787752,0.787752,0.696022135,0.145741647,0.4400823
3/28/20,0.787752,0.787752,0.696857162,0.145341295,0.4400823
3/29/20,0.787752,0.787752,0.697689896,0.144942043,0.4400823
3/30/20,0.787752,0.787752,0.698520341,0.144543887,0.4400823
3/31/20,0.787752,0.787752,0.699348506,0.144146825,0.4400823
4/1/20,0.787752,0.787752,0.700174396,0.143750853,0.4400823
4/2/20,0.787752,0.787752,0.700998017,0.14335597,0.4400823
4/3/20,0.787752,0.787752,0.701819375,0.142962171,0.4400823
4/4/20,0.787752,0.787752,0.702638477,0.142569454,0.4400823
4/5/20,0.787752,0.787752,0.703455329,0.142177816,0.4400823
4/6/20,0.787752,0.787752,0.704269938,0.141787253,0.4400823
4/7/20,0.787752,0.787752,0.705082308,0.141397764,0.4400823
4/8/20,0.787752,0.787752,0.705892447,0.141009344,0.4400823
4/9/20,0.787752,0.787752,0.70670036,0.140621991,0.4400823
4/10/20,0.787752,0.787752,0.707506055,0.140235703,0.4400823
4/11/20,0.787752,0.787752,0.708309535,0.139850475,0.4400823
4/12/20,0.787752,0.787752,0.709110809,0.139466306,0.4400823
4/13/20,0.787752,0.787752,0.709909882,0.139083192,0.4400823
4/14/20,0.787752,0.787752,0.710706759,0.13870113,0.4400823
4/15/20,0.787752,0.787752,0.711501448,0.138320118,0.4400823
4/16/20,0.787752,0.787752,0.712293953,0.137940153,0.4400823
4/17/20,0.787752,0.787752,0.713084282,0.137561231,0.4400823
4/18/20,0.787752,0.787752,0.713872439,0.137183351,0.4400823
4/19/20,0.787752,0.787752,0.714658432,0.136806508,0.4400823
4/20/20,0.787752,0.787752,0.715442265,0.136430701,0.4400823
4/21/20,0.787752,0.787752,0.716223945,0.136055925,0.4400823
4/22/20,0.787752,0.787752,0.717003478,0.13568218,0.4400823
4/23/20,0.787752,0.787752,0.717780869,0.135309461,0.4400823
4/24/20,0.787752,0.787752,0.718556125,0.134937766,0.4400823
4/25/20,0.787752,0.787752,0.719329252,0.134567092,0.4400823
4/26/20,0.787752,0.787752,0.720100254,0.134197436,0.4400823
4/27/20,0.787752,0.787752,0.720869139,0.133828796,0.4400823
4/28/20,0.787752,0.787752,0.721635911,0.133461168,0.4400823
4/29/20,0.787752,0.787752,0.722400577,0.13309455,0.4400823
4/30/20,0.787752,0.787752,0.723163143,0.132728939,0.4400823
