vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
1/10/21,0.022678,0,0,0,0,46876.1706,7994.896,12757.99,5537.546,24602.0124,19265.5288
1/11/21,0.001362,0,0,0,0,2815.9684,480.284,766.4076,332.6526,1477.9086,1157.3226
1/12/21,0.000068,0,0,0,0,140.1344,23.8952,38.1276,16.5648,73.542,57.596
1/13/21,0.001359,0,0,0,0,2808.3286,478.975,764.337,331.7482,1473.9102,1154.181
1/14/21,0.003048,0,0,0,0,6301.1214,1074.689,1714.9328,744.3688,3307.01,2589.678
1/15/21,0,0,0,0,0,0,0,0,0,0,0
1/16/21,0,0,0,0,0,0,0,0,0,0,0
1/17/21,0.003781,0,0,0,0,7814.9204,1332.8714,2126.9346,923.1782,4101.5016,3211.8338
1/18/21,0.004099,0,0,0,0,8471.729,1444.8742,2305.6964,1000.7662,4446.2208,3481.7734
1/19/21,0.000607,0,0,0,0,1255.45,214.1286,341.6966,148.2978,658.903,515.984
1/21/21,0.002019,0,0,0,0,4172.4732,711.62,1135.5932,492.898,2189.838,1714.8376
1/22/21,0.001797,0,0,0,0,3713.9424,633.437,1010.8098,438.7292,1949.1962,1526.3892
1/23/21,0.002965,0,0,0,0,6129.0474,1045.3436,1668.1182,724.0436,3216.7128,2518.9682
1/24/21,0,0,0,0,0,0,0,0,0,0,0
1/25/21,0.002965,0,0,0,0,6129.0474,1045.3436,1668.1182,724.0436,3216.7128,2518.9682
1/26/21,0.000226,0,0,0,0,468.0508,79.8252,127.3776,55.2874,245.6398,192.3754
1/27/21,0.001848,0,0,0,0,3818.8052,651.3108,1039.346,451.129,2004.2218,1569.491
1/28/21,0.001536,0,0,0,0,1296.1004,1954.0038,352.7398,1353.4108,1666.5236,1305.0254
1/29/21,0.002057,0,0,0,0,0,3920.2646,0,2715.3182,2231.2024,1747.2294
1/30/21,0.002057,0,0,0,0,0,3920.2646,0,2715.3182,2231.2024,1747.2294
1/31/21,0,0,0,0,0,0,0,0,0,0,0
2/1/21,0.002057,0,0,0,0,0,3920.2646,0,2715.3182,2231.2024,1747.2294
2/2/21,0.001026,0,0,0,0,0,1955.884,0,1354.7198,1113.1736,871.7226
2/3/21,0.001026,0,0,0,0,0,1955.884,0,1354.7198,1113.1736,871.7226
2/4/21,0.001433,0,0,0,0,0,2731.2166,0,1891.743,1554.4494,1217.2748
2/5/21,0.002489,0,0,0,0,0,4743.3638,0,3285.4234,2699.6578,2114.0588
2/6/21,0.004071,0,0,0,0,0,7760.2518,0,5375.0396,4416.685,3458.6636
2/7/21,0,0,0,0,0,0,0,0,0,0,0
2/8/21,0.004071,0,0,0,0,0,7760.2518,0,5375.0396,4416.685,3458.6636
2/9/21,0.000689,0,0,0,0,0,1313.3078,0,909.636,747.4628,585.3134
2/10/21,0.001635,0,0,0,0,0,3117.1098,0,2159.017,1774.0758,1389.2536
