date,prev
5/1/22,0.01
5/2/22,0.01
5/3/22,0.01
5/4/22,0.02
5/5/22,0.03
5/6/22,0.04
5/7/22,0.05
5/8/22,0.07
5/9/22,0.1
5/10/22,0.14
5/11/22,0.19
5/12/22,0.25
5/13/22,0.32
5/14/22,0.4
5/15/22,0.49
5/16/22,0.57
5/17/22,0.66
5/18/22,0.73
5/19/22,0.79
5/20/22,0.84
5/21/22,0.88
5/22/22,0.91
5/23/22,0.94
5/24/22,0.95
5/25/22,0.96
5/26/22,0.97
5/27/22,0.98
5/28/22,0.98
5/29/22,0.99
5/30/22,0.99
5/31/22,0.99
6/1/22,0.99
6/2/22,0.99
6/3/22,0.99
6/4/22,0.99
6/5/22,0.99
6/6/22,0.99
6/7/22,1
6/8/22,1
6/9/22,1
6/10/22,1
6/11/22,1
6/12/22,1
6/13/22,1
6/14/22,1
6/15/22,1
6/16/22,1
6/17/22,1
6/18/22,1
6/19/22,1
6/20/22,1
6/21/22,1
6/22/22,1
6/23/22,1
6/24/22,1
6/25/22,1
6/26/22,1
6/27/22,1
6/28/22,1
6/29/22,1
6/30/22,1
7/1/22,1
7/2/22,1
7/3/22,1
7/4/22,1
7/5/22,1
7/6/22,1
7/7/22,1
7/8/22,1
7/9/22,1
7/10/22,1
7/11/22,1
7/12/22,1
7/13/22,1
7/14/22,1
7/15/22,1
7/16/22,1
7/17/22,1
7/18/22,1
7/19/22,1
7/20/22,1
7/21/22,1
7/22/22,1
7/23/22,1
7/24/22,1
7/25/22,1
7/26/22,1
7/27/22,1
7/28/22,1
7/29/22,1
7/30/22,1
7/31/22,1
8/1/22,1
8/2/22,1
8/3/22,1
8/4/22,1
8/5/22,1
8/6/22,1
8/7/22,1
8/8/22,1
8/9/22,1
8/10/22,1
8/11/22,1
8/12/22,1
8/13/22,1
8/14/22,1
8/15/22,1
8/16/22,1
8/17/22,1
8/18/22,1
8/19/22,1
8/20/22,1
8/21/22,1
8/22/22,1
8/23/22,1
8/24/22,1
8/25/22,1
8/26/22,1
8/27/22,1
8/28/22,1
8/29/22,1
8/30/22,1
8/31/22,1
9/1/22,1
9/2/22,1
9/3/22,1
9/4/22,1
9/5/22,1
9/6/22,1
9/7/22,1
9/8/22,1
9/9/22,1
9/10/22,1
9/11/22,1
9/12/22,1
9/13/22,1
9/14/22,1
9/15/22,1
9/16/22,1
9/17/22,1
9/18/22,1
9/19/22,1
9/20/22,1
9/21/22,1
9/22/22,1
9/23/22,1
9/24/22,1
9/25/22,1
9/26/22,1
9/27/22,1
9/28/22,1
9/29/22,1
9/30/22,1
10/1/22,1
10/2/22,1
10/3/22,1
10/4/22,1
10/5/22,1
10/6/22,1
10/7/22,1
10/8/22,1
10/9/22,1
10/10/22,1
10/11/22,1
10/12/22,1
10/13/22,1
10/14/22,1
10/15/22,1
10/16/22,1
10/17/22,1
10/18/22,1
10/19/22,1
10/20/22,1
10/21/22,1
10/22/22,1
10/23/22,1
10/24/22,1
10/25/22,1
10/26/22,1
10/27/22,1
10/28/22,1
10/29/22,1
10/30/22,1
10/31/22,1
11/1/22,1
11/2/22,1
11/3/22,1
11/4/22,1
11/5/22,1
11/6/22,1
11/7/22,1
11/8/22,1
11/9/22,1
11/10/22,1
11/11/22,1
11/12/22,1
11/13/22,1
11/14/22,1
11/15/22,1
11/16/22,1
11/17/22,1
11/18/22,1
11/19/22,1
11/20/22,1
11/21/22,1
11/22/22,1
11/23/22,1
11/24/22,1
11/25/22,1
11/26/22,1
11/27/22,1
11/28/22,1
11/29/22,1
11/30/22,1
12/1/22,1
12/2/22,1
12/3/22,1
12/4/22,1
12/5/22,1
12/6/22,1
12/7/22,1
12/8/22,1
12/9/22,1
12/10/22,1
12/11/22,1
12/12/22,1
12/13/22,1
12/14/22,1
12/15/22,1
12/16/22,1
12/17/22,1
12/18/22,1
12/19/22,1
12/20/22,1
12/21/22,1
12/22/22,1
12/23/22,1
12/24/22,1
12/25/22,1
12/26/22,1
12/27/22,1
12/28/22,1
12/29/22,1
12/30/22,1
12/31/22,1
1/1/23,1
1/2/23,1
1/3/23,1
1/4/23,1
1/5/23,1
1/6/23,1
1/7/23,1
1/8/23,1
1/9/23,1
1/10/23,1
1/11/23,1
1/12/23,1
1/13/23,1
1/14/23,1
1/15/23,1
1/16/23,1
1/17/23,1
1/18/23,1
1/19/23,1
1/20/23,1
1/21/23,1
1/22/23,1
1/23/23,1
1/24/23,1
