,date,hospitalized
11,01/01/21,389
23,01/02/21,382
35,01/03/21,376
47,01/04/21,378
59,01/05/21,382
71,01/06/21,379
83,01/07/21,378
95,01/08/21,387
107,01/09/21,384
119,01/10/21,378
131,01/11/21,377
143,01/12/21,369
155,01/13/21,370
167,01/14/21,365
179,01/15/21,358
191,01/16/21,351
203,01/17/21,341
215,01/18/21,330
227,01/19/21,321
239,01/20/21,307
251,01/21/21,308
263,01/22/21,296
275,01/23/21,289
287,01/24/21,286
299,01/25/21,279
311,01/26/21,274
323,01/27/21,269
335,01/28/21,256
347,01/29/21,251
359,01/30/21,243
371,01/31/21,234
383,02/01/21,225
395,02/02/21,221
407,02/03/21,217
419,02/04/21,209
431,02/05/21,206
443,02/06/21,205
455,02/07/21,202
467,02/08/21,195
479,02/09/21,184
491,02/10/21,180
503,02/11/21,175
515,02/12/21,170
527,02/13/21,163
539,02/14/21,155
551,02/15/21,153
563,02/16/21,153
575,02/17/21,147
587,02/18/21,146
599,02/19/21,143
611,02/20/21,140
623,02/21/21,140
635,02/22/21,135
647,02/23/21,131
659,02/24/21,128
671,02/25/21,122
683,02/26/21,120
695,02/27/21,118
707,02/28/21,114
719,03/01/21,111
731,03/02/21,108
743,03/03/21,104
755,03/04/21,105
767,03/05/21,102
779,03/06/21,102
791,03/07/21,102
803,03/08/21,102
815,03/09/21,104
827,03/10/21,107
839,03/11/21,107
851,03/12/21,107
863,03/13/21,107
875,03/14/21,110
887,03/15/21,111
899,03/16/21,112
911,03/17/21,114
923,03/18/21,116
935,03/19/21,120
947,03/20/21,123
959,03/21/21,127
971,03/22/21,130
983,03/23/21,135
995,03/24/21,138
1007,03/25/21,145
1019,03/26/21,151
1031,03/27/21,155
1043,03/28/21,159
1055,03/29/21,164
1067,03/30/21,169
1079,03/31/21,175
1091,04/01/21,176
1103,04/02/21,180
1115,04/03/21,195
1127,04/04/21,198
1139,04/05/21,203
1151,04/06/21,214
1163,04/07/21,220
1175,04/08/21,232
1187,04/09/21,236
1199,04/10/21,238
1211,04/11/21,250
1223,04/12/21,263
1235,04/13/21,264
1247,04/14/21,267
1259,04/15/21,270
1271,04/16/21,277
1283,04/17/21,278
1295,04/18/21,277
1307,04/19/21,269
1319,04/20/21,267
1331,04/21/21,264
1343,04/22/21,256
1355,04/23/21,247
1367,04/24/21,245
1379,04/25/21,241
1391,04/26/21,245
1403,04/27/21,244
1415,04/28/21,240
1427,04/29/21,238
1439,04/30/21,241
1451,05/01/21,237
1463,05/02/21,238
1475,05/03/21,236
1487,05/04/21,236
1499,05/05/21,236
1511,05/06/21,237
1523,05/07/21,234
1535,05/08/21,228
1547,05/09/21,219
1559,05/10/21,209
1571,05/11/21,196
1583,05/12/21,190
1595,05/13/21,177
1607,05/14/21,172
1619,05/15/21,167
1631,05/16/21,159
1643,05/17/21,155
1655,05/18/21,154
1667,05/19/21,147
1679,05/20/21,148
1691,05/21/21,145
1703,05/22/21,144
1715,05/23/21,143
1727,05/24/21,134
1739,05/25/21,130
1751,05/26/21,130
1763,05/27/21,122
1775,05/28/21,113
1787,05/29/21,103
1799,05/30/21,93
1811,05/31/21,90
1823,06/01/21,89
1835,06/02/21,83
1847,06/03/21,80
1859,06/04/21,76
1871,06/05/21,72
1883,06/06/21,73
1895,06/07/21,71
1907,06/08/21,64
1919,06/09/21,62
1931,06/10/21,59
1943,06/11/21,58
1955,06/12/21,57
1967,06/13/21,53
1979,06/14/21,51
1991,06/15/21,46
2003,06/16/21,44
2015,06/17/21,41
2027,06/18/21,38
2039,06/19/21,36
2051,06/20/21,36
2063,06/21/21,35
2075,06/22/21,36
2087,06/23/21,33
2099,06/24/21,33
2111,06/25/21,33
2123,06/26/21,33
2135,06/27/21,32
2147,06/28/21,31
2159,06/29/21,32
2171,06/30/21,34
2183,07/01/21,33
2195,07/02/21,32
2207,07/03/21,31
2219,07/04/21,33
2231,07/05/21,33
2243,07/06/21,31
2255,07/07/21,32
2267,07/08/21,33
2279,07/09/21,37
2291,07/10/21,41
2303,07/11/21,42
2315,07/12/21,46
2327,07/13/21,49
2339,07/14/21,51
2351,07/15/21,54
2363,07/16/21,54
2375,07/17/21,57
2387,07/18/21,59
2399,07/19/21,63
2411,07/20/21,67
2423,07/21/21,69
2435,07/22/21,72
2447,07/23/21,77
2459,07/24/21,78
2471,07/25/21,84
2483,07/26/21,88
2495,07/27/21,94
2507,07/28/21,102
2519,07/29/21,108
2531,07/30/21,117
2543,07/31/21,126
2555,08/01/21,132
2567,08/02/21,141
2579,08/03/21,148
2591,08/04/21,150
2603,08/05/21,161
2615,08/06/21,165
2627,08/07/21,174
2639,08/08/21,181
2651,08/09/21,191
2663,08/10/21,198
2675,08/11/21,209
2687,08/12/21,216
2699,08/13/21,229
2711,08/14/21,235
2723,08/15/21,239
2735,08/16/21,243
2747,08/17/21,249
2759,08/18/21,251
2771,08/19/21,251
2783,08/20/21,248
2795,08/21/21,247
2807,08/22/21,251
2819,08/23/21,256
2831,08/24/21,254
2843,08/25/21,260
2855,08/26/21,269
2867,08/27/21,267
2879,08/28/21,265
2891,08/29/21,262
2903,08/30/21,256
2915,08/31/21,264
2927,09/01/21,262
2939,09/02/21,258
2951,09/03/21,257
2963,09/04/21,261
2975,09/05/21,259
2987,09/06/21,257
2999,09/07/21,257
3011,09/08/21,259
3023,09/09/21,254
3035,09/10/21,253
3047,09/11/21,246
3059,09/12/21,245
3071,09/13/21,244
3083,09/14/21,236
3095,09/15/21,223
3107,09/16/21,216
3119,09/17/21,214
3131,09/18/21,214
3143,09/19/21,214
3155,09/20/21,211
3167,09/21/21,207
3179,09/22/21,205
3191,09/23/21,208
3203,09/24/21,204
3215,09/25/21,199
3227,09/26/21,194
3239,09/27/21,197
3251,09/28/21,192
3263,09/29/21,189
3275,09/30/21,185
3287,10/01/21,183
3299,10/02/21,179
3311,10/03/21,174
3323,10/04/21,163
3335,10/05/21,163
3347,10/06/21,166
3359,10/07/21,165
3371,10/08/21,162
3383,10/09/21,164
3395,10/10/21,164
3407,10/11/21,164
3419,10/12/21,161
3431,10/13/21,156
3443,10/14/21,152
3455,10/15/21,150
3467,10/16/21,146
3479,10/17/21,144
3491,10/18/21,141
3503,10/19/21,138
3515,10/20/21,135
3527,10/21/21,129
3539,10/22/21,126
3551,10/23/21,126
3563,10/24/21,123
3575,10/25/21,121
3587,10/26/21,121
3599,10/27/21,122
3611,10/28/21,126
3623,10/29/21,126
3635,10/30/21,127
3647,10/31/21,130
3659,11/01/21,130
3671,11/02/21,135
3683,11/03/21,135
3695,11/04/21,134
3707,11/05/21,140
3719,11/06/21,145
3731,11/07/21,147
3743,11/08/21,157
3755,11/09/21,158
3767,11/10/21,166
3779,11/11/21,175
3791,11/12/21,177
3803,11/13/21,182
3815,11/14/21,189
3827,11/15/21,192
3839,11/16/21,200
3851,11/17/21,205
3863,11/18/21,204
3875,11/19/21,209
3887,11/20/21,214
3899,11/21/21,222
3911,11/22/21,231
3923,11/23/21,239
3935,11/24/21,246
3947,11/25/21,250
3959,11/26/21,268
3971,11/27/21,277
3983,11/28/21,283
3995,11/29/21,289
4007,11/30/21,296
4019,12/01/21,311
4031,12/02/21,333
4043,12/03/21,336
4055,12/04/21,350
4067,12/05/21,367
4079,12/06/21,388
4091,12/07/21,400
4103,12/08/21,405
4110,12/09/21,419
4121,12/10/21,436
4133,12/11/21,445
4145,12/12/21,447
4157,12/13/21,448
4169,12/14/21,456
4181,12/15/21,472
4193,12/16/21,478
4205,12/17/21,482
4216,12/18/21,480
4228,12/19/21,483
4240,12/20/21,499
4252,12/21/21,512
4264,12/22/21,522
4276,12/23/21,533
4288,12/24/21,549
4300,12/25/21,573
4312,12/26/21,602
4324,12/27/21,630
4336,12/28/21,665
4348,12/29/21,701
4360,12/30/21,741
4372,12/31/21,759
4384,01/01/22,781
4396,01/02/22,797
4408,01/03/22,820
4420,01/04/22,837
4432,01/05/22,846
4444,01/06/22,845
4456,01/07/22,858
4468,01/08/22,864
4480,01/09/22,852
4492,01/10/22,835
4504,01/11/22,827
4516,01/12/22,811
4528,01/13/22,798
4540,01/14/22,779
4552,01/15/22,751
4564,01/16/22,730
4576,01/17/22,702
4588,01/18/22,671
4600,01/19/22,636
4612,01/20/22,599
4624,01/21/22,569
4636,01/22/22,544
4648,01/23/22,514
4660,01/24/22,499
4672,01/25/22,465
4684,01/26/22,440
4696,01/27/22,417
4708,01/28/22,396
4720,01/29/22,381
4732,01/30/22,363
4744,01/31/22,336
