,date,hospitalized
0,04/12/20,4138
1,04/13/20,4283
2,04/14/20,4418
3,04/15/20,4423
4,04/16/20,4515
5,04/17/20,4372
6,04/18/20,4314
7,04/19/20,4600
8,04/20/20,4776
9,04/21/20,4690
10,04/22/20,4880
11,04/23/20,4829
12,04/24/20,4720
13,04/25/20,4625
14,04/26/20,4672
15,04/27/20,4738
16,04/28/20,5037
17,04/29/20,4954
18,04/30/20,4906
19,05/01/20,4719
20,05/02/20,4707
21,05/03/20,4651
22,05/04/20,4781
23,05/05/20,4832
24,05/06/20,4868
25,05/07/20,4777
26,05/08/20,4768
27,05/09/20,4483
28,05/10/20,4533
29,05/11/20,4626
30,05/12/20,4568
31,05/13/20,4474
32,05/14/20,4373
33,05/15/20,4310
34,05/16/20,4362
35,05/17/20,4259
36,05/18/20,4238
37,05/19/20,4152
38,05/20/20,4112
39,05/21/20,3967
40,05/22/20,3793
41,05/23/20,3727
42,05/24/20,3799
43,05/25/20,3821
44,05/26/20,3850
45,05/27/20,3649
46,05/28/20,3599
47,05/29/20,3337
48,05/30/20,3301
49,05/31/20,3224
50,06/01/20,3274
51,06/02/20,3173
52,06/03/20,3044
53,06/04/20,2911
54,06/05/20,2702
55,06/06/20,2552
56,06/07/20,2543
57,06/08/20,2600
58,06/09/20,2459
59,06/10/20,2367
60,06/11/20,2209
61,06/12/20,2117
62,06/13/20,1914
63,06/14/20,1961
64,06/15/20,1939
65,06/16/20,1893
66,06/17/20,1880
67,06/18/20,1852
68,06/19/20,1699
69,06/20/20,1648
70,06/21/20,1630
71,06/22/20,1649
72,06/23/20,1614
73,06/24/20,1626
74,06/25/20,1516
75,06/26/20,1498
76,06/27/20,1464
77,06/28/20,1501
78,06/29/20,1560
79,06/30/20,1511
80,07/01/20,1651
81,07/02/20,1349
82,07/03/20,1346
83,07/04/20,1326
84,07/05/20,1395
85,07/06/20,1385
86,07/07/20,1518
87,07/08/20,1507
88,07/09/20,1436
89,07/10/20,1398
90,07/11/20,1342
91,07/12/20,1362
92,07/13/20,1416
93,07/14/20,1454
94,07/15/20,1434
95,07/16/20,1431
96,07/17/20,1360
97,07/18/20,1356
98,07/19/20,1410
99,07/20/20,1466
100,07/21/20,1456
101,07/22/20,1473
102,07/23/20,1471
103,07/24/20,1438
104,07/25/20,1394
105,07/26/20,1417
106,07/27/20,1383
107,07/28/20,1491
108,07/29/20,1452
109,07/30/20,1369
110,07/31/20,1347
111,08/01/20,1407
112,08/02/20,1418
113,08/03/20,1496
114,08/04/20,1552
115,08/05/20,1517
116,08/06/20,1486
117,08/07/20,1538
118,08/08/20,1488
119,08/09/20,1481
120,08/10/20,1459
121,08/11/20,1525
122,08/12/20,1628
123,08/13/20,1612
124,08/14/20,1538
125,08/15/20,1581
126,08/16/20,1544
127,08/17/20,1510
128,08/18/20,1519
129,08/19/20,1519
130,08/20/20,1526
131,08/21/20,1488
132,08/22/20,1449
133,08/23/20,1529
134,08/24/20,1549
135,08/25/20,1573
136,08/26/20,1631
137,08/27/20,1546
138,08/28/20,1563
139,08/29/20,1472
140,08/30/20,1492
141,08/31/20,1513
142,09/01/20,1596
143,09/02/20,1620
144,09/03/20,1621
145,09/04/20,1550
146,09/05/20,1504
147,09/06/20,1484
148,09/07/20,1504
149,09/08/20,1580
150,09/09/20,1609
151,09/10/20,1619
152,09/11/20,1509
153,09/12/20,1422
154,09/13/20,1431
155,09/14/20,1584
156,09/15/20,1565
157,09/16/20,1558
158,09/17/20,1481
159,09/18/20,1469
160,09/19/20,1417
161,09/20/20,1436
162,09/21/20,1455
163,09/22/20,1563
164,09/23/20,1713
165,09/24/20,1637
166,09/25/20,1597
167,09/26/20,1486
168,09/27/20,1491
169,09/28/20,1535
170,09/29/20,1632
171,09/30/20,1635
172,10/01/20,1678
173,10/02/20,1535
174,10/03/20,1521
175,10/04/20,1631
176,10/05/20,1673
177,10/06/20,1679
178,10/07/20,1755
179,10/08/20,1812
180,10/09/20,1807
181,10/10/20,1776
182,10/11/20,1764
183,10/12/20,1848
184,10/13/20,1974
185,10/14/20,1932
186,10/15/20,2016
187,10/16/20,2073
188,10/17/20,2012
189,10/18/20,2096
190,10/19/20,2261
191,10/20/20,2338
192,10/21/20,2463
193,10/22/20,2498
194,10/23/20,2616
195,10/24/20,2605
196,10/25/20,2638
197,10/26/20,2758
198,10/27/20,2861
199,10/28/20,3030
200,10/29/20,3092
201,10/30/20,3228
202,10/31/20,3294
203,11/01/20,3371
204,11/02/20,3594
205,11/03/20,3761
206,11/04/20,3891
207,11/05/20,4090
208,11/06/20,4250
209,11/07/20,4303
210,11/08/20,4409
211,11/09/20,4742
212,11/10/20,5042
213,11/11/20,5258
214,11/12/20,5362
215,11/13/20,5415
216,11/14/20,5474
217,11/15/20,5581
218,11/16/20,5887
219,11/17/20,5953
220,11/18/20,6037
221,11/19/20,6111
222,11/20/20,6175
223,11/21/20,6072
224,11/22/20,6171
225,11/23/20,6134
226,11/24/20,6133
227,11/25/20,6032
228,11/26/20,5829
229,11/27/20,5775
230,11/28/20,5858
231,11/29/20,5849
232,11/30/20,5835
233,12/01/20,5764
234,12/02/20,5653
235,12/03/20,5453
236,12/04/20,5331
237,12/05/20,5160
238,12/06/20,5190
239,12/07/20,5199
240,12/08/20,5284
241,12/09/20,5138
242,12/10/20,5141
243,12/11/20,5048
244,12/12/20,5073
245,12/13/20,4951
246,12/14/20,4965
247,12/15/20,4793
248,12/16/20,4804
249,12/17/20,4690
250,12/18/20,4624
251,12/19/20,4389
252,12/20/20,4460
253,12/21/20,4571
254,12/22/20,4593
255,12/23/20,4488
256,12/24/20,4352
257,12/25/20,4021
258,12/26/20,4083
259,12/27/20,4243
260,12/28/20,4313
261,12/29/20,4244
262,12/30/20,4093
263,12/31/20,3992
264,01/01/21,3799
265,01/02/21,3817
266,01/03/21,3948
267,01/04/21,3905
268,01/05/21,3928
269,01/06/21,3921
270,01/07/21,3777
271,01/08/21,3589
272,01/09/21,3527
273,01/10/21,3540
274,01/11/21,3553
275,01/12/21,3642
276,01/13/21,3511
277,01/14/21,3446
278,01/15/21,3406
279,01/16/21,3408
280,01/17/21,3345
281,01/18/21,3335
282,01/19/21,3284
283,01/20/21,3281
284,01/21/21,3179
285,01/22/21,3121
286,01/23/21,2994
287,01/24/21,2962
288,01/25/21,3001
289,01/26/21,2931
290,01/27/21,2802
291,01/28/21,2735
292,01/29/21,2600
293,01/30/21,2467
294,01/31/21,2387
295,02/01/21,2447
296,02/02/21,2469
297,02/03/21,2341
298,02/04/21,2318
299,02/05/21,2271
300,02/06/21,2188
301,02/07/21,2161
302,02/08/21,2117
303,02/09/21,2082
304,02/10/21,1954
305,02/11/21,1910
306,02/12/21,1892
307,02/13/21,1777
308,02/14/21,1789
309,02/15/21,1726
310,02/16/21,1719
311,02/17/21,1655
312,02/18/21,1596
313,02/19/21,1551
314,02/20/21,1468
315,02/21/21,1504
316,02/22/21,1488
317,02/23/21,1511
318,02/24/21,1463
319,02/25/21,1393
320,02/26/21,1353
321,02/27/21,1265
322,02/28/21,1288
323,03/01/21,1231
324,03/02/21,1260
325,03/03/21,1200
326,03/04/21,1166
327,03/05/21,1210
328,03/06/21,1141
329,03/07/21,1178
330,03/08/21,1177
331,03/09/21,1157
332,03/10/21,1118
333,03/11/21,1128
334,03/12/21,1082
335,03/13/21,1141
336,03/14/21,1112
337,03/15/21,1152
338,03/16/21,1143
339,03/17/21,1120
340,03/18/21,1132
341,03/19/21,1179
342,03/20/21,1132
343,03/21/21,1182
344,03/22/21,1270
345,03/23/21,1261
346,03/24/21,1251
347,03/25/21,1302
348,03/26/21,1335
349,03/27/21,1337
350,03/28/21,1352
351,03/29/21,1396
352,03/30/21,1413
353,03/31/21,1411
354,04/01/21,1445
355,04/02/21,1426
356,04/03/21,1491
357,04/04/21,1581
358,04/05/21,1648
359,04/06/21,1710
360,04/07/21,1798
361,04/08/21,1808
362,04/09/21,1831
363,04/10/21,1834
364,04/11/21,1998
365,04/12/21,2028
366,04/13/21,2076
367,04/14/21,2043
368,04/15/21,2058
369,04/16/21,2160
370,04/17/21,2127
371,04/18/21,2218
372,04/19/21,2288
373,04/20/21,2191
374,04/21/21,2147
375,04/22/21,2112
376,04/23/21,2048
377,04/24/21,2032
378,04/25/21,2083
379,04/26/21,2180
380,04/27/21,2154
381,04/28/21,2115
382,04/29/21,2024
383,04/30/21,2000
384,05/01/21,1916
385,05/02/21,1963
386,05/03/21,2074
387,05/04/21,2060
388,05/05/21,2055
389,05/06/21,1977
390,05/07/21,1947
391,05/08/21,1870
392,05/09/21,1906
393,05/10/21,1930
394,05/11/21,1899
395,05/12/21,1765
396,05/13/21,1708
397,05/14/21,1581
398,05/15/21,1581
399,05/16/21,1512
400,05/17/21,1503
401,05/18/21,1518
402,05/19/21,1488
403,05/20/21,1426
404,05/21/21,1401
405,05/22/21,1417
406,05/23/21,1393
407,05/24/21,1419
408,05/25/21,1395
409,05/26/21,1316
410,05/27/21,1216
411,05/28/21,1164
412,05/29/21,1078
413,05/30/21,1093
414,05/31/21,1031
415,06/01/21,1013
416,06/02/21,997
417,06/03/21,901
418,06/04/21,882
419,06/05/21,792
420,06/06/21,788
421,06/07/21,791
422,06/08/21,797
423,06/09/21,764
424,06/10/21,707
425,06/11/21,684
426,06/12/21,625
427,06/13/21,627
428,06/14/21,638
429,06/15/21,599
430,06/16/21,524
431,06/17/21,492
432,06/18/21,496
433,06/19/21,433
