,date,hospitalized
0,04/12/20,1159
1,04/13/20,1189
2,04/14/20,1185
3,04/15/20,1248
4,04/16/20,1196
5,04/17/20,1192
6,04/18/20,1196
7,04/19/20,1239
8,04/20/20,1226
9,04/21/20,1220
10,04/22/20,1268
11,04/23/20,1225
12,04/24/20,1244
13,04/25/20,1267
14,04/26/20,1249
15,04/27/20,1245
16,04/28/20,1290
17,04/29/20,1289
18,04/30/20,1263
19,05/01/20,1250
20,05/02/20,1232
21,05/03/20,1232
22,05/04/20,1266
23,05/05/20,1231
24,05/06/20,1253
25,05/07/20,1249
26,05/08/20,1220
27,05/09/20,1244
28,05/10/20,1263
29,05/11/20,1215
30,05/12/20,1208
31,05/13/20,1132
32,05/14/20,1129
33,05/15/20,1135
34,05/16/20,1179
35,05/17/20,1122
36,05/18/20,1082
37,05/19/20,1094
38,05/20/20,1089
39,05/21/20,1081
40,05/22/20,1027
41,05/23/20,1007
42,05/24/20,1025
43,05/25/20,1035
44,05/26/20,1031
45,05/27/20,1009
46,05/28/20,980
47,05/29/20,925
48,05/30/20,941
49,05/31/20,902
50,06/01/20,874
51,06/02/20,844
52,06/03/20,853
53,06/04/20,817
54,06/05/20,770
55,06/06/20,720
56,06/07/20,713
57,06/08/20,726
58,06/09/20,706
59,06/10/20,638
60,06/11/20,648
61,06/12/20,610
62,06/13/20,562
63,06/14/20,569
64,06/15/20,561
65,06/16/20,563
66,06/17/20,538
67,06/18/20,512
68,06/19/20,454
69,06/20/20,422
70,06/21/20,419
71,06/22/20,424
72,06/23/20,389
73,06/24/20,399
74,06/25/20,400
75,06/26/20,379
76,06/27/20,373
77,06/28/20,372
78,06/29/20,401
79,06/30/20,384
80,07/01/20,349
81,07/02/20,334
82,07/03/20,336
83,07/04/20,304
84,07/05/20,321
85,07/06/20,320
86,07/07/20,331
87,07/08/20,317
88,07/09/20,306
89,07/10/20,321
90,07/11/20,311
91,07/12/20,334
92,07/13/20,333
93,07/14/20,324
94,07/15/20,311
95,07/16/20,309
96,07/17/20,326
97,07/18/20,320
98,07/19/20,308
99,07/20/20,320
100,07/21/20,337
101,07/22/20,309
102,07/23/20,325
103,07/24/20,341
104,07/25/20,345
105,07/26/20,350
106,07/27/20,329
107,07/28/20,355
108,07/29/20,353
109,07/30/20,346
110,07/31/20,334
111,08/01/20,339
112,08/02/20,347
113,08/03/20,365
114,08/04/20,368
115,08/05/20,346
116,08/06/20,333
117,08/07/20,338
118,08/08/20,322
119,08/09/20,352
120,08/10/20,336
121,08/11/20,357
122,08/12/20,383
123,08/13/20,345
124,08/14/20,330
125,08/15/20,345
126,08/16/20,340
127,08/17/20,335
128,08/18/20,334
129,08/19/20,357
130,08/20/20,351
131,08/21/20,322
132,08/22/20,339
133,08/23/20,334
134,08/24/20,345
135,08/25/20,350
136,08/26/20,390
137,08/27/20,352
138,08/28/20,349
139,08/29/20,328
140,08/30/20,347
141,08/31/20,362
142,09/01/20,347
143,09/02/20,360
144,09/03/20,360
145,09/04/20,363
146,09/05/20,356
147,09/06/20,352
148,09/07/20,343
149,09/08/20,357
150,09/09/20,346
151,09/10/20,359
152,09/11/20,344
153,09/12/20,328
154,09/13/20,335
155,09/14/20,373
156,09/15/20,345
157,09/16/20,359
158,09/17/20,329
159,09/18/20,326
160,09/19/20,357
161,09/20/20,364
162,09/21/20,367
163,09/22/20,351
164,09/23/20,400
165,09/24/20,371
166,09/25/20,355
167,09/26/20,350
168,09/27/20,346
169,09/28/20,363
170,09/29/20,378
171,09/30/20,359
172,10/01/20,373
173,10/02/20,361
174,10/03/20,384
175,10/04/20,382
176,10/05/20,384
177,10/06/20,372
178,10/07/20,392
179,10/08/20,395
180,10/09/20,406
181,10/10/20,388
182,10/11/20,377
183,10/12/20,406
184,10/13/20,390
185,10/14/20,388
186,10/15/20,410
187,10/16/20,422
188,10/17/20,408
189,10/18/20,485
190,10/19/20,489
191,10/20/20,502
192,10/21/20,525
193,10/22/20,511
194,10/23/20,560
195,10/24/20,565
196,10/25/20,589
197,10/26/20,595
198,10/27/20,600
199,10/28/20,643
200,10/29/20,673
201,10/30/20,680
202,10/31/20,692
203,11/01/20,722
204,11/02/20,755
205,11/03/20,776
206,11/04/20,772
207,11/05/20,786
208,11/06/20,813
209,11/07/20,833
210,11/08/20,857
211,11/09/20,911
212,11/10/20,951
213,11/11/20,956
214,11/12/20,990
215,11/13/20,1018
216,11/14/20,1045
217,11/15/20,1144
218,11/16/20,1158
219,11/17/20,1146
220,11/18/20,1192
221,11/19/20,1196
222,11/20/20,1173
223,11/21/20,1179
224,11/22/20,1206
225,11/23/20,1203
226,11/24/20,1208
227,11/25/20,1224
228,11/26/20,1215
229,11/27/20,1211
230,11/28/20,1185
231,11/29/20,1217
232,11/30/20,1195
233,12/01/20,1190
234,12/02/20,1170
235,12/03/20,1153
236,12/04/20,1134
237,12/05/20,1103
238,12/06/20,1123
239,12/07/20,1071
240,12/08/20,1176
241,12/09/20,1081
242,12/10/20,1081
243,12/11/20,1072
244,12/12/20,1080
245,12/13/20,1070
246,12/14/20,1057
247,12/15/20,1045
248,12/16/20,1063
249,12/17/20,1023
250,12/18/20,1000
251,12/19/20,991
252,12/20/20,981
253,12/21/20,981
254,12/22/20,953
255,12/23/20,944
256,12/24/20,928
257,12/25/20,874
258,12/26/20,905
259,12/27/20,884
260,12/28/20,904
261,12/29/20,882
262,12/30/20,837
263,12/31/20,808
264,01/01/21,783
265,01/02/21,798
266,01/03/21,816
267,01/04/21,800
268,01/05/21,812
269,01/06/21,783
270,01/07/21,780
271,01/08/21,742
272,01/09/21,740
273,01/10/21,759
274,01/11/21,757
275,01/12/21,749
276,01/13/21,742
