,date,hospitalized
0,01/01/21,783
1,01/02/21,798
2,01/03/21,816
3,01/04/21,800
4,01/05/21,812
5,01/06/21,783
6,01/07/21,780
7,01/08/21,742
8,01/09/21,740
9,01/10/21,759
10,01/11/21,757
11,01/12/21,749
12,01/13/21,742
13,01/14/21,712
14,01/15/21,711
15,01/16/21,720
16,01/17/21,705
17,01/18/21,713
18,01/19/21,722
19,01/20/21,662
20,01/21/21,661
21,01/22/21,644
22,01/23/21,617
23,01/24/21,601
24,01/25/21,608
25,01/26/21,591
26,01/27/21,567
27,01/28/21,532
28,01/29/21,522
29,01/30/21,538
30,01/31/21,515
31,02/01/21,533
32,02/02/21,520
33,02/03/21,513
34,02/04/21,491
35,02/05/21,485
36,02/06/21,507
37,02/07/21,469
38,02/08/21,497
39,02/09/21,464
40,02/10/21,448
41,02/11/21,437
42,02/12/21,425
43,02/13/21,373
44,02/14/21,389
45,02/15/21,385
46,02/16/21,375
47,02/17/21,386
48,02/18/21,366
49,02/19/21,351
50,02/20/21,356
51,02/21/21,377
52,02/22/21,361
53,02/23/21,338
54,02/24/21,334
55,02/25/21,336
56,02/26/21,312
57,02/27/21,303
58,02/28/21,308
59,03/01/21,281
60,03/02/21,275
61,03/03/21,260
62,03/04/21,263
63,03/05/21,261
64,03/06/21,255
65,03/07/21,266
66,03/08/21,263
67,03/09/21,242
68,03/10/21,231
69,03/11/21,240
70,03/12/21,235
71,03/13/21,238
72,03/14/21,227
73,03/15/21,250
74,03/16/21,259
75,03/17/21,252
76,03/18/21,242
77,03/19/21,228
78,03/20/21,236
79,03/21/21,233
80,03/22/21,272
81,03/23/21,269
82,03/24/21,267
83,03/25/21,264
84,03/26/21,264
85,03/27/21,269
86,03/28/21,280
87,03/29/21,308
88,03/30/21,294
89,03/31/21,304
90,04/01/21,314
91,04/02/21,325
92,04/03/21,336
93,04/04/21,358
94,04/05/21,357
95,04/06/21,353
96,04/07/21,351
97,04/08/21,369
98,04/09/21,381
99,04/10/21,409
100,04/11/21,418
101,04/12/21,466
102,04/13/21,453
103,04/14/21,468
104,04/15/21,468
105,04/16/21,496
106,04/17/21,510
107,04/18/21,491
108,04/19/21,522
109,04/20/21,521
110,04/21/21,511
111,04/22/21,506
112,04/23/21,462
113,04/24/21,477
114,04/25/21,506
115,04/26/21,502
116,04/27/21,502
117,04/28/21,475
118,04/29/21,475
119,04/30/21,473
120,05/01/21,472
121,05/02/21,479
122,05/03/21,493
123,05/04/21,496
124,05/05/21,483
125,05/06/21,464
126,05/07/21,466
127,05/08/21,452
128,05/09/21,473
129,05/10/21,489
130,05/11/21,466
131,05/12/21,465
132,05/13/21,425
133,05/14/21,409
134,05/15/21,404
135,05/16/21,398
136,05/17/21,407
137,05/18/21,405
138,05/19/21,404
139,05/20/21,360
140,05/21/21,347
141,05/22/21,343
142,05/23/21,334
143,05/24/21,350
144,05/25/21,351
145,05/26/21,339
146,05/27/21,314
147,05/28/21,313
148,05/29/21,298
149,05/30/21,294
150,05/31/21,284
151,06/01/21,278
152,06/02/21,273
153,06/03/21,247
154,06/04/21,232
155,06/05/21,212
156,06/06/21,217
157,06/07/21,226
158,06/08/21,209
159,06/09/21,209
160,06/10/21,185
161,06/11/21,186
162,06/12/21,180
163,06/13/21,176
164,06/14/21,157
165,06/15/21,156
166,06/16/21,138
167,06/17/21,123
168,06/18/21,130
169,06/19/21,120
170,06/20/21,114
171,06/21/21,117
172,06/22/21,114
173,06/23/21,107
174,06/24/21,99
175,06/25/21,120
176,06/26/21,122
177,06/27/21,108
178,06/28/21,103
179,06/29/21,103
180,06/30/21,84
181,07/01/21,97
182,07/02/21,84
183,07/03/21,78
184,07/04/21,77
185,07/05/21,98
186,07/06/21,101
187,07/07/21,76
188,07/08/21,91
189,07/09/21,89
190,07/10/21,91
191,07/11/21,84
192,07/12/21,108
193,07/13/21,88
194,07/14/21,110
195,07/15/21,94
196,07/16/21,93
197,07/17/21,99
198,07/18/21,107
199,07/19/21,116
200,07/20/21,118
201,07/21/21,119
202,07/22/21,135
203,07/23/21,153
204,07/24/21,159
205,07/25/21,152
206,07/26/21,169
207,07/27/21,184
208,07/28/21,179
209,07/29/21,167
210,07/30/21,172
211,07/31/21,199
212,08/01/21,212
213,08/02/21,243
214,08/03/21,246
215,08/04/21,244
216,08/05/21,246
217,08/06/21,261
218,08/07/21,266
219,08/08/21,282
220,08/09/21,300
221,08/10/21,311
222,08/11/21,324
223,08/12/21,345
224,08/13/21,379
225,08/14/21,395
226,08/15/21,423
227,08/16/21,446
228,08/17/21,437
229,08/18/21,449
230,08/19/21,468
231,08/20/21,442
232,08/21/21,464
233,08/22/21,487
234,08/23/21,525
235,08/24/21,515
236,08/25/21,489
237,08/26/21,500
238,08/27/21,507
239,08/28/21,510
240,08/29/21,517
241,08/30/21,537
242,08/31/21,512
243,09/01/21,527
244,09/02/21,551
245,09/03/21,554
246,09/04/21,532
247,09/05/21,550
248,09/06/21,551
249,09/07/21,565
250,09/08/21,552
251,09/09/21,549
252,09/10/21,533
253,09/11/21,545
254,09/12/21,554
255,09/13/21,547
256,09/14/21,537
257,09/15/21,519
258,09/16/21,502
259,09/17/21,488
260,09/18/21,452
261,09/19/21,463
262,09/20/21,497
263,09/21/21,494
264,09/22/21,493
265,09/23/21,474
266,09/24/21,446
267,09/25/21,451
268,09/26/21,461
269,09/27/21,455
270,09/28/21,451
271,09/29/21,453
272,09/30/21,447
273,10/01/21,420
274,10/02/21,401
275,10/03/21,412
276,10/04/21,408
277,10/05/21,425
278,10/06/21,409
279,10/07/21,412
280,10/08/21,396
281,10/09/21,378
282,10/10/21,400
283,10/11/21,394
284,10/12/21,365
285,10/13/21,357
286,10/14/21,341
287,10/15/21,327
288,10/16/21,327
289,10/17/21,338
290,10/18/21,332
291,10/19/21,350
292,10/20/21,330
293,10/21/21,323
294,10/22/21,333
295,10/23/21,332
296,10/24/21,348
297,10/25/21,326
298,10/26/21,300
299,10/27/21,289
300,10/28/21,281
301,10/29/21,301
302,10/30/21,321
303,10/31/21,298
304,11/01/21,294
305,11/02/21,282
306,11/03/21,278
307,11/04/21,282
308,11/05/21,309
309,11/06/21,310
310,11/07/21,298
311,11/08/21,297
312,11/09/21,317
313,11/10/21,313
314,11/11/21,307
315,11/12/21,337
316,11/13/21,301
317,11/14/21,323
318,11/15/21,325
319,11/16/21,325
320,11/17/21,329
321,11/18/21,350
322,11/19/21,350
323,11/20/21,355
324,11/21/21,341
325,11/22/21,365
326,11/23/21,384
327,11/24/21,373
328,11/25/21,381
329,11/26/21,411
330,11/27/21,420
331,11/28/21,446
332,11/29/21,457
333,11/30/21,470
334,12/01/21,505
335,12/02/21,534
336,12/03/21,554
337,12/04/21,541
338,12/05/21,579
339,12/06/21,610
