,date,hospitalized
0,03/21/20,0.0
1,03/22/20,0.0
2,03/23/20,0.0
3,03/24/20,0.0
4,03/25/20,0.0
5,03/26/20,0.0
6,03/27/20,0.0
7,03/28/20,0.0
8,03/29/20,0.0
9,03/30/20,0.0
10,03/31/20,0.0
11,04/01/20,0.0
12,04/02/20,0.0
13,04/03/20,0.0
14,04/04/20,0.0
15,04/05/20,0.0
16,04/06/20,0.0
17,04/07/20,1158.0
18,04/08/20,1189.0
19,04/09/20,1200.0
20,04/10/20,1172.0
21,04/11/20,1204.0
22,04/12/20,1159.0
23,04/13/20,1189.0
24,04/14/20,1185.0
25,04/15/20,1248.0
26,04/16/20,1196.0
27,04/17/20,1192.0
28,04/18/20,1196.0
29,04/19/20,1239.0
30,04/20/20,1226.0
31,04/21/20,1220.0
32,04/22/20,1268.0
33,04/23/20,1225.0
34,04/24/20,1244.0
35,04/25/20,1267.0
36,04/26/20,1249.0
37,04/27/20,1245.0
38,04/28/20,1290.0
39,04/29/20,1289.0
40,04/30/20,1263.0
41,05/01/20,1250.0
42,05/02/20,1232.0
43,05/03/20,1232.0
44,05/04/20,1266.0
45,05/05/20,1231.0
46,05/06/20,1253.0
47,05/07/20,1222.0
48,05/08/20,1215.0
49,05/09/20,1232.0
50,05/10/20,1248.0
51,05/11/20,1215.0
52,05/12/20,1208.0
53,05/13/20,1132.0
54,05/14/20,1129.0
55,05/15/20,1135.0
56,05/16/20,1144.0
57,05/17/20,1096.0
58,05/18/20,993.0
59,05/19/20,1005.0
60,05/20/20,1088.0
61,05/21/20,1060.0
62,05/22/20,1027.0
63,05/23/20,1007.0
64,05/24/20,1025.0
65,05/25/20,1035.0
66,05/26/20,1031.0
67,05/27/20,1009.0
68,05/28/20,980.0
69,05/29/20,925.0
70,05/30/20,941.0
71,05/31/20,902.0
72,06/01/20,874.0
73,06/02/20,844.0
74,06/03/20,853.0
75,06/04/20,817.0
76,06/05/20,770.0
77,06/06/20,720.0
78,06/07/20,713.0
79,06/08/20,726.0
80,06/09/20,706.0
81,06/10/20,638.0
82,06/11/20,648.0
83,06/12/20,610.0
84,06/13/20,562.0
85,06/14/20,569.0
86,06/15/20,561.0
87,06/16/20,563.0
88,06/17/20,538.0
89,06/18/20,512.0
90,06/19/20,454.0
91,06/20/20,422.0
92,06/21/20,419.0
93,06/22/20,424.0
94,06/23/20,389.0
95,06/24/20,399.0
96,06/25/20,400.0
97,06/26/20,379.0
98,06/27/20,373.0
99,06/28/20,372.0
100,06/29/20,401.0
101,06/30/20,384.0
102,07/01/20,349.0
103,07/02/20,334.0
104,07/03/20,336.0
105,07/04/20,304.0
106,07/05/20,321.0
107,07/06/20,320.0
108,07/07/20,331.0
