,date,cases,population,land_area
0,2020-01-02,2,103761,63589599
1,2020-01-03,3,119299,100843290
2,2020-01-05,2,58481,27893334
3,2020-01-06,2,31070,11297783
4,2020-01-07,1,91326,19235615
5,2020-01-08,1,84573,19848453
6,2020-01-20,1,74298,18422020
7,2020-01-21,1,43735,115254887
8,2020-01-27,1,43125,12236667
9,2020-01-28,1,19777,9375542
10,2020-02-04,1,27858,88878409
11,2020-02-17,3,116191,122892465
12,2020-02-18,1,71663,10468217
13,2020-02-21,1,50955,42961291
14,2020-02-22,1,72202,28281273
15,2020-02-23,1,38585,35545352
16,2020-02-25,1,37633,24323149
17,2020-02-27,1,71714,38771835
18,2020-02-28,2,70044,57681207
19,2020-03-01,4,151039,290547403
20,2020-03-02,2,109582,33461021
21,2020-03-03,8,282516,389440297
22,2020-03-04,5,190157,95637746
23,2020-03-05,11,419143,177506300
24,2020-03-06,3,175571,65379960
25,2020-03-07,7,356774,114786349
26,2020-03-08,11,533007,348126929
27,2020-03-09,7,300486,236966753
28,2020-03-10,11,441846,354199767
29,2020-03-11,14,613211,640495831
30,2020-03-12,16,710123,384015120
31,2020-03-13,25,900287,635251698
32,2020-03-14,26,940041,592758685
33,2020-03-15,42,1504220,851259653
34,2020-03-16,46,1687052,1509752824
35,2020-03-17,50,1742375,932464953
36,2020-03-18,78,2531722,1905301353
37,2020-03-19,79,2222869,3012944936
38,2020-03-20,97,2953970,2763536730
39,2020-03-21,107,3100698,2912401171
40,2020-03-22,149,3787220,4060954190
41,2020-03-23,228,4787715,5115552509
42,2020-03-24,224,5013399,4657553902
43,2020-03-25,263,5381907,6524333197
44,2020-03-26,281,4990651,5146308804
45,2020-03-27,318,5291783,5516943216
46,2020-03-28,279,5454426,5364616259
47,2020-03-29,291,5213178,6207723851
48,2020-03-30,372,6160174,8054386647
49,2020-03-31,341,5964156,6774361063
50,2020-04-01,399,6430819,7405467805
51,2020-04-02,355,6151106,6812451599
52,2020-04-03,367,6046484,7966309880
53,2020-04-04,324,5843146,7107595136
54,2020-04-05,282,5592352,6288235498
55,2020-04-06,390,6026376,8128144748
56,2020-04-07,403,6611883,7363904721
57,2020-04-08,377,5963752,7810460280
58,2020-04-09,314,5587982,6239874820
59,2020-04-10,318,5542292,5530421205
60,2020-04-11,286,5538237,5035911858
61,2020-04-12,286,5217943,5971418675
62,2020-04-13,341,5629659,6669958626
63,2020-04-14,335,5523372,7272193246
64,2020-04-15,364,6517894,8904503208
65,2020-04-16,342,5882491,7028802546
66,2020-04-17,317,5625753,6071294518
67,2020-04-18,307,5846810,6318691584
68,2020-04-19,302,5653366,5612926387
69,2020-04-20,389,6288823,8414545087
70,2020-04-21,310,5561531,6540803449
71,2020-04-22,311,5290614,6457357693
72,2020-04-23,322,5914641,7382887607
73,2020-04-24,351,6001804,8028552743
74,2020-04-25,255,5221932,4736553295
75,2020-04-26,267,5114152,5864821421
76,2020-04-27,349,6168546,7642147343
77,2020-04-28,352,5855748,6211617170
78,2020-04-29,317,5725233,5800506525
79,2020-04-30,302,5498307,7063231290
80,2020-05-01,283,5792778,8622157590
81,2020-05-02,306,5179541,7384487338
82,2020-05-03,287,5129670,6030530433
83,2020-05-04,320,5889880,8432096728
84,2020-05-05,338,6447725,9619716605
85,2020-05-06,270,5445009,5574634916
86,2020-05-07,270,5538123,5797990210
87,2020-05-08,211,4977376,5872947940
88,2020-05-09,215,4912516,5362001772
89,2020-05-10,210,4889206,5330462583
90,2020-05-11,276,5518085,6763182826
91,2020-05-12,258,5000893,4201864203
