,date,hospitalized
0,03/21/20,0.0
1,03/22/20,0.0
2,03/23/20,0.0
3,03/24/20,0.0
4,03/25/20,0.0
5,03/26/20,0.0
6,03/27/20,0.0
7,03/28/20,0.0
8,03/29/20,0.0
9,03/30/20,0.0
10,03/31/20,0.0
11,04/01/20,0.0
12,04/02/20,0.0
13,04/03/20,0.0
14,04/04/20,0.0
15,04/05/20,0.0
16,04/06/20,0.0
17,04/07/20,3673.0
18,04/08/20,3912.0
19,04/09/20,3894.0
20,04/10/20,3791.0
21,04/11/20,3872.0
22,04/12/20,3875.0
23,04/13/20,4076.0
24,04/14/20,4207.0
25,04/15/20,4185.0
26,04/16/20,4262.0
27,04/17/20,4153.0
28,04/18/20,4135.0
29,04/19/20,4375.0
30,04/20/20,4570.0
31,04/21/20,4462.0
32,04/22/20,4644.0
33,04/23/20,4617.0
34,04/24/20,4494.0
35,04/25/20,4381.0
36,04/26/20,4483.0
37,04/27/20,4556.0
38,04/28/20,4824.0
39,04/29/20,4758.0
40,04/30/20,4717.0
41,05/01/20,4563.0
42,05/02/20,4560.0
43,05/03/20,4363.0
44,05/04/20,4620.0
45,05/05/20,4680.0
46,05/06/20,4702.0
47,05/07/20,4594.0
48,05/08/20,4564.0
49,05/09/20,4112.0
50,05/10/20,4127.0
51,05/11/20,4469.0
52,05/12/20,4406.0
53,05/13/20,4351.0
54,05/14/20,4227.0
55,05/15/20,4132.0
56,05/16/20,4006.0
57,05/17/20,3947.0
58,05/18/20,3845.0
59,05/19/20,3739.0
60,05/20/20,3938.0
61,05/21/20,3768.0
62,05/22/20,3608.0
63,05/23/20,3518.0
64,05/24/20,3598.0
65,05/25/20,3609.0
66,05/26/20,3668.0
67,05/27/20,3487.0
68,05/28/20,3445.0
69,05/29/20,3207.0
70,05/30/20,3144.0
71,05/31/20,3071.0
72,06/01/20,3087.0
73,06/02/20,3034.0
74,06/03/20,2889.0
75,06/04/20,2767.0
76,06/05/20,2585.0
77,06/06/20,2427.0
78,06/07/20,2359.0
79,06/08/20,2432.0
80,06/09/20,2327.0
81,06/10/20,2241.0
82,06/11/20,2092.0
83,06/12/20,2003.0
84,06/13/20,1801.0
85,06/14/20,1833.0
86,06/15/20,1799.0
87,06/16/20,1740.0
88,06/17/20,1740.0
89,06/18/20,1700.0
90,06/19/20,1584.0
91,06/20/20,1514.0
92,06/21/20,1501.0
93,06/22/20,1509.0
94,06/23/20,1496.0
95,06/24/20,1494.0
96,06/25/20,1391.0
97,06/26/20,1383.0
98,06/27/20,1359.0
99,06/28/20,1389.0
100,06/29/20,1422.0
101,06/30/20,1375.0
102,07/01/20,1547.0
103,07/02/20,1253.0
104,07/03/20,1241.0
