,date,hospitalized
0,03/21/20,0.0
1,03/22/20,0.0
2,03/23/20,0.0
3,03/24/20,0.0
4,03/25/20,0.0
5,03/26/20,0.0
6,03/27/20,0.0
7,03/28/20,0.0
8,03/29/20,0.0
9,03/30/20,0.0
10,03/31/20,0.0
11,04/01/20,0.0
12,04/02/20,0.0
13,04/03/20,0.0
14,04/04/20,0.0
15,04/05/20,0.0
16,04/06/20,0.0
17,04/07/20,3946.0
18,04/08/20,4175.0
19,04/09/20,4143.0
20,04/10/20,4020.0
21,04/11/20,4104.0
22,04/12/20,4091.0
23,04/13/20,4283.0
24,04/14/20,4417.0
25,04/15/20,4423.0
26,04/16/20,4454.0
27,04/17/20,4340.0
28,04/18/20,4314.0
29,04/19/20,4599.0
30,04/20/20,4776.0
31,04/21/20,4665.0
32,04/22/20,4877.0
33,04/23/20,4828.0
34,04/24/20,4699.0
35,04/25/20,4595.0
36,04/26/20,4672.0
37,04/27/20,4738.0
38,04/28/20,5036.0
39,04/29/20,4953.0
40,04/30/20,4900.0
41,05/01/20,4717.0
42,05/02/20,4701.0
43,05/03/20,4493.0
44,05/04/20,4780.0
45,05/05/20,4832.0
46,05/06/20,4862.0
47,05/07/20,4750.0
48,05/08/20,4739.0
49,05/09/20,4293.0
50,05/10/20,4319.0
51,05/11/20,4626.0
52,05/12/20,4563.0
53,05/13/20,4473.0
54,05/14/20,4367.0
55,05/15/20,4306.0
56,05/16/20,4190.0
57,05/17/20,4120.0
58,05/18/20,4002.0
59,05/19/20,3914.0
60,05/20/20,4107.0
61,05/21/20,3928.0
62,05/22/20,3753.0
63,05/23/20,3667.0
64,05/24/20,3763.0
65,05/25/20,3788.0
66,05/26/20,3826.0
67,05/27/20,3649.0
68,05/28/20,3599.0
69,05/29/20,3336.0
70,05/30/20,3296.0
71,05/31/20,3215.0
72,06/01/20,3238.0
73,06/02/20,3173.0
74,06/03/20,3044.0
75,06/04/20,2911.0
76,06/05/20,2702.0
77,06/06/20,2550.0
78,06/07/20,2496.0
79,06/08/20,2573.0
80,06/09/20,2458.0
81,06/10/20,2365.0
82,06/11/20,2209.0
83,06/12/20,2117.0
84,06/13/20,1914.0
85,06/14/20,1961.0
86,06/15/20,1939.0
87,06/16/20,1878.0
88,06/17/20,1878.0
89,06/18/20,1837.0
90,06/19/20,1696.0
91,06/20/20,1631.0
92,06/21/20,1628.0
93,06/22/20,1648.0
94,06/23/20,1614.0
95,06/24/20,1626.0
96,06/25/20,1516.0
97,06/26/20,1498.0
98,06/27/20,1464.0
99,06/28/20,1501.0
100,06/29/20,1560.0
101,06/30/20,1511.0
102,07/01/20,1651.0
103,07/02/20,1349.0
104,07/03/20,1346.0
