,date,hospitalized
0,06/13/20,2317.0
1,06/14/20,2232.0
2,06/15/20,2137.0
3,06/16/20,2055.0
4,06/17/20,1987.0
5,06/18/20,1935.0
6,06/19/20,1873.0
7,06/20/20,1834.0
8,06/21/20,1791.0
9,06/22/20,1752.0
10,06/23/20,1714.0
11,06/24/20,1679.0
12,06/25/20,1635.0
13,06/26/20,1607.0
14,06/27/20,1577.0
15,06/28/20,1556.0
16,06/29/20,1541.0
17,06/30/20,1524.0
18,07/01/20,1523.0
19,07/02/20,1500.0
20,07/03/20,1476.0
21,07/04/20,1457.0
22,07/05/20,1439.0
23,07/06/20,1415.0
24,07/07/20,1417.0
25,07/08/20,1394.0
26,07/09/20,1411.0
27,07/10/20,1417.0
28,07/11/20,1421.0
29,07/12/20,1417.0
30,07/13/20,1424.0
31,07/14/20,1418.0
32,07/15/20,1408.0
33,07/16/20,1404.0
34,07/17/20,1400.0
35,07/18/20,1399.0
36,07/19/20,1407.0
37,07/20/20,1415.0
38,07/21/20,1416.0
39,07/22/20,1418.0
40,07/23/20,1420.0
41,07/24/20,1430.0
42,07/25/20,1437.0
43,07/26/20,1436.0
44,07/27/20,1424.0
45,07/28/20,1427.0
46,07/29/20,1423.0
47,07/30/20,1414.0
48,07/31/20,1402.0
49,08/01/20,1402.0
50,08/02/20,1402.0
51,08/03/20,1420.0
52,08/04/20,1424.0
53,08/05/20,1433.0
54,08/06/20,1444.0
55,08/07/20,1467.0
56,08/08/20,1482.0
57,08/09/20,1489.0
58,08/10/20,1481.0
59,08/11/20,1478.0
60,08/12/20,1496.0
61,08/13/20,1511.0
62,08/14/20,1508.0
63,08/15/20,1517.0
64,08/16/20,1525.0
65,08/17/20,1530.0
66,08/18/20,1532.0
67,08/19/20,1518.0
68,08/20/20,1504.0
69,08/21/20,1499.0
70,08/22/20,1485.0
71,08/23/20,1486.0
72,08/24/20,1493.0
73,08/25/20,1502.0
74,08/26/20,1515.0
75,08/27/20,1518.0
76,08/28/20,1532.0
77,08/29/20,1537.0
78,08/30/20,1534.0
79,08/31/20,1527.0
80,09/01/20,1535.0
81,09/02/20,1532.0
82,09/03/20,1545.0
83,09/04/20,1543.0
84,09/05/20,1543.0
85,09/06/20,1541.0
86,09/07/20,1536.0
87,09/08/20,1538.0
88,09/09/20,1536.0
89,09/10/20,1537.0
90,09/11/20,1534.0
91,09/12/20,1525.0
92,09/13/20,1514.0
93,09/14/20,1522.0
94,09/15/20,1515.0
95,09/16/20,1507.0
96,09/17/20,1485.0
97,09/18/20,1478.0
98,09/19/20,1480.0
99,09/20/20,1480.0
100,09/21/20,1464.0
101,09/22/20,1461.0
102,09/23/20,1480.0
103,09/24/20,1499.0
104,09/25/20,1513.0
105,09/26/20,1524.0
106,09/27/20,1533.0
107,09/28/20,1547.0
108,09/29/20,1560.0
109,09/30/20,1550.0
110,10/01/20,1564.0
111,10/02/20,1558.0
112,10/03/20,1562.0
113,10/04/20,1584.0
114,10/05/20,1606.0
115,10/06/20,1615.0
116,10/07/20,1632.0
117,10/08/20,1650.0
118,10/09/20,1686.0
119,10/10/20,1721.0
120,10/11/20,1738.0
121,10/12/20,1761.0
122,10/13/20,1800.0
123,10/14/20,1827.0
124,10/15/20,1857.0
125,10/16/20,1894.0
126,10/17/20,1923.0
127,10/18/20,1966.0
128,10/19/20,2022.0
129,10/20/20,2066.0
130,10/21/20,2139.0
131,10/22/20,2203.0
132,10/23/20,2270.0
133,10/24/20,2350.0
134,10/25/20,2418.0
135,10/26/20,2482.0
136,10/27/20,2554.0
137,10/28/20,2628.0
138,10/29/20,2705.0
139,10/30/20,2791.0
140,10/31/20,2888.0
141,11/01/20,2991.0
142,11/02/20,3103.0
143,11/03/20,3232.0
144,11/04/20,3349.0
145,11/05/20,3488.0
146,11/06/20,3628.0
147,11/07/20,3763.0
148,11/08/20,3907.0
149,11/09/20,4063.0
150,11/10/20,4238.0
151,11/11/20,4427.0
152,11/12/20,4601.0
153,11/13/20,4760.0
154,11/14/20,4922.0
155,11/15/20,5086.0
156,11/16/20,5243.0
157,11/17/20,5373.0
158,11/18/20,5476.0
159,11/19/20,5584.0
160,11/20/20,5695.0
161,11/21/20,5781.0
162,11/22/20,5865.0
163,11/23/20,5904.0
164,11/24/20,5933.0
165,11/25/20,5935.0
166,11/26/20,5901.0
167,11/27/20,5844.0
168,11/28/20,5818.0
169,11/29/20,5771.0
170,11/30/20,5726.0
171,12/01/20,5675.0
172,12/02/20,5623.0
173,12/03/20,5570.0
174,12/04/20,5507.0
175,12/05/20,5412.0
176,12/06/20,5321.0
177,12/07/20,5239.0
178,12/08/20,5171.0
179,12/09/20,5099.0
180,12/10/20,5054.0
181,12/11/20,5014.0
182,12/12/20,4998.0
183,12/13/20,4966.0
184,12/14/20,4933.0
185,12/15/20,4868.0
186,12/16/20,4832.0
187,12/17/20,4773.0
188,12/18/20,4717.0
189,12/19/20,4624.0
190,12/20/20,4556.0
191,12/21/20,4500.0
192,12/22/20,4476.0
193,12/23/20,4431.0
194,12/24/20,4384.0
195,12/25/20,4304.0
196,12/26/20,4267.0
197,12/27/20,4242.0
198,12/28/20,4206.0
199,12/29/20,4153.0
200,12/30/20,4093.0
201,12/31/20,4044.0
202,01/01/21,4012.0
203,01/02/21,3972.0
204,01/03/21,3930.0
205,01/04/21,3869.0
206,01/05/21,3827.0
207,01/06/21,3802.0
208,01/07/21,3774.0
209,01/08/21,3744.0
210,01/09/21,3702.0
211,01/10/21,3646.0
212,01/11/21,3600.0
213,01/12/21,3560.0
214,01/13/21,3500.0
215,01/14/21,3452.0
216,01/15/21,3424.0
217,01/16/21,3410.0
218,01/17/21,3380.0
219,01/18/21,3349.0
220,01/19/21,3295.0
221,01/20/21,3266.0
222,01/21/21,3230.0
223,01/22/21,3193.0
224,01/23/21,3136.0
225,01/24/21,3087.0
226,01/25/21,3039.0
227,01/26/21,2990.0
228,01/27/21,2923.0
229,01/28/21,2860.0
230,01/29/21,2786.0
231,01/30/21,2712.0
232,01/31/21,2635.0
233,02/01/21,2564.0
234,02/02/21,2502.0
235,02/03/21,2440.0
236,02/04/21,2386.0
237,02/05/21,2340.0
238,02/06/21,2305.0
239,02/07/21,2275.0
240,02/08/21,2235.0
241,02/09/21,2185.0
242,02/10/21,2136.0
243,02/11/21,2084.0
244,02/12/21,2037.0
245,02/13/21,1980.0
246,02/14/21,1931.0
247,02/15/21,1877.0
248,02/16/21,1830.0
249,02/17/21,1791.0
250,02/18/21,1749.0
251,02/19/21,1706.0
252,02/20/21,1673.0
253,02/21/21,1634.0
254,02/22/21,1606.0
255,02/23/21,1580.0
256,02/24/21,1559.0
257,02/25/21,1532.0
258,02/26/21,1510.0
259,02/27/21,1479.0
260,02/28/21,1453.0
261,03/01/21,1416.0
262,03/02/21,1387.0
263,03/03/21,1351.0
264,03/04/21,1330.0
265,03/05/21,1312.0
266,03/06/21,1303.0
267,03/07/21,1289.0
268,03/08/21,1290.0
269,03/09/21,1276.0
270,03/10/21,1271.0
271,03/11/21,1269.0
272,03/12/21,1256.0
273,03/13/21,1256.0
274,03/14/21,1254.0
275,03/15/21,1251.0
276,03/16/21,1258.0
277,03/17/21,1255.0
278,03/18/21,1254.0
279,03/19/21,1268.0
280,03/20/21,1266.0
281,03/21/21,1276.0
282,03/22/21,1294.0
283,03/23/21,1310.0
284,03/24/21,1335.0
285,03/25/21,1358.0
286,03/26/21,1381.0
287,03/27/21,1410.0
288,03/28/21,1436.0
289,03/29/21,1455.0
290,03/30/21,1479.0
291,03/31/21,1500.0
292,04/01/21,1526.0
293,04/02/21,1538.0
294,04/03/21,1570.0
295,04/04/21,1602.0
296,04/05/21,1645.0
297,04/06/21,1686.0
298,04/07/21,1748.0
299,04/08/21,1800.0
300,04/09/21,1868.0
301,04/10/21,1915.0
302,04/11/21,1979.0
303,04/12/21,2028.0
304,04/13/21,2086.0
305,04/14/21,2121.0
306,04/15/21,2162.0
307,04/16/21,2204.0
308,04/17/21,2252.0
309,04/18/21,2283.0
310,04/19/21,2322.0
311,04/20/21,2339.0
312,04/21/21,2356.0
313,04/22/21,2362.0
314,04/23/21,2350.0
315,04/24/21,2339.0
316,04/25/21,2328.0
317,04/26/21,2314.0
318,04/27/21,2310.0
319,04/28/21,2305.0
320,04/29/21,2289.0
321,04/30/21,2282.0
322,05/01/21,2261.0
323,05/02/21,2245.0
324,05/03/21,2229.0
325,05/04/21,2216.0
326,05/05/21,2201.0
327,05/06/21,2194.0
328,05/07/21,2184.0
329,05/08/21,2176.0
330,05/09/21,2159.0
331,05/10/21,2136.0
332,05/11/21,2109.0
333,05/12/21,2067.0
334,05/13/21,2031.0
335,05/14/21,1978.0
336,05/15/21,1937.0
337,05/16/21,1880.0
338,05/17/21,1820.0
339,05/18/21,1768.0
340,05/19/21,1734.0
341,05/20/21,1695.0
342,05/21/21,1670.0
343,05/22/21,1648.0
344,05/23/21,1632.0
345,05/24/21,1623.0
346,05/25/21,1606.0
347,05/26/21,1578.0
348,05/27/21,1545.0
349,05/28/21,1516.0
350,05/29/21,1469.0
351,05/30/21,1431.0
352,05/31/21,1372.0
353,06/01/21,1318.0
354,06/02/21,1265.0
355,06/03/21,1222.0
356,06/04/21,1178.0
357,06/05/21,1139.0
358,06/06/21,1094.0
359,06/07/21,1062.0
360,06/08/21,1033.0
361,06/09/21,1001.0
362,06/10/21,979.0
363,06/11/21,952.0
364,06/12/21,930.0
365,06/13/21,911.0
366,06/14/21,888.0
367,06/15/21,863.0
368,06/16/21,828.0
369,06/17/21,799.0
370,06/18/21,767.0
371,06/19/21,738.0
372,06/20/21,708.0
373,06/21/21,681.0
374,06/22/21,658.0
375,06/23/21,648.0
376,06/24/21,637.0
377,06/25/21,626.0
378,06/26/21,622.0
379,06/27/21,619.0
380,06/28/21,618.0
381,06/29/21,610.0
382,06/30/21,605.0
383,07/01/21,603.0
384,07/02/21,592.0
385,07/03/21,587.0
386,07/04/21,580.0
387,07/05/21,578.0
388,07/06/21,585.0
389,07/07/21,586.0
390,07/08/21,585.0
391,07/09/21,589.0
392,07/10/21,589.0
393,07/11/21,596.0
394,07/12/21,602.0
395,07/13/21,601.0
396,07/14/21,612.0
397,07/15/21,619.0
398,07/16/21,629.0
399,07/17/21,640.0
400,07/18/21,655.0
401,07/19/21,667.0
402,07/20/21,678.0
403,07/21/21,691.0
404,07/22/21,715.0
405,07/23/21,739.0
406,07/24/21,772.0
407,07/25/21,795.0
408,07/26/21,821.0
409,07/27/21,860.0
410,07/28/21,899.0
411,07/29/21,926.0
412,07/30/21,955.0
413,07/31/21,980.0
414,08/01/21,1010.0
415,08/02/21,1051.0
416,08/03/21,1090.0
417,08/04/21,1131.0
418,08/05/21,1167.0
419,08/06/21,1217.0
420,08/07/21,1261.0
421,08/08/21,1315.0
422,08/09/21,1357.0
423,08/10/21,1405.0
424,08/11/21,1452.0
425,08/12/21,1511.0
426,08/13/21,1559.0
427,08/14/21,1619.0
428,08/15/21,1680.0
429,08/16/21,1745.0
430,08/17/21,1804.0
431,08/18/21,1857.0
432,08/19/21,1908.0
433,08/20/21,1946.0
434,08/21/21,1976.0
435,08/22/21,2007.0
436,08/23/21,2034.0
437,08/24/21,2061.0
438,08/25/21,2088.0
439,08/26/21,2117.0
440,08/27/21,2141.0
441,08/28/21,2164.0
442,08/29/21,2174.0
443,08/30/21,2186.0
444,08/31/21,2188.0
445,09/01/21,2199.0
446,09/02/21,2201.0
447,09/03/21,2222.0
448,09/04/21,2222.0
449,09/05/21,2233.0
450,09/06/21,2237.0
451,09/07/21,2250.0
452,09/08/21,2262.0
453,09/09/21,2266.0
454,09/10/21,2252.0
455,09/11/21,2258.0
456,09/12/21,2247.0
457,09/13/21,2239.0
458,09/14/21,2222.0
459,09/15/21,2203.0
460,09/16/21,2167.0
461,09/17/21,2129.0
462,09/18/21,2076.0
463,09/19/21,2034.0
464,09/20/21,2004.0
465,09/21/21,1976.0
466,09/22/21,1951.0
467,09/23/21,1933.0
468,09/24/21,1927.0
469,09/25/21,1933.0
470,09/26/21,1928.0
471,09/27/21,1912.0
472,09/28/21,1891.0
473,09/29/21,1870.0
474,09/30/21,1860.0
475,10/01/21,1841.0
476,10/02/21,1813.0
477,10/03/21,1790.0
478,10/04/21,1763.0
479,10/05/21,1746.0
480,10/06/21,1723.0
481,10/07/21,1699.0
482,10/08/21,1687.0
483,10/09/21,1670.0
484,10/10/21,1650.0
485,10/11/21,1644.0
486,10/12/21,1624.0
487,10/13/21,1611.0
488,10/14/21,1595.0
489,10/15/21,1568.0
490,10/16/21,1541.0
491,10/17/21,1519.0
492,10/18/21,1491.0
493,10/19/21,1463.0
494,10/20/21,1424.0
495,10/21/21,1391.0
496,10/22/21,1359.0
497,10/23/21,1343.0
498,10/24/21,1309.0
499,10/25/21,1282.0
500,10/26/21,1255.0
501,10/27/21,1244.0
502,10/28/21,1235.0
503,10/29/21,1233.0
504,10/30/21,1228.0
505,10/31/21,1233.0
506,11/01/21,1236.0
507,11/02/21,1242.0
508,11/03/21,1239.0
509,11/04/21,1235.0
510,11/05/21,1244.0
511,11/06/21,1256.0
512,11/07/21,1264.0
513,11/08/21,1278.0
514,11/09/21,1303.0
515,11/10/21,1333.0
516,11/11/21,1373.0
517,11/12/21,1410.0
518,11/13/21,1438.0
519,11/14/21,1475.0
520,11/15/21,1510.0
521,11/16/21,1531.0
522,11/17/21,1559.0
523,11/18/21,1585.0
524,11/19/21,1603.0
525,11/20/21,1629.0
526,11/21/21,1660.0
527,11/22/21,1701.0
528,11/23/21,1748.0
529,11/24/21,1791.0
530,11/25/21,1819.0
531,11/26/21,1870.0
532,11/27/21,1930.0
533,11/28/21,1993.0
534,11/29/21,2043.0
535,11/30/21,2108.0
536,12/01/21,2175.0
537,12/02/21,2248.0
538,12/03/21,2318.0
539,12/04/21,2393.0
540,12/05/21,2463.0
541,12/06/21,2548.0
542,12/07/21,2631.0
543,12/08/21,2717.0
544,12/09/21,2806.0
545,12/10/21,2893.0
546,12/11/21,2980.0
547,12/12/21,3070.0
548,12/13/21,3147.0
549,12/14/21,3219.0
550,12/15/21,3293.0
551,12/16/21,3363.0
552,12/17/21,3438.0
553,12/18/21,3500.0
554,12/19/21,3562.0
555,12/20/21,3615.0
556,12/21/21,3687.0
557,12/22/21,3759.0
558,12/23/21,3843.0
559,12/24/21,3909.0
560,12/25/21,3989.0
561,12/26/21,4099.0
562,12/27/21,4263.0
563,12/28/21,4451.0
564,12/29/21,4649.0
565,12/30/21,4875.0
566,12/31/21,5108.0
567,01/01/22,5343.0
568,01/02/22,5560.0
569,01/03/22,5756.0
570,01/04/22,5946.0
571,01/05/22,6140.0
572,01/06/22,6300.0
573,01/07/22,6462.0
574,01/08/22,6609.0
575,01/09/22,6724.0
576,01/10/22,6828.0
577,01/11/22,6879.0
578,01/12/22,6920.0
579,01/13/22,6952.0
580,01/14/22,6941.0
581,01/15/22,6887.0
582,01/16/22,6831.0
583,01/17/22,6740.0
584,01/18/22,6647.0
585,01/19/22,6495.0
586,01/20/22,6318.0
587,01/21/22,6132.0
