,date,hospitalized
0,3/26/20,150.5
1,3/27/20,197.4
2,3/28/20,211.4
3,3/29/20,150.5
4,3/30/20,184.8
5,3/31/20,180.6
6,4/1/20,153.6
7,4/2/20,141.84
8,4/3/20,146.38
9,4/4/20,148.22
10,4/5/20,158.76
11,4/6/20,164.4
12,4/7/20,180.1
13,4/8/20,207.4
14,4/9/20,223.76
15,4/10/20,191.02
16,4/11/20,185.68
17,4/12/20,189.64
18,4/13/20,199.3
19,4/14/20,188.5
20,4/15/20,191.9
21,4/16/20,177.9
22,4/17/20,197.9
23,4/18/20,199.8
24,4/19/20,191.14
25,4/20/20,173.58
26,4/21/20,193.92
27,4/22/20,190.16
28,4/23/20,199.2
29,4/24/20,211.2
30,4/25/20,214.6
31,4/26/20,219.96
32,4/27/20,225.72
33,4/28/20,193.08
34,4/29/20,197.34
35,4/30/20,199.2
36,5/1/20,196.7
37,5/2/20,189.8
38,5/3/20,182.2
39,5/4/20,177.4
40,5/5/20,191.2
41,5/6/20,178.24
42,5/7/20,178.48
43,5/8/20,171.52
44,5/9/20,178.36
45,5/10/20,183.7
46,5/11/20,184.8
47,5/12/20,175.2
48,5/13/20,179.56
49,5/14/20,179.92
50,5/15/20,180.98
51,5/16/20,169.94
52,5/17/20,160.4
53,5/18/20,155.1
54,5/19/20,153.6
55,5/20/20,141.6
56,5/21/20,125.7
57,5/22/20,127.7
58,5/23/20,132.24
59,5/24/20,136.78
60,5/25/20,141.32
61,5/26/20,132.06
62,5/27/20,146.9
63,5/28/20,139.2
64,5/29/20,132.6
65,5/30/20,122.06
66,5/31/20,125.22
67,6/1/20,113.28
68,6/2/20,109.44
69,6/3/20,91.6
70,6/4/20,91.6
71,6/5/20,78.7
72,6/6/20,73.5
73,6/7/20,58.3
74,6/8/20,56.3
75,6/9/20,64.54
76,6/10/20,66.58
77,6/11/20,82.82
78,6/12/20,92.96
79,6/13/20,40
80,6/14/20,48
81,6/15/20,59
82,6/16/20,71
83,6/17/20,69
84,6/18/20,68
85,6/19/20,68
86,6/20/20,66
87,6/21/20,63
88,6/22/20,61
89,6/23/20,57
90,6/24/20,56
91,6/25/20,55
92,6/26/20,52
93,6/27/20,52
94,6/28/20,53
95,6/29/20,52
96,6/30/20,53
97,7/1/20,52
98,7/2/20,53
99,7/3/20,54
100,7/4/20,52
101,7/5/20,53
102,7/6/20,51
103,7/7/20,52
104,7/8/20,52
105,7/9/20,51
106,7/10/20,51
107,7/11/20,52
108,7/12/20,51
109,7/13/20,52
110,7/14/20,52
111,7/15/20,50
112,7/16/20,52
113,7/17/20,53
114,7/18/20,52
115,7/19/20,55
116,7/20/20,56
117,7/21/20,56
118,7/22/20,57
119,7/23/20,56
120,7/24/20,54
121,7/25/20,57
122,7/26/20,55
123,7/27/20,54
124,7/28/20,52
125,7/29/20,54
126,7/30/20,54
127,7/31/20,56
128,8/1/20,56
129,8/2/20,56
130,8/3/20,57
131,8/4/20,58
132,8/5/20,59
133,8/6/20,58
134,8/7/20,57
135,8/8/20,55
136,8/9/20,58
137,8/10/20,56
138,8/11/20,54
139,8/12/20,53
140,8/13/20,55
141,8/14/20,55
142,8/15/20,57
143,8/16/20,55
144,8/17/20,56
145,8/18/20,59
146,8/19/20,59
147,8/20/20,59
148,8/21/20,59
149,8/22/20,59
150,8/23/20,61
151,8/24/20,60
152,8/25/20,59
153,8/26/20,62
154,8/27/20,62
155,8/28/20,63
156,8/29/20,62
157,8/30/20,60
158,8/31/20,62
159,9/1/20,59
160,9/2/20,57
161,9/3/20,54
162,9/4/20,55
163,9/5/20,54
164,9/6/20,49
165,9/7/20,49
166,9/8/20,50
167,9/9/20,49
168,9/10/20,47
169,9/11/20,46
170,9/12/20,47
171,9/13/20,47
172,9/14/20,47
173,9/15/20,45
174,9/16/20,45
175,9/17/20,46
176,9/18/20,43
177,9/19/20,42
178,9/20/20,42
179,9/21/20,41
180,9/22/20,42
181,9/23/20,43
182,9/24/20,43
183,9/25/20,43
184,9/26/20,45
185,9/27/20,48
186,9/28/20,48
187,9/29/20,47
188,9/30/20,47
189,10/1/20,46
190,10/2/20,44
191,10/3/20,46
192,10/4/20,46
193,10/5/20,50
194,10/6/20,54
195,10/7/20,55
196,10/8/20,57
197,10/9/20,61
198,10/10/20,60
199,10/11/20,64
200,10/12/20,62
201,10/13/20,59
202,10/14/20,60
203,10/15/20,64
204,10/16/20,63
205,10/17/20,63
206,10/18/20,69
207,10/19/20,70
208,10/20/20,78
209,10/21/20,87
210,10/22/20,90
211,10/23/20,91
212,10/24/20,97
213,10/25/20,100
214,10/26/20,106
215,10/27/20,110
216,10/28/20,116
217,10/29/20,122
218,10/30/20,125
219,10/31/20,132
220,11/1/20,136
