,date,hospitalized
0,3/29/20,0
1,3/30/20,0
2,3/31/20,66
3,4/1/20,87
4,4/2/20,129
5,4/3/20,138
6,4/4/20,118
7,4/5/20,118
8,4/6/20,137
9,4/7/20,111
10,4/8/20,115
11,4/9/20,101
12,4/10/20,114
13,4/11/20,118
14,4/12/20,127
15,4/13/20,116
16,4/14/20,141
17,4/15/20,143
18,4/16/20,148
19,4/17/20,132
20,4/18/20,144
21,4/19/20,146
22,4/20/20,152
23,4/21/20,138
24,4/22/20,133
25,4/23/20,121
26,4/24/20,132
27,4/25/20,123
28,4/26/20,125
29,4/27/20,136
30,4/28/20,146
31,4/29/20,147
32,4/30/20,148
33,5/1/20,137
34,5/2/20,143
35,5/3/20,149
36,5/4/20,141
37,5/5/20,133
38,5/6/20,126
39,5/7/20,124
40,5/8/20,119
41,5/9/20,116
42,5/10/20,116
43,5/11/20,120
44,5/12/20,123
45,5/13/20,124
46,5/14/20,122
47,5/15/20,130
48,5/16/20,128
49,5/17/20,126
50,5/18/20,117
51,5/19/20,112
52,5/20/20,103
53,5/21/20,94
54,5/22/20,83
55,5/23/20,90
56,5/24/20,92
57,5/25/20,103
58,5/26/20,97
59,5/27/20,103
60,5/28/20,96
61,5/29/20,106
62,5/30/20,95
63,5/31/20,95
64,6/1/20,43
65,6/2/20,44
66,6/3/20,3
67,6/4/20,24
68,6/5/20,19
69,6/6/20,62
70,6/7/20,53
71,6/8/20,62
72,6/9/20,58
73,6/10/20,63
74,6/11/20,63
75,6/12/20,63
76,6/13/20,40
77,6/14/20,48
78,6/15/20,59
79,6/16/20,71
80,6/17/20,69
81,6/18/20,68
82,6/19/20,68
83,6/20/20,66
84,6/21/20,63
85,6/22/20,61
86,6/23/20,57
87,6/24/20,56
88,6/25/20,55
89,6/26/20,52
90,6/27/20,52
91,6/28/20,53
92,6/29/20,52
93,6/30/20,53
94,7/1/20,52
95,7/2/20,53
96,7/3/20,54
97,7/4/20,52
98,7/5/20,53
99,7/6/20,51
100,7/7/20,52
101,7/8/20,52
102,7/9/20,51
103,7/10/20,51
104,7/11/20,52
105,7/12/20,51
106,7/13/20,52
107,7/14/20,52
108,7/15/20,50
109,7/16/20,52
110,7/17/20,53
111,7/18/20,52
112,7/19/20,55
113,7/20/20,56
114,7/21/20,56
115,7/22/20,57
116,7/23/20,56
117,7/24/20,54
118,7/25/20,57
119,7/26/20,55
120,7/27/20,54
121,7/28/20,52
122,7/29/20,54
123,7/30/20,54
124,7/31/20,56
125,8/1/20,56
126,8/2/20,56
127,8/3/20,57
128,8/4/20,58
129,8/5/20,59
130,8/6/20,58
131,8/7/20,57
132,8/8/20,55
133,8/9/20,58
134,8/10/20,56
135,8/11/20,54
136,8/12/20,53
137,8/13/20,55
138,8/14/20,55
139,8/15/20,57
140,8/16/20,55
141,8/17/20,56
142,8/18/20,59
143,8/19/20,59
144,8/20/20,59
145,8/21/20,59
146,8/22/20,59
147,8/23/20,61
148,8/24/20,60
149,8/25/20,59
150,8/26/20,62
151,8/27/20,62
152,8/28/20,63
153,8/29/20,62
154,8/30/20,60
155,8/31/20,62
156,9/1/20,59
157,9/2/20,57
158,9/3/20,54
159,9/4/20,55
160,9/5/20,54
161,9/6/20,49
162,9/7/20,49
163,9/8/20,50
164,9/9/20,49
165,9/10/20,47
166,9/11/20,46
167,9/12/20,47
168,9/13/20,47
169,9/14/20,47
170,9/15/20,45
171,9/16/20,45
172,9/17/20,46
173,9/18/20,43
174,9/19/20,42
175,9/20/20,42
176,9/21/20,41
177,9/22/20,42
178,9/23/20,43
179,9/24/20,43
180,9/25/20,43
181,9/26/20,45
182,9/27/20,48
183,9/28/20,48
184,9/29/20,47
185,9/30/20,47
186,10/1/20,46
187,10/2/20,44
188,10/3/20,46
189,10/4/20,46
190,10/5/20,50
191,10/6/20,54
192,10/7/20,55
193,10/8/20,57
194,10/9/20,61
195,10/10/20,60
196,10/11/20,64
197,10/12/20,62
198,10/13/20,59
199,10/14/20,60
200,10/15/20,64
201,10/16/20,63
202,10/17/20,63
203,10/18/20,69
204,10/19/20,70
205,10/20/20,78
206,10/21/20,87
207,10/22/20,90
208,10/23/20,91
209,10/24/20,97
210,10/25/20,100
211,10/26/20,106
212,10/27/20,110
213,10/28/20,116
214,10/29/20,122
215,10/30/20,125
216,10/31/20,132
217,11/1/20,136
218,11/2/20,149
219,11/3/20,154
220,11/4/20,157
221,11/5/20,166
222,11/6/20,176
223,11/7/20,187
224,11/8/20,195
225,11/9/20,201
226,11/10/20,208
227,11/11/20,220
228,11/12/20,222
229,11/13/20,216
230,11/14/20,223
231,11/15/20,232
232,11/16/20,238
233,11/17/20,239
234,11/18/20,235
