,date,hospitalized
0,01/01/21,197
1,01/02/21,199
2,01/03/21,206
3,01/04/21,194
4,01/05/21,197
5,01/06/21,201
6,01/07/21,189
7,01/08/21,174
8,01/09/21,184
9,01/10/21,195
10,01/11/21,206
11,01/12/21,198
12,01/13/21,189
13,01/14/21,171
14,01/15/21,173
15,01/16/21,168
16,01/17/21,153
17,01/18/21,159
18,01/19/21,158
19,01/20/21,156
20,01/21/21,149
21,01/22/21,139
22,01/23/21,124
23,01/24/21,146
24,01/25/21,143
25,01/26/21,129
26,01/27/21,129
27,01/28/21,117
28,01/29/21,116
29,01/30/21,104
30,01/31/21,105
31,02/01/21,112
32,02/02/21,96
33,02/03/21,101
34,02/04/21,94
35,02/05/21,93
36,02/06/21,84
37,02/07/21,81
38,02/08/21,94
39,02/09/21,83
40,02/10/21,71
41,02/11/21,60
42,02/12/21,64
43,02/13/21,66
44,02/14/21,75
45,02/15/21,55
46,02/16/21,59
47,02/17/21,57
48,02/18/21,57
49,02/19/21,66
50,02/20/21,71
51,02/21/21,64
52,02/22/21,70
53,02/23/21,66
54,02/24/21,56
55,02/25/21,60
56,02/26/21,58
57,02/27/21,48
58,02/28/21,46
59,03/01/21,30
60,03/02/21,30
61,03/03/21,33
62,03/04/21,33
63,03/05/21,39
64,03/06/21,38
65,03/07/21,34
66,03/08/21,34
67,03/09/21,32
68,03/10/21,36
69,03/11/21,36
70,03/12/21,33
71,03/13/21,36
72,03/14/21,42
73,03/15/21,35
74,03/16/21,33
75,03/17/21,33
76,03/18/21,40
77,03/19/21,38
78,03/20/21,32
79,03/21/21,34
80,03/22/21,42
81,03/23/21,43
82,03/24/21,41
83,03/25/21,53
84,03/26/21,51
85,03/27/21,57
86,03/28/21,47
87,03/29/21,44
88,03/30/21,39
89,03/31/21,42
90,04/01/21,43
91,04/02/21,44
92,04/03/21,43
93,04/04/21,46
94,04/05/21,49
95,04/06/21,50
96,04/07/21,53
97,04/08/21,51
98,04/09/21,55
99,04/10/21,50
100,04/11/21,60
101,04/12/21,59
102,04/13/21,66
103,04/14/21,61
104,04/15/21,53
105,04/16/21,52
106,04/17/21,55
107,04/18/21,57
108,04/19/21,66
109,04/20/21,66
110,04/21/21,66
111,04/22/21,72
112,04/23/21,60
113,04/24/21,70
114,04/25/21,73
115,04/26/21,82
116,04/27/21,79
117,04/28/21,73
118,04/29/21,71
119,04/30/21,68
120,05/01/21,62
121,05/02/21,63
122,05/03/21,66
123,05/04/21,70
124,05/05/21,65
125,05/06/21,66
126,05/07/21,61
127,05/08/21,56
128,05/09/21,54
129,05/10/21,57
130,05/11/21,60
131,05/12/21,55
132,05/13/21,55
133,05/14/21,47
134,05/15/21,48
135,05/16/21,52
136,05/17/21,56
137,05/18/21,67
138,05/19/21,65
139,05/20/21,55
140,05/21/21,56
141,05/22/21,51
142,05/23/21,53
143,05/24/21,61
144,05/25/21,58
145,05/26/21,51
146,05/27/21,49
147,05/28/21,52
148,05/29/21,50
149,05/30/21,44
150,05/31/21,48
151,06/01/21,50
152,06/02/21,46
153,06/03/21,43
154,06/04/21,37
155,06/05/21,30
156,06/06/21,37
157,06/07/21,34
158,06/08/21,37
159,06/09/21,38
160,06/10/21,29
161,06/11/21,26
162,06/12/21,22
163,06/13/21,23
164,06/14/21,28
165,06/15/21,29
166,06/16/21,28
167,06/17/21,24
168,06/18/21,20
169,06/19/21,18
170,06/20/21,16
171,06/21/21,21
172,06/22/21,24
173,06/23/21,23
174,06/24/21,20
175,06/25/21,20
176,06/26/21,20
177,06/27/21,24
178,06/28/21,22
179,06/29/21,24
180,06/30/21,27
181,07/01/21,32
182,07/02/21,29
183,07/03/21,26
184,07/04/21,26
185,07/05/21,37
186,07/06/21,40
187,07/07/21,29
188,07/08/21,34
189,07/09/21,34
190,07/10/21,36
191,07/11/21,38
192,07/12/21,47
193,07/13/21,53
194,07/14/21,49
195,07/15/21,52
196,07/16/21,58
197,07/17/21,61
198,07/18/21,55
199,07/19/21,60
200,07/20/21,54
201,07/21/21,56
202,07/22/21,57
203,07/23/21,57
204,07/24/21,59
205,07/25/21,64
206,07/26/21,68
207,07/27/21,83
208,07/28/21,86
209,07/29/21,95
210,07/30/21,81
211,07/31/21,87
212,08/01/21,90
213,08/02/21,104
214,08/03/21,99
215,08/04/21,107
216,08/05/21,104
217,08/06/21,101
218,08/07/21,105
219,08/08/21,107
220,08/09/21,140
221,08/10/21,148
222,08/11/21,148
223,08/12/21,148
224,08/13/21,155
225,08/14/21,167
226,08/15/21,166
227,08/16/21,184
228,08/17/21,181
229,08/18/21,186
230,08/19/21,174
231,08/20/21,160
232,08/21/21,161
233,08/22/21,170
234,08/23/21,180
235,08/24/21,187
236,08/25/21,190
237,08/26/21,158
238,08/27/21,153
239,08/28/21,161
240,08/29/21,155
241,08/30/21,158
242,08/31/21,159
243,09/01/21,150
244,09/02/21,157
245,09/03/21,158
246,09/04/21,138
247,09/05/21,149
248,09/06/21,160
249,09/07/21,154
250,09/08/21,163
251,09/09/21,167
252,09/10/21,140
253,09/11/21,142
254,09/12/21,144
255,09/13/21,147
256,09/14/21,144
257,09/15/21,135
258,09/16/21,118
259,09/17/21,115
260,09/18/21,120
261,09/19/21,129
262,09/20/21,161
263,09/21/21,156
264,09/22/21,150
265,09/23/21,138
266,09/24/21,119
267,09/25/21,119
268,09/26/21,124
269,09/27/21,123
270,09/28/21,124
271,09/29/21,121
272,09/30/21,105
273,10/01/21,108
274,10/02/21,100
275,10/03/21,88
276,10/04/21,91
277,10/05/21,91
278,10/06/21,88
279,10/07/21,85
280,10/08/21,85
281,10/09/21,88
282,10/10/21,89
283,10/11/21,93
284,10/12/21,88
285,10/13/21,81
286,10/14/21,73
287,10/15/21,75
288,10/16/21,66
289,10/17/21,71
290,10/18/21,75
291,10/19/21,68
292,10/20/21,71
293,10/21/21,71
294,10/22/21,56
295,10/23/21,54
296,10/24/21,50
297,10/25/21,60
298,10/26/21,59
299,10/27/21,60
300,10/28/21,58
301,10/29/21,63
302,10/30/21,65
303,10/31/21,65
304,11/01/21,68
305,11/02/21,61
306,11/03/21,58
307,11/04/21,57
308,11/05/21,54
309,11/06/21,65
310,11/07/21,62
311,11/08/21,66
312,11/09/21,64
313,11/10/21,70
314,11/11/21,61
315,11/12/21,60
316,11/13/21,77
317,11/14/21,72
318,11/15/21,63
319,11/16/21,47
320,11/17/21,64
321,11/18/21,65
322,11/19/21,61
323,11/20/21,60
324,11/21/21,68
325,11/22/21,69
326,11/23/21,77
327,11/24/21,84
328,11/25/21,80
329,11/26/21,83
330,11/27/21,87
331,11/28/21,92
332,11/29/21,114
333,11/30/21,123
334,12/01/21,120
335,12/02/21,116
336,12/03/21,115
337,12/04/21,115
338,12/05/21,114
339,12/06/21,127
340,12/07/21,139
341,12/08/21,157
342,12/09/21,164
343,12/10/21,160
344,12/11/21,182
