,date,hospitalized
0,01/01/21,17
1,01/02/21,19
2,01/03/21,20
3,01/04/21,23
4,01/05/21,35
5,01/06/21,22
6,01/07/21,14
7,01/08/21,14
8,01/09/21,14
9,01/10/21,17
10,01/11/21,13
11,01/12/21,14
12,01/13/21,19
13,01/14/21,18
14,01/15/21,15
15,01/16/21,18
16,01/17/21,17
17,01/18/21,14
18,01/19/21,14
19,01/20/21,13
20,01/21/21,15
21,01/22/21,17
22,01/23/21,15
23,01/24/21,16
24,01/25/21,11
25,01/26/21,12
26,01/27/21,15
27,01/28/21,14
28,01/29/21,13
29,01/30/21,13
30,01/31/21,11
31,02/01/21,9
32,02/02/21,11
33,02/03/21,9
34,02/04/21,8
35,02/05/21,7
36,02/06/21,7
37,02/07/21,9
38,02/08/21,10
39,02/09/21,11
40,02/10/21,10
41,02/11/21,9
42,02/12/21,10
43,02/13/21,10
44,02/14/21,9
45,02/15/21,8
46,02/16/21,8
47,02/17/21,9
48,02/18/21,11
49,02/19/21,8
50,02/20/21,4
51,02/21/21,7
52,02/22/21,8
53,02/23/21,8
54,02/24/21,8
55,02/25/21,6
56,02/26/21,6
57,02/27/21,2
58,02/28/21,2
59,03/01/21,5
60,03/02/21,4
61,03/03/21,5
62,03/04/21,5
63,03/05/21,3
64,03/06/21,4
65,03/07/21,3
66,03/08/21,4
67,03/09/21,3
68,03/10/21,2
69,03/11/21,3
70,03/12/21,2
71,03/13/21,2
72,03/14/21,1
73,03/15/21,1
74,03/16/21,1
75,03/17/21,1
76,03/18/21,2
77,03/19/21,3
78,03/20/21,1
79,03/21/21,0
80,03/22/21,2
81,03/23/21,2
82,03/24/21,1
83,03/25/21,1
84,03/26/21,2
85,03/27/21,1
86,03/28/21,1
87,03/29/21,2
88,03/30/21,2
89,03/31/21,2
90,04/01/21,2
91,04/02/21,2
92,04/03/21,5
93,04/04/21,4
94,04/05/21,5
95,04/06/21,3
96,04/07/21,3
97,04/08/21,2
98,04/09/21,1
99,04/10/21,3
100,04/11/21,2
101,04/12/21,0
102,04/13/21,1
103,04/14/21,1
104,04/15/21,1
105,04/16/21,2
106,04/17/21,2
107,04/18/21,2
108,04/19/21,2
109,04/20/21,3
110,04/21/21,3
111,04/22/21,2
112,04/23/21,1
113,04/24/21,3
114,04/25/21,5
115,04/26/21,5
116,04/27/21,5
117,04/28/21,3
118,04/29/21,3
119,04/30/21,3
120,05/01/21,3
121,05/02/21,4
122,05/03/21,4
123,05/04/21,7
124,05/05/21,7
125,05/06/21,5
126,05/07/21,5
127,05/08/21,5
128,05/09/21,7
129,05/10/21,7
130,05/11/21,8
131,05/12/21,7
132,05/13/21,5
133,05/14/21,6
134,05/15/21,6
135,05/16/21,6
136,05/17/21,6
137,05/18/21,6
138,05/19/21,6
139,05/20/21,6
140,05/21/21,5
141,05/22/21,5
142,05/23/21,5
143,05/24/21,7
144,05/25/21,5
145,05/26/21,5
146,05/27/21,6
147,05/28/21,2
148,05/29/21,2
149,05/30/21,4
150,05/31/21,5
151,06/01/21,6
152,06/02/21,5
153,06/03/21,4
154,06/04/21,3
155,06/05/21,5
156,06/06/21,3
157,06/07/21,3
158,06/08/21,3
159,06/09/21,3
