,date,hospitalized
0,2020-02-02,0.0
1,2020-02-03,0.0
2,2020-02-04,0.0
3,2020-02-05,0.0
4,2020-02-06,0.0
5,2020-02-07,0.0
6,2020-02-08,0.0
7,2020-02-09,0.0
8,2020-02-10,0.0
9,2020-02-11,0.0
10,2020-02-12,0.0
11,2020-02-13,0.0
12,2020-02-14,0.0
13,2020-02-15,0.0
14,2020-02-16,0.0
15,2020-02-17,0.0
16,2020-02-18,0.0
17,2020-02-19,0.0
18,2020-02-20,0.0
19,2020-02-21,0.0
20,2020-02-22,0.0
21,2020-02-23,0.0
22,2020-02-24,0.0
23,2020-02-25,7.166463414634147
24,2020-02-26,7.166463414634147
25,2020-02-27,14.332926829268294
26,2020-02-28,14.332926829268294
27,2020-02-29,14.332926829268294
28,2020-03-01,21.49939024390244
29,2020-03-02,28.665853658536587
30,2020-03-03,35.832317073170735
31,2020-03-04,50.16524390243903
32,2020-03-05,64.49817073170732
33,2020-03-06,78.83109756097562
34,2020-03-07,100.33048780487806
35,2020-03-08,128.99634146341464
36,2020-03-09,164.82865853658538
37,2020-03-10,186.32804878048782
38,2020-03-11,214.9939024390244
39,2020-03-12,229.3268292682927
40,2020-03-13,250.82621951219514
41,2020-03-14,300.99146341463415
42,2020-03-15,343.99024390243903
43,2020-03-16,408.48841463414635
44,2020-03-17,444.3207317073171
45,2020-03-18,458.6536585365854
46,2020-03-19,422.8213414634147
47,2020-03-20,465.82012195121956
48,2020-03-21,458.6536585365854
49,2020-03-22,472.98658536585367
50,2020-03-23,480.15304878048784
51,2020-03-24,515.9853658536585
52,2020-03-25,845.6426829268294
53,2020-03-26,938.8067073170732
54,2020-03-27,895.8079268292684
55,2020-03-28,988.9719512195122
56,2020-03-29,1031.970731707317
57,2020-03-30,1046.3036585365855
58,2020-03-31,1103.6353658536586
59,2020-04-01,1211.1323170731707
60,2020-04-02,1297.1298780487805
61,2020-04-03,1325.7957317073171
62,2020-04-04,1440.4591463414636
63,2020-04-05,1562.289024390244
64,2020-04-06,1691.2853658536587
65,2020-04-07,1963.6109756097562
66,2020-04-08,2099.773780487805
67,2020-04-09,2142.77256097561
68,2020-04-10,2264.6024390243906
69,2020-04-11,2515.4286585365853
0,2020-04-12,2896.6
1,2020-04-13,2998.1
2,2020-04-14,3092.6
3,2020-04-15,3096.1
4,2020-04-16,3160.5
5,2020-04-17,3060.4
6,2020-04-18,3019.8
7,2020-04-19,3220.0
8,2020-04-20,3343.2
9,2020-04-21,3283.0
10,2020-04-22,3416.0
11,2020-04-23,3380.3
