,date,hospitalized
0,01/07/20,0.0
1,01/08/20,0.0
2,01/09/20,0.0
3,01/10/20,0.0
4,01/11/20,0.0
5,01/12/20,0.0
6,01/13/20,0.0
7,01/14/20,0.0
8,01/15/20,0.0
9,01/16/20,0.0
10,01/17/20,0.0
11,01/18/20,0.0
12,01/19/20,0.0
13,01/20/20,0.0
14,01/21/20,0.0
15,01/22/20,0.0
16,01/23/20,0.0
17,01/24/20,0.0
18,01/25/20,0.0
19,01/26/20,0.0
20,01/27/20,0.0
21,01/28/20,0.0
22,01/29/20,0.0
23,01/30/20,0.0
24,01/31/20,0.0
25,02/01/20,0.0
26,02/02/20,0.0
27,02/03/20,0.0
28,02/04/20,0.0
29,02/05/20,0.0
30,02/06/20,0.0
31,02/07/20,0.0
32,02/08/20,0.0
33,02/09/20,5.64375
34,02/10/20,0.0
35,02/11/20,5.64375
36,02/12/20,5.64375
37,02/13/20,50.793749999999996
38,02/14/20,45.15
39,02/15/20,50.793749999999996
40,02/16/20,62.08125
41,02/17/20,67.725
42,02/18/20,95.94375
43,02/19/20,129.80625
44,02/20/20,163.66875
45,02/21/20,174.95624999999998
46,02/22/20,208.81875
47,02/23/20,242.68125
48,02/24/20,242.68125
49,02/25/20,231.39374999999998
50,02/26/20,225.75
51,02/27/20,231.39374999999998
52,02/28/20,237.0375
53,02/29/20,270.9
54,03/01/20,248.325
55,03/02/20,282.1875
56,03/03/20,270.9
57,03/04/20,231.39374999999998
58,03/05/20,231.39374999999998
59,03/06/20,220.10625
60,03/07/20,220.10625
61,03/08/20,214.4625
62,03/09/20,220.10625
63,03/10/20,214.4625
64,03/11/20,225.75
65,03/12/20,220.10625
66,03/13/20,237.0375
67,03/14/20,231.39374999999998
68,03/15/20,231.39374999999998
69,03/16/20,214.4625
70,03/17/20,220.10625
71,03/18/20,248.325
72,03/19/20,259.6125
73,03/20/20,276.54375
74,03/21/20,270.9
75,03/22/20,293.47499999999997
76,03/23/20,293.47499999999997
77,03/24/20,332.98125
78,03/25/20,355.55625
79,03/26/20,355.55625
80,03/27/20,361.2
81,03/28/20,400.70625
82,03/29/20,474.075
83,03/30/20,485.3625
84,03/31/20,530.5124999999999
85,04/01/20,598.2375
86,04/02/20,615.1687499999999
87,04/03/20,643.3874999999999
88,04/04/20,643.3874999999999
89,04/05/20,643.3874999999999
90,04/06/20,682.89375
91,04/07/20,744.975
92,04/08/20,750.61875
93,04/09/20,818.34375
94,04/10/20,852.20625
95,04/11/20,880.425
96,04/12/20,811.3
97,04/13/20,832.3
98,04/14/20,829.5
99,04/15/20,873.5999999999998
100,04/16/20,837.1999999999998
101,04/17/20,834.4
102,04/18/20,837.1999999999998
103,04/19/20,867.3
104,04/20/20,858.1999999999998
105,04/21/20,854.0
106,04/22/20,887.5999999999998
107,04/23/20,857.5
108,04/24/20,870.8
109,04/25/20,886.9
110,04/26/20,874.3
111,04/27/20,871.5
112,04/28/20,903.0
113,04/29/20,902.3
114,04/30/20,884.0999999999998
115,05/01/20,875.0
116,05/02/20,862.4
117,05/03/20,862.4
118,05/04/20,886.1999999999998
119,05/05/20,861.6999999999998
120,05/06/20,877.0999999999998
121,05/07/20,874.3
122,05/08/20,854.0
123,05/09/20,870.8
124,05/10/20,884.0999999999998
125,05/11/20,850.5
126,05/12/20,845.5999999999998
127,05/13/20,792.4
128,05/14/20,790.3
129,05/15/20,794.5
130,05/16/20,825.3
131,05/17/20,785.4
132,05/18/20,757.4
133,05/19/20,765.8
134,05/20/20,762.3
135,05/21/20,756.6999999999998
136,05/22/20,718.9
137,05/23/20,704.9
138,05/24/20,717.5
139,05/25/20,724.5
140,05/26/20,721.6999999999998
141,05/27/20,706.3
142,05/28/20,686.0
143,05/29/20,647.5
144,05/30/20,658.6999999999998
145,05/31/20,631.4
146,06/01/20,611.8
147,06/02/20,590.8
148,06/03/20,597.0999999999998
149,06/04/20,571.9
150,06/05/20,539.0
151,06/06/20,504.0
152,06/07/20,499.1
153,06/08/20,508.2
154,06/09/20,494.2
155,06/10/20,446.6
156,06/11/20,453.6
157,06/12/20,427.0
158,06/13/20,378.8709538195943
159,06/14/20,381.8826164874552
160,06/15/20,377.2377164248947
161,06/16/20,376.97712895377134
162,06/17/20,360.11071967790633
163,06/18/20,341.86253229974164
164,06/19/20,302.989855846236
165,06/20/20,281.6401308615049
166,06/21/20,277.929648241206
167,06/22/20,279.27853881278537
168,06/23/20,255.7777129521587
169,06/24/20,260.6926742108398
170,06/25/20,259.5718654434251
171,06/26/20,245.5127566894835
172,06/27/20,241.49207355738744
173,06/28/20,239.79177377892032
174,06/29/20,256.8377676833225
175,06/30/20,244.40944881889772
176,07/01/20,222.96585686145764
177,07/02/20,212.64666666666668
178,07/03/20,213.7560975609756
179,07/04/20,192.99931365820183
180,07/05/20,205.00277970813062
181,07/06/20,204.2120141342756
182,07/07/20,210.23288637967542
183,07/08/20,199.88737446198
184,07/09/20,192.144578313253
185,07/10/20,200.4834156669019
186,07/11/20,193.03448275862067
187,07/12/20,207.1884262526464
188,07/13/20,205.31882022471908
189,07/14/20,198.55853314527505
