,date,hospitalized
0,01/05/20,0.0
1,01/06/20,0.0
2,01/07/20,0.0
3,01/08/20,0.0
4,01/09/20,0.0
5,01/10/20,0.0
6,01/11/20,0.0
7,01/12/20,0.0
8,01/13/20,0.0
9,01/14/20,0.0
10,01/15/20,0.0
11,01/16/20,0.0
12,01/17/20,0.0
13,01/18/20,0.0
14,01/19/20,0.0
15,01/20/20,0.0
16,01/21/20,0.0
17,01/22/20,0.0
18,01/23/20,0.0
19,01/24/20,0.0
20,01/25/20,0.0
21,01/26/20,0.0
22,01/27/20,0.0
23,01/28/20,2.423076923076923
24,01/29/20,0.0
25,01/30/20,2.423076923076923
26,01/31/20,0.0
27,02/01/20,0.0
28,02/02/20,2.423076923076923
29,02/03/20,2.423076923076923
30,02/04/20,2.423076923076923
31,02/05/20,4.846153846153846
32,02/06/20,7.269230769230768
33,02/07/20,4.846153846153846
34,02/08/20,9.692307692307692
35,02/09/20,12.115384615384615
36,02/10/20,12.115384615384615
37,02/11/20,12.115384615384615
38,02/12/20,29.076923076923073
39,02/13/20,21.807692307692307
40,02/14/20,9.692307692307692
41,02/15/20,24.23076923076923
42,02/16/20,24.23076923076923
43,02/17/20,33.92307692307692
44,02/18/20,21.807692307692307
45,02/19/20,24.23076923076923
46,02/20/20,19.384615384615383
47,02/21/20,24.23076923076923
48,02/22/20,16.96153846153846
49,02/23/20,14.538461538461537
50,02/24/20,14.538461538461537
51,02/25/20,33.92307692307692
52,02/26/20,29.076923076923073
53,02/27/20,9.692307692307692
54,02/28/20,9.692307692307692
55,02/29/20,33.92307692307692
56,03/01/20,24.23076923076923
57,03/02/20,26.653846153846153
58,03/03/20,16.96153846153846
59,03/04/20,19.384615384615383
60,03/05/20,29.076923076923073
61,03/06/20,21.807692307692307
62,03/07/20,24.23076923076923
63,03/08/20,21.807692307692307
64,03/09/20,14.538461538461537
65,03/10/20,9.692307692307692
66,03/11/20,33.92307692307692
67,03/12/20,26.653846153846153
68,03/13/20,31.499999999999996
69,03/14/20,12.115384615384615
70,03/15/20,38.76923076923077
71,03/16/20,50.88461538461538
72,03/17/20,75.11538461538461
73,03/18/20,60.57692307692307
74,03/19/20,72.6923076923077
75,03/20/20,65.42307692307692
76,03/21/20,53.30769230769231
77,03/22/20,65.42307692307692
78,03/23/20,99.34615384615384
79,03/24/20,89.65384615384615
