,date,hospitalized
0,1/5/20,0
1,1/6/20,0
2,1/7/20,0
3,1/8/20,0
4,1/9/20,0
5,1/10/20,0
6,1/11/20,0
7,1/12/20,0
8,1/13/20,0
9,1/14/20,0
10,1/15/20,0
11,1/16/20,0
12,1/17/20,0
13,1/18/20,0
14,1/19/20,0
15,1/20/20,0
16,1/21/20,0
17,1/22/20,0
18,1/23/20,0
19,1/24/20,0
20,1/25/20,0
21,1/26/20,0
22,1/27/20,0
23,1/28/20,0.346153846
24,1/29/20,0.346153846
25,1/30/20,0.692307692
26,1/31/20,0.692307692
27,2/1/20,0.692307692
28,2/2/20,1.038461538
29,2/3/20,1.384615385
30,2/4/20,1.384615385
31,2/5/20,2.076923077
32,2/6/20,2.769230769
33,2/7/20,3.461538462
34,2/8/20,4.846153846
35,2/9/20,6.230769231
36,2/10/20,7.615384615
37,2/11/20,9
38,2/12/20,12.46153846
39,2/13/20,14.53846154
40,2/14/20,15.23076923
41,2/15/20,17.30769231
42,2/16/20,19.03846154
43,2/17/20,22.15384615
44,2/18/20,23.53846154
45,2/19/20,22.84615385
46,2/20/20,22.5
47,2/21/20,24.57692308
48,2/22/20,23.53846154
49,2/23/20,22.15384615
50,2/24/20,19.38461538
51,2/25/20,21.11538462
52,2/26/20,21.80769231
53,2/27/20,20.42307692
54,2/28/20,18.34615385
55,2/29/20,20.76923077
56,3/1/20,22.15384615
57,3/2/20,23.88461538
58,3/3/20,21.46153846
59,3/4/20,20.07692308
60,3/5/20,22.84615385
61,3/6/20,24.57692308
62,3/7/20,23.19230769
63,3/8/20,22.84615385
64,3/9/20,21.11538462
65,3/10/20,20.07692308
66,3/11/20,22.15384615
67,3/12/20,21.80769231
68,3/13/20,23.19230769
69,3/14/20,21.46153846
70,3/15/20,23.88461538
71,3/16/20,29.07692308
72,3/17/20,38.42307692
73,3/18/20,42.23076923
74,3/19/20,48.80769231
75,3/20/20,53.65384615
76,3/21/20,59.53846154
77,3/22/20,63.34615385
78,3/23/20,70.26923077
79,3/24/20,72.34615385
80,3/25/20,222.46
81,3/26/20,74.76
82,3/27/20,165.76
83,3/28/20,76.3
84,3/29/20,220.5
85,3/30/20,161
86,3/31/20,132.84
87,4/1/20,104.46
88,4/2/20,150.98
89,4/3/20,132
90,4/4/20,149.9
91,4/5/20,153
92,4/6/20,166.8
93,4/7/20,188.8
94,4/8/20,208.7
95,4/9/20,151.5
96,4/10/20,183.28
97,4/11/20,186.86
98,4/12/20,198.54
99,4/13/20,185.92
100,4/14/20,186.8
101,4/15/20,183.6
102,4/16/20,200.8
103,4/17/20,181.52
104,4/18/20,179.04
105,4/19/20,153.76
106,4/20/20,178.18
107,4/21/20,177.7
108,4/22/20,181.3
109,4/23/20,187.8
110,4/24/20,197.9
111,4/25/20,196
112,4/26/20,204.9
113,4/27/20,186.2
114,4/28/20,190.68
115,4/29/20,194.56
116,4/30/20,198.44
117,5/1/20,194.12
118,5/2/20,184.7
119,5/3/20,187.9
120,5/4/20,180.3
121,5/5/20,172.92
122,5/6/20,166.14
123,5/7/20,158.66
124,5/8/20,155.78
125,5/9/20,165.9
126,5/10/20,165.8
127,5/11/20,161.4
