,date,hospitalized
0,1/2/20,0
1,1/3/20,0
2,1/4/20,0
3,1/5/20,0
4,1/6/20,0
5,1/7/20,0
6,1/8/20,0
7,1/9/20,0
8,1/10/20,0
9,1/11/20,0
10,1/12/20,0
11,1/13/20,0
12,1/14/20,0
13,1/15/20,0
14,1/16/20,0
15,1/17/20,0
16,1/18/20,0
17,1/19/20,0
18,1/20/20,0
19,1/21/20,0
20,1/22/20,0
21,1/23/20,0
22,1/24/20,0
23,1/25/20,0
24,1/26/20,0
25,1/27/20,0
26,1/28/20,0
27,1/29/20,0
28,1/30/20,0
29,1/31/20,0
30,2/1/20,0
31,2/2/20,0
32,2/3/20,0
33,2/4/20,0
34,2/5/20,7.524786585
35,2/6/20,7.524786585
36,2/7/20,15.04957317
37,2/8/20,15.04957317
38,2/9/20,15.04957317
39,2/10/20,22.57435976
40,2/11/20,30.09914634
41,2/12/20,37.62393293
42,2/13/20,52.6735061
43,2/14/20,67.72307927
44,2/15/20,82.77265244
45,2/16/20,105.3470122
46,2/17/20,135.4461585
47,2/18/20,173.0700915
48,2/19/20,195.6444512
49,2/20/20,225.7435976
50,2/21/20,240.7931707
51,2/22/20,263.3675305
52,2/23/20,316.0410366
53,2/24/20,361.1897561
54,2/25/20,428.9128354
55,2/26/20,466.5367683
56,2/27/20,481.5863415
57,2/28/20,443.9624085
58,2/29/20,489.111128
59,3/1/20,481.5863415
60,3/2/20,496.6359146
61,3/3/20,504.1607012
62,3/4/20,541.7846341
63,3/5/20,549.3094207
64,3/6/20,526.735061
65,3/7/20,511.6854878
66,3/8/20,564.3589939
67,3/9/20,564.3589939
68,3/10/20,579.4085671
69,3/11/20,579.4085671
70,3/12/20,594.4581402
71,3/13/20,752.4786585
72,3/14/20,767.5282317
73,3/15/20,729.9042988
74,3/16/20,707.329939
75,3/17/20,662.1812195
76,3/18/20,639.6068598
77,3/19/20,699.8051524
78,3/20/20,722.3795122
79,3/21/20,752.4786585
80,3/22/20,669.7060061
81,3/23/20,639.6068598
82,3/24/20,835.251311
83,3/25/20,887.9248171
84,3/26/20,985.7470427
85,3/27/20,940.5983232
86,3/28/20,1038.420549
87,3/29/20,1083.569268
88,3/30/20,1098.618841
89,3/31/20,1158.817134
90,4/1/20,1271.688933
91,4/2/20,1361.986372
92,4/3/20,1392.085518
93,4/4/20,1512.482104
94,4/5/20,1640.403476
95,4/6/20,1775.849634
96,4/7/20,2061.791524
97,4/8/20,2204.76247
98,4/9/20,2249.911189
99,4/10/20,2377.832561
100,4/11/20,2641.200091
101,4/12/20,3041.43
102,4/13/20,3148.005
103,4/14/20,3247.23
104,4/15/20,3250.905
105,4/16/20,3318.525
106,4/17/20,3213.42
107,4/18/20,3170.79
108,4/19/20,3381
109,4/20/20,3510.36
110,4/21/20,3447.15
111,4/22/20,3586.8
112,4/23/20,3549.315
113,4/24/20,3469.2
114,4/25/20,3399.375
115,4/26/20,3433.92
116,4/27/20,3482.43
117,4/28/20,3702.195
118,4/29/20,3641.19
119,4/30/20,3605.91
120,5/1/20,3468.465
121,5/2/20,3459.645
122,5/3/20,3418.485
123,5/4/20,3514.035
124,5/5/20,3551.52
125,5/6/20,3577.98
126,5/7/20,3511.095
127,5/8/20,3504.48
128,5/9/20,3295.005
129,5/10/20,3331.755
130,5/11/20,3400.11
131,5/12/20,3357.48
132,5/13/20,3288.39
133,5/14/20,3214.155
134,5/15/20,3167.85
135,5/16/20,3206.07
136,5/17/20,3130.365
137,5/18/20,3114.93
138,5/19/20,3051.72
139,5/20/20,3022.32
140,5/21/20,2915.745
141,5/22/20,2787.855
142,5/23/20,2739.345
143,5/24/20,2792.265
144,5/25/20,2808.435
145,5/26/20,2829.75
146,5/27/20,2682.015
147,5/28/20,2645.265
148,5/29/20,2452.695
149,5/30/20,2426.235
150,5/31/20,2369.64
151,6/1/20,2406.39
152,6/2/20,2332.155
153,6/3/20,2237.34
154,6/4/20,2139.585
155,6/5/20,1985.97
156,6/6/20,1875.72
157,6/7/20,1869.105
158,6/8/20,1911
159,6/9/20,1807.365
160,6/10/20,1739.745
161,6/11/20,1623.615
162,6/12/20,1555.995
163,6/13/20,1562
164,6/14/20,1498
165,6/15/20,1437
166,6/16/20,1376
167,6/17/20,1330
168,6/18/20,1292
169,6/19/20,1250
170,6/20/20,1224
171,6/21/20,1188
172,6/22/20,1154
173,6/23/20,1127
174,6/24/20,1097
175,6/25/20,1061
176,6/26/20,1041
177,6/27/20,1021
178,6/28/20,1003
179,6/29/20,987
180,6/30/20,970
181,7/1/20,973
182,7/2/20,955
183,7/3/20,939
184,7/4/20,925
185,7/5/20,919
186,7/6/20,903
187,7/7/20,900
188,7/8/20,879
189,7/9/20,886
190,7/10/20,885
191,7/11/20,882
192,7/12/20,879
193,7/13/20,878
194,7/14/20,869
195,7/15/20,852
196,7/16/20,840
197,7/17/20,829
198,7/18/20,825
199,7/19/20,814
200,7/20/20,811
201,7/21/20,801
202,7/22/20,799
203,7/23/20,798
204,7/24/20,798
205,7/25/20,797
206,7/26/20,801
207,7/27/20,794
208,7/28/20,797
209,7/29/20,795
210,7/30/20,788
211,7/31/20,779
212,8/1/20,774
213,8/2/20,767
214,8/3/20,773
215,8/4/20,771
216,8/5/20,769
217,8/6/20,774
218,8/7/20,788
219,8/8/20,788
220,8/9/20,785
221,8/10/20,781
222,8/11/20,780
223,8/12/20,786
224,8/13/20,789
225,8/14/20,781
226,8/15/20,795
227,8/16/20,806
228,8/17/20,808
229,8/18/20,799
230,8/19/20,786
231,8/20/20,776
232,8/21/20,771
233,8/22/20,749
234,8/23/20,736
235,8/24/20,727
236,8/25/20,731
237,8/26/20,736
238,8/27/20,732
239,8/28/20,732
240,8/29/20,732
241,8/30/20,726
242,8/31/20,725
243,9/1/20,723
244,9/2/20,719
245,9/3/20,720
246,9/4/20,715
247,9/5/20,718
248,9/6/20,717
249,9/7/20,713
250,9/8/20,707
251,9/9/20,703
252,9/10/20,705
253,9/11/20,707
254,9/12/20,697
255,9/13/20,688
256,9/14/20,687
257,9/15/20,694
258,9/16/20,692
259,9/17/20,682
260,9/18/20,682
261,9/19/20,685
262,9/20/20,689
263,9/21/20,682
264,9/22/20,679
265,9/23/20,692
266,9/24/20,701
267,9/25/20,705
268,9/26/20,707
269,9/27/20,702
270,9/28/20,708
271,9/29/20,716
272,9/30/20,707
273,10/1/20,709
274,10/2/20,702
275,10/3/20,712
276,10/4/20,731
277,10/5/20,743
278,10/6/20,743
279,10/7/20,758
280,10/8/20,771
281,10/9/20,791
282,10/10/20,804
283,10/11/20,814
284,10/12/20,828
285,10/13/20,851
286,10/14/20,856
287,10/15/20,861
288,10/16/20,878
289,10/17/20,893
290,10/18/20,912
291,10/19/20,932
292,10/20/20,947
293,10/21/20,989
294,10/22/20,1028
295,10/23/20,1058
296,10/24/20,1093
297,10/25/20,1128
298,10/26/20,1162
299,10/27/20,1211
300,10/28/20,1252
301,10/29/20,1295
302,10/30/20,1343
303,10/31/20,1400
304,11/1/20,1456
305,11/2/20,1512
306,11/3/20,1562
307,11/4/20,1610
308,11/5/20,1677
309,11/6/20,1750
310,11/7/20,1823
311,11/8/20,1882
312,11/9/20,1960
313,11/10/20,2049
314,11/11/20,2140
315,11/12/20,2215
316,11/13/20,2287
317,11/14/20,2357
318,11/15/20,2439
319,11/16/20,2515
320,11/17/20,2575
321,11/18/20,2627
322,11/19/20,2683
323,11/20/20,2738
324,11/21/20,2780
325,11/22/20,2832
326,11/23/20,2863
327,11/24/20,2891
328,11/25/20,2901
329,11/26/20,2899
330,11/27/20,2879
331,11/28/20,2875
332,11/29/20,2859
333,11/30/20,2836
334,12/1/20,2821
335,12/2/20,2806
336,12/3/20,2781
337,12/4/20,2768
338,12/5/20,2726
339,12/6/20,2683
340,12/7/20,2648
341,12/8/20,2618
342,12/9/20,2580
343,12/10/20,2561
344,12/11/20,2528
345,12/12/20,2524
346,12/13/20,2508
347,12/14/20,2492
348,12/15/20,2465
349,12/16/20,2447
350,12/17/20,2419
351,12/18/20,2391
352,12/19/20,2340
353,12/20/20,2307
354,12/21/20,2280
355,12/22/20,2261
356,12/23/20,2233
357,12/24/20,2202
358,12/25/20,2163
359,12/26/20,2145
360,12/27/20,2133
