,date,hospitalized
0,1/2/20,0
1,1/3/20,0
2,1/4/20,0
3,1/5/20,0
4,1/6/20,0
5,1/7/20,0
6,1/8/20,0
7,1/9/20,0
8,1/10/20,0
9,1/11/20,0
10,1/12/20,0
11,1/13/20,0
12,1/14/20,0
13,1/15/20,0
14,1/16/20,0
15,1/17/20,0
16,1/18/20,0
17,1/19/20,0
18,1/20/20,0
19,1/21/20,0
20,1/22/20,0
21,1/23/20,0
22,1/24/20,0
23,1/25/20,0
24,1/26/20,0
25,1/27/20,0
26,1/28/20,0
27,1/29/20,0
28,1/30/20,0
29,1/31/20,0
30,2/1/20,0
31,2/2/20,0
32,2/3/20,0
33,2/4/20,0
34,2/5/20,0
35,2/6/20,0
36,2/7/20,0
37,2/8/20,0
38,2/9/20,5.9259375
39,2/10/20,0
40,2/11/20,5.9259375
41,2/12/20,5.9259375
42,2/13/20,53.3334375
43,2/14/20,47.4075
44,2/15/20,53.3334375
45,2/16/20,65.1853125
46,2/17/20,71.11125
47,2/18/20,100.7409375
48,2/19/20,136.2965625
49,2/20/20,171.8521875
50,2/21/20,183.7040625
51,2/22/20,219.2596875
52,2/23/20,254.8153125
53,2/24/20,254.8153125
54,2/25/20,242.9634375
55,2/26/20,237.0375
56,2/27/20,242.9634375
57,2/28/20,248.889375
58,2/29/20,284.445
59,3/1/20,260.74125
60,3/2/20,296.296875
61,3/3/20,284.445
62,3/4/20,242.9634375
63,3/5/20,242.9634375
64,3/6/20,231.1115625
65,3/7/20,231.1115625
66,3/8/20,225.185625
67,3/9/20,231.1115625
68,3/10/20,225.185625
69,3/11/20,237.0375
70,3/12/20,231.1115625
71,3/13/20,248.889375
72,3/14/20,242.9634375
73,3/15/20,242.9634375
74,3/16/20,225.185625
75,3/17/20,231.1115625
76,3/18/20,260.74125
77,3/19/20,272.593125
78,3/20/20,290.3709375
79,3/21/20,284.445
80,3/22/20,308.14875
81,3/23/20,308.14875
82,3/24/20,349.6303125
83,3/25/20,373.3340625
84,3/26/20,373.3340625
85,3/27/20,379.26
86,3/28/20,420.7415625
87,3/29/20,497.77875
88,3/30/20,509.630625
89,3/31/20,557.038125
90,4/1/20,628.149375
91,4/2/20,645.9271875
92,4/3/20,675.556875
93,4/4/20,675.556875
94,4/5/20,675.556875
95,4/6/20,717.0384375
96,4/7/20,782.22375
97,4/8/20,788.1496875
98,4/9/20,859.2609375
99,4/10/20,894.8165625
100,4/11/20,924.44625
101,4/12/20,851.865
102,4/13/20,873.915
103,4/14/20,870.975
104,4/15/20,917.28
105,4/16/20,879.06
106,4/17/20,876.12
107,4/18/20,879.06
108,4/19/20,910.665
109,4/20/20,901.11
110,4/21/20,896.7
111,4/22/20,931.98
112,4/23/20,900.375
113,4/24/20,914.34
114,4/25/20,931.245
115,4/26/20,918.015
116,4/27/20,915.075
117,4/28/20,948.15
118,4/29/20,947.415
119,4/30/20,928.305
120,5/1/20,918.75
121,5/2/20,905.52
122,5/3/20,905.52
123,5/4/20,930.51
124,5/5/20,904.785
125,5/6/20,920.955
126,5/7/20,918.015
127,5/8/20,896.7
128,5/9/20,914.34
129,5/10/20,928.305
130,5/11/20,893.025
131,5/12/20,887.88
132,5/13/20,832.02
133,5/14/20,829.815
134,5/15/20,834.225
135,5/16/20,866.565
136,5/17/20,824.67
137,5/18/20,795.27
138,5/19/20,804.09
139,5/20/20,800.415
140,5/21/20,794.535
141,5/22/20,754.845
142,5/23/20,740.145
143,5/24/20,753.375
144,5/25/20,760.725
145,5/26/20,757.785
146,5/27/20,741.615
147,5/28/20,720.3
148,5/29/20,679.875
149,5/30/20,691.635
150,5/31/20,662.97
151,6/1/20,642.39
152,6/2/20,620.34
153,6/3/20,626.955
154,6/4/20,600.495
155,6/5/20,565.95
156,6/6/20,529.2
157,6/7/20,524.055
158,6/8/20,533.61
159,6/9/20,518.91
160,6/10/20,468.93
161,6/11/20,476.28
162,6/12/20,448.35
163,6/13/20,458.6436782
164,6/14/20,434.6568078
165,6/15/20,415.7591542
166,6/16/20,409.2382462
167,6/17/20,380.606383
168,6/18/20,357.1835853
169,6/19/20,334.0200118
170,6/20/20,313.4271845
171,6/21/20,305.3815951
172,6/22/20,296.7228623
173,6/23/20,271.6251549
174,6/24/20,269.1900369
175,6/25/20,279.9472296
176,6/26/20,263.3771696
177,6/27/20,260.1318306
178,6/28/20,248.5782811
179,6/29/20,253.7096154
180,6/30/20,246.5122435
181,7/1/20,205.6795881
182,7/2/20,236.4492216
183,7/3/20,234.4011887
184,7/4/20,212.066365
185,7/5/20,211.4688172
186,7/6/20,208.6353791
187,7/7/20,196.2450593
188,7/8/20,184.8991374
189,7/9/20,188.7994429
190,7/10/20,203.2081545
191,7/11/20,204.3979136
192,7/12/20,215.5550661
193,7/13/20,206.4788136
194,7/14/20,193.6423659
195,7/15/20,184.7782427
196,7/16/20,181.3836478
197,7/17/20,198.7161765
198,7/18/20,194.6902655
199,7/19/20,177.8099291
200,7/20/20,177.0259209
201,7/21/20,185.3962912
202,7/22/20,167.610998
203,7/23/20,176.3086336
204,7/24/20,189.2336579
205,7/25/20,197.248924
206,7/26/20,197.8475653
207,7/27/20,188.8835864
208,7/28/20,189.7619048
209,7/29/20,193.2747934
210,7/30/20,199.1585099
211,7/31/20,193.159614
212,8/1/20,186.4861407
213,8/2/20,187.6932299
214,8/3/20,188.5995989
215,8/4/20,182.814433
216,8/5/20,175.3948583
217,8/6/20,173.4468371
218,8/7/20,173.1755527
219,8/8/20,170.5215054
220,8/9/20,186.5766374
221,8/10/20,179.8601782
222,8/11/20,182.5967213
223,8/12/20,184.9127764
224,8/13/20,168.8616625
225,8/14/20,167.5747724
226,8/15/20,173.4819734
227,8/16/20,177.4870466
228,8/17/20,179.2582781
229,8/18/20,175.6853193
230,8/19/20,184.7281106
231,8/20/20,178.4901704
232,8/21/20,166.8427419
233,8/22/20,175.2318841
234,8/23/20,160.7743623
235,8/24/20,161.9205939
236,8/25/20,162.6509854
237,8/26/20,175.9901901
238,8/27/20,166.6649418
239,8/28/20,163.4472169
240,8/29/20,163.1086957
241,8/30/20,168.8485255
242,8/31/20,173.4633179
243,9/1/20,157.193609
244,9/2/20,159.7777778
245,9/3/20,159.9012955
246,9/4/20,167.4483871
247,9/5/20,169.9521277
248,9/6/20,170.0700809
249,9/7/20,162.6057181
250,9/8/20,159.7462025
251,9/9/20,151.1733996
252,9/10/20,156.3279802
253,9/11/20,161.1716368
254,9/12/20,160.7707454
255,9/13/20,161.0621943
256,9/14/20,161.7746212
257,9/15/20,152.9904153
258,9/16/20,159.4531451
259,9/17/20,151.5043889
260,9/18/20,151.3492172
261,9/19/20,172.5793931
262,9/20/20,174.6490251
263,9/21/20,172.0233677
264,9/22/20,152.4817658
265,9/23/20,161.5878576
266,9/24/20,158.8704948
267,9/25/20,156.715717
268,9/26/20,166.5208614
269,9/27/20,162.9054326
270,9/28/20,167.429316
271,9/29/20,165.8382353
272,9/30/20,155.2373089
273,10/1/20,157.602503
274,10/2/20,165.0957655
275,10/3/20,179.7554241
276,10/4/20,171.2090742
277,10/5/20,170.5391512
278,10/6/20,164.6194163
279,10/7/20,169.3082621
280,10/8/20,168.0711921
281,10/9/20,177.7232983
282,10/10/20,175.6486486
283,10/11/20,173.9671202
284,10/12/20,181.9090909
285,10/13/20,168.1306991
286,10/14/20,171.9089027
287,10/15/20,175.1041667
288,10/16/20,178.7342016
289,10/17/20,181.0854871
290,10/18/20,211.0305344
291,10/19/20,201.5692172
292,10/20/20,203.3336185
293,10/21/20,210.8099878
294,10/22/20,210.2914331
295,10/23/20,226.4831804
296,10/24/20,237.0614203
297,10/25/20,251.8544352
298,10/26/20,250.6852792
299,10/27/20,253.9671444
300,10/28/20,265.6884488
301,10/29/20,281.8677232
302,10/30/20,282.9120198
303,10/31/20,294.1105039
304,11/1/20,311.8457431
305,11/2/20,317.6293823
306,11/3/20,322.2844988
307,11/4/20,319.4345926
308,11/5/20,322.2792176
309,11/6/20,334.7647059
310,11/7/20,352.9070416
311,11/8/20,365.8140168
312,11/9/20,376.5415437
313,11/10/20,386.4734232
314,11/11/20,389.0909091
315,11/12/20,408.9612085
316,11/13/20,429.9475531
317,11/14/20,449.9570698
318,11/15/20,499.9491131
