,date,hospitalized
0,2020-04-12,464.0
1,2020-04-13,476.0
2,2020-04-14,474.0
3,2020-04-15,499.0
4,2020-04-16,478.0
5,2020-04-17,477.0
6,2020-04-18,478.0
7,2020-04-19,496.0
8,2020-04-20,490.0
9,2020-04-21,488.0
10,2020-04-22,507.0
11,2020-04-23,490.0
12,2020-04-24,498.0
13,2020-04-25,507.0
14,2020-04-26,500.0
15,2020-04-27,498.0
16,2020-04-28,516.0
17,2020-04-29,516.0
18,2020-04-30,505.0
19,2020-05-01,500.0
20,2020-05-02,493.0
21,2020-05-03,493.0
22,2020-05-04,506.0
23,2020-05-05,492.0
24,2020-05-06,501.0
25,2020-05-07,500.0
26,2020-05-08,488.0
27,2020-05-09,498.0
28,2020-05-10,505.0
29,2020-05-11,486.0
30,2020-05-12,483.0
31,2020-05-13,453.0
32,2020-05-14,452.0
33,2020-05-15,454.0
34,2020-05-16,472.0
35,2020-05-17,449.0
36,2020-05-18,433.0
37,2020-05-19,438.0
38,2020-05-20,436.0
39,2020-05-21,432.0
40,2020-05-22,411.0
41,2020-05-23,403.0
42,2020-05-24,410.0
43,2020-05-25,414.0
44,2020-05-26,412.0
45,2020-05-27,404.0
46,2020-05-28,392.0
47,2020-05-29,370.0
48,2020-05-30,376.0
49,2020-05-31,361.0
50,2020-06-01,350.0
51,2020-06-02,338.0
52,2020-06-03,341.0
53,2020-06-04,327.0
54,2020-06-05,308.0
55,2020-06-06,288.0
56,2020-06-07,285.0
57,2020-06-08,290.0
58,2020-06-09,282.0
59,2020-06-10,255.0
60,2020-06-11,259.0
61,2020-06-12,244.0
62,2020-06-13,321.0
63,2020-06-14,325.0
64,2020-06-15,321.0
65,2020-06-16,333.0
66,2020-06-17,315.0
67,2020-06-18,305.0
68,2020-06-19,271.0
69,2020-06-20,249.0
70,2020-06-21,242.0
71,2020-06-22,246.0
72,2020-06-23,213.0
73,2020-06-24,219.0
74,2020-06-25,224.0
75,2020-06-26,203.0
76,2020-06-27,200.0
77,2020-06-28,199.0
78,2020-06-29,211.0
79,2020-06-30,204.0
80,2020-07-01,183.0
81,2020-07-02,175.0
82,2020-07-03,176.0
83,2020-07-04,153.0
84,2020-07-05,164.0
85,2020-07-06,154.0
86,2020-07-07,167.0
87,2020-07-08,157.0
88,2020-07-09,150.0
89,2020-07-10,159.0
90,2020-07-11,157.0
91,2020-07-12,164.0
92,2020-07-13,166.0
93,2020-07-14,159.0
94,2020-07-15,148.0
95,2020-07-16,147.0
96,2020-07-17,157.0
97,2020-07-18,149.0
98,2020-07-19,149.0
99,2020-07-20,154.0
100,2020-07-21,166.0
101,2020-07-22,152.0
102,2020-07-23,158.0
103,2020-07-24,159.0
104,2020-07-25,168.0
105,2020-07-26,169.0
106,2020-07-27,157.0
107,2020-07-28,163.0
108,2020-07-29,167.0
109,2020-07-30,162.0
110,2020-07-31,156.0
111,2020-08-01,157.0
112,2020-08-02,157.0
113,2020-08-03,164.0
114,2020-08-04,167.0
115,2020-08-05,162.0
116,2020-08-06,152.0
117,2020-08-07,153.0
118,2020-08-08,142.0
119,2020-08-09,158.0
120,2020-08-10,146.0
121,2020-08-11,149.0
122,2020-08-12,159.0
123,2020-08-13,147.0
124,2020-08-14,145.0
125,2020-08-15,154.0
126,2020-08-16,147.0
127,2020-08-17,145.0
128,2020-08-18,149.0
129,2020-08-19,160.0
130,2020-08-20,157.0
131,2020-08-21,143.0
132,2020-08-22,149.0
133,2020-08-23,151.0
134,2020-08-24,154.0
135,2020-08-25,153.0
136,2020-08-26,174.0
137,2020-08-27,155.0
138,2020-08-28,156.0
139,2020-08-29,144.0
140,2020-08-30,148.0
141,2020-08-31,155.0
142,2020-09-01,148.0
143,2020-09-02,149.0
144,2020-09-03,146.0
145,2020-09-04,150.0
146,2020-09-05,146.0
147,2020-09-06,137.0
148,2020-09-07,136.0
149,2020-09-08,142.0
150,2020-09-09,140.0
151,2020-09-10,144.0
152,2020-09-11,139.0
153,2020-09-12,134.0
154,2020-09-13,138.0
155,2020-09-14,157.0
156,2020-09-15,144.0
157,2020-09-16,148.0
158,2020-09-17,134.0
159,2020-09-18,131.0
160,2020-09-19,146.0
161,2020-09-20,151.0
162,2020-09-21,149.0
163,2020-09-22,145.0
164,2020-09-23,165.0
165,2020-09-24,155.0
166,2020-09-25,147.0
167,2020-09-26,143.0
168,2020-09-27,144.0
169,2020-09-28,150.0
170,2020-09-29,159.0
171,2020-09-30,148.0
172,2020-10-01,151.0
173,2020-10-02,146.0
174,2020-10-03,155.0
175,2020-10-04,151.0
176,2020-10-05,156.0
177,2020-10-06,153.0
178,2020-10-07,160.0
179,2020-10-08,160.0
180,2020-10-09,167.0
181,2020-10-10,157.0
182,2020-10-11,154.0
183,2020-10-12,160.0
184,2020-10-13,149.0
185,2020-10-14,148.0
186,2020-10-15,158.0
187,2020-10-16,159.0
188,2020-10-17,152.0
189,2020-10-18,190.0
190,2020-10-19,196.0
191,2020-10-20,207.0
192,2020-10-21,226.0
193,2020-10-22,222.0
194,2020-10-23,245.0
195,2020-10-24,248.0
196,2020-10-25,256.0
197,2020-10-26,262.0
198,2020-10-27,264.0
199,2020-10-28,283.0
200,2020-10-29,299.0
201,2020-10-30,304.0
202,2020-10-31,308.0
203,2020-11-01,318.0
204,2020-11-02,337.0
205,2020-11-03,343.0
206,2020-11-04,343.0
207,2020-11-05,344.0
208,2020-11-06,358.0
209,2020-11-07,372.0
210,2020-11-08,382.0
211,2020-11-09,399.0
212,2020-11-10,424.0
213,2020-11-11,428.0
214,2020-11-12,447.0
215,2020-11-13,452.0
216,2020-11-14,464.0
217,2020-11-15,512.0
218,2020-11-16,518.0
219,2020-11-17,511.0
220,2020-11-18,519.0
221,2020-11-19,523.0
222,2020-11-20,515.0
223,2020-11-21,519.0
