vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
9/27/21,0.002211,0,0,0,0,4109.549,759.8464,1390.249,610.2265,3215.0734,2541.3528
9/28/21,0.000133,0,0,0,0,246.8704,45.6576,83.524,36.6647,193.1226,152.6602
9/29/21,0.000007,0,0,0,0,12.2836,2.2736,4.1496,1.8292,9.6019,7.5992
9/30/21,0.000133,0,0,0,0,246.207,45.5184,83.2846,36.5571,192.6122,152.2416
10/1/21,0.000297,0,0,0,0,552.3982,102.1496,186.865,82.0181,432.1812,341.6098
10/2/21,0,0,0,0,0,0,0,0,0,0,0
10/3/21,0,0,0,0,0,0,0,0,0,0,0
10/4/21,0.000369,0,0,0,0,685.121,126.672,231.7658,101.7358,535.9838,423.6876
10/5/21,0.0004,0,0,0,0,742.7084,137.3208,251.2636,110.29,581.0585,459.3008
10/6/21,0.000059,0,0,0,0,110.0602,20.3464,37.24,16.3552,86.0981,68.0708
10/8/21,0.000197,0,0,0,0,365.7902,67.628,123.7432,54.3111,286.1749,226.205
10/9/21,0.000175,0,0,0,0,325.601,60.204,110.1506,48.3393,254.7215,201.3466
10/10/21,0.000289,0,0,0,0,537.3112,99.3424,181.7844,79.7854,420.3782,332.2718
10/11/21,0,0,0,0,0,0,0,0,0,0,0
10/12/21,0.000289,0,0,0,0,537.3112,99.3424,181.7844,79.7854,420.3782,332.2718
10/13/21,0.000022,0,0,0,0,41.0238,7.5864,13.8852,6.0794,32.0914,25.3736
10/14/21,0.00018,0,0,0,0,334.7816,61.8976,113.2628,49.7112,261.9309,207.046
10/15/21,0.00015,0,0,0,0,113.634,185.716,38.437,149.1336,217.7813,172.1412
10/16/21,0.000201,0,0,0,0,0,372.592,0,299.2356,291.566,230.4876
10/17/21,0.000201,0,0,0,0,0,372.592,0,299.2356,291.566,230.4876
10/18/21,0,0,0,0,0,0,0,0,0,0,0
10/19/21,0.000201,0,0,0,0,0,372.592,0,299.2356,291.566,230.4876
10/20/21,0.0001,0,0,0,0,0,185.9016,0,149.295,145.464,114.9862
10/21/21,0.0001,0,0,0,0,0,185.9016,0,149.295,145.464,114.9862
10/22/21,0.00014,0,0,0,0,0,259.5848,0,208.475,203.1392,160.5814
10/23/21,0.000243,0,0,0,0,0,450.8224,0,362.0471,352.814,278.8842
10/24/21,0.000397,0,0,0,0,0,737.5512,0,592.338,577.1986,456.2418
10/25/21,0.036782,0,0,0,0,50777.1068,26967.8192,17177.748,21657.8356,53481.945,42274.9292
10/26/21,0.002646,0,0,0,0,0,4917.008,0,3948.8393,3847.9056,3041.5798
10/27/21,0.000448,0,0,0,0,0,832.1376,0,668.2767,651.2066,514.717
10/28/21,0.001063,0,0,0,0,0,1975.0392,0,1586.1585,1545.6188,1221.7324
10/29/21,0.00113,0,0,0,0,0,2099.5304,0,1686.1189,1643.0095,1298.7226
10/30/21,0.00113,0,0,0,0,0,2099.5304,0,1686.1189,1643.0095,1298.7226
10/31/21,0.002202,0,0,0,0,0,4090.4616,0,3285.028,3201.0693,2530.276
11/1/21,0,0,0,0,0,0,0,0,0,0,0
11/2/21,0.001173,0,0,0,0,0,2180.0112,0,1750.7865,1706.012,1348.536
11/3/21,0.000413,0,0,0,0,0,766.9456,0,615.9562,600.1985,474.4348
11/4/21,0.000475,0,0,0,0,0,883.3632,0,709.4337,691.3049,546.434
11/5/21,0.000484,0,0,0,0,0,900.0904,0,722.8568,704.3839,556.7702
11/6/21,0.000365,0,0,0,0,0,678.02,0,544.5098,530.6246,419.405
11/7/21,0.000365,0,0,0,0,0,678.02,0,544.5098,530.6246,419.405
11/8/21,0.000365,0,0,0,0,0,678.02,0,544.5098,530.6246,419.405
11/9/21,0.000335,0,0,0,0,0,623.268,0,500.5552,487.751,385.5306
11/10/21,0.000992,0,0,0,0,0,1842.4976,0,1479.7152,1441.88,1139.719
11/11/21,0.001197,0,0,0,0,0,2222.908,0,1785.2185,1739.5708,1375.0688
11/12/21,0.001176,0,0,0,0,0,2184.4656,0,1754.3373,1709.4891,1351.273
11/13/21,0.001395,0,0,0,0,0,2591.6256,0,2081.3337,2028.1382,1603.1414
11/14/21,0.003775,0,0,0,0,0,7013.1976,0,5632.2951,5488.3312,4338.2416
11/15/21,0,0,0,0,0,0,0,0,0,0,0
11/16/21,0.003775,0,0,0,0,0,7013.1976,0,5632.2951,5488.3312,4338.2416
11/17/21,0.00158,0,0,0,0,0,2934.1504,0,2356.4131,2296.1939,1815.0174
11/18/21,0.005422,0,0,0,0,0,10074.0664,0,8090.4978,7883.6703,6231.666
11/19/21,0.001832,0,0,0,0,0,3404.252,0,2733.9546,2664.0647,2105.8156
11/20/21,0.000745,0,0,0,0,0,1425.292,0,1144.6488,1029.1259,813.5008
11/21/21,0.002129,0,0,0,0,0,4443.032,0,3568.1774,2460.6384,1945.0088
11/22/21,0.004426,0,0,0,0,0,9228.0088,0,7411.0307,5123.5866,4049.9872
11/23/21,0,0,0,0,0,0,0,0,0,0,0
11/24/21,0.003149,0,0,0,0,0,6562.8856,0,5270.6515,3647.9245,2883.51
11/25/21,0.00896,0,0,0,0,0,20773.2336,0,16706.2719,7628.2151,6029.8042
11/26/21,0.003694,0,0,0,0,0,9280.6728,0,5646.6597,3416.8409,2700.8394
11/27/21,0,0,0,0,0,0,0,0,0,0,0
11/28/21,0.01223,0,0,0,0,0,28797,0,19075.6508,12551.0231,9920.981
11/29/21,0.003874,0,0,0,0,0,10196.3536,0,6377.6672,2924.6239,2311.7668
11/30/21,0.003268,0,0,0,0,0,8737.7928,0,5289.9657,2421.4333,1914.0324
12/1/21,0.00359,0,0,0,0,0,9525.8272,0,5445.3401,2958.1827,2338.2996
12/2/21,0.00391,0,0,0,0,9383.0868,0,4340.2688,1905.1387,3136.9184,2479.5932
12/3/21,0.003464,0,0,0,0,8266.0282,0,3969.7042,1742.4744,2697.8468,2132.5094
12/4/21,0.003978,0,0,0,0,9122.4776,0,4849.3396,2128.5701,3127.795,2472.3482
12/5/21,0.004289,0,0,0,0,9691.3966,0,5792.1766,2542.4266,2947.5281,2329.8954
12/6/21,0.002032,0,0,0,0,0,0,11719.6674,0,0,0
12/7/21,0.004215,0,0,0,0,14968.3584,0,0,0,3836.1345,3032.274
12/8/21,0.001432,0,0,0,0,0,0,8259.1936,0,0,0
12/9/21,0.004057,0,0,0,0,10753.2218,0,7134.2264,0,1951.961,1542.9274
12/10/21,0.003641,0,0,0,0,8381.6738,0,8209.425,0,1595.6061,1261.274
12/11/21,0.003678,0,0,0,0,10624.7576,0,2927.9418,0,3413.8423,2698.4888
12/12/21,0.001358,0,0,0,0,5028.8716,0,0,0,1063.1951,840.3878
12/13/21,0.001862,0,0,0,0,0,0,10740.9204,0,0,0
12/14/21,0.00482,0,0,0,0,15233.7398,0,4701.151,0,2800.3734,2213.5568
12/15/21,0.002321,0,0,0,0,6533.527,0,3323.138,0,1307.0706,1033.1692
12/16/21,0.002732,0,0,0,0,6622.551,0,5969.6252,0,1046.5752,827.2824
12/17/21,0.004709,0,0,0,0,16683.547,0,4344.7376,0,1397.0924,1104.3634
12/18/21,0.003804,0,0,0,0,13291.7968,0,3906.5558,0,1017.0039,803.9052
12/19/21,0.002932,0,0,0,0,12371.9606,0,0,0,1029.4768,813.7262
12/20/21,0.001203,0,0,0,0,0,0,6935.285,0,0,0
12/21/21,0.006118,0,0,0,0,20089.4426,0,4004.1246,0,4243.8165,3354.4994
