,date,hospitalized
0,01/01/21,165
1,01/02/21,163
2,01/03/21,159
3,01/04/21,159
4,01/05/21,159
5,01/06/21,158
6,01/07/21,162
7,01/08/21,163
8,01/09/21,162
9,01/10/21,160
10,01/11/21,159
11,01/12/21,157
12,01/13/21,154
13,01/14/21,147
14,01/15/21,147
15,01/16/21,146
16,01/17/21,141
17,01/18/21,136
18,01/19/21,134
19,01/20/21,132
20,01/21/21,134
21,01/22/21,127
22,01/23/21,121
23,01/24/21,120
24,01/25/21,115
25,01/26/21,111
26,01/27/21,109
27,01/28/21,101
28,01/29/21,100
29,01/30/21,97
30,01/31/21,92
31,02/01/21,90
32,02/02/21,88
33,02/03/21,86
34,02/04/21,86
35,02/05/21,85
36,02/06/21,84
37,02/07/21,87
38,02/08/21,86
39,02/09/21,83
40,02/10/21,81
41,02/11/21,76
42,02/12/21,74
43,02/13/21,72
44,02/14/21,67
45,02/15/21,63
46,02/16/21,62
47,02/17/21,59
48,02/18/21,61
49,02/19/21,58
50,02/20/21,56
51,02/21/21,54
52,02/22/21,53
53,02/23/21,51
54,02/24/21,50
55,02/25/21,47
56,02/26/21,46
57,02/27/21,48
58,02/28/21,48
59,03/01/21,46
60,03/02/21,45
61,03/03/21,43
62,03/04/21,43
63,03/05/21,44
64,03/06/21,44
65,03/07/21,44
66,03/08/21,43
67,03/09/21,46
68,03/10/21,47
69,03/11/21,49
70,03/12/21,47
71,03/13/21,46
72,03/14/21,48
73,03/15/21,50
74,03/16/21,50
75,03/17/21,51
76,03/18/21,53
77,03/19/21,59
78,03/20/21,60
79,03/21/21,64
80,03/22/21,67
81,03/23/21,70
82,03/24/21,72
83,03/25/21,75
84,03/26/21,77
85,03/27/21,77
86,03/28/21,78
87,03/29/21,79
88,03/30/21,79
89,03/31/21,83
90,04/01/21,82
91,04/02/21,84
92,04/03/21,92
93,04/04/21,91
94,04/05/21,94
95,04/06/21,101
96,04/07/21,102
97,04/08/21,109
98,04/09/21,110
99,04/10/21,110
100,04/11/21,117
101,04/12/21,119
102,04/13/21,118
103,04/14/21,118
104,04/15/21,118
105,04/16/21,122
106,04/17/21,124
107,04/18/21,125
108,04/19/21,125
109,04/20/21,124
110,04/21/21,123
111,04/22/21,120
112,04/23/21,116
113,04/24/21,112
114,04/25/21,106
115,04/26/21,109
116,04/27/21,108
117,04/28/21,107
118,04/29/21,106
119,04/30/21,107
120,05/01/21,106
121,05/02/21,109
122,05/03/21,105
