,date,county,cases,population,land_area
0,2020-01-02,Cook,2,103761,63589599
1,2020-01-03,Cook,1,74298,18422020
4,2020-01-05,Cook,2,58481,27893334
5,2020-01-06,Cook,2,31070,11297783
6,2020-01-07,Cook,1,91326,19235615
7,2020-01-08,Cook,1,84573,19848453
8,2020-01-20,Cook,1,74298,18422020
10,2020-01-27,Cook,1,43125,12236667
11,2020-01-28,Cook,1,19777,9375542
13,2020-02-17,Cook,2,110321,27509243
15,2020-02-18,Cook,1,71663,10468217
17,2020-02-22,Cook,1,72202,28281273
18,2020-02-23,Cook,1,38585,35545352
19,2020-02-25,Cook,1,37633,24323149
21,2020-02-28,Cook,1,21145,29946635
23,2020-03-01,Cook,2,115929,10651146
26,2020-03-02,Cook,1,71663,10468217
28,2020-03-03,Cook,5,202221,48042771
32,2020-03-04,Cook,3,128220,22074395
35,2020-03-05,Cook,9,366127,133518263
37,2020-03-06,Cook,2,147006,25507162
39,2020-03-07,Cook,7,356774,114786349
40,2020-03-08,Cook,8,460677,103714738
44,2020-03-09,Cook,3,185257,30836895
49,2020-03-10,Cook,9,342858,123576748
52,2020-03-11,Cook,9,479506,152553351
57,2020-03-12,Cook,12,588385,236937878
62,2020-03-13,Cook,14,611356,175126184
68,2020-03-14,Cook,17,656931,314127230
74,2020-03-15,Cook,28,1069196,340502984
80,2020-03-16,Cook,26,1126497,335373415
89,2020-03-17,Cook,39,1393104,520228501
95,2020-03-18,Cook,60,2022126,769097504
104,2020-03-19,Cook,60,1822960,700516222
120,2020-03-20,Cook,71,2331251,865116187
130,2020-03-21,Cook,77,2394429,830117673
143,2020-03-22,Cook,109,2741764,1145392704
158,2020-03-23,Cook,151,3183611,1261332073
171,2020-03-24,Cook,159,3432439,1281949808
187,2020-03-25,Cook,186,3676562,1379669078
209,2020-03-26,Cook,206,3461201,1463531785
228,2020-03-27,Cook,229,3604600,1485243114
242,2020-03-28,Cook,202,3799222,1500873131
259,2020-03-29,Cook,206,3505566,1386428123
283,2020-03-30,Cook,260,4116852,1730240677
304,2020-03-31,Cook,233,3959730,1595514552
325,2020-04-01,Cook,265,4020594,1561303674
346,2020-04-02,Cook,248,4197471,1659997537
372,2020-04-03,Cook,240,3796205,1394029970
397,2020-04-04,Cook,228,3982467,1494796035
419,2020-04-05,Cook,190,3807602,1440097668
437,2020-04-06,Cook,272,3910130,1536620065
462,2020-04-07,Cook,276,4246386,1831249888
486,2020-04-08,Cook,251,3943476,1498289228
505,2020-04-09,Cook,223,3555186,1384423431
524,2020-04-10,Cook,214,3776445,1529379712
539,2020-04-11,Cook,194,3689599,1339027877
557,2020-04-12,Cook,195,3694447,1556323601
574,2020-04-13,Cook,220,3926162,1751838066
594,2020-04-14,Cook,215,3553305,1385744282
616,2020-04-15,Cook,210,4064087,1525822981
636,2020-04-16,Cook,208,3808079,1726569518
658,2020-04-17,Cook,208,3806355,1463307495
680,2020-04-18,Cook,200,3809656,1391902751
696,2020-04-19,Cook,198,3863538,1465512362
717,2020-04-20,Cook,235,3914645,1516830323
741,2020-04-21,Cook,200,3608432,1345918158
764,2020-04-22,Cook,187,3492073,1271512010
786,2020-04-23,Cook,209,3810107,1503850855
807,2020-04-24,Cook,230,4069947,1647429864
835,2020-04-25,Cook,156,3547902,1302699635
853,2020-04-26,Cook,150,3110830,1114647867
870,2020-04-27,Cook,215,4073533,1638486627
895,2020-04-28,Cook,236,3901340,1491967729
914,2020-04-29,Cook,212,3814478,1428427826
933,2020-04-30,Cook,194,3580253,1311361035
953,2020-05-01,Cook,168,3580735,1375259709
981,2020-05-02,Cook,201,3394825,1334526117
1002,2020-05-03,Cook,176,3459764,1448831210
1021,2020-05-04,Cook,184,3707658,1458402070
1050,2020-05-05,Cook,201,3987596,1650353420
1075,2020-05-06,Cook,176,3688906,1540457052
1095,2020-05-07,Cook,166,3724461,1444203898
1114,2020-05-08,Cook,115,3025002,998615568
1130,2020-05-09,Cook,129,3279510,1304388958
1149,2020-05-10,Cook,135,3392740,1370079220
1166,2020-05-11,Cook,172,3563019,1413433959
1186,2020-05-12,Cook,171,3371051,1305946081
1202,2020-05-13,Cook,169,3433644,1382314345
1219,2020-05-14,Cook,159,3374668,1266833252
1239,2020-05-15,Cook,148,3537182,1391527310
1257,2020-05-16,Cook,112,2995864,898262144
1279,2020-05-17,Cook,120,2959079,1051272204
1298,2020-05-18,Cook,152,3273999,1229763365
1323,2020-05-19,Cook,142,3501128,1407432678
1342,2020-05-20,Cook,123,3087649,1146330841
1364,2020-05-21,Cook,138,3208721,1112638597
1380,2020-05-22,Cook,111,2875424,996325396
1399,2020-05-23,Cook,120,3096206,1250453413
1420,2020-05-24,Cook,128,3093803,1225634890
1433,2020-05-25,Cook,119,2981982,1246753494
1447,2020-05-26,Cook,101,2857065,1033584872
1472,2020-05-27,Cook,105,2938021,1108099562
1487,2020-05-28,Cook,98,2936325,1089953109
1502,2020-05-29,Cook,81,2363315,873427480
1521,2020-05-30,Cook,68,2371628,764924664
1535,2020-05-31,Cook,56,1638064,632323188
1547,2020-06-01,Cook,84,2347924,773459960
1564,2020-06-02,Cook,75,2366221,917769159
1579,2020-06-03,Cook,69,2065369,747102392
1594,2020-06-04,Cook,47,1754366,693513615
1613,2020-06-05,Cook,59,1911874,766474347
1629,2020-06-06,Cook,53,1833494,709958003
1642,2020-06-07,Cook,52,1788582,814278635
1658,2020-06-08,Cook,52,1856913,662644120
1675,2020-06-09,Cook,40,1661642,460805334
1689,2020-06-10,Cook,41,1632576,682817179
