,date,county,cases,population,land_area
0,2020-01-02,Cook,1,39936,47995817
1,2020-01-06,Cook,1,18480,4409406
2,2020-01-10,Cook,1,55026,28752636
3,2020-02-25,Cook,1,64906,20092663
10,2020-06-04,Cook,1,84573,19848453
11,2020-06-09,Cook,1,63448,13653673
13,2020-07-20,Cook,1,29908,6043069
15,2020-09-10,Cook,1,84155,35909179
17,2020-09-26,Cook,1,84155,35909179
18,2020-09-29,Cook,1,22115,16599952
20,2020-10-08,Cook,2,51155,15979766
21,2020-10-17,Cook,1,22048,12276020
22,2020-10-20,Cook,1,63825,15593782
23,2020-10-21,Cook,2,101475,30262838
24,2020-10-22,Cook,1,92084,13107751
27,2020-10-25,Cook,4,116044,79853983
28,2020-10-27,Cook,3,92999,39707834
29,2020-10-28,Cook,1,22285,19567015
32,2020-10-30,Cook,1,29594,19954704
33,2020-11-01,Cook,1,37475,18373706
35,2020-11-02,Cook,1,72202,28281273
36,2020-11-03,Cook,3,175891,58078232
37,2020-11-04,Cook,3,108679,27610573
39,2020-11-05,Cook,6,274178,182098837
41,2020-11-06,Cook,3,148579,28433675
45,2020-11-07,Cook,4,220336,99244282
47,2020-11-08,Cook,2,82478,38398566
48,2020-11-09,Cook,10,301633,155805282
50,2020-11-10,Cook,3,109998,50128679
52,2020-11-11,Cook,4,300160,63584978
55,2020-11-12,Cook,8,261510,221387231
56,2020-11-13,Cook,6,302175,176953391
59,2020-11-14,Cook,9,342405,164435507
62,2020-11-15,Cook,8,257222,143523446
64,2020-11-16,Cook,16,544611,311421552
67,2020-11-17,Cook,16,453207,214938926
70,2020-11-18,Cook,3,75289,117327687
73,2020-11-19,Cook,13,466171,267401886
77,2020-11-20,Cook,7,241065,108171374
79,2020-11-21,Cook,6,149781,157532059
83,2020-11-22,Cook,5,218836,117669046
87,2020-11-23,Cook,5,96979,146445924
91,2020-11-24,Cook,12,501501,160066320
97,2020-11-25,Cook,12,357035,238447830
101,2020-11-26,Cook,7,170224,82231686
104,2020-11-27,Cook,7,220879,74484354
107,2020-11-28,Cook,19,691215,352801146
110,2020-11-29,Cook,11,386345,226186419
113,2020-11-30,Cook,7,275869,189076228
120,2020-12-01,Cook,10,324006,259377777
125,2020-12-02,Cook,5,136715,89604538
129,2020-12-03,Cook,12,418111,234676654
134,2020-12-04,Cook,7,353607,323389640
140,2020-12-05,Cook,1,72216,18353976
144,2020-12-06,Cook,5,244126,113250648
148,2020-12-07,Cook,3,212344,37108932
152,2020-12-08,Cook,4,95945,55824441
155,2020-12-09,Cook,4,130325,110350787
158,2020-12-10,Cook,6,165453,129847149
160,2020-12-11,Cook,6,219250,103068015
161,2020-12-12,Cook,7,132773,122499796
165,2020-12-13,Cook,5,237028,96957228
171,2020-12-14,Cook,3,71859,105834456
175,2020-12-15,Cook,4,93392,56112069
180,2020-12-16,Cook,7,351641,233461778
187,2020-12-17,Cook,5,248990,110773747
191,2020-12-18,Cook,7,205396,140923048
193,2020-12-19,Cook,5,140543,54592541
198,2020-12-20,Cook,8,355006,210536739
200,2020-12-21,Cook,16,547849,234926703
205,2020-12-22,Cook,20,932574,329639402
210,2020-12-23,Cook,10,356990,129306309
215,2020-12-24,Cook,4,167182,108153398
220,2020-12-25,Cook,4,161847,85261075
224,2020-12-26,Cook,15,589702,330058667
227,2020-12-27,Cook,8,226770,124229857
236,2020-12-28,Cook,12,687005,189185500
248,2020-12-29,Cook,10,335870,171104898
258,2020-12-30,Cook,20,723914,352323874
273,2020-12-31,Cook,45,1502084,623611856
300,2021-01-01,Cook,70,2220138,800700825
333,2021-01-02,Cook,87,2514592,1048482671
374,2021-01-03,Cook,76,2641970,909721544
411,2021-01-04,Cook,100,2986174,1323759859
457,2021-01-05,Cook,88,2793377,1182351335
507,2021-01-06,Cook,76,2502351,1152562583
557,2021-01-07,Cook,93,2882428,1122146874
596,2021-01-08,Cook,63,2120753,1114155435
640,2021-01-09,Cook,75,2282164,1021550606
678,2021-01-10,Cook,68,2286757,984786039
717,2021-01-11,Cook,109,3130583,1407862402
760,2021-01-12,Cook,76,2330078,1003917137
806,2021-01-13,Cook,73,2644267,1043940465
853,2021-01-14,Cook,82,2374394,1089719093
895,2021-01-15,Cook,78,2326395,954983438
938,2021-01-16,Cook,88,2562333,1040353689
973,2021-01-17,Cook,68,2084176,759512175
1007,2021-01-18,Cook,83,2595442,1335618728
1058,2021-01-19,Cook,73,2298668,1009030008
1100,2021-01-20,Cook,55,1900245,711756953
1139,2021-01-21,Cook,81,2360406,935383077
1170,2021-01-22,Cook,56,1848646,778983542
1205,2021-01-23,Cook,63,2145492,785692304
1250,2021-01-24,Cook,60,1831253,692689358
1291,2021-01-25,Cook,77,2320885,962567139
1334,2021-01-26,Cook,64,2095407,908845723
1371,2021-01-27,Cook,63,1820765,838255204
1406,2021-01-28,Cook,55,1875745,690819987
1443,2021-01-29,Cook,48,1540529,652239312
1477,2021-01-30,Cook,38,1521103,577946141
1513,2021-01-31,Cook,48,1490106,628725559
1545,2021-02-01,Cook,55,1955801,832854341
1582,2021-02-02,Cook,62,2197193,822932265
1613,2021-02-03,Cook,60,1868631,901763080
1644,2021-02-04,Cook,69,2386789,941807031
1675,2021-02-05,Cook,52,1838900,755047549
1704,2021-02-06,Cook,38,1518175,611577898
1730,2021-02-07,Cook,49,1721407,996618821
1759,2021-02-08,Cook,63,2048719,825094833
1793,2021-02-09,Cook,42,1479141,578021670
1817,2021-02-10,Cook,45,1751598,689675174
1848,2021-02-11,Cook,33,1158624,333404593
1880,2021-02-12,Cook,36,1087369,688444730
1913,2021-02-13,Cook,33,1093002,534374747
