,date,hospitalized
0,3/17/20,1
1,3/18/20,0
2,3/19/20,1
3,3/20/20,1
4,3/21/20,1
5,3/22/20,2
6,3/24/20,6
7,3/25/20,1
8,3/26/20,5
9,3/27/20,2
10,3/28/20,8
11,3/29/20,12
12,3/30/20,4
13,3/31/20,16
14,4/1/20,35
15,4/2/20,12
16,4/3/20,34
17,4/4/20,26
18,4/5/20,19
19,4/6/20,23
20,4/7/20,40
21,4/8/20,63
22,4/9/20,39
23,4/10/20,47
24,4/11/20,55
25,4/12/20,32
26,4/13/20,58
27,4/14/20,34
28,4/15/20,53
29,4/16/20,92
30,4/17/20,38
31,4/18/20,100
32,4/19/20,17
33,4/20/20,38
34,4/21/20,87
35,4/22/20,70
36,4/23/20,70
37,4/24/20,78
38,4/25/20,47
39,4/26/20,46
40,4/27/20,34
41,4/28/20,110
42,4/29/20,59
43,4/30/20,91
44,5/1/20,66
45,5/2/20,70
46,5/3/20,43
47,5/4/20,16
48,5/5/20,120
49,5/6/20,82
50,5/7/20,106
51,5/8/20,87
52,5/9/20,67
53,5/10/20,53
54,5/11/20,44
55,5/12/20,88
56,5/13/20,140
57,5/14/20,86
58,5/15/20,87
59,5/16/20,52
60,5/17/20,25
61,5/18/20,50
62,5/19/20,91
63,5/20/20,94
64,5/21/20,40
65,5/22/20,73
66,5/23/20,58
67,5/24/20,57
68,5/25/20,22
69,5/26/20,30
70,5/27/20,101
71,5/28/20,63
72,5/29/20,52
73,5/30/20,33
74,5/31/20,38
75,6/1/20,17
76,6/2/20,67
77,6/3/20,55
78,6/4/20,66
79,6/5/20,33
80,6/6/20,32
81,6/7/20,30
82,6/8/20,18
83,6/9/20,50
84,6/10/20,44
85,6/11/20,56
86,6/12/20,53
87,6/13/20,11
88,6/14/20,15
89,6/15/20,18
90,6/16/20,47
91,6/17/20,49
92,6/18/20,31
93,6/19/20,30
94,6/20/20,26
95,6/21/20,13
96,6/22/20,19
97,6/23/20,17
98,6/24/20,39
99,6/25/20,22
100,6/26/20,27
101,6/27/20,10
102,6/28/20,6
103,6/29/20,12
104,6/30/20,11
105,7/1/20,16
106,7/2/20,28
107,7/3/20,8
108,7/4/20,5
109,7/5/20,5
110,7/6/20,3
111,7/7/20,21
112,7/8/20,13
113,7/9/20,12
114,7/10/20,17
115,7/11/20,18
116,7/12/20,14
117,7/13/20,4
118,7/14/20,12
119,7/15/20,4
120,7/16/20,5
121,7/17/20,15
122,7/18/20,8
123,7/19/20,3
124,7/20/20,1
125,7/21/20,11
126,7/22/20,13
127,7/23/20,8
128,7/24/20,13
129,7/25/20,7
130,7/26/20,1
131,7/27/20,12
132,7/28/20,15
133,7/29/20,7
134,7/30/20,8
135,7/31/20,14
136,8/1/20,2
137,8/2/20,5
138,8/3/20,4
139,8/4/20,3
140,8/5/20,9
141,8/6/20,2
142,8/7/20,9
143,8/8/20,1
144,8/9/20,7
145,8/10/20,0
146,8/11/20,4
147,8/12/20,2
148,8/13/20,9
149,8/14/20,8
150,8/15/20,2
151,8/16/20,9
152,8/17/20,2
153,8/18/20,9
154,8/19/20,11
155,8/20/20,4
156,8/21/20,9
157,8/22/20,11
158,8/23/20,5
159,8/24/20,2
160,8/25/20,7
161,8/26/20,9
162,8/27/20,8
163,8/28/20,6
164,8/29/20,1
165,8/30/20,8
166,8/31/20,3
167,9/1/20,8
168,9/2/20,8
169,9/3/20,7
170,9/4/20,6
171,9/5/20,6
172,9/6/20,2
173,9/7/20,3
174,9/8/20,0
175,9/9/20,4
176,9/10/20,3
177,9/11/20,9
178,9/12/20,16
179,9/13/20,5
180,9/14/20,1
181,9/15/20,3
182,9/16/20,9
183,9/17/20,0
184,9/18/20,4
185,9/19/20,7
186,9/20/20,5
187,9/21/20,5
188,9/22/20,5
189,9/23/20,8
190,9/24/20,7
191,9/25/20,7
192,9/26/20,9
193,9/27/20,7
194,9/28/20,7
195,9/29/20,4
196,9/30/20,4
197,10/1/20,4
198,10/2/20,10
199,10/3/20,6
200,10/4/20,11
201,10/5/20,4
202,10/6/20,8
203,10/7/20,5
204,10/8/20,6
205,10/9/20,10
206,10/10/20,9
207,10/11/20,2
208,10/12/20,4
209,10/13/20,11
210,10/14/20,6
211,10/15/20,11
212,10/16/20,7
213,10/17/20,11
214,10/18/20,7
215,10/19/20,7
216,10/20/20,5
217,10/21/20,12
218,10/22/20,9
219,10/23/20,2
220,10/24/20,17
221,10/25/20,12
222,10/26/20,12
223,10/27/20,6
224,10/28/20,11
225,10/29/20,13
226,10/30/20,6
227,10/31/20,16
228,11/1/20,15
229,11/2/20,10
230,11/3/20,7
231,11/4/20,24
232,11/5/20,33
233,11/6/20,12
234,11/7/20,26
235,11/8/20,27
236,11/9/20,6
237,11/10/20,22
238,11/11/20,50
239,11/12/20,8
240,11/13/20,4
241,11/14/20,68
242,11/15/20,20
243,11/16/20,19
244,11/17/20,19
245,11/18/20,77
246,11/19/20,35
247,11/20/20,49
248,11/21/20,50
249,11/22/20,39
250,11/23/20,34
251,11/24/20,44
252,11/25/20,25
253,11/26/20,29
254,11/27/20,26
255,11/28/20,75
256,11/29/20,33
257,11/30/20,65
258,12/1/20,20
259,12/2/20,72
260,12/3/20,43
261,12/4/20,26
262,12/5/20,64
263,12/6/20,21
264,12/7/20,62
265,12/8/20,33
266,12/9/20,64
267,12/10/20,58
268,12/11/20,70
269,12/12/20,32
270,12/13/20,28
271,12/14/20,88
272,12/15/20,13
273,12/16/20,38
274,12/17/20,67
275,12/18/20,76
276,12/19/20,25
277,12/20/20,39
278,12/21/20,70
279,12/22/20,40
280,12/23/20,49
281,12/24/20,35
282,12/25/20,67
283,12/26/20,27
284,12/27/20,49
285,12/28/20,16
286,12/29/20,31
287,12/30/20,67
288,12/31/20,34
289,1/1/21,56
290,1/2/21,5
291,1/3/21,64
292,1/4/21,40
293,1/5/21,33
294,1/6/21,43
295,1/7/21,50
296,1/8/21,44
297,1/9/21,24
298,1/10/21,59
299,1/11/21,43
300,1/12/21,21
301,1/13/21,27
302,1/14/21,12
303,1/15/21,46
304,1/16/21,44
305,1/17/21,24
306,1/18/21,30
307,1/19/21,19
308,1/20/21,25
309,1/21/21,46
310,1/22/21,44
311,1/23/21,27
312,1/24/21,20
313,1/25/21,18
314,1/26/21,10
315,1/27/21,22
316,1/28/21,47
317,1/29/21,16
318,1/30/21,25
319,1/31/21,21
320,2/1/21,13
321,2/2/21,23
322,2/3/21,25
323,2/4/21,20
324,2/5/21,31
325,2/6/21,19
326,2/7/21,10
327,2/8/21,18
328,2/9/21,6
329,2/10/21,16
330,2/11/21,54
331,2/12/21,14
332,2/13/21,6
333,2/14/21,15
334,2/15/21,24
335,2/16/21,24
336,2/17/21,9
337,2/18/21,28
338,2/19/21,15
