,date,hospitalized
0,03/17/20,0
1,03/18/20,0
2,03/19/20,0
3,03/20/20,0
4,03/21/20,0
5,03/22/20,0
6,03/24/20,0
7,03/25/20,0
8,03/26/20,0
9,03/27/20,0
10,03/28/20,0
11,03/29/20,0
12,03/30/20,0
13,03/31/20,0
14,04/01/20,0
15,04/02/20,0
16,04/03/20,0
17,04/04/20,0
18,04/05/20,0
19,04/06/20,0
20,04/07/20,0
21,04/08/20,0
22,04/09/20,0
23,04/10/20,0
24,04/11/20,0
25,04/12/20,0
26,04/13/20,0
27,04/14/20,0
28,04/15/20,0
29,04/16/20,0
30,04/17/20,0
31,04/18/20,0
32,04/19/20,0
33,04/20/20,0
34,04/21/20,0
35,04/22/20,0
36,04/23/20,0
37,04/24/20,0
38,04/25/20,0
39,04/26/20,0
40,04/27/20,0
41,04/28/20,0
42,04/29/20,0
43,04/30/20,0
44,05/01/20,0
45,05/02/20,0
46,05/03/20,0
47,05/04/20,0
48,05/05/20,0
49,05/06/20,0
50,05/07/20,0
51,05/08/20,0
52,05/09/20,0
53,05/10/20,0
54,05/11/20,0
55,05/12/20,0
56,05/13/20,0
57,05/14/20,0
58,05/15/20,0
59,05/16/20,0
60,05/17/20,0
61,05/18/20,0
62,05/19/20,0
63,05/20/20,0
64,05/21/20,0
65,05/22/20,0
66,05/23/20,0
67,05/24/20,0
68,05/25/20,0
69,05/26/20,0
70,05/27/20,0
71,05/28/20,0
72,05/29/20,0
73,05/30/20,0
74,05/31/20,0
75,06/01/20,0
76,06/02/20,0
77,06/03/20,0
78,06/04/20,0
79,06/05/20,0
80,06/06/20,0
81,06/07/20,0
82,06/08/20,0
83,06/09/20,0
84,06/10/20,0
85,06/11/20,0
86,06/12/20,0
87,06/13/20,0
88,06/14/20,0
89,06/15/20,0
90,06/16/20,0
91,06/17/20,0
92,06/18/20,0
93,06/19/20,0
94,06/20/20,0
95,06/21/20,0
96,06/22/20,0
97,06/23/20,0
98,06/24/20,0
99,06/25/20,0
100,06/26/20,0
101,06/27/20,0
102,06/28/20,0
103,06/29/20,0
104,06/30/20,0
105,07/01/20,0
106,07/02/20,0
107,07/03/20,0
108,07/04/20,0
109,07/05/20,0
110,07/06/20,0
111,07/07/20,0
112,07/08/20,0
113,07/09/20,0
114,07/10/20,0
115,07/11/20,0
116,07/12/20,0
117,07/13/20,0
118,07/14/20,0
119,07/15/20,0
120,07/16/20,0
121,07/17/20,0
122,07/18/20,0
123,07/19/20,0
124,07/20/20,0
125,07/21/20,0
126,07/22/20,0
127,07/23/20,0
128,07/24/20,0
129,07/25/20,0
130,07/26/20,0
131,07/27/20,0
132,07/28/20,0
133,07/29/20,0
134,07/30/20,0
135,07/31/20,0
136,08/01/20,0
137,08/02/20,0
138,08/03/20,0
139,08/04/20,0
140,08/05/20,0
141,08/06/20,0
142,08/07/20,0
143,08/08/20,0
144,08/09/20,0
145,08/10/20,0
146,08/11/20,0
147,08/12/20,0
148,08/13/20,0
149,08/14/20,0
150,08/15/20,0
151,08/16/20,0
152,08/17/20,0
153,08/18/20,0
154,08/19/20,0
155,08/20/20,0
156,08/21/20,0
157,08/22/20,0
158,08/23/20,0
159,08/24/20,0
160,08/25/20,0
161,08/26/20,0
162,08/27/20,0
163,08/28/20,0
164,08/29/20,0
165,08/30/20,0
166,08/31/20,0
167,09/01/20,0
168,09/02/20,0
169,09/03/20,0
170,09/04/20,0
171,09/05/20,0
172,09/06/20,0
173,09/07/20,0
174,09/08/20,0
175,09/09/20,0
176,09/10/20,0
177,09/11/20,0
178,09/12/20,0
179,09/13/20,0
180,09/14/20,0
181,09/15/20,0
182,09/16/20,0
183,09/17/20,0
184,09/18/20,0
185,09/19/20,0
186,09/20/20,0
187,09/21/20,0
188,09/22/20,0
189,09/23/20,0
190,09/24/20,0
191,09/25/20,0
192,09/26/20,0
193,09/27/20,0
194,09/28/20,0
195,09/29/20,0
196,09/30/20,0
197,10/01/20,0
198,10/02/20,0
199,10/03/20,0
200,10/04/20,0
201,10/05/20,0
202,10/06/20,0
203,10/07/20,0
204,10/08/20,0
205,10/09/20,0
206,10/10/20,0
207,10/11/20,0
208,10/12/20,0
209,10/13/20,0
210,10/14/20,0
211,10/15/20,0
212,10/16/20,0
213,10/17/20,0
214,10/18/20,0
215,10/19/20,0
216,10/20/20,0
217,10/21/20,0
218,10/22/20,0
219,10/23/20,0
220,10/24/20,0
221,10/25/20,0
222,10/26/20,0
223,10/27/20,0
224,10/28/20,0
225,10/29/20,0
226,10/30/20,0
227,10/31/20,0
228,11/01/20,0
229,11/02/20,0
230,11/03/20,0
231,11/04/20,0
232,11/05/20,0
233,11/06/20,0
234,11/07/20,0
235,11/08/20,0
236,11/09/20,0
237,11/10/20,0
238,11/11/20,0
239,11/12/20,0
240,11/13/20,0
241,11/14/20,0
242,11/15/20,0
243,11/16/20,0
244,11/17/20,0
245,11/18/20,0
246,11/19/20,0
247,11/20/20,0
248,11/21/20,0
249,11/22/20,0
250,11/23/20,0
251,11/24/20,0
252,11/25/20,0
253,11/26/20,0
254,11/27/20,0
255,11/28/20,0
256,11/29/20,0
257,11/30/20,0
258,12/01/20,0
259,12/02/20,0
260,12/03/20,0
261,12/04/20,0
262,12/05/20,0
263,12/06/20,0
264,12/07/20,0
265,12/08/20,0
266,12/09/20,0
267,12/10/20,0
268,12/11/20,0
269,12/12/20,0
270,12/13/20,0
271,12/14/20,0
272,12/15/20,0
273,12/16/20,0
274,12/17/20,0
275,12/18/20,0
276,12/19/20,0
277,12/20/20,0
278,12/21/20,0
279,12/22/20,0
280,12/23/20,0
281,12/24/20,0
282,12/25/20,0
283,12/26/20,0
284,12/27/20,0
285,12/28/20,0
286,12/29/20,0
287,12/30/20,0
288,12/31/20,0
289,01/01/21,0
290,01/02/21,0
291,01/03/21,0
292,01/04/21,0
293,01/05/21,0
294,01/06/21,0
295,01/07/21,0
296,01/08/21,0
297,01/09/21,0
298,01/10/21,0
299,01/11/21,0
300,01/12/21,0
301,01/13/21,0
302,01/14/21,0
303,01/15/21,0
304,01/16/21,0
305,01/17/21,0
306,01/18/21,0
307,01/19/21,0
308,01/20/21,0
309,01/21/21,0
310,01/22/21,0
311,01/23/21,0
312,01/24/21,0
313,01/25/21,0
314,01/26/21,0
315,01/27/21,0
316,01/28/21,0
317,01/29/21,0
318,01/30/21,0
319,01/31/21,0
320,02/01/21,0
321,02/02/21,0
322,02/03/21,0
323,02/04/21,0
324,02/05/21,0
325,02/06/21,0
326,02/07/21,0
327,02/08/21,0
328,02/09/21,0
329,02/10/21,0
330,02/11/21,0
331,02/12/21,0
332,02/13/21,0
333,02/14/21,0
334,02/15/21,0
335,02/16/21,0
336,02/17/21,0
337,02/18/21,0
338,02/19/21,0
339,02/20/21,0
340,02/21/21,0
341,02/22/21,0
342,02/23/21,0
343,02/24/21,0
344,02/25/21,0
345,02/26/21,0
346,02/27/21,0
347,02/28/21,0
348,03/01/21,0
349,03/02/21,0
350,03/03/21,0
351,03/04/21,0
352,03/05/21,0
353,03/06/21,0
354,03/07/21,0
355,03/08/21,0
356,03/09/21,0
357,03/10/21,0
358,03/11/21,0
359,03/12/21,0
360,03/13/21,0
361,03/14/21,0
362,03/15/21,0
363,03/16/21,0
364,03/17/21,0
365,03/18/21,0
366,03/19/21,0
367,03/20/21,0
368,03/21/21,0
369,03/22/21,0
370,03/23/21,0
371,03/24/21,0
372,03/25/21,0
373,03/26/21,0
374,03/27/21,0
375,03/28/21,0
376,03/29/21,0
377,03/30/21,0
378,03/31/21,0
379,04/01/21,0
380,04/02/21,0
381,04/03/21,0
382,04/04/21,0
383,04/05/21,0
384,04/06/21,0
385,04/07/21,0
386,04/08/21,0
387,04/09/21,0
388,04/10/21,0
389,04/11/21,0
390,04/12/21,0
391,04/13/21,0
392,04/14/21,0
393,04/15/21,0
394,04/16/21,0
395,04/17/21,0
396,04/18/21,0
397,04/19/21,0
398,04/20/21,0
399,04/21/21,0
400,04/22/21,0
401,04/23/21,0
402,04/24/21,0
403,04/25/21,0
404,04/26/21,0
405,04/27/21,0
406,04/28/21,0
407,04/29/21,0
408,04/30/21,0
409,05/01/21,0
410,05/02/21,0
411,05/03/21,0
412,05/04/21,0
413,05/05/21,0
414,05/06/21,0
415,05/07/21,0
416,05/08/21,0
417,05/09/21,0
418,05/10/21,0
419,05/11/21,0
420,05/12/21,0
421,05/13/21,0
422,05/14/21,0
423,05/15/21,0
424,05/16/21,0
425,05/17/21,0
426,05/18/21,0
427,05/19/21,0
428,05/20/21,0
429,05/21/21,0
430,05/22/21,0
431,05/23/21,0
432,05/24/21,0
433,05/25/21,0
434,05/26/21,0
435,05/27/21,0
436,05/28/21,0
437,05/29/21,0
438,05/30/21,0
439,05/31/21,0
440,06/01/21,0
441,06/02/21,0
442,06/03/21,0
443,06/04/21,0
444,06/05/21,0
445,06/06/21,0
446,06/07/21,0
447,06/08/21,0
448,06/09/21,0
449,06/10/21,0
450,06/11/21,0
451,06/12/21,0
452,06/13/21,0
453,06/14/21,0
454,06/15/21,0
455,06/16/21,0
456,06/17/21,0
457,06/18/21,0
458,06/19/21,0
459,06/20/21,0
460,06/21/21,0
461,06/22/21,0
462,06/23/21,0
463,06/24/21,0
464,06/25/21,0
465,06/26/21,0
466,06/27/21,0
467,06/28/21,0
468,06/29/21,0
469,06/30/21,0
470,07/01/21,0
471,07/02/21,0
472,07/03/21,0
473,07/04/21,0
474,07/05/21,0
475,07/06/21,0
476,07/07/21,0
477,07/08/21,0
478,07/09/21,0
479,07/10/21,0
480,07/11/21,0
481,07/12/21,0
482,07/13/21,0
483,07/14/21,0
484,07/15/21,0
485,07/16/21,0
486,07/17/21,0
