,date,hospitalized
0,3/17/20,0
1,3/18/20,0
2,3/19/20,0
3,3/20/20,0
4,3/21/20,0
5,3/22/20,0
6,3/24/20,4
7,3/25/20,0
8,3/26/20,3
9,3/27/20,0
10,3/28/20,6
11,3/29/20,9
12,3/30/20,2
13,3/31/20,12
14,4/1/20,27
15,4/2/20,9
16,4/3/20,27
17,4/4/20,20
18,4/5/20,15
19,4/6/20,18
20,4/7/20,32
21,4/8/20,50
22,4/9/20,31
23,4/10/20,37
24,4/11/20,44
25,4/12/20,25
26,4/13/20,46
27,4/14/20,27
28,4/15/20,42
29,4/16/20,73
30,4/17/20,30
31,4/18/20,81
32,4/19/20,13
33,4/20/20,30
34,4/21/20,70
35,4/22/20,56
36,4/23/20,56
37,4/24/20,63
38,4/25/20,37
39,4/26/20,36
40,4/27/20,27
41,4/28/20,89
42,4/29/20,47
43,4/30/20,72
44,5/1/20,53
45,5/2/20,56
46,5/3/20,34
47,5/4/20,12
48,5/5/20,97
49,5/6/20,65
50,5/7/20,85
51,5/8/20,70
52,5/9/20,54
53,5/10/20,42
54,5/11/20,35
55,5/12/20,71
56,5/13/20,113
57,5/14/20,69
58,5/15/20,70
59,5/16/20,41
60,5/17/20,19
61,5/18/20,40
62,5/19/20,72
63,5/20/20,75
64,5/21/20,32
65,5/22/20,58
66,5/23/20,46
67,5/24/20,45
68,5/25/20,17
69,5/26/20,24
70,5/27/20,81
71,5/28/20,50
72,5/29/20,41
73,5/30/20,26
74,5/31/20,30
75,6/1/20,13
76,6/2/20,54
77,6/3/20,44
78,6/4/20,53
79,6/5/20,26
80,6/6/20,25
81,6/7/20,24
82,6/8/20,14
83,6/9/20,40
84,6/10/20,35
85,6/11/20,45
86,6/12/20,42
87,6/13/20,8
88,6/14/20,11
89,6/15/20,14
90,6/16/20,37
91,6/17/20,39
92,6/18/20,24
93,6/19/20,24
94,6/20/20,20
95,6/21/20,9
96,6/22/20,15
97,6/23/20,13
98,6/24/20,31
99,6/25/20,17
100,6/26/20,21
