,date,hospitalized
0,2020-03-21,0.0
1,2020-03-22,0.0
2,2020-03-23,0.0
3,2020-03-24,0.0
4,2020-03-25,0.0
5,2020-03-26,0.0
6,2020-03-27,0.0
7,2020-03-28,0.0
8,2020-03-29,0.0
9,2020-03-30,0.0
10,2020-03-31,0.0
11,2020-04-01,0.0
12,2020-04-02,0.0
13,2020-04-03,0.0
14,2020-04-04,0.0
15,2020-04-05,0.0
16,2020-04-06,0.0
17,2020-04-07,1134.0
18,2020-04-08,1248.0
19,2020-04-09,1234.0
20,2020-04-10,1228.0
21,2020-04-11,1238.0
22,2020-04-12,1286.0
23,2020-04-13,1332.0
24,2020-04-14,1399.0
25,2020-04-15,1347.0
26,2020-04-16,1418.0
27,2020-04-17,1359.0
28,2020-04-18,1286.0
29,2020-04-19,1418.0
30,2020-04-20,1522.0
31,2020-04-21,1480.0
32,2020-04-22,1561.0
33,2020-04-23,1492.0
34,2020-04-24,1469.0
35,2020-04-25,1391.0
36,2020-04-26,1455.0
37,2020-04-27,1477.0
38,2020-04-28,1623.0
39,2020-04-29,1545.0
40,2020-04-30,1491.0
41,2020-05-01,1529.0
42,2020-05-02,1431.0
43,2020-05-03,1484.0
44,2020-05-04,1495.0
45,2020-05-05,1448.0
46,2020-05-06,1555.0
47,2020-05-07,1536.0
48,2020-05-08,1514.0
49,2020-05-09,1340.0
50,2020-05-10,1332.0
51,2020-05-11,1483.0
52,2020-05-12,1460.0
53,2020-05-13,1429.0
54,2020-05-14,1427.0
55,2020-05-15,1351.0
56,2020-05-16,1324.0
57,2020-05-17,1337.0
58,2020-05-18,1286.0
59,2020-05-19,1195.0
60,2020-05-20,1271.0
61,2020-05-21,1164.0
62,2020-05-22,1120.0
63,2020-05-23,1068.0
64,2020-05-24,1057.0
65,2020-05-25,1126.0
66,2020-05-26,1151.0
67,2020-05-27,1085.0
68,2020-05-28,1061.0
69,2020-05-29,968.0
70,2020-05-30,949.0
71,2020-05-31,922.0
72,2020-06-01,973.0
73,2020-06-02,953.0
74,2020-06-03,923.0
75,2020-06-04,859.0
76,2020-06-05,808.0
77,2020-06-06,766.0
78,2020-06-07,776.0
79,2020-06-08,787.0
80,2020-06-09,732.0
81,2020-06-10,739.0
82,2020-06-11,687.0
83,2020-06-12,656.0
84,2020-06-13,553.0
85,2020-06-14,572.0
86,2020-06-15,577.0
87,2020-06-16,568.0
88,2020-06-17,561.0
89,2020-06-18,547.0
90,2020-06-19,533.0
91,2020-06-20,528.0
92,2020-06-21,494.0
93,2020-06-22,537.0
94,2020-06-23,529.0
95,2020-06-24,500.0
96,2020-06-25,442.0
97,2020-06-26,470.0
98,2020-06-27,441.0
99,2020-06-28,442.0
100,2020-06-29,449.0
101,2020-06-30,406.0
102,2020-07-01,578.0
103,2020-07-02,391.0
104,2020-07-03,408.0
105,2020-07-04,388.0
106,2020-07-05,407.0
