,date,hospitalized
0,04/12/20,2482.7999999999997
1,04/13/20,2569.7999999999997
2,04/14/20,2650.7999999999997
3,04/15/20,2653.7999999999997
4,04/16/20,2709.0
5,04/17/20,2623.2
6,04/18/20,2588.4
7,04/19/20,2760.0
8,04/20/20,2865.6
9,04/21/20,2814.0
10,04/22/20,2928.0
11,04/23/20,2897.4
12,04/24/20,2832.0
13,04/25/20,2775.0
14,04/26/20,2803.2
15,04/27/20,2842.7999999999997
16,04/28/20,3022.2
17,04/29/20,2972.4
18,04/30/20,2943.6
19,05/01/20,2831.4
20,05/02/20,2824.2
21,05/03/20,2790.6
22,05/04/20,2868.6
23,05/05/20,2899.2
24,05/06/20,2920.7999999999997
25,05/07/20,2866.2
26,05/08/20,2860.7999999999997
27,05/09/20,2689.7999999999997
28,05/10/20,2719.7999999999997
29,05/11/20,2775.6
30,05/12/20,2740.7999999999997
31,05/13/20,2684.4
32,05/14/20,2623.7999999999997
33,05/15/20,2586.0
34,05/16/20,2617.2
35,05/17/20,2555.4
36,05/18/20,2542.7999999999997
37,05/19/20,2491.2
38,05/20/20,2467.2
39,05/21/20,2380.2
40,05/22/20,2275.7999999999997
41,05/23/20,2236.2
42,05/24/20,2279.4
43,05/25/20,2292.6
44,05/26/20,2310.0
45,05/27/20,2189.4
46,05/28/20,2159.4
47,05/29/20,2002.1999999999998
48,05/30/20,1980.6
49,05/31/20,1934.3999999999999
50,06/01/20,1964.3999999999999
51,06/02/20,1903.8
52,06/03/20,1826.3999999999999
53,06/04/20,1746.6
54,06/05/20,1621.2
55,06/06/20,1531.2
56,06/07/20,1525.8
57,06/08/20,1560.0
58,06/09/20,1475.3999999999999
59,06/10/20,1420.2
60,06/11/20,1325.3999999999999
61,06/12/20,1270.2
62,06/13/20,1148.3999999999999
63,06/14/20,1176.6
64,06/15/20,1163.3999999999999
65,06/16/20,1135.8
66,06/17/20,1128.0
67,06/18/20,1111.2
68,06/19/20,1019.4
69,06/20/20,988.8
70,06/21/20,978.0
71,06/22/20,989.4
72,06/23/20,968.4
73,06/24/20,975.5999999999999
74,06/25/20,909.6
75,06/26/20,898.8
76,06/27/20,878.4
77,06/28/20,900.6
78,06/29/20,936.0
79,06/30/20,906.6
80,07/01/20,990.5999999999999
81,07/02/20,809.4
82,07/03/20,807.6
83,07/04/20,795.6
84,07/05/20,837.0
85,07/06/20,831.0
86,07/07/20,910.8
87,07/08/20,904.1999999999999
88,07/09/20,861.6
89,07/10/20,838.8
90,07/11/20,805.1999999999999
91,07/12/20,817.1999999999999
92,07/13/20,849.6
93,07/14/20,872.4
94,07/15/20,860.4
95,07/16/20,858.6
96,07/17/20,816.0
97,07/18/20,813.6
98,07/19/20,846.0
99,07/20/20,879.6
100,07/21/20,873.6
101,07/22/20,883.8
102,07/23/20,882.6
103,07/24/20,862.8
104,07/25/20,836.4
105,07/26/20,850.1999999999999
106,07/27/20,829.8
107,07/28/20,894.6
108,07/29/20,871.1999999999999
109,07/30/20,821.4
110,07/31/20,808.1999999999999
111,08/01/20,844.1999999999999
112,08/02/20,850.8
113,08/03/20,897.6
114,08/04/20,931.1999999999999
115,08/05/20,910.1999999999999
116,08/06/20,891.6
117,08/07/20,922.8
118,08/08/20,892.8
119,08/09/20,888.6
120,08/10/20,875.4
121,08/11/20,915.0
122,08/12/20,976.8
123,08/13/20,967.1999999999999
124,08/14/20,922.8
125,08/15/20,948.5999999999999
126,08/16/20,926.4
127,08/17/20,906.0
