,date,hospitalized
0,3/25/20,222.46
1,3/26/20,74.76
2,3/27/20,165.76
3,3/28/20,76.3
4,3/29/20,220.5
5,3/30/20,161
6,3/31/20,132.84
7,4/1/20,104.46
8,4/2/20,150.98
9,4/3/20,132
10,4/4/20,149.9
11,4/5/20,153
12,4/6/20,166.8
13,4/7/20,188.8
14,4/8/20,208.7
15,4/9/20,151.5
16,4/10/20,183.28
17,4/11/20,186.86
18,4/12/20,198.54
19,4/13/20,185.92
20,4/14/20,186.8
21,4/15/20,183.6
22,4/16/20,200.8
23,4/17/20,181.52
24,4/18/20,179.04
25,4/19/20,153.76
26,4/20/20,178.18
27,4/21/20,177.7
28,4/22/20,181.3
29,4/23/20,187.8
30,4/24/20,197.9
31,4/25/20,196
32,4/26/20,204.9
33,4/27/20,186.2
34,4/28/20,190.68
35,4/29/20,194.56
36,4/30/20,198.44
37,5/1/20,194.12
38,5/2/20,184.7
39,5/3/20,187.9
40,5/4/20,180.3
41,5/5/20,172.92
42,5/6/20,166.14
43,5/7/20,158.66
44,5/8/20,155.78
45,5/9/20,165.9
46,5/10/20,165.8
47,5/11/20,161.4
48,5/12/20,158.5
49,5/13/20,155.6
50,5/14/20,159.1
51,5/15/20,174.1
52,5/16/20,163.28
53,5/17/20,155.76
54,5/18/20,156.84
55,5/19/20,157.92
56,5/20/20,144.1
57,5/21/20,136.2
58,5/22/20,116.8
59,5/23/20,126.92
60,5/24/20,124.44
61,5/25/20,128.46
62,5/26/20,109.48
63,5/27/20,129.1
64,5/28/20,120.2
65,5/29/20,118.8
66,5/30/20,101
67,5/31/20,100.9
68,6/1/20,91.4
69,6/2/20,113.6
70,6/3/20,94.48
71,6/4/20,92.26
72,6/5/20,81.94
73,6/6/20,89.82
74,6/7/20,76.7
75,6/8/20,64.8
76,6/9/20,49.1
77,6/10/20,56.72
78,6/11/20,65.94
79,6/12/20,75.76
80,6/13/20,40
81,6/14/20,48
82,6/15/20,59
83,6/16/20,71
84,6/17/20,69
85,6/18/20,68
86,6/19/20,68
87,6/20/20,66
88,6/21/20,63
89,6/22/20,61
90,6/23/20,57
91,6/24/20,56
92,6/25/20,55
93,6/26/20,52
94,6/27/20,52
95,6/28/20,53
96,6/29/20,52
97,6/30/20,53
98,7/1/20,52
99,7/2/20,53
100,7/3/20,54
101,7/4/20,52
102,7/5/20,53
103,7/6/20,51
104,7/7/20,52
105,7/8/20,52
106,7/9/20,51
107,7/10/20,51
108,7/11/20,52
109,7/12/20,51
110,7/13/20,52
111,7/14/20,52
112,7/15/20,50
113,7/16/20,52
114,7/17/20,53
115,7/18/20,52
116,7/19/20,55
117,7/20/20,56
118,7/21/20,56
119,7/22/20,57
120,7/23/20,56
121,7/24/20,54
122,7/25/20,57
123,7/26/20,55
124,7/27/20,54
125,7/28/20,52
126,7/29/20,54
127,7/30/20,54
128,7/31/20,56
129,8/1/20,56
130,8/2/20,56
131,8/3/20,57
132,8/4/20,58
133,8/5/20,59
134,8/6/20,58
135,8/7/20,57
136,8/8/20,55
137,8/9/20,58
138,8/10/20,56
139,8/11/20,54
140,8/12/20,53
141,8/13/20,55
142,8/14/20,55
143,8/15/20,57
144,8/16/20,55
145,8/17/20,56
146,8/18/20,59
147,8/19/20,59
148,8/20/20,59
149,8/21/20,59
150,8/22/20,59
151,8/23/20,61
152,8/24/20,60
153,8/25/20,59
154,8/26/20,62
155,8/27/20,62
156,8/28/20,63
157,8/29/20,62
158,8/30/20,60
159,8/31/20,62
160,9/1/20,59
161,9/2/20,57
162,9/3/20,54
163,9/4/20,55
164,9/5/20,54
165,9/6/20,49
166,9/7/20,49
167,9/8/20,50
168,9/9/20,49
169,9/10/20,47
170,9/11/20,46
171,9/12/20,47
172,9/13/20,47
173,9/14/20,47
174,9/15/20,45
175,9/16/20,45
176,9/17/20,46
177,9/18/20,43
178,9/19/20,42
179,9/20/20,42
180,9/21/20,41
181,9/22/20,42
182,9/23/20,43
183,9/24/20,43
184,9/25/20,43
185,9/26/20,45
186,9/27/20,48
187,9/28/20,48
