,date,hospitalized
0,04/12/20,695.4
1,04/13/20,713.4
2,04/14/20,711.0
3,04/15/20,748.8
4,04/16/20,717.6
5,04/17/20,715.1999999999999
6,04/18/20,717.6
7,04/19/20,743.4
8,04/20/20,735.6
9,04/21/20,732.0
10,04/22/20,760.8
11,04/23/20,735.0
12,04/24/20,746.4
13,04/25/20,760.1999999999999
14,04/26/20,749.4
15,04/27/20,747.0
16,04/28/20,774.0
17,04/29/20,773.4
18,04/30/20,757.8
19,05/01/20,750.0
20,05/02/20,739.1999999999999
21,05/03/20,739.1999999999999
22,05/04/20,759.6
23,05/05/20,738.6
24,05/06/20,751.8
25,05/07/20,749.4
26,05/08/20,732.0
27,05/09/20,746.4
28,05/10/20,757.8
29,05/11/20,729.0
30,05/12/20,724.8
31,05/13/20,679.1999999999999
32,05/14/20,677.4
33,05/15/20,681.0
34,05/16/20,707.4
35,05/17/20,673.1999999999999
36,05/18/20,649.1999999999999
37,05/19/20,656.4
38,05/20/20,653.4
39,05/21/20,648.6
40,05/22/20,616.1999999999999
41,05/23/20,604.1999999999999
42,05/24/20,615.0
43,05/25/20,621.0
44,05/26/20,618.6
45,05/27/20,605.4
46,05/28/20,588.0
47,05/29/20,555.0
48,05/30/20,564.6
49,05/31/20,541.1999999999999
50,06/01/20,524.4
51,06/02/20,506.4
52,06/03/20,511.79999999999995
53,06/04/20,490.2
54,06/05/20,462.0
55,06/06/20,432.0
56,06/07/20,427.8
57,06/08/20,435.59999999999997
58,06/09/20,423.59999999999997
59,06/10/20,382.8
60,06/11/20,388.8
61,06/12/20,366.0
62,06/13/20,337.2
63,06/14/20,341.4
64,06/15/20,336.59999999999997
65,06/16/20,337.8
66,06/17/20,322.8
67,06/18/20,307.2
68,06/19/20,272.4
69,06/20/20,253.2
70,06/21/20,251.39999999999998
71,06/22/20,254.39999999999998
72,06/23/20,233.39999999999998
73,06/24/20,239.39999999999998
74,06/25/20,240.0
75,06/26/20,227.4
76,06/27/20,223.79999999999998
77,06/28/20,223.2
78,06/29/20,240.6
79,06/30/20,230.39999999999998
80,07/01/20,209.4
81,07/02/20,200.4
82,07/03/20,201.6
83,07/04/20,182.4
84,07/05/20,192.6
85,07/06/20,192.0
86,07/07/20,198.6
87,07/08/20,190.2
88,07/09/20,183.6
89,07/10/20,192.6
90,07/11/20,186.6
91,07/12/20,200.4
92,07/13/20,199.79999999999998
93,07/14/20,194.4
94,07/15/20,186.6
95,07/16/20,185.4
96,07/17/20,195.6
97,07/18/20,192.0
98,07/19/20,184.79999999999998
99,07/20/20,192.0
100,07/21/20,202.2
101,07/22/20,185.4
102,07/23/20,195.0
103,07/24/20,204.6
104,07/25/20,207.0
105,07/26/20,210.0
106,07/27/20,197.4
107,07/28/20,213.0
108,07/29/20,211.79999999999998
109,07/30/20,207.6
110,07/31/20,200.4
111,08/01/20,203.4
112,08/02/20,208.2
113,08/03/20,219.0
114,08/04/20,220.79999999999998
115,08/05/20,207.6
116,08/06/20,199.79999999999998
117,08/07/20,202.79999999999998
118,08/08/20,193.2
119,08/09/20,211.2
120,08/10/20,201.6
121,08/11/20,214.2
122,08/12/20,229.79999999999998
123,08/13/20,207.0
124,08/14/20,198.0
125,08/15/20,207.0
126,08/16/20,204.0
127,08/17/20,201.0
128,08/18/20,200.4
129,08/19/20,214.2
130,08/20/20,210.6
131,08/21/20,193.2
132,08/22/20,203.4
133,08/23/20,200.4
134,08/24/20,207.0
135,08/25/20,210.0
136,08/26/20,234.0
137,08/27/20,211.2
138,08/28/20,209.4
139,08/29/20,196.79999999999998
140,08/30/20,208.2
141,08/31/20,217.2
142,09/01/20,208.2
143,09/02/20,216.0
144,09/03/20,216.0
145,09/04/20,217.79999999999998
146,09/05/20,213.6
147,09/06/20,211.2
148,09/07/20,205.79999999999998
149,09/08/20,214.2
150,09/09/20,207.6
151,09/10/20,215.4
152,09/11/20,206.4
153,09/12/20,196.79999999999998
154,09/13/20,201.0
155,09/14/20,223.79999999999998
156,09/15/20,207.0
157,09/16/20,215.4
158,09/17/20,197.4
159,09/18/20,195.6
160,09/19/20,214.2
161,09/20/20,218.4
162,09/21/20,220.2
163,09/22/20,210.6
164,09/23/20,240.0
165,09/24/20,222.6
166,09/25/20,213.0
167,09/26/20,210.0
168,09/27/20,207.6
169,09/28/20,217.79999999999998
170,09/29/20,226.79999999999998
171,09/30/20,215.4
172,10/01/20,223.79999999999998
173,10/02/20,216.6
174,10/03/20,230.39999999999998
175,10/04/20,229.2
176,10/05/20,230.39999999999998
177,10/06/20,223.2
178,10/07/20,235.2
179,10/08/20,237.0
180,10/09/20,243.6
181,10/10/20,232.79999999999998
182,10/11/20,226.2
183,10/12/20,243.6
184,10/13/20,234.0
185,10/14/20,232.79999999999998
186,10/15/20,246.0
187,10/16/20,253.2
188,10/17/20,244.79999999999998
189,10/18/20,291.0
190,10/19/20,293.4
191,10/20/20,301.2
192,10/21/20,315.0
193,10/22/20,306.59999999999997
194,10/23/20,336.0
195,10/24/20,339.0
196,10/25/20,353.4
197,10/26/20,357.0
198,10/27/20,360.0
199,10/28/20,385.8
200,10/29/20,403.8
201,10/30/20,408.0
202,10/31/20,415.2
203,11/01/20,433.2
204,11/02/20,453.0
205,11/03/20,465.59999999999997
206,11/04/20,463.2
207,11/05/20,471.59999999999997
208,11/06/20,487.79999999999995
209,11/07/20,499.79999999999995
210,11/08/20,514.1999999999999
211,11/09/20,546.6
212,11/10/20,570.6
213,11/11/20,573.6
214,11/12/20,594.0
215,11/13/20,610.8
216,11/14/20,627.0
217,11/15/20,686.4
218,11/16/20,694.8
219,11/17/20,687.6
220,11/18/20,715.1999999999999
221,11/19/20,717.6
222,11/20/20,703.8
223,11/21/20,707.4
224,11/22/20,723.6
225,11/23/20,721.8
226,11/24/20,724.8
227,11/25/20,734.4
228,11/26/20,729.0
229,11/27/20,726.6
230,11/28/20,711.0
231,11/29/20,730.1999999999999
232,11/30/20,717.0
233,12/01/20,714.0
234,12/02/20,702.0
235,12/03/20,691.8
236,12/04/20,680.4
237,12/05/20,661.8
238,12/06/20,673.8
239,12/07/20,642.6
240,12/08/20,705.6
241,12/09/20,648.6
242,12/10/20,648.6
243,12/11/20,643.1999999999999
244,12/12/20,648.0
245,12/13/20,642.0
246,12/14/20,634.1999999999999
247,12/15/20,627.0
248,12/16/20,637.8
249,12/17/20,613.8
250,12/18/20,600.0
251,12/19/20,594.6
252,12/20/20,588.6
253,12/21/20,588.6
254,12/22/20,571.8
255,12/23/20,566.4
256,12/24/20,556.8
257,12/25/20,524.4
258,12/26/20,543.0
259,12/27/20,530.4
260,12/28/20,542.4
261,12/29/20,529.1999999999999
262,12/30/20,502.2
263,12/31/20,484.79999999999995
264,01/01/21,469.79999999999995
265,01/02/21,478.79999999999995
266,01/03/21,489.59999999999997
267,01/04/21,480.0
268,01/05/21,487.2
269,01/06/21,469.79999999999995
270,01/07/21,468.0
271,01/08/21,445.2
272,01/09/21,444.0
273,01/10/21,455.4
274,01/11/21,454.2
275,01/12/21,449.4
276,01/13/21,445.2
277,01/14/21,427.2
278,01/15/21,426.59999999999997
279,01/16/21,432.0
280,01/17/21,423.0
281,01/18/21,427.8
282,01/19/21,433.2
283,01/20/21,397.2
284,01/21/21,396.59999999999997
285,01/22/21,386.4
286,01/23/21,370.2
287,01/24/21,360.59999999999997
288,01/25/21,364.8
289,01/26/21,354.59999999999997
290,01/27/21,340.2
291,01/28/21,319.2
292,01/29/21,313.2
293,01/30/21,322.8
294,01/31/21,309.0
295,02/01/21,319.8
296,02/02/21,312.0
297,02/03/21,307.8
298,02/04/21,294.59999999999997
299,02/05/21,291.0
300,02/06/21,304.2
301,02/07/21,281.4
302,02/08/21,298.2
303,02/09/21,278.4
304,02/10/21,268.8
305,02/11/21,262.2
306,02/12/21,255.0
307,02/13/21,223.79999999999998
308,02/14/21,233.39999999999998
309,02/15/21,231.0
310,02/16/21,225.0
311,02/17/21,231.6
312,02/18/21,219.6
313,02/19/21,210.6
314,02/20/21,213.6
315,02/21/21,226.2
316,02/22/21,216.6
317,02/23/21,202.79999999999998
318,02/24/21,200.4
319,02/25/21,201.6
320,02/26/21,187.2
321,02/27/21,181.79999999999998
322,02/28/21,184.79999999999998
323,03/01/21,168.6
324,03/02/21,165.0
325,03/03/21,156.0
326,03/04/21,157.79999999999998
327,03/05/21,156.6
328,03/06/21,153.0
329,03/07/21,159.6
330,03/08/21,157.79999999999998
331,03/09/21,145.2
332,03/10/21,138.6
333,03/11/21,144.0
334,03/12/21,141.0
335,03/13/21,142.79999999999998
336,03/14/21,136.2
337,03/15/21,150.0
338,03/16/21,155.4
339,03/17/21,151.2
340,03/18/21,145.2
341,03/19/21,136.79999999999998
342,03/20/21,141.6
343,03/21/21,139.79999999999998
344,03/22/21,163.2
345,03/23/21,161.4
346,03/24/21,160.2
347,03/25/21,158.4
348,03/26/21,158.4
349,03/27/21,161.4
350,03/28/21,168.0
351,03/29/21,184.79999999999998
352,03/30/21,176.4
353,03/31/21,182.4
354,04/01/21,188.4
355,04/02/21,195.0
356,04/03/21,201.6
357,04/04/21,214.79999999999998
358,04/05/21,214.2
359,04/06/21,211.79999999999998
360,04/07/21,210.6
361,04/08/21,221.4
362,04/09/21,228.6
363,04/10/21,245.39999999999998
364,04/11/21,250.79999999999998
365,04/12/21,279.59999999999997
366,04/13/21,271.8
367,04/14/21,280.8
368,04/15/21,280.8
369,04/16/21,297.59999999999997
370,04/17/21,306.0
371,04/18/21,294.59999999999997
372,04/19/21,313.2
373,04/20/21,312.59999999999997
374,04/21/21,306.59999999999997
375,04/22/21,303.59999999999997
376,04/23/21,277.2
377,04/24/21,286.2
378,04/25/21,303.59999999999997
379,04/26/21,301.2
380,04/27/21,301.2
381,04/28/21,285.0
382,04/29/21,285.0
383,04/30/21,283.8
384,05/01/21,283.2
385,05/02/21,287.4
386,05/03/21,295.8
387,05/04/21,297.59999999999997
388,05/05/21,289.8
389,05/06/21,278.4
390,05/07/21,279.59999999999997
391,05/08/21,271.2
392,05/09/21,283.8
393,05/10/21,293.4
394,05/11/21,279.59999999999997
395,05/12/21,279.0
396,05/13/21,255.0
397,05/14/21,245.39999999999998
398,05/15/21,242.39999999999998
399,05/16/21,238.79999999999998
400,05/17/21,244.2
401,05/18/21,243.0
402,05/19/21,242.39999999999998
403,05/20/21,216.0
404,05/21/21,208.2
405,05/22/21,205.79999999999998
406,05/23/21,200.4
407,05/24/21,210.0
408,05/25/21,210.6
409,05/26/21,203.4
410,05/27/21,188.4
411,05/28/21,187.79999999999998
412,05/29/21,178.79999999999998
413,05/30/21,176.4
414,05/31/21,170.4
415,06/01/21,166.79999999999998
416,06/02/21,163.79999999999998
417,06/03/21,148.2
418,06/04/21,139.2
419,06/05/21,127.19999999999999
420,06/06/21,130.2
421,06/07/21,135.6
422,06/08/21,125.39999999999999
423,06/09/21,125.39999999999999
424,06/10/21,111.0
425,06/11/21,111.6
