,date,hospitalized,,
0,1/10/20,0.00,,
1,1/11/20,0.00,,
2,1/12/20,0.00,,
3,1/13/20,0.01,,
4,1/14/20,0.01,,
5,1/15/20,0.01,,
6,1/16/20,0.01,,
7,1/17/20,0.02,,
8,1/18/20,0.02,,
9,1/19/20,0.02,,
10,1/20/20,0.03,,
11,1/21/20,0.03,,
12,1/22/20,0.03,,
13,1/23/20,0.04,,
14,1/24/20,0.04,,
15,1/25/20,0.05,,
16,1/26/20,0.06,,
17,1/27/20,0.06,,
18,1/28/20,0.07,,
19,1/29/20,0.08,,
20,1/30/20,0.09,,
21,1/31/20,0.10,,
22,2/1/20,0.11,,
23,2/2/20,0.13,,
24,2/3/20,0.15,,
25,2/4/20,0.17,,
26,2/5/20,0.19,,
27,2/6/20,0.21,,
28,2/7/20,0.24,,
29,2/8/20,0.28,,
30,2/9/20,0.32,,
31,2/10/20,0.36,,
32,2/11/20,0.41,,
33,2/12/20,0.47,,
34,2/13/20,0.53,,
35,2/14/20,0.61,,
36,2/15/20,0.70,,
37,2/16/20,0.80,,
38,2/17/20,0.91,,
39,2/18/20,1.04,,
40,2/19/20,1.17,,
41,2/20/20,1.32,,
42,2/21/20,1.50,,
43,2/22/20,1.70,,
44,2/23/20,1.93,,
45,2/24/20,2.18,,
46,2/25/20,2.47,,
47,2/26/20,2.79,,
48,2/27/20,3.16,,
49,2/28/20,3.60,,
50,2/29/20,4.11,,
51,3/1/20,4.70,,
52,3/2/20,5.37,,
53,3/3/20,6.10,,
54,3/4/20,6.94,,
55,3/5/20,7.89,,
56,3/6/20,9.01,,
57,3/7/20,10.32,,
58,3/8/20,11.85,,
59,3/9/20,13.87,,
60,3/10/20,17.15,,
61,3/11/20,22.84,,
62,3/12/20,32.08,,
63,3/13/20,45.93,,
64,3/14/20,65.28,,
65,3/15/20,90.61,,
66,3/16/20,121.80,,
67,3/17/20,158.51,,
68,3/18/20,200.38,,
69,3/19/20,247.12,,
70,3/20/20,348.51,,
71,3/21/20,380.40,,
72,3/22/20,453.68,,
73,3/23/20,504.33,,
74,3/24/20,582.86,,
75,3/25/20,652.54,,
76,3/26/20,736.90,,
77,3/27/20,839.55,,
78,3/28/20,935.07,,
79,3/29/20,1058.22,,
80,3/30/20,1171.61,,
81,3/31/20,1311.57,,
82,4/1/20,1455.77,,
83,4/2/20,1640.72,,
84,4/3/20,1799.76,,
85,4/4/20,1981.30,,
86,4/5/20,2145.79,,
87,4/6/20,2280.30,,
88,4/7/20,2408.67,,
89,4/8/20,2528.78,,
90,4/9/20,2659.49,,
91,4/10/20,2765.77,,
92,4/11/20,2873.60,,
93,4/12/20,3041.43,,
94,4/13/20,3148.005,,
95,4/14/20,3247.23,,
96,4/15/20,3250.905,,
97,4/16/20,3318.525,,
98,4/17/20,3213.42,,
99,4/18/20,3170.79,,
100,4/19/20,3381,,
101,4/20/20,3510.36,,
102,4/21/20,3447.15,,
103,4/22/20,3586.8,,
104,4/23/20,3549.315,,
105,4/24/20,3469.2,,
106,4/25/20,3399.375,,
107,4/26/20,3433.92,,
108,4/27/20,3482.43,,
109,4/28/20,3702.195,,
110,4/29/20,3641.19,,
111,4/30/20,3605.91,,
112,5/1/20,3468.465,,
113,5/2/20,3459.645,,
114,5/3/20,3418.485,,
115,5/4/20,3514.035,,
116,5/5/20,3551.52,,
117,5/6/20,3577.98,,
118,5/7/20,3511.095,,
119,5/8/20,3504.48,,
120,5/9/20,3295.005,,
121,5/10/20,3331.755,,
122,5/11/20,3400.11,,
123,5/12/20,3357.48,,
124,5/13/20,3288.39,,
125,5/14/20,3214.155,,
126,5/15/20,3167.85,,
127,5/16/20,3206.07,,
128,5/17/20,3130.365,,
129,5/18/20,3114.93,,
130,5/19/20,3051.72,,
131,5/20/20,3022.32,,
132,5/21/20,2915.745,,
133,5/22/20,2787.855,,
134,5/23/20,2739.345,,
135,5/24/20,2792.265,,
136,5/25/20,2808.435,,
137,5/26/20,2829.75,,
138,5/27/20,2682.015,,
139,5/28/20,2645.265,,
140,5/29/20,2452.695,,
141,5/30/20,2426.235,,
142,5/31/20,2369.64,,
143,6/1/20,2406.39,,
144,6/2/20,2332.155,,
145,6/3/20,2237.34,,
146,6/4/20,2139.585,,
147,6/5/20,1985.97,,
148,6/6/20,1875.72,,
149,6/7/20,1869.105,,
150,6/8/20,1911,,
151,6/9/20,1807.365,,
152,6/10/20,1739.745,,
153,6/11/20,1623.615,,
154,6/12/20,1555.995,,
155,6/13/20,1562,,
156,6/14/20,1498,,
157,6/15/20,1437,,
158,6/16/20,1376,,
159,6/17/20,1330,,
160,6/18/20,1292,,
161,6/19/20,1250,,
162,6/20/20,1224,,
163,6/21/20,1188,,
164,6/22/20,1154,,
165,6/23/20,1127,,
166,6/24/20,1097,,
167,6/25/20,1061,,
168,6/26/20,1041,,
169,6/27/20,1021,,
170,6/28/20,1003,,
171,6/29/20,987,,
172,6/30/20,970,,
173,7/1/20,973,,
174,7/2/20,955,,
175,7/3/20,939,,
176,7/4/20,925,,
177,7/5/20,919,,
178,7/6/20,903,,
179,7/7/20,900,,
180,7/8/20,879,,
181,7/9/20,886,,
182,7/10/20,885,,
183,7/11/20,882,,
184,7/12/20,879,,
185,7/13/20,878,,
186,7/14/20,869,,
187,7/15/20,852,,
188,7/16/20,840,,
189,7/17/20,829,,
190,7/18/20,825,,
191,7/19/20,814,,
192,7/20/20,811,,
193,7/21/20,801,,
194,7/22/20,799,,
195,7/23/20,798,,
196,7/24/20,798,,
197,7/25/20,797,,
198,7/26/20,801,,
199,7/27/20,794,,
200,7/28/20,797,,
201,7/29/20,795,,
202,7/30/20,788,,
203,7/31/20,779,,
204,8/1/20,774,,
205,8/2/20,767,,
206,8/3/20,773,,
207,8/4/20,771,,
208,8/5/20,769,,
209,8/6/20,774,,
210,8/7/20,788,,
211,8/8/20,788,,
212,8/9/20,785,,
213,8/10/20,781,,
214,8/11/20,780,,
215,8/12/20,786,,
216,8/13/20,789,,
217,8/14/20,781,,
218,8/15/20,795,,
219,8/16/20,806,,
220,8/17/20,808,,
221,8/18/20,799,,
222,8/19/20,786,,
223,8/20/20,776,,
224,8/21/20,771,,
225,8/22/20,749,,
226,8/23/20,736,,
227,8/24/20,727,,
228,8/25/20,731,,
229,8/26/20,736,,
230,8/27/20,732,,
231,8/28/20,732,,
232,8/29/20,732,,
233,8/30/20,726,,
234,8/31/20,725,,
235,9/1/20,723,,
236,9/2/20,719,,
237,9/3/20,720,,
238,9/4/20,715,,
239,9/5/20,718,,
240,9/6/20,717,,
241,9/7/20,713,,
242,9/8/20,707,,
243,9/9/20,703,,
244,9/10/20,705,,
245,9/11/20,707,,
246,9/12/20,697,,
247,9/13/20,688,,
248,9/14/20,687,,
249,9/15/20,694,,
250,9/16/20,692,,
251,9/17/20,682,,
252,9/18/20,682,,
253,9/19/20,685,,
254,9/20/20,689,,
255,9/21/20,682,,
256,9/22/20,679,,
257,9/23/20,692,,
258,9/24/20,701,,
259,9/25/20,705,,
260,9/26/20,707,,
261,9/27/20,702,,
262,9/28/20,708,,
263,9/29/20,716,,
264,9/30/20,707,,
265,10/1/20,709,,
266,10/2/20,702,,
267,10/3/20,712,,
268,10/4/20,731,,
269,10/5/20,743,,
270,10/6/20,743,,
271,10/7/20,758,,
272,10/8/20,771,,
273,10/9/20,791,,
274,10/10/20,804,,
275,10/11/20,814,,
276,10/12/20,828,,
277,10/13/20,851,,
278,10/14/20,856,,
279,10/15/20,861,,
280,10/16/20,878,,
281,10/17/20,893,,
282,10/18/20,912,,
283,10/19/20,932,,
284,10/20/20,947,,
285,10/21/20,989,,
286,10/22/20,1028,,
287,10/23/20,1058,,
288,10/24/20,1093,,
289,10/25/20,1128,,
290,10/26/20,1162,,
291,10/27/20,1211,,
292,10/28/20,1252,,
293,10/29/20,1295,,
294,10/30/20,1343,,
295,10/31/20,1400,,
296,11/1/20,1456,,
297,11/2/20,1512,,
298,11/3/20,1562,,
299,11/4/20,1610,,
300,11/5/20,1677,,
301,11/6/20,1750,,
302,11/7/20,1823,,
303,11/8/20,1882,,
304,11/9/20,1960,,
305,11/10/20,2049,,
306,11/11/20,2140,,
307,11/12/20,2215,,
308,11/13/20,2287,,
309,11/14/20,2357,,
310,11/15/20,2439,,
311,11/16/20,2515,,
312,11/17/20,2575,,
313,11/18/20,2627,,
314,11/19/20,2683,,
315,11/20/20,2738,,
316,11/21/20,2780,,
317,11/22/20,2832,,
318,11/23/20,2863,,
319,11/24/20,2891,,
320,11/25/20,2901,,
321,11/26/20,2899,,
322,11/27/20,2879,,
323,11/28/20,2875,,
324,11/29/20,2859,,
325,11/30/20,2836,,
326,12/1/20,2821,,
327,12/2/20,2806,,
328,12/3/20,2781,,
329,12/4/20,2768,,
330,12/5/20,2726,,
331,12/6/20,2683,,
332,12/7/20,2648,,
333,12/8/20,2618,,
334,12/9/20,2580,,
