,date,hospitalized
0,01/01/21,449
1,01/02/21,437
2,01/03/21,452
3,01/04/21,433
4,01/05/21,436
5,01/06/21,416
6,01/07/21,424
7,01/08/21,386
8,01/09/21,390
9,01/10/21,400
10,01/11/21,390
11,01/12/21,389
12,01/13/21,378
13,01/14/21,360
14,01/15/21,373
15,01/16/21,367
16,01/17/21,383
17,01/18/21,387
18,01/19/21,393
19,01/20/21,354
20,01/21/21,348
21,01/22/21,346
22,01/23/21,345
23,01/24/21,331
24,01/25/21,340
25,01/26/21,332
26,01/27/21,305
27,01/28/21,298
28,01/29/21,290
29,01/30/21,284
30,01/31/21,285
31,02/01/21,288
32,02/02/21,281
33,02/03/21,287
34,02/04/21,274
35,02/05/21,269
36,02/06/21,292
37,02/07/21,265
38,02/08/21,290
39,02/09/21,266
40,02/10/21,243
41,02/11/21,243
42,02/12/21,216
43,02/13/21,193
44,02/14/21,211
45,02/15/21,209
46,02/16/21,204
47,02/17/21,218
48,02/18/21,190
49,02/19/21,198
50,02/20/21,213
51,02/21/21,212
52,02/22/21,206
53,02/23/21,182
54,02/24/21,184
55,02/25/21,206
56,02/26/21,188
57,02/27/21,182
58,02/28/21,176
59,03/01/21,163
60,03/02/21,158
61,03/03/21,149
62,03/04/21,153
63,03/05/21,156
64,03/06/21,158
65,03/07/21,166
66,03/08/21,158
67,03/09/21,145
68,03/10/21,145
69,03/11/21,146
70,03/12/21,145
71,03/13/21,150
72,03/14/21,127
73,03/15/21,139
74,03/16/21,153
75,03/17/21,141
76,03/18/21,144
77,03/19/21,140
78,03/20/21,146
79,03/21/21,141
80,03/22/21,168
81,03/23/21,170
82,03/24/21,172
83,03/25/21,163
84,03/26/21,166
85,03/27/21,171
86,03/28/21,182
87,03/29/21,194
88,03/30/21,195
89,03/31/21,201
90,04/01/21,201
91,04/02/21,209
92,04/03/21,206
93,04/04/21,213
94,04/05/21,201
95,04/06/21,193
96,04/07/21,194
97,04/08/21,204
98,04/09/21,222
99,04/10/21,232
100,04/11/21,232
101,04/12/21,259
102,04/13/21,247
103,04/14/21,258
104,04/15/21,257
105,04/16/21,272
106,04/17/21,272
107,04/18/21,283
108,04/19/21,291
109,04/20/21,290
110,04/21/21,283
111,04/22/21,267
112,04/23/21,248
113,04/24/21,254
114,04/25/21,277
115,04/26/21,272
116,04/27/21,275
117,04/28/21,258
118,04/29/21,255
119,04/30/21,259
120,05/01/21,254
121,05/02/21,268
122,05/03/21,276
123,05/04/21,278
124,05/05/21,277
125,05/06/21,266
126,05/07/21,278
127,05/08/21,258
128,05/09/21,272
129,05/10/21,269
130,05/11/21,252
131,05/12/21,240
132,05/13/21,225
133,05/14/21,217
134,05/15/21,219
135,05/16/21,221
136,05/17/21,221
137,05/18/21,220
138,05/19/21,226
139,05/20/21,193
140,05/21/21,188
141,05/22/21,184
142,05/23/21,175
143,05/24/21,193
144,05/25/21,196
145,05/26/21,183
146,05/27/21,172
147,05/28/21,170
148,05/29/21,159
149,05/30/21,165
