,date,hospitalized,,
0,1/10/20,0.00,,
1,1/11/20,0.00,,
2,1/12/20,0.00,,
3,1/13/20,0.00,,
4,1/14/20,0.00,,
5,1/15/20,0.00,,
6,1/16/20,0.00,,
7,1/17/20,0.00,,
8,1/18/20,0.00,,
9,1/19/20,0.01,,
10,1/20/20,0.01,,
11,1/21/20,0.01,,
12,1/22/20,0.01,,
13,1/23/20,0.01,,
14,1/24/20,0.01,,
15,1/25/20,0.01,,
16,1/26/20,0.01,,
17,1/27/20,0.02,,
18,1/28/20,0.02,,
19,1/29/20,0.02,,
20,1/30/20,0.02,,
21,1/31/20,0.02,,
22,2/1/20,0.03,,
23,2/2/20,0.03,,
24,2/3/20,0.04,,
25,2/4/20,0.04,,
26,2/5/20,0.05,,
27,2/6/20,0.05,,
28,2/7/20,0.06,,
29,2/8/20,0.07,,
30,2/9/20,0.08,,
31,2/10/20,0.09,,
32,2/11/20,0.10,,
33,2/12/20,0.12,,
34,2/13/20,0.13,,
35,2/14/20,0.15,,
36,2/15/20,0.17,,
37,2/16/20,0.20,,
38,2/17/20,0.22,,
39,2/18/20,0.26,,
40,2/19/20,0.29,,
41,2/20/20,0.33,,
42,2/21/20,0.37,,
43,2/22/20,0.42,,
44,2/23/20,0.48,,
45,2/24/20,0.54,,
46,2/25/20,0.61,,
47,2/26/20,0.69,,
48,2/27/20,0.78,,
49,2/28/20,0.89,,
50,2/29/20,1.01,,
51,3/1/20,1.15,,
52,3/2/20,1.32,,
53,3/3/20,1.51,,
54,3/4/20,1.71,,
55,3/5/20,1.95,,
56,3/6/20,2.21,,
57,3/7/20,2.53,,
58,3/8/20,2.90,,
59,3/9/20,3.33,,
60,3/10/20,3.89,,
61,3/11/20,4.82,,
62,3/12/20,6.44,,
63,3/13/20,9.07,,
64,3/14/20,13.01,,
65,3/15/20,18.52,,
66,3/16/20,25.73,,
67,3/17/20,34.60,,
68,3/18/20,45.02,,
69,3/19/20,56.90,,
70,3/20/20,70.15,,
71,3/21/20,134.70,,
72,3/22/20,126.50,,
73,3/23/20,156.53,,
74,3/24/20,160.77,,
75,3/25/20,189.38,,
76,3/26/20,204.71,,
77,3/27/20,229.21,,
78,3/28/20,265.32,,
79,3/29/20,286.50,,
80,3/30/20,326.96,,
81,3/31/20,349.57,,
82,4/1/20,390.44,,
83,4/2/20,426.02,,
84,4/3/20,493.90,,
85,4/4/20,532.14,,
86,4/5/20,594.59,,
87,4/6/20,646.35,,
88,4/7/20,678.04,,
89,4/8/20,715.05,,
90,4/9/20,754.64,,
91,4/10/20,813.65,,
92,4/11/20,854.23,,
93,4/12/20,900.543,,
94,4/13/20,923.853,,
95,4/14/20,920.745,,
96,4/15/20,969.696,,
97,4/16/20,929.292,,
98,4/17/20,926.184,,
99,4/18/20,929.292,,
100,4/19/20,962.703,,
101,4/20/20,952.602,,
102,4/21/20,947.94,,
103,4/22/20,985.236,,
104,4/23/20,951.825,,
105,4/24/20,966.588,,
106,4/25/20,984.459,,
107,4/26/20,970.473,,
108,4/27/20,967.365,,
109,4/28/20,1002.33,,
110,4/29/20,1001.553,,
111,4/30/20,981.351,,
112,5/1/20,971.25,,
113,5/2/20,957.264,,
114,5/3/20,957.264,,
115,5/4/20,983.682,,
116,5/5/20,956.487,,
117,5/6/20,973.581,,
118,5/7/20,970.473,,
119,5/8/20,947.94,,
120,5/9/20,966.588,,
121,5/10/20,981.351,,
122,5/11/20,944.055,,
123,5/12/20,938.616,,
124,5/13/20,879.564,,
125,5/14/20,877.233,,
126,5/15/20,881.895,,
127,5/16/20,916.083,,
128,5/17/20,871.794,,
129,5/18/20,840.714,,
130,5/19/20,850.038,,
131,5/20/20,846.153,,
132,5/21/20,839.937,,
133,5/22/20,797.979,,
134,5/23/20,782.439,,
135,5/24/20,796.425,,
136,5/25/20,804.195,,
137,5/26/20,801.087,,
138,5/27/20,783.993,,
139,5/28/20,761.46,,
140,5/29/20,718.725,,
141,5/30/20,731.157,,
142,5/31/20,700.854,,
143,6/1/20,679.098,,
144,6/2/20,655.788,,
145,6/3/20,662.781,,
146,6/4/20,634.809,,
147,6/5/20,598.29,,
148,6/6/20,559.44,,
149,6/7/20,554.001,,
150,6/8/20,564.102,,
151,6/9/20,548.562,,
152,6/10/20,495.726,,
153,6/11/20,503.496,,
154,6/12/20,473.97,,
155,6/13/20,420.5467587,,
156,6/14/20,423.8897043,,
157,6/15/20,418.7338652,,
158,6/16/20,418.4446131,,
159,6/17/20,399.7228988,,
160,6/18/20,379.4674109,,
161,6/19/20,336.31874,,
162,6/20/20,312.6205453,,
163,6/21/20,308.5019095,,
164,6/22/20,309.9991781,,
165,6/23/20,283.9132614,,
166,6/24/20,289.3688684,,
167,6/25/20,288.1247706,,
168,6/26/20,272.5191599,,
169,6/27/20,268.0562016,,
170,6/28/20,266.1688689,,
171,6/29/20,285.0899221,,
172,6/30/20,271.2944882,,
173,7/1/20,247.4921011,,
174,7/2/20,236.0378,,
175,7/3/20,237.2692683,,
176,7/4/20,214.2292382,,
177,7/5/20,227.5530855,,
178,7/6/20,226.6753357,,
179,7/7/20,233.3585039,,
180,7/8/20,221.8749857,,
181,7/9/20,213.2804819,,
182,7/10/20,222.5365914,,
183,7/11/20,214.2682759,,
184,7/12/20,229.9791531,,
185,7/13/20,227.9038904,,
186,7/14/20,220.3999718,,
187,7/15/20,208.8912784,,
188,7/16/20,205.2076923,,
189,7/17/20,214.2728143,,
190,7/18/20,209.4639028,,
191,7/19/20,197.7898507,,
192,7/20/20,203.5810601,,
193,7/21/20,211.6031568,,
194,7/22/20,193.264464,,
195,7/23/20,202.731338,,
196,7/24/20,211.2244615,,
197,7/25/20,212.3946764,,
198,7/26/20,216.7050836,,
199,7/27/20,203.6241994,,
200,7/28/20,220.0825858,,
201,7/29/20,218.9071328,,
202,7/30/20,214.0306082,,
203,7/31/20,205.9960485,,
204,8/1/20,207.7378459,,
205,8/2/20,210.7171113,,
206,8/3/20,220.5499648,,
207,8/4/20,221.164382,,
208,8/5/20,206.1005862,,
209,8/6/20,198.1257756,,
210,8/7/20,201.52818,,
211,8/8/20,190.0451822,,
212,8/9/20,205.9873741,,
213,8/10/20,196.6791087,,
214,8/11/20,209.1276049,,
215,8/12/20,223.3637567,,
216,8/13/20,199.9652879,,
217,8/14/20,189.7084218,,
218,8/15/20,200.6890244,,
219,8/16/20,199.4651803,,
220,8/17/20,196.3756863,,
221,8/18/20,193.3559138,,
222,8/19/20,205.1832806,,
223,8/20/20,201.0221809,,
224,8/21/20,183.8364376,,
225,8/22/20,189.7920606,,
226,8/23/20,183.6235801,,
227,8/24/20,186.4733088,,
228,8/25/20,189.0768975,,
229,8/26/20,210.3065347,,
230,8/27/20,188.4104348,,
231,8/28/20,185.0975718,,
232,8/29/20,173.3939883,,
233,8/30/20,182.2903651,,
234,8/31/20,190.7789784,,
235,9/1/20,181.4188339,,
236,9/2/20,187.5407311,,
237,9/3/20,186.2213592,,
238,9/4/20,186.7109203,,
239,9/5/20,183.8787297,,
240,9/6/20,181.7950941,,
241,9/7/20,176.7320898,,
242,9/8/20,182.1605267,,
243,9/9/20,175.7774609,,
244,9/10/20,182.7816851,,
245,9/11/20,175.9849283,,
246,9/12/20,166.4024656,,
247,9/13/20,168.9780713,,
248,9/14/20,186.8847635,,
249,9/15/20,175.4239604,,
250,9/16/20,182.9828003,,
251,9/17/20,167.7168889,,
252,9/18/20,166.9746414,,
253,9/19/20,183.40875,,
254,9/20/20,188.097,,
255,9/21/20,189.7720902,,
256,9/22/20,181.0713142,,
257,9/23/20,207.6,,
258,9/24/20,192.5809273,,
259,9/25/20,183.6121943,,
260,9/26/20,180.2293307,,
261,9/27/20,175.8709198,,
262,9/28/20,184.4049386,,
263,9/29/20,192.5764615,,
264,9/30/20,181.7628581,,
265,10/1/20,187.6900703,,
266,10/2/20,180.5509756,,
267,10/3/20,194.2912164,,
268,10/4/20,195.680947,,
269,10/5/20,197.1957161,,
270,10/6/20,189.9687678,,
271,10/7/20,202.0961765,,
272,10/8/20,204.8757273,,
273,10/9/20,211.4306406,,
274,10/10/20,201.2008832,,
275,10/11/20,195.9922785,,
276,10/12/20,211.8946508,,
277,10/13/20,204.6655,,
278,10/14/20,201.7854844,,
279,10/15/20,211.0075929,,
280,10/16/20,217.1450686,,
281,10/17/20,210.3077691,,
282,10/18/20,249.7330621,,
283,10/19/20,250.1880712,,
284,10/20/20,255.4149758,,
285,10/21/20,269.4435484,,
286,10/22/20,264.6808352,,
287,10/23/20,289.7148899,,
288,10/24/20,291.6914681,,
289,10/25/20,304.9938462,,
290,10/26/20,309.2034247,,
291,10/27/20,315.78935,,
292,10/28/20,340.026621,,
293,10/29/20,357.6354344,,
294,10/30/20,363.2018631,,
295,10/31/20,372.3573407,,
296,11/1/20,390.1262187,,
297,11/2/20,408.3569449,,
298,11/3/20,416.2884653,,
