,date,county,cases,population,land_area
0,1/2/20,Cook,2,103761,63589599
1,1/3/20,Cook,1,74298,18422020
4,1/5/20,Cook,2,58481,27893334
5,1/6/20,Cook,2,31070,11297783
6,1/7/20,Cook,1,91326,19235615
7,1/8/20,Cook,1,84573,19848453
8,1/20/20,Cook,1,74298,18422020
10,1/27/20,Cook,1,43125,12236667
11,1/28/20,Cook,1,19777,9375542
13,2/17/20,Cook,2,110321,27509243
15,2/18/20,Cook,1,71663,10468217
17,2/22/20,Cook,1,72202,28281273
18,2/23/20,Cook,1,38585,35545352
19,2/25/20,Cook,1,37633,24323149
21,2/28/20,Cook,1,21145,29946635
23,3/1/20,Cook,2,115929,10651146
26,3/2/20,Cook,1,71663,10468217
28,3/3/20,Cook,5,202221,48042771
32,3/4/20,Cook,3,128220,22074395
35,3/5/20,Cook,9,366127,133518263
37,3/6/20,Cook,2,147006,25507162
39,3/7/20,Cook,4.142857143,356774,114786349
40,3/8/20,Cook,5,460677,103714738
44,3/9/20,Cook,5.285714286,185257,30836895
49,3/10/20,Cook,5.857142857,342858,123576748
52,3/11/20,Cook,6.714285714,479506,152553351
57,3/12/20,Cook,7.142857143,588385,236937878
62,3/13/20,Cook,8.857142857,611356,175126184
68,3/14/20,Cook,10.28571429,656931,314127230
74,3/15/20,Cook,13.14285714,1069196,340502984
80,3/16/20,Cook,16.42857143,1126497,335373415
89,3/17/20,Cook,20.71428571,1393104,520228501
95,3/18/20,Cook,28,2022126,769097504
104,3/19/20,Cook,34.85714286,1822960,700516222
120,3/20/20,Cook,43,2331251,865116187
130,3/21/20,Cook,51.57142857,2394429,830117673
143,3/22/20,Cook,63.14285714,2741764,1145392704
158,3/23/20,Cook,81,3183611,1261332073
171,3/24/20,Cook,98.14285714,3432439,1281949808
187,3/25/20,Cook,116.1428571,3676562,1379669078
209,3/26/20,Cook,137,3461201,1463531785
228,3/27/20,Cook,159.5714286,3604600,1485243114
242,3/28/20,Cook,177.4285714,3799222,1500873131
259,3/29/20,Cook,191.2857143,3505566,1386428123
283,3/30/20,Cook,206.8571429,4116852,1730240677
304,3/31/20,Cook,217.4285714,3959730,1595514552
325,4/1/20,Cook,228.7142857,4020594,1561303674
346,4/2/20,Cook,234.7142857,4197471,1659997537
372,4/3/20,Cook,236.2857143,3796205,1394029970
397,4/4/20,Cook,240,3982467,1494796035
419,4/5/20,Cook,237.7142857,3807602,1440097668
437,4/6/20,Cook,239.4285714,3910130,1536620065
462,4/7/20,Cook,245.5714286,4246386,1831249888
486,4/8/20,Cook,243.5714286,3943476,1498289228
505,4/9/20,Cook,240,3555186,1384423431
524,4/10/20,Cook,236.2857143,3776445,1529379712
539,4/11/20,Cook,231.4285714,3689599,1339027877
557,4/12/20,Cook,232.1428571,3694447,1556323601
574,4/13/20,Cook,224.7142857,3926162,1751838066
594,4/14/20,Cook,216,3553305,1385744282
616,4/15/20,Cook,210.1428571,4064087,1525822981
636,4/16/20,Cook,208,3808079,1726569518
658,4/17/20,Cook,207.1428571,3806355,1463307495
680,4/18/20,Cook,208,3809656,1391902751
696,4/19/20,Cook,208.4285714,3863538,1465512362
717,4/20/20,Cook,210.5714286,3914645,1516830323
741,4/21/20,Cook,208.4285714,3608432,1345918158
764,4/22/20,Cook,205.1428571,3492073,1271512010
786,4/23/20,Cook,205.2857143,3810107,1503850855
807,4/24/20,Cook,208.4285714,4069947,1647429864
835,4/25/20,Cook,202.1428571,3547902,1302699635
