,date,hospitalized
0,03/21/20,0.0
1,03/22/20,0.0
2,03/23/20,0.0
3,03/24/20,0.0
4,03/25/20,0.0
5,03/26/20,0.0
6,03/27/20,0.0
7,03/28/20,0.0
8,03/29/20,0.0
9,03/30/20,0.0
10,03/31/20,0.0
11,04/01/20,0.0
12,04/02/20,0.0
13,04/03/20,0.0
14,04/04/20,0.0
15,04/05/20,0.0
16,04/06/20,0.0
17,04/07/20,1529.0
18,04/08/20,1668.0
19,04/09/20,1697.0
20,04/10/20,1690.0
21,04/11/20,1730.0
22,04/12/20,1727.0
23,04/13/20,1798.0
24,04/14/20,1872.0
25,04/15/20,1854.0
26,04/16/20,1913.0
27,04/17/20,1865.0
28,04/18/20,1777.0
29,04/19/20,1914.0
30,04/20/20,2015.0
31,04/21/20,1982.0
32,04/22/20,2080.0
33,04/23/20,1986.0
34,04/24/20,1966.0
35,04/25/20,1916.0
36,04/26/20,1993.0
37,04/27/20,2017.0
38,04/28/20,2146.0
39,04/29/20,2091.0
40,04/30/20,2016.0
41,05/01/20,2073.0
42,05/02/20,1972.0
43,05/03/20,2040.0
44,05/04/20,2051.0
45,05/05/20,1979.0
46,05/06/20,2109.0
47,05/07/20,2088.0
48,05/08/20,2043.0
49,05/09/20,1869.0
50,05/10/20,1865.0
51,05/11/20,2003.0
52,05/12/20,1983.0
53,05/13/20,1932.0
54,05/14/20,1902.0
55,05/15/20,1825.0
56,05/16/20,1781.0
57,05/17/20,1787.0
58,05/18/20,1672.0
59,05/19/20,1564.0
60,05/20/20,1702.0
61,05/21/20,1593.0
62,05/22/20,1542.0
63,05/23/20,1481.0
64,05/24/20,1486.0
65,05/25/20,1538.0
66,05/26/20,1565.0
67,05/27/20,1484.0
68,05/28/20,1444.0
69,05/29/20,1341.0
70,05/30/20,1330.0
71,05/31/20,1276.0
72,06/01/20,1313.0
73,06/02/20,1276.0
74,06/03/20,1246.0
75,06/04/20,1166.0
76,06/05/20,1115.0
77,06/06/20,1032.0
78,06/07/20,1043.0
79,06/08/20,1061.0
80,06/09/20,995.0
81,06/10/20,965.0
82,06/11/20,930.0
83,06/12/20,881.0
84,06/13/20,767.0
85,06/14/20,782.0
86,06/15/20,768.0
87,06/16/20,765.0
88,06/17/20,746.0
89,06/18/20,722.0
90,06/19/20,692.0
91,06/20/20,678.0
92,06/21/20,637.0
93,06/22/20,679.0
94,06/23/20,659.0
95,06/24/20,618.0
96,06/25/20,563.0
97,06/26/20,590.0
98,06/27/20,563.0
99,06/28/20,556.0
100,06/29/20,562.0
101,06/30/20,515.0
102,07/01/20,685.0
103,07/02/20,489.0
104,07/03/20,506.0
105,07/04/20,475.0
106,07/05/20,497.0
107,07/06/20,456.0
