,date,hospitalized
0,03/21/20,0.0
1,03/22/20,0.0
2,03/23/20,0.0
3,03/24/20,0.0
4,03/25/20,0.0
5,03/26/20,0.0
6,03/27/20,0.0
7,03/28/20,0.0
8,03/29/20,0.0
9,03/30/20,0.0
10,03/31/20,0.0
11,04/01/20,0.0
12,04/02/20,0.0
13,04/03/20,0.0
14,04/04/20,0.0
15,04/05/20,0.0
16,04/06/20,0.0
17,04/07/20,1653.0
18,04/08/20,1787.0
19,04/09/20,1801.0
20,04/10/20,1792.0
21,04/11/20,1823.0
22,04/12/20,1815.0
23,04/13/20,1878.0
24,04/14/20,1961.0
25,04/15/20,1937.0
26,04/16/20,1983.0
27,04/17/20,1930.0
28,04/18/20,1849.0
29,04/19/20,2005.0
30,04/20/20,2094.0
31,04/21/20,2064.0
32,04/22/20,2169.0
33,04/23/20,2079.0
34,04/24/20,2060.0
35,04/25/20,2008.0
36,04/26/20,2085.0
37,04/27/20,2088.0
38,04/28/20,2234.0
39,04/29/20,2165.0
40,04/30/20,2088.0
41,05/01/20,2123.0
42,05/02/20,2028.0
43,05/03/20,2091.0
44,05/04/20,2107.0
45,05/05/20,2027.0
46,05/06/20,2151.0
47,05/07/20,2130.0
48,05/08/20,2100.0
49,05/09/20,1942.0
50,05/10/20,1931.0
51,05/11/20,2063.0
52,05/12/20,2052.0
53,05/13/20,1983.0
54,05/14/20,1961.0
55,05/15/20,1880.0
56,05/16/20,1843.0
57,05/17/20,1855.0
58,05/18/20,1744.0
59,05/19/20,1636.0
60,05/20/20,1767.0
61,05/21/20,1660.0
62,05/22/20,1605.0
63,05/23/20,1542.0
64,05/24/20,1554.0
65,05/25/20,1613.0
66,05/26/20,1635.0
67,05/27/20,1550.0
68,05/28/20,1512.0
69,05/29/20,1387.0
70,05/30/20,1390.0
71,05/31/20,1341.0
72,06/01/20,1380.0
73,06/02/20,1333.0
74,06/03/20,1306.0
75,06/04/20,1221.0
76,06/05/20,1175.0
77,06/06/20,1096.0
78,06/07/20,1108.0
79,06/08/20,1133.0
80,06/09/20,1059.0
81,06/10/20,1025.0
82,06/11/20,973.0
83,06/12/20,916.0
84,06/13/20,815.0
85,06/14/20,833.0
86,06/15/20,829.0
87,06/16/20,813.0
88,06/17/20,802.0
89,06/18/20,772.0
90,06/19/20,734.0
91,06/20/20,731.0
92,06/21/20,692.0
93,06/22/20,734.0
94,06/23/20,713.0
95,06/24/20,666.0
96,06/25/20,614.0
97,06/26/20,635.0
98,06/27/20,603.0
99,06/28/20,605.0
100,06/29/20,615.0
101,06/30/20,567.0
102,07/01/20,728.0
103,07/02/20,530.0
104,07/03/20,554.0
105,07/04/20,505.0
106,07/05/20,539.0
