,date,hospitalized
0,06/13/20,1562.0
1,06/14/20,1498.0
2,06/15/20,1437.0
3,06/16/20,1376.0
4,06/17/20,1330.0
5,06/18/20,1292.0
6,06/19/20,1250.0
7,06/20/20,1224.0
8,06/21/20,1188.0
9,06/22/20,1154.0
10,06/23/20,1127.0
11,06/24/20,1097.0
12,06/25/20,1061.0
13,06/26/20,1041.0
14,06/27/20,1021.0
15,06/28/20,1003.0
16,06/29/20,987.0
17,06/30/20,970.0
18,07/01/20,973.0
19,07/02/20,955.0
20,07/03/20,939.0
21,07/04/20,925.0
22,07/05/20,919.0
23,07/06/20,903.0
24,07/07/20,900.0
25,07/08/20,879.0
26,07/09/20,886.0
27,07/10/20,885.0
28,07/11/20,882.0
29,07/12/20,879.0
30,07/13/20,878.0
31,07/14/20,869.0
32,07/15/20,852.0
33,07/16/20,840.0
34,07/17/20,829.0
35,07/18/20,825.0
36,07/19/20,814.0
37,07/20/20,811.0
38,07/21/20,801.0
39,07/22/20,799.0
40,07/23/20,798.0
41,07/24/20,798.0
42,07/25/20,797.0
43,07/26/20,801.0
44,07/27/20,794.0
45,07/28/20,797.0
46,07/29/20,795.0
47,07/30/20,788.0
48,07/31/20,779.0
49,08/01/20,774.0
50,08/02/20,767.0
51,08/03/20,773.0
52,08/04/20,771.0
53,08/05/20,769.0
54,08/06/20,774.0
55,08/07/20,788.0
56,08/08/20,788.0
57,08/09/20,785.0
58,08/10/20,781.0
59,08/11/20,780.0
60,08/12/20,786.0
61,08/13/20,789.0
62,08/14/20,781.0
63,08/15/20,795.0
64,08/16/20,806.0
65,08/17/20,808.0
66,08/18/20,799.0
67,08/19/20,786.0
68,08/20/20,776.0
69,08/21/20,771.0
70,08/22/20,749.0
71,08/23/20,736.0
72,08/24/20,727.0
73,08/25/20,731.0
74,08/26/20,736.0
75,08/27/20,732.0
76,08/28/20,732.0
77,08/29/20,732.0
78,08/30/20,726.0
79,08/31/20,725.0
80,09/01/20,723.0
81,09/02/20,719.0
82,09/03/20,720.0
83,09/04/20,715.0
84,09/05/20,718.0
85,09/06/20,717.0
86,09/07/20,713.0
87,09/08/20,707.0
88,09/09/20,703.0
89,09/10/20,705.0
90,09/11/20,707.0
91,09/12/20,697.0
92,09/13/20,688.0
93,09/14/20,687.0
94,09/15/20,694.0
95,09/16/20,692.0
96,09/17/20,682.0
97,09/18/20,682.0
98,09/19/20,685.0
99,09/20/20,689.0
100,09/21/20,682.0
101,09/22/20,679.0
102,09/23/20,692.0
103,09/24/20,701.0
104,09/25/20,705.0
105,09/26/20,707.0
106,09/27/20,702.0
107,09/28/20,708.0
108,09/29/20,716.0
109,09/30/20,707.0
110,10/01/20,709.0
111,10/02/20,702.0
112,10/03/20,712.0
113,10/04/20,731.0
114,10/05/20,743.0
115,10/06/20,743.0
116,10/07/20,758.0
117,10/08/20,771.0
118,10/09/20,791.0
119,10/10/20,804.0
120,10/11/20,814.0
121,10/12/20,828.0
122,10/13/20,851.0
123,10/14/20,856.0
124,10/15/20,861.0
125,10/16/20,878.0
126,10/17/20,893.0
127,10/18/20,912.0
128,10/19/20,932.0
129,10/20/20,947.0
130,10/21/20,989.0
131,10/22/20,1028.0
132,10/23/20,1058.0
133,10/24/20,1093.0
134,10/25/20,1128.0
135,10/26/20,1162.0
136,10/27/20,1211.0
137,10/28/20,1252.0
138,10/29/20,1295.0
139,10/30/20,1343.0
140,10/31/20,1400.0
141,11/01/20,1456.0
142,11/02/20,1512.0
143,11/03/20,1562.0
144,11/04/20,1610.0
145,11/05/20,1677.0
146,11/06/20,1750.0
147,11/07/20,1823.0
148,11/08/20,1882.0
149,11/09/20,1960.0
150,11/10/20,2049.0
151,11/11/20,2140.0
152,11/12/20,2215.0
153,11/13/20,2287.0
154,11/14/20,2357.0
155,11/15/20,2439.0
156,11/16/20,2515.0
157,11/17/20,2575.0
158,11/18/20,2627.0
159,11/19/20,2683.0
160,11/20/20,2738.0
161,11/21/20,2780.0
162,11/22/20,2832.0
163,11/23/20,2863.0
164,11/24/20,2891.0
165,11/25/20,2901.0
166,11/26/20,2899.0
167,11/27/20,2879.0
168,11/28/20,2875.0
169,11/29/20,2859.0
170,11/30/20,2836.0
171,12/01/20,2821.0
172,12/02/20,2806.0
173,12/03/20,2781.0
174,12/04/20,2768.0
175,12/05/20,2726.0
176,12/06/20,2683.0
177,12/07/20,2648.0
178,12/08/20,2618.0
179,12/09/20,2580.0
180,12/10/20,2561.0
181,12/11/20,2528.0
182,12/12/20,2524.0
183,12/13/20,2508.0
184,12/14/20,2492.0
185,12/15/20,2465.0
186,12/16/20,2447.0
187,12/17/20,2419.0
188,12/18/20,2391.0
189,12/19/20,2340.0
190,12/20/20,2307.0
191,12/21/20,2280.0
192,12/22/20,2261.0
193,12/23/20,2233.0
194,12/24/20,2202.0
195,12/25/20,2163.0
196,12/26/20,2145.0
197,12/27/20,2133.0
198,12/28/20,2112.0
199,12/29/20,2088.0
200,12/30/20,2070.0
201,12/31/20,2056.0
202,01/01/21,2044.0
203,01/02/21,2017.0
204,01/03/21,1993.0
205,01/04/21,1957.0
206,01/05/21,1922.0
207,01/06/21,1896.0
208,01/07/21,1870.0
209,01/08/21,1854.0
210,01/09/21,1838.0
211,01/10/21,1810.0
212,01/11/21,1788.0
213,01/12/21,1772.0
214,01/13/21,1746.0
215,01/14/21,1723.0
216,01/15/21,1700.0
217,01/16/21,1688.0
218,01/17/21,1675.0
219,01/18/21,1664.0
220,01/19/21,1636.0
221,01/20/21,1627.0
222,01/21/21,1611.0
223,01/22/21,1599.0
224,01/23/21,1582.0
225,01/24/21,1557.0
226,01/25/21,1535.0
227,01/26/21,1515.0
228,01/27/21,1476.0
229,01/28/21,1439.0
230,01/29/21,1397.0
231,01/30/21,1350.0
232,01/31/21,1307.0
233,02/01/21,1267.0
234,02/02/21,1235.0
235,02/03/21,1204.0
236,02/04/21,1179.0
237,02/05/21,1161.0
238,02/06/21,1148.0
239,02/07/21,1133.0
240,02/08/21,1113.0
241,02/09/21,1089.0
242,02/10/21,1070.0
243,02/11/21,1052.0
244,02/12/21,1030.0
245,02/13/21,1003.0
246,02/14/21,979.0
247,02/15/21,954.0
248,02/16/21,927.0
249,02/17/21,902.0
250,02/18/21,870.0
251,02/19/21,844.0
252,02/20/21,822.0
253,02/21/21,800.0
254,02/22/21,778.0
255,02/23/21,762.0
256,02/24/21,747.0
257,02/25/21,739.0
258,02/26/21,721.0
259,02/27/21,705.0
260,02/28/21,692.0
261,03/01/21,677.0
262,03/02/21,668.0
263,03/03/21,654.0
264,03/04/21,642.0
265,03/05/21,642.0
266,03/06/21,645.0
267,03/07/21,642.0
268,03/08/21,644.0
269,03/09/21,635.0
270,03/10/21,630.0
271,03/11/21,626.0
272,03/12/21,619.0
273,03/13/21,617.0
274,03/14/21,612.0
275,03/15/21,609.0
276,03/16/21,611.0
277,03/17/21,614.0
278,03/18/21,615.0
279,03/19/21,621.0
280,03/20/21,621.0
281,03/21/21,628.0
282,03/22/21,642.0
283,03/23/21,657.0
284,03/24/21,675.0
285,03/25/21,692.0
286,03/26/21,705.0
287,03/27/21,719.0
288,03/28/21,737.0
289,03/29/21,744.0
290,03/30/21,753.0
291,03/31/21,762.0
292,04/01/21,769.0
293,04/02/21,774.0
294,04/03/21,784.0
295,04/04/21,795.0
296,04/05/21,809.0
297,04/06/21,825.0
298,04/07/21,849.0
299,04/08/21,873.0
300,04/09/21,898.0
301,04/10/21,926.0
302,04/11/21,958.0
303,04/12/21,988.0
304,04/13/21,1016.0
305,04/14/21,1032.0
306,04/15/21,1050.0
307,04/16/21,1072.0
308,04/17/21,1086.0
309,04/18/21,1100.0
310,04/19/21,1118.0
311,04/20/21,1124.0
312,04/21/21,1130.0
313,04/22/21,1130.0
314,04/23/21,1122.0
315,04/24/21,1115.0
316,04/25/21,1104.0
317,04/26/21,1091.0
318,04/27/21,1088.0
319,04/28/21,1087.0
320,04/29/21,1080.0
321,04/30/21,1074.0
322,05/01/21,1067.0
323,05/02/21,1056.0
324,05/03/21,1046.0
325,05/04/21,1035.0
326,05/05/21,1032.0
327,05/06/21,1033.0
328,05/07/21,1033.0
329,05/08/21,1036.0
330,05/09/21,1037.0
331,05/10/21,1032.0
332,05/11/21,1024.0
333,05/12/21,1004.0
334,05/13/21,981.0
335,05/14/21,953.0
336,05/15/21,933.0
337,05/16/21,902.0
338,05/17/21,868.0
339,05/18/21,842.0
340,05/19/21,823.0
341,05/20/21,806.0
342,05/21/21,789.0
343,05/22/21,772.0
344,05/23/21,763.0
345,05/24/21,758.0
346,05/25/21,749.0
347,05/26/21,737.0
348,05/27/21,723.0
349,05/28/21,710.0
350,05/29/21,690.0
351,05/30/21,675.0
352,05/31/21,650.0
353,06/01/21,619.0
354,06/02/21,595.0
355,06/03/21,572.0
356,06/04/21,549.0
357,06/05/21,528.0
358,06/06/21,501.0
359,06/07/21,482.0
360,06/08/21,471.0
361,06/09/21,455.0
362,06/10/21,443.0
363,06/11/21,431.0
364,06/12/21,421.0
365,06/13/21,412.0
366,06/14/21,400.0
367,06/15/21,386.0
368,06/16/21,365.0
369,06/17/21,346.0
370,06/18/21,330.0
371,06/19/21,313.0
372,06/20/21,298.0
373,06/21/21,284.0
374,06/22/21,271.0
375,06/23/21,263.0
376,06/24/21,256.0
377,06/25/21,248.0
378,06/26/21,245.0
379,06/27/21,240.0
380,06/28/21,237.0
381,06/29/21,231.0
382,06/30/21,226.0
383,07/01/21,222.0
384,07/02/21,218.0
385,07/03/21,211.0
386,07/04/21,204.0
387,07/05/21,202.0
388,07/06/21,206.0
389,07/07/21,207.0
390,07/08/21,208.0
391,07/09/21,206.0
392,07/10/21,208.0
393,07/11/21,208.0
394,07/12/21,210.0
395,07/13/21,203.0
396,07/14/21,204.0
397,07/15/21,201.0
398,07/16/21,200.0
399,07/17/21,201.0
400,07/18/21,206.0
401,07/19/21,206.0
402,07/20/21,213.0
