,date,hospitalized
0,2020-03-17,1.0
1,2020-03-18,0.0
2,2020-03-19,1.0
3,2020-03-20,1.0
4,2020-03-21,1.0
5,2020-03-22,2.0
6,2020-03-24,6.0
7,2020-03-25,1.0
8,2020-03-26,5.0
9,2020-03-27,2.0
10,2020-03-28,8.0
11,2020-03-29,12.0
12,2020-03-30,4.0
13,2020-03-31,16.0
14,2020-04-01,35.0
15,2020-04-02,12.0
16,2020-04-03,34.0
17,2020-04-04,26.0
18,2020-04-05,19.0
19,2020-04-06,23.0
20,2020-04-07,40.0
21,2020-04-08,63.0
22,2020-04-09,39.0
23,2020-04-10,47.0
24,2020-04-11,55.0
25,2020-04-12,32.0
26,2020-04-13,58.0
27,2020-04-14,34.0
28,2020-04-15,53.0
29,2020-04-16,92.0
30,2020-04-17,38.0
31,2020-04-18,100.0
32,2020-04-19,17.0
33,2020-04-20,38.0
34,2020-04-21,87.0
35,2020-04-22,70.0
36,2020-04-23,70.0
37,2020-04-24,78.0
38,2020-04-25,47.0
39,2020-04-26,46.0
40,2020-04-27,34.0
41,2020-04-28,110.0
42,2020-04-29,59.0
43,2020-04-30,91.0
44,2020-05-01,66.0
45,2020-05-02,70.0
46,2020-05-03,43.0
47,2020-05-04,16.0
48,2020-05-05,120.0
49,2020-05-06,82.0
50,2020-05-07,106.0
51,2020-05-08,87.0
52,2020-05-09,67.0
53,2020-05-10,53.0
54,2020-05-11,44.0
55,2020-05-12,88.0
56,2020-05-13,140.0
57,2020-05-14,86.0
58,2020-05-15,87.0
59,2020-05-16,52.0
60,2020-05-17,25.0
61,2020-05-18,50.0
62,2020-05-19,91.0
63,2020-05-20,94.0
64,2020-05-21,40.0
65,2020-05-22,73.0
66,2020-05-23,58.0
67,2020-05-24,57.0
68,2020-05-25,22.0
69,2020-05-26,30.0
70,2020-05-27,101.0
71,2020-05-28,63.0
72,2020-05-29,52.0
73,2020-05-30,33.0
74,2020-05-31,38.0
75,2020-06-01,17.0
76,2020-06-02,67.0
77,2020-06-03,55.0
78,2020-06-04,66.0
79,2020-06-05,33.0
80,2020-06-06,32.0
81,2020-06-07,30.0
82,2020-06-08,18.0
83,2020-06-09,50.0
84,2020-06-10,44.0
85,2020-06-11,56.0
86,2020-06-12,53.0
87,2020-06-13,11.0
88,2020-06-14,15.0
89,2020-06-15,18.0
90,2020-06-16,47.0
91,2020-06-17,49.0
92,2020-06-18,31.0
93,2020-06-19,30.0
94,2020-06-20,26.0
95,2020-06-21,13.0
96,2020-06-22,19.0
97,2020-06-23,17.0
98,2020-06-24,39.0
99,2020-06-25,22.0
100,2020-06-26,27.0
101,2020-06-27,10.0
102,2020-06-28,6.0
103,2020-06-29,12.0
104,2020-06-30,11.0
105,2020-07-01,16.0
106,2020-07-02,28.0
107,2020-07-03,8.0
108,2020-07-04,5.0
109,2020-07-05,5.0
110,2020-07-06,3.0
111,2020-07-07,21.0
112,2020-07-08,13.0
113,2020-07-09,12.0
114,2020-07-10,17.0
115,2020-07-11,18.0
116,2020-07-12,14.0
117,2020-07-13,4.0
118,2020-07-14,12.0
119,2020-07-15,4.0
120,2020-07-16,5.0
121,2020-07-17,15.0
122,2020-07-18,8.0
123,2020-07-19,3.0
124,2020-07-20,1.0
125,2020-07-21,11.0
126,2020-07-22,13.0
127,2020-07-23,8.0
128,2020-07-24,13.0
129,2020-07-25,7.0
130,2020-07-26,1.0
131,2020-07-27,12.0
132,2020-07-28,15.0
133,2020-07-29,7.0
134,2020-07-30,8.0
135,2020-07-31,14.0
136,2020-08-01,2.0
137,2020-08-02,5.0
138,2020-08-03,4.0
139,2020-08-04,3.0
140,2020-08-05,9.0
141,2020-08-06,2.0
142,2020-08-07,9.0
143,2020-08-08,1.0
144,2020-08-09,7.0
145,2020-08-10,0.0
146,2020-08-11,4.0
147,2020-08-12,2.0
148,2020-08-13,9.0
149,2020-08-14,8.0
150,2020-08-15,2.0
151,2020-08-16,9.0
152,2020-08-17,2.0
153,2020-08-18,9.0
154,2020-08-19,11.0
155,2020-08-20,4.0
156,2020-08-21,9.0
157,2020-08-22,11.0
158,2020-08-23,5.0
159,2020-08-24,2.0
160,2020-08-25,7.0
161,2020-08-26,9.0
162,2020-08-27,8.0
163,2020-08-28,6.0
164,2020-08-29,1.0
165,2020-08-30,8.0
166,2020-08-31,3.0
167,2020-09-01,8.0
168,2020-09-02,8.0
169,2020-09-03,7.0
170,2020-09-04,6.0
171,2020-09-05,6.0
172,2020-09-06,2.0
173,2020-09-07,3.0
174,2020-09-08,0.0
175,2020-09-09,4.0
176,2020-09-10,3.0
177,2020-09-11,9.0
178,2020-09-12,16.0
179,2020-09-13,5.0
180,2020-09-14,1.0
181,2020-09-15,3.0
182,2020-09-16,9.0
183,2020-09-17,0.0
184,2020-09-18,4.0
185,2020-09-19,7.0
186,2020-09-20,5.0
187,2020-09-21,5.0
188,2020-09-22,5.0
189,2020-09-23,8.0
190,2020-09-24,7.0
191,2020-09-25,7.0
192,2020-09-26,9.0
193,2020-09-27,7.0
194,2020-09-28,7.0
195,2020-09-29,4.0
196,2020-09-30,4.0
197,2020-10-01,4.0
198,2020-10-02,10.0
199,2020-10-03,6.0
200,2020-10-04,11.0
201,2020-10-05,4.0
202,2020-10-06,8.0
203,2020-10-07,5.0
204,2020-10-08,6.0
205,2020-10-09,10.0
206,2020-10-10,9.0
207,2020-10-11,2.0
208,2020-10-12,4.0
209,2020-10-13,11.0
210,2020-10-14,6.0
211,2020-10-15,11.0
212,2020-10-16,7.0
213,2020-10-17,11.0
214,2020-10-18,7.0
215,2020-10-19,7.0
216,2020-10-20,5.0
217,2020-10-21,12.0
218,2020-10-22,9.0
219,2020-10-23,2.0
220,2020-10-24,17.0
221,2020-10-25,12.0
222,2020-10-26,12.0
223,2020-10-27,6.0
224,2020-10-28,11.0
225,2020-10-29,13.0
226,2020-10-30,6.0
227,2020-10-31,16.0
228,2020-11-01,15.0
229,2020-11-02,10.0
230,2020-11-03,7.0
231,2020-11-04,24.0
232,2020-11-05,33.0
233,2020-11-06,12.0
234,2020-11-07,26.0
235,2020-11-08,27.0
236,2020-11-09,6.0
237,2020-11-10,22.0
238,2020-11-11,50.0
239,2020-11-12,8.0
240,2020-11-13,4.0
241,2020-11-14,68.0
242,2020-11-15,20.0
243,2020-11-16,19.0
244,2020-11-17,19.0
245,2020-11-18,77.0
246,2020-11-19,35.0
247,2020-11-20,49.0
248,2020-11-21,50.0
249,2020-11-22,39.0
250,2020-11-23,34.0
251,2020-11-24,44.0
252,2020-11-25,25.0
253,2020-11-26,29.0
254,2020-11-27,26.0
255,2020-11-28,75.0
256,2020-11-29,33.0
257,2020-11-30,65.0
258,2020-12-01,20.0
259,2020-12-02,72.0
260,2020-12-03,43.0
261,2020-12-04,26.0
262,2020-12-05,64.0
263,2020-12-06,21.0
264,2020-12-07,62.0
265,2020-12-08,33.0
266,2020-12-09,64.0
267,2020-12-10,58.0
268,2020-12-11,70.0
269,2020-12-12,32.0
270,2020-12-13,28.0
271,2020-12-14,88.0
272,2020-12-15,13.0
273,2020-12-16,38.0
274,2020-12-17,67.0
275,2020-12-18,76.0
276,2020-12-19,25.0
277,2020-12-20,39.0
278,2020-12-21,70.0
