,date,hospitalized
0,01/01/21,640
1,01/02/21,589
2,01/03/21,649
3,01/04/21,627
4,01/05/21,637
5,01/06/21,656
6,01/07/21,627
7,01/08/21,613
8,01/09/21,591
9,01/10/21,585
10,01/11/21,576
11,01/12/21,646
12,01/13/21,601
13,01/14/21,589
14,01/15/21,583
15,01/16/21,568
16,01/17/21,582
17,01/18/21,560
18,01/19/21,514
19,01/20/21,559
20,01/21/21,544
21,01/22/21,542
22,01/23/21,537
23,01/24/21,517
24,01/25/21,512
25,01/26/21,498
26,01/27/21,511
27,01/28/21,485
28,01/29/21,457
29,01/30/21,436
30,01/31/21,422
31,02/01/21,427
32,02/02/21,443
33,02/03/21,403
34,02/04/21,409
35,02/05/21,393
36,02/06/21,378
37,02/07/21,369
38,02/08/21,371
39,02/09/21,387
40,02/10/21,374
41,02/11/21,369
42,02/12/21,389
43,02/13/21,360
44,02/14/21,341
45,02/15/21,346
46,02/16/21,325
47,02/17/21,312
48,02/18/21,294
49,02/19/21,278
50,02/20/21,267
51,02/21/21,265
52,02/22/21,275
53,02/23/21,274
54,02/24/21,252
55,02/25/21,243
56,02/26/21,222
57,02/27/21,191
58,02/28/21,220
59,03/01/21,217
60,03/02/21,229
61,03/03/21,229
62,03/04/21,223
63,03/05/21,230
64,03/06/21,223
65,03/07/21,224
66,03/08/21,213
67,03/09/21,219
68,03/10/21,223
69,03/11/21,218
70,03/12/21,209
71,03/13/21,217
72,03/14/21,227
73,03/15/21,212
74,03/16/21,212
75,03/17/21,204
76,03/18/21,206
77,03/19/21,223
78,03/20/21,212
79,03/21/21,212
80,03/22/21,243
81,03/23/21,239
82,03/24/21,237
83,03/25/21,261
84,03/26/21,249
85,03/27/21,224
86,03/28/21,238
87,03/29/21,232
88,03/30/21,258
89,03/31/21,257
90,04/01/21,267
91,04/02/21,242
92,04/03/21,261
93,04/04/21,272
94,04/05/21,298
95,04/06/21,318
96,04/07/21,312
97,04/08/21,327
98,04/09/21,315
99,04/10/21,330
100,04/11/21,372
101,04/12/21,349
102,04/13/21,363
103,04/14/21,335
104,04/15/21,350
105,04/16/21,352
106,04/17/21,339
107,04/18/21,387
108,04/19/21,384
109,04/20/21,366
110,04/21/21,364
111,04/22/21,356
112,04/23/21,375
113,04/24/21,365
114,04/25/21,366
115,04/26/21,374
116,04/27/21,386
117,04/28/21,385
118,04/29/21,353
119,04/30/21,359
120,05/01/21,346
121,05/02/21,341
122,05/03/21,366
123,05/04/21,345
124,05/05/21,379
125,05/06/21,379
126,05/07/21,345
127,05/08/21,349
128,05/09/21,350
129,05/10/21,344
130,05/11/21,331
131,05/12/21,305
132,05/13/21,299
133,05/14/21,270
134,05/15/21,292
135,05/16/21,272
136,05/17/21,262
137,05/18/21,308
138,05/19/21,271
139,05/20/21,273
140,05/21/21,262
141,05/22/21,275
142,05/23/21,268
143,05/24/21,238
144,05/25/21,262
145,05/26/21,261
146,05/27/21,247
147,05/28/21,224
148,05/29/21,221
149,05/30/21,218
150,05/31/21,197
