,date,hospitalized
0,01/01/21,22
1,01/02/21,26
2,01/03/21,22
3,01/04/21,24
4,01/05/21,18
5,01/06/21,21
6,01/07/21,22
7,01/08/21,27
8,01/09/21,30
9,01/10/21,31
10,01/11/21,31
11,01/12/21,29
12,01/13/21,32
13,01/14/21,28
14,01/15/21,26
15,01/16/21,26
16,01/17/21,27
17,01/18/21,28
18,01/19/21,33
19,01/20/21,32
20,01/21/21,29
21,01/22/21,27
22,01/23/21,23
23,01/24/21,26
24,01/25/21,30
25,01/26/21,27
26,01/27/21,21
27,01/28/21,20
28,01/29/21,18
29,01/30/21,16
30,01/31/21,15
31,02/01/21,19
32,02/02/21,15
33,02/03/21,15
34,02/04/21,14
35,02/05/21,13
36,02/06/21,12
37,02/07/21,14
38,02/08/21,15
39,02/09/21,21
40,02/10/21,20
41,02/11/21,19
42,02/12/21,20
43,02/13/21,22
44,02/14/21,19
45,02/15/21,20
46,02/16/21,20
47,02/17/21,19
48,02/18/21,20
49,02/19/21,20
50,02/20/21,14
51,02/21/21,19
52,02/22/21,19
53,02/23/21,13
54,02/24/21,17
55,02/25/21,16
56,02/26/21,13
57,02/27/21,10
58,02/28/21,12
59,03/01/21,7
60,03/02/21,9
61,03/03/21,9
62,03/04/21,6
63,03/05/21,6
64,03/06/21,7
65,03/07/21,7
66,03/08/21,8
67,03/09/21,8
68,03/10/21,4
69,03/11/21,4
70,03/12/21,5
71,03/13/21,6
72,03/14/21,6
73,03/15/21,12
74,03/16/21,8
75,03/17/21,10
76,03/18/21,10
77,03/19/21,8
78,03/20/21,8
79,03/21/21,8
80,03/22/21,11
81,03/23/21,12
82,03/24/21,10
83,03/25/21,12
84,03/26/21,9
85,03/27/21,12
86,03/28/21,11
87,03/29/21,14
88,03/30/21,8
89,03/31/21,11
90,04/01/21,12
91,04/02/21,13
92,04/03/21,13
93,04/04/21,16
94,04/05/21,17
95,04/06/21,17
96,04/07/21,10
97,04/08/21,19
98,04/09/21,16
99,04/10/21,17
100,04/11/21,19
101,04/12/21,20
102,04/13/21,17
103,04/14/21,21
104,04/15/21,19
105,04/16/21,19
106,04/17/21,21
107,04/18/21,19
108,04/19/21,27
109,04/20/21,28
110,04/21/21,25
111,04/22/21,26
112,04/23/21,19
113,04/24/21,21
114,04/25/21,22
115,04/26/21,27
116,04/27/21,23
117,04/28/21,19
118,04/29/21,19
119,04/30/21,21
120,05/01/21,18
121,05/02/21,18
122,05/03/21,18
123,05/04/21,18
124,05/05/21,19
125,05/06/21,16
126,05/07/21,15
127,05/08/21,14
128,05/09/21,16
129,05/10/21,16
130,05/11/21,18
131,05/12/21,19
132,05/13/21,15
133,05/14/21,14
134,05/15/21,16
135,05/16/21,15
136,05/17/21,15
137,05/18/21,17
138,05/19/21,14
139,05/20/21,17
140,05/21/21,16
141,05/22/21,16
142,05/23/21,18
143,05/24/21,15
144,05/25/21,14
145,05/26/21,14
146,05/27/21,12
147,05/28/21,14
148,05/29/21,14
149,05/30/21,13
150,05/31/21,11
151,06/01/21,13
152,06/02/21,14
153,06/03/21,16
154,06/04/21,16
155,06/05/21,10
156,06/06/21,11
157,06/07/21,19
158,06/08/21,13
159,06/09/21,13
160,06/10/21,10
161,06/11/21,13
162,06/12/21,11
163,06/13/21,11
164,06/14/21,5
165,06/15/21,4
166,06/16/21,2
167,06/17/21,2
168,06/18/21,2
169,06/19/21,2
170,06/20/21,1
171,06/21/21,2
172,06/22/21,3
173,06/23/21,2
174,06/24/21,3
175,06/25/21,4
176,06/26/21,4
177,06/27/21,2
178,06/28/21,5
179,06/29/21,5
180,06/30/21,3
181,07/01/21,2
182,07/02/21,2
183,07/03/21,1
184,07/04/21,3
185,07/05/21,3
186,07/06/21,3
187,07/07/21,2
188,07/08/21,2
189,07/09/21,3
190,07/10/21,2
191,07/11/21,3
192,07/12/21,3
193,07/13/21,3
194,07/14/21,3
195,07/15/21,3
196,07/16/21,3
197,07/17/21,5
198,07/18/21,4
199,07/19/21,4
200,07/20/21,3
201,07/21/21,2
202,07/22/21,1
203,07/23/21,1
204,07/24/21,4
205,07/25/21,5
206,07/26/21,6
207,07/27/21,5
208,07/28/21,5
209,07/29/21,4
210,07/30/21,5
211,07/31/21,5
212,08/01/21,9
213,08/02/21,9
214,08/03/21,13
215,08/04/21,8
216,08/05/21,8
217,08/06/21,10
218,08/07/21,12
219,08/08/21,12
220,08/09/21,12
221,08/10/21,10
222,08/11/21,13
223,08/12/21,15
224,08/13/21,10
225,08/14/21,11
226,08/15/21,13
227,08/16/21,13
228,08/17/21,11
229,08/18/21,13
230,08/19/21,13
231,08/20/21,16
232,08/21/21,13
233,08/22/21,22
234,08/23/21,15
235,08/24/21,17
236,08/25/21,14
237,08/26/21,16
238,08/27/21,17
239,08/28/21,17
240,08/29/21,14
241,08/30/21,15
242,08/31/21,16
243,09/01/21,19
244,09/02/21,23
245,09/03/21,27
246,09/04/21,25
247,09/05/21,26
248,09/06/21,28
249,09/07/21,30
250,09/08/21,22
251,09/09/21,33
252,09/10/21,33
253,09/11/21,33
254,09/12/21,33
255,09/13/21,27
256,09/14/21,26
257,09/15/21,26
258,09/16/21,28
259,09/17/21,26
260,09/18/21,26
261,09/19/21,31
262,09/20/21,27
263,09/21/21,30
264,09/22/21,31
265,09/23/21,28
266,09/24/21,28
267,09/25/21,31
268,09/26/21,32
269,09/27/21,35
270,09/28/21,30
271,09/29/21,29
272,09/30/21,29
273,10/01/21,26
274,10/02/21,25
275,10/03/21,24
276,10/04/21,24
277,10/05/21,27
278,10/06/21,26
279,10/07/21,28
280,10/08/21,29
281,10/09/21,27
282,10/10/21,28
283,10/11/21,26
