,date,hospitalized
0,01/01/21,255
1,01/02/21,267
2,01/03/21,272
3,01/04/21,275
4,01/05/21,280
5,01/06/21,277
6,01/07/21,250
7,01/08/21,246
8,01/09/21,246
9,01/10/21,230
10,01/11/21,239
11,01/12/21,239
12,01/13/21,246
13,01/14/21,245
14,01/15/21,244
15,01/16/21,257
16,01/17/21,235
17,01/18/21,242
18,01/19/21,237
19,01/20/21,217
20,01/21/21,223
21,01/22/21,213
22,01/23/21,206
23,01/24/21,208
24,01/25/21,198
25,01/26/21,194
26,01/27/21,189
27,01/28/21,196
28,01/29/21,197
29,01/30/21,162
30,01/31/21,167
31,02/01/21,160
32,02/02/21,177
33,02/03/21,161
34,02/04/21,159
35,02/05/21,143
36,02/06/21,142
37,02/07/21,136
38,02/08/21,117
39,02/09/21,122
40,02/10/21,120
41,02/11/21,119
42,02/12/21,136
43,02/13/21,113
44,02/14/21,98
45,02/15/21,91
46,02/16/21,103
47,02/17/21,98
48,02/18/21,90
49,02/19/21,82
50,02/20/21,74
51,02/21/21,73
52,02/22/21,77
53,02/23/21,79
54,02/24/21,79
55,02/25/21,74
56,02/26/21,80
57,02/27/21,77
58,02/28/21,72
59,03/01/21,63
60,03/02/21,71
61,03/03/21,81
62,03/04/21,56
63,03/05/21,55
64,03/06/21,53
65,03/07/21,63
66,03/08/21,64
67,03/09/21,62
68,03/10/21,61
69,03/11/21,59
70,03/12/21,49
71,03/13/21,53
72,03/14/21,46
73,03/15/21,45
74,03/16/21,51
75,03/17/21,48
76,03/18/21,54
77,03/19/21,63
78,03/20/21,58
79,03/21/21,60
80,03/22/21,51
81,03/23/21,49
82,03/24/21,47
83,03/25/21,57
84,03/26/21,60
85,03/27/21,66
86,03/28/21,55
87,03/29/21,51
88,03/30/21,45
89,03/31/21,52
90,04/01/21,54
91,04/02/21,57
92,04/03/21,55
93,04/04/21,49
94,04/05/21,61
95,04/06/21,66
96,04/07/21,68
97,04/08/21,75
98,04/09/21,78
99,04/10/21,58
100,04/11/21,90
101,04/12/21,89
102,04/13/21,80
103,04/14/21,71
104,04/15/21,68
105,04/16/21,72
106,04/17/21,84
107,04/18/21,91
108,04/19/21,88
109,04/20/21,85
110,04/21/21,86
111,04/22/21,88
112,04/23/21,90
113,04/24/21,86
114,04/25/21,88
115,04/26/21,91
116,04/27/21,88
117,04/28/21,76
118,04/29/21,78
119,04/30/21,81
120,05/01/21,75
121,05/02/21,86
122,05/03/21,99
123,05/04/21,97
124,05/05/21,89
125,05/06/21,99
126,05/07/21,99
127,05/08/21,87
