date,hospitalized
2020-01-02,2
2020-01-03,1
2020-01-04,0
2020-01-05,2
2020-01-06,2
2020-01-07,1
2020-01-08,1
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,1
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,1
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,2
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,1
2020-02-23,1
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,2
2020-03-02,1
2020-03-03,5
2020-03-04,3
2020-03-05,9
2020-03-06,2
2020-03-07,7
2020-03-08,8
2020-03-09,3
2020-03-10,9
2020-03-11,9
2020-03-12,12
2020-03-13,14
2020-03-14,17
2020-03-15,28
2020-03-16,26
2020-03-17,39
2020-03-18,60
2020-03-19,60
2020-03-20,71
2020-03-21,77
2020-03-22,109
2020-03-23,151
2020-03-24,159
2020-03-25,186
2020-03-26,206
2020-03-27,229
2020-03-28,202
2020-03-29,206
2020-03-30,260
2020-03-31,233
2020-04-01,265
2020-04-02,248
2020-04-03,240
2020-04-04,228
2020-04-05,190
2020-04-06,272
2020-04-07,276
2020-04-08,251
2020-04-09,223
2020-04-10,214
2020-04-11,194
2020-04-12,195
2020-04-13,220
2020-04-14,215
2020-04-15,210
2020-04-16,208
2020-04-17,208
2020-04-18,200
2020-04-19,198
2020-04-20,235
2020-04-21,200
2020-04-22,187
2020-04-23,209
2020-04-24,230
2020-04-25,156
2020-04-26,150
2020-04-27,215
2020-04-28,236
2020-04-29,212
2020-04-30,194
2020-05-01,168
2020-05-02,201
2020-05-03,176
2020-05-04,184
2020-05-05,201
2020-05-06,176
2020-05-07,166
2020-05-08,115
2020-05-09,129
2020-05-10,135
2020-05-11,172
2020-05-12,171
2020-05-13,169
2020-05-14,159
2020-05-15,148
2020-05-16,112
2020-05-17,120
2020-05-18,152
2020-05-19,142
2020-05-20,123
2020-05-21,138
2020-05-22,111
2020-05-23,120
2020-05-24,128
2020-05-25,119
2020-05-26,101
2020-05-27,105
2020-05-28,98
2020-05-29,81
2020-05-30,68
2020-05-31,56
2020-06-01,84
2020-06-02,75
2020-06-03,69
2020-06-04,47
2020-06-05,59
2020-06-06,53
2020-06-07,52
2020-06-08,52
2020-06-09,40
2020-06-10,41
2020-06-11,38
2020-06-12,31
2020-06-13,27
