,date,hospitalized
0,12/28/19,0.0
1,12/29/19,0.0
2,12/30/19,0.0
3,12/31/19,0.0
4,01/01/20,0.0
5,01/02/20,0.0
6,01/03/20,0.0
7,01/04/20,0.0
8,01/05/20,0.0
9,01/06/20,0.0
10,01/07/20,0.0
11,01/08/20,0.0
12,01/09/20,0.0
13,01/10/20,0.0
14,01/11/20,0.0
15,01/12/20,0.0
16,01/13/20,0.0
17,01/14/20,0.0
18,01/15/20,0.0
19,01/16/20,0.0
20,01/17/20,0.0
21,01/18/20,0.0
22,01/19/20,0.0
23,01/20/20,2.423076923076923
24,01/21/20,0.0
25,01/22/20,2.423076923076923
26,01/23/20,0.0
27,01/24/20,0.0
28,01/25/20,2.423076923076923
29,01/26/20,2.423076923076923
30,01/27/20,2.423076923076923
31,01/28/20,4.846153846153846
32,01/29/20,7.269230769230768
33,01/30/20,4.846153846153846
34,01/31/20,9.692307692307692
35,02/01/20,12.115384615384615
36,02/02/20,12.115384615384615
37,02/03/20,12.115384615384615
38,02/04/20,29.076923076923073
39,02/05/20,21.807692307692307
40,02/06/20,9.692307692307692
41,02/07/20,24.23076923076923
42,02/08/20,24.23076923076923
43,02/09/20,33.92307692307692
44,02/10/20,21.807692307692307
45,02/11/20,24.23076923076923
46,02/12/20,19.384615384615383
47,02/13/20,24.23076923076923
48,02/14/20,16.96153846153846
49,02/15/20,14.538461538461537
50,02/16/20,14.538461538461537
51,02/17/20,33.92307692307692
52,02/18/20,29.076923076923073
53,02/19/20,9.692307692307692
54,02/20/20,9.692307692307692
55,02/21/20,33.92307692307692
56,02/22/20,24.23076923076923
57,02/23/20,26.653846153846153
58,02/24/20,16.96153846153846
59,02/25/20,19.384615384615383
60,02/26/20,29.076923076923073
61,02/27/20,21.807692307692307
62,02/28/20,24.23076923076923
63,02/29/20,21.807692307692307
64,03/01/20,14.538461538461537
65,03/02/20,9.692307692307692
66,03/03/20,33.92307692307692
67,03/04/20,26.653846153846153
68,03/05/20,31.499999999999996
69,03/06/20,12.115384615384615
70,03/07/20,38.76923076923077
71,03/08/20,50.88461538461538
72,03/09/20,75.11538461538461
73,03/10/20,60.57692307692307
74,03/11/20,72.6923076923077
75,03/12/20,65.42307692307692
76,03/13/20,53.30769230769231
77,03/14/20,65.42307692307692
78,03/15/20,99.34615384615384
79,03/16/20,89.65384615384615
80,03/17/20,92.07692307692307
81,03/18/20,92.07692307692307
82,03/19/20,92.07692307692307
83,03/20/20,135.69230769230768
84,03/21/20,189.0
85,03/22/20,138.1153846153846
86,03/23/20,147.8076923076923
87,03/24/20,147.8076923076923
88,03/25/20,222.46
89,03/26/20,74.76
90,03/27/20,165.76
91,03/28/20,76.3
92,03/29/20,220.5
93,03/30/20,161.0
94,03/31/20,132.84
95,04/01/20,104.46
96,04/02/20,150.98
97,04/03/20,132.0
98,04/04/20,149.9
99,04/05/20,153.0
100,04/06/20,166.8
101,04/07/20,188.8
102,04/08/20,208.7
103,04/09/20,151.5
104,04/10/20,183.28
105,04/11/20,186.86
106,04/12/20,198.54
107,04/13/20,185.92
108,04/14/20,186.8
109,04/15/20,183.6
110,04/16/20,200.8
111,04/17/20,181.52
112,04/18/20,179.04
113,04/19/20,153.76
114,04/20/20,178.18
115,04/21/20,177.7
116,04/22/20,181.3
117,04/23/20,187.8
118,04/24/20,197.9
119,04/25/20,196.0
120,04/26/20,204.9
121,04/27/20,186.2
122,04/28/20,190.68
123,04/29/20,194.56
124,04/30/20,198.44
125,05/01/20,194.12
126,05/02/20,184.7
127,05/03/20,187.9
128,05/04/20,180.3
129,05/05/20,172.92
130,05/06/20,166.14
131,05/07/20,158.66
132,05/08/20,155.78
133,05/09/20,165.9
134,05/10/20,165.8
135,05/11/20,161.4
136,05/12/20,158.5
137,05/13/20,155.6
138,05/14/20,159.1
139,05/15/20,174.1
140,05/16/20,163.28
141,05/17/20,155.76
142,05/18/20,156.84
143,05/19/20,157.92
144,05/20/20,144.1
145,05/21/20,136.2
146,05/22/20,116.8
147,05/23/20,126.92
148,05/24/20,124.44
149,05/25/20,128.46
150,05/26/20,109.48
151,05/27/20,129.1
152,05/28/20,120.2
153,05/29/20,118.8
154,05/30/20,101.0
155,05/31/20,100.9
156,06/01/20,91.4
157,06/02/20,113.6
158,06/03/20,94.48
159,06/04/20,92.26
160,06/05/20,81.94
161,06/06/20,89.82
162,06/07/20,76.7
163,06/08/20,64.8
164,06/09/20,49.1
165,06/10/20,56.72
166,06/11/20,65.94
167,06/12/20,75.76
168,06/13/20,40.0
169,06/14/20,48.0
170,06/15/20,59.0
171,06/16/20,71.0
172,06/17/20,69.0
173,06/18/20,68.0
174,06/19/20,68.0
175,06/20/20,66.0
176,06/21/20,63.0
177,06/22/20,61.0
178,06/23/20,57.0
179,06/24/20,56.0
180,06/25/20,55.0
181,06/26/20,52.0
182,06/27/20,52.0
183,06/28/20,53.0
184,06/29/20,52.0
185,06/30/20,53.0
186,07/01/20,52.0
187,07/02/20,53.0
188,07/03/20,54.0
189,07/04/20,52.0
190,07/05/20,53.0
191,07/06/20,51.0
192,07/07/20,52.0
193,07/08/20,52.0
194,07/09/20,51.0
195,07/10/20,51.0
196,07/11/20,52.0
197,07/12/20,51.0
198,07/13/20,52.0
199,07/14/20,52.0
200,07/15/20,50.0
201,07/16/20,52.0
202,07/17/20,53.0
203,07/18/20,52.0
204,07/19/20,55.0
205,07/20/20,56.0
206,07/21/20,56.0
207,07/22/20,57.0
208,07/23/20,56.0
209,07/24/20,54.0
210,07/25/20,57.0
211,07/26/20,55.0
212,07/27/20,54.0
213,07/28/20,52.0
214,07/29/20,54.0
215,07/30/20,54.0
216,07/31/20,56.0
217,08/01/20,56.0
218,08/02/20,56.0
219,08/03/20,57.0
220,08/04/20,58.0
221,08/05/20,59.0
222,08/06/20,58.0
223,08/07/20,57.0
224,08/08/20,55.0
225,08/09/20,58.0
226,08/10/20,56.0
227,08/11/20,54.0
228,08/12/20,53.0
229,08/13/20,55.0
230,08/14/20,55.0
231,08/15/20,57.0
232,08/16/20,55.0
233,08/17/20,56.0
234,08/18/20,59.0
235,08/19/20,59.0
236,08/20/20,59.0
237,08/21/20,59.0
238,08/22/20,59.0
239,08/23/20,61.0
240,08/24/20,60.0
241,08/25/20,59.0
242,08/26/20,62.0
243,08/27/20,62.0
244,08/28/20,63.0
245,08/29/20,62.0
246,08/30/20,60.0
247,08/31/20,62.0
248,09/01/20,59.0
249,09/02/20,57.0
250,09/03/20,54.0
251,09/04/20,55.0
252,09/05/20,54.0
253,09/06/20,49.0
254,09/07/20,49.0
255,09/08/20,50.0
256,09/09/20,49.0
257,09/10/20,47.0
258,09/11/20,46.0
259,09/12/20,47.0
260,09/13/20,47.0
261,09/14/20,47.0
262,09/15/20,45.0
263,09/16/20,45.0
264,09/17/20,46.0
265,09/18/20,43.0
266,09/19/20,42.0
267,09/20/20,42.0
268,09/21/20,41.0
269,09/22/20,42.0
270,09/23/20,43.0
271,09/24/20,43.0
272,09/25/20,43.0
273,09/26/20,45.0
274,09/27/20,48.0
275,09/28/20,48.0
276,09/29/20,47.0
277,09/30/20,47.0
278,10/01/20,46.0
279,10/02/20,44.0
280,10/03/20,46.0
281,10/04/20,46.0
282,10/05/20,50.0
283,10/06/20,54.0
284,10/07/20,55.0
285,10/08/20,57.0
286,10/09/20,61.0
287,10/10/20,60.0
288,10/11/20,64.0
289,10/12/20,62.0
290,10/13/20,59.0
291,10/14/20,60.0
292,10/15/20,64.0
293,10/16/20,63.0
294,10/17/20,63.0
295,10/18/20,69.0
296,10/19/20,70.0
297,10/20/20,78.0
298,10/21/20,87.0
299,10/22/20,90.0
300,10/23/20,91.0
301,10/24/20,97.0
302,10/25/20,100.0
303,10/26/20,106.0
304,10/27/20,110.0
305,10/28/20,116.0
306,10/29/20,122.0
307,10/30/20,125.0
308,10/31/20,132.0
309,11/01/20,136.0
310,11/02/20,149.0
311,11/03/20,154.0
312,11/04/20,157.0
313,11/05/20,166.0
314,11/06/20,176.0
315,11/07/20,187.0
316,11/08/20,195.0
317,11/09/20,201.0
318,11/10/20,208.0
319,11/11/20,220.0
320,11/12/20,222.0
321,11/13/20,216.0
322,11/14/20,223.0
323,11/15/20,232.0
324,11/16/20,238.0
325,11/17/20,239.0
326,11/18/20,235.0
327,11/19/20,227.0
328,11/20/20,230.0
329,11/21/20,228.0
330,11/22/20,224.0
331,11/23/20,216.0
332,11/24/20,207.0
333,11/25/20,206.0
334,11/26/20,196.0
335,11/27/20,195.0
336,11/28/20,198.0
337,11/29/20,201.0
338,11/30/20,197.0
339,12/01/20,197.0
340,12/02/20,194.0
341,12/03/20,204.0
342,12/04/20,197.0
343,12/05/20,199.0
344,12/06/20,203.0
345,12/07/20,200.0
346,12/08/20,193.0
347,12/09/20,197.0
348,12/10/20,195.0
349,12/11/20,193.0
350,12/12/20,197.0
351,12/13/20,197.0
352,12/14/20,199.0
353,12/15/20,197.0
354,12/16/20,188.0
355,12/17/20,181.0
356,12/18/20,173.0
357,12/19/20,176.0
358,12/20/20,172.0
359,12/21/20,158.0
360,12/22/20,171.0
361,12/23/20,168.0
362,12/24/20,160.0
363,12/25/20,147.0
364,12/26/20,148.0
365,12/27/20,152.0
366,12/28/20,154.0
367,12/29/20,150.0
368,12/30/20,141.0
369,12/31/20,139.0
370,01/01/21,134.0
371,01/02/21,141.0
372,01/03/21,138.0
373,01/04/21,138.0
374,01/05/21,138.0
375,01/06/21,141.0
376,01/07/21,142.0
377,01/08/21,142.0
378,01/09/21,143.0
379,01/10/21,143.0
380,01/11/21,141.0
381,01/12/21,140.0
382,01/13/21,140.0
383,01/14/21,133.0
384,01/15/21,132.0
385,01/16/21,132.0
386,01/17/21,129.0
387,01/18/21,127.0
388,01/19/21,125.0
389,01/20/21,123.0
390,01/21/21,121.0
391,01/22/21,116.0
392,01/23/21,111.0
393,01/24/21,111.0
394,01/25/21,105.0
395,01/26/21,101.0
396,01/27/21,100.0
397,01/28/21,95.0
398,01/29/21,90.0
399,01/30/21,89.0
400,01/31/21,85.0
401,02/01/21,83.0
402,02/02/21,81.0
403,02/03/21,80.0
404,02/04/21,79.0
405,02/05/21,78.0
406,02/06/21,78.0
407,02/07/21,80.0
408,02/08/21,80.0
409,02/09/21,75.0
410,02/10/21,71.0
411,02/11/21,72.0
412,02/12/21,68.0
413,02/13/21,67.0
414,02/14/21,63.0
415,02/15/21,58.0
416,02/16/21,57.0
417,02/17/21,53.0
418,02/18/21,55.0
419,02/19/21,52.0
420,02/20/21,52.0
421,02/21/21,53.0
422,02/22/21,53.0
423,02/23/21,52.0
424,02/24/21,52.0
425,02/25/21,46.0
426,02/26/21,44.0
427,02/27/21,47.0
428,02/28/21,45.0
429,03/01/21,46.0
430,03/02/21,46.0
431,03/03/21,45.0
432,03/04/21,46.0
433,03/05/21,45.0
434,03/06/21,44.0
435,03/07/21,46.0
436,03/08/21,45.0
437,03/09/21,45.0
438,03/10/21,46.0
439,03/11/21,46.0
440,03/12/21,44.0
441,03/13/21,44.0
442,03/14/21,46.0
443,03/15/21,48.0
444,03/16/21,49.0
445,03/17/21,50.0
446,03/18/21,52.0
447,03/19/21,57.0
448,03/20/21,59.0
449,03/21/21,62.0
450,03/22/21,65.0
451,03/23/21,69.0
452,03/24/21,72.0
453,03/25/21,74.0
454,03/26/21,74.0
455,03/27/21,74.0
456,03/28/21,76.0
457,03/29/21,77.0
458,03/30/21,76.0
459,03/31/21,80.0
460,04/01/21,78.0
461,04/02/21,79.0
462,04/03/21,88.0
463,04/04/21,87.0
464,04/05/21,89.0
465,04/06/21,95.0
466,04/07/21,96.0
467,04/08/21,103.0
468,04/09/21,104.0
469,04/10/21,104.0
470,04/11/21,108.0
471,04/12/21,109.0
472,04/13/21,108.0
473,04/14/21,107.0
474,04/15/21,107.0
475,04/16/21,111.0
476,04/17/21,111.0
477,04/18/21,114.0
478,04/19/21,115.0
479,04/20/21,114.0
480,04/21/21,113.0
481,04/22/21,109.0
482,04/23/21,103.0
483,04/24/21,103.0
484,04/25/21,98.0
485,04/26/21,101.0
486,04/27/21,102.0
487,04/28/21,102.0
488,04/29/21,101.0
489,04/30/21,100.0
490,05/01/21,100.0
491,05/02/21,102.0
492,05/03/21,99.0
493,05/04/21,99.0
494,05/05/21,99.0
495,05/06/21,99.0
496,05/07/21,97.0
497,05/08/21,97.0
498,05/09/21,97.0
499,05/10/21,97.0
500,05/11/21,92.0
501,05/12/21,91.0
502,05/13/21,83.0
503,05/14/21,78.0
504,05/15/21,76.0
505,05/16/21,73.0
506,05/17/21,72.0
507,05/18/21,73.0
508,05/19/21,68.0
509,05/20/21,69.0
510,05/21/21,66.0
511,05/22/21,65.0
512,05/23/21,65.0
513,05/24/21,61.0
514,05/25/21,60.0
515,05/26/21,61.0
516,05/27/21,57.0
517,05/28/21,52.0
518,05/29/21,46.0
519,05/30/21,42.0
520,05/31/21,41.0
521,06/01/21,43.0
522,06/02/21,39.0
523,06/03/21,39.0
524,06/04/21,38.0
525,06/05/21,36.0
526,06/06/21,38.0
527,06/07/21,38.0
528,06/08/21,34.0
529,06/09/21,33.0
530,06/10/21,30.0
531,06/11/21,29.0
532,06/12/21,31.0
533,06/13/21,29.0
534,06/14/21,27.0
535,06/15/21,25.0
536,06/16/21,26.0
537,06/17/21,23.0
538,06/18/21,18.0
539,06/19/21,18.0
540,06/20/21,18.0
541,06/21/21,16.0
542,06/22/21,17.0
543,06/23/21,18.0
544,06/24/21,16.0
545,06/25/21,17.0
546,06/26/21,16.0
547,06/27/21,16.0
548,06/28/21,16.0
549,06/29/21,18.0
550,06/30/21,19.0
551,07/01/21,17.0
552,07/02/21,16.0
553,07/03/21,16.0
554,07/04/21,17.0
555,07/05/21,17.0
556,07/06/21,16.0
557,07/07/21,17.0
558,07/08/21,19.0
559,07/09/21,19.0
560,07/10/21,19.0
561,07/11/21,20.0
562,07/12/21,22.0
563,07/13/21,21.0
564,07/14/21,22.0
565,07/15/21,22.0
566,07/16/21,20.0
567,07/17/21,22.0
568,07/18/21,23.0
569,07/19/21,24.0
570,07/20/21,26.0
571,07/21/21,27.0
572,07/22/21,29.0
573,07/23/21,31.0
574,07/24/21,30.0
575,07/25/21,31.0
576,07/26/21,31.0
577,07/27/21,32.0
578,07/28/21,36.0
579,07/29/21,34.0
580,07/30/21,34.0
581,07/31/21,40.0
582,08/01/21,39.0
583,08/02/21,40.0
584,08/03/21,43.0
585,08/04/21,44.0
586,08/05/21,49.0
587,08/06/21,49.0
588,08/07/21,52.0
589,08/08/21,56.0
590,08/09/21,58.0
591,08/10/21,62.0
592,08/11/21,69.0
593,08/12/21,70.0
594,08/13/21,73.0
595,08/14/21,73.0
596,08/15/21,74.0
597,08/16/21,73.0
598,08/17/21,73.0
599,08/18/21,74.0
600,08/19/21,70.0
601,08/20/21,66.0
602,08/21/21,67.0
603,08/22/21,71.0
604,08/23/21,75.0
605,08/24/21,74.0
606,08/25/21,77.0
607,08/26/21,81.0
608,08/27/21,79.0
609,08/28/21,78.0
610,08/29/21,77.0
611,08/30/21,77.0
612,08/31/21,79.0
613,09/01/21,80.0
614,09/02/21,78.0
615,09/03/21,77.0
616,09/04/21,79.0
617,09/05/21,79.0
618,09/06/21,78.0
619,09/07/21,80.0
620,09/08/21,83.0
621,09/09/21,78.0
622,09/10/21,73.0
623,09/11/21,70.0
624,09/12/21,72.0
625,09/13/21,73.0
626,09/14/21,70.0
627,09/15/21,66.0
628,09/16/21,66.0
629,09/17/21,67.0
630,09/18/21,68.0
631,09/19/21,65.0
632,09/20/21,62.0
633,09/21/21,61.0
634,09/22/21,64.0
635,09/23/21,61.0
636,09/24/21,58.0
637,09/25/21,57.0
638,09/26/21,59.0
639,09/27/21,61.0
640,09/28/21,57.0
641,09/29/21,60.0
642,09/30/21,61.0
643,10/01/21,60.0
644,10/02/21,61.0
645,10/03/21,60.0
646,10/04/21,55.0
647,10/05/21,56.0
648,10/06/21,60.0
649,10/07/21,56.0
650,10/08/21,53.0
651,10/09/21,53.0
652,10/10/21,52.0
653,10/11/21,50.0
654,10/12/21,50.0
655,10/13/21,49.0
656,10/14/21,47.0
657,10/15/21,46.0
658,10/16/21,44.0
659,10/17/21,46.0
660,10/18/21,52.0
661,10/19/21,50.0
662,10/20/21,48.0
663,10/21/21,43.0
664,10/22/21,42.0
665,10/23/21,45.0
666,10/24/21,45.0
667,10/25/21,46.0
668,10/26/21,46.0
669,10/27/21,48.0
670,10/28/21,50.0
671,10/29/21,49.0
672,10/30/21,47.0
673,10/31/21,48.0
674,11/01/21,46.0
675,11/02/21,47.0
676,11/03/21,48.0
677,11/04/21,46.0
678,11/05/21,46.0
679,11/06/21,49.0
680,11/07/21,47.0
681,11/08/21,52.0
