,date,hospitalized
0,01/07/20,0.0
1,01/08/20,0.0
2,01/09/20,0.0
3,01/10/20,0.0
4,01/11/20,0.0
5,01/12/20,0.0
6,01/13/20,0.0
7,01/14/20,0.0
8,01/15/20,0.0
9,01/16/20,0.0
10,01/17/20,0.0
11,01/18/20,0.0
12,01/19/20,0.0
13,01/20/20,0.0
14,01/21/20,0.0
15,01/22/20,0.0
16,01/23/20,0.0
17,01/24/20,0.0
18,01/25/20,0.0
19,01/26/20,0.0
20,01/27/20,0.0
21,01/28/20,0.0
22,01/29/20,0.0
23,01/30/20,0.0
24,01/31/20,0.0
25,02/01/20,0.0
26,02/02/20,0.0
27,02/03/20,0.0
28,02/04/20,0.0
29,02/05/20,0.0
30,02/06/20,0.0
31,02/07/20,0.0
32,02/08/20,0.0
33,02/09/20,5.9259375
34,02/10/20,0.0
35,02/11/20,5.9259375
36,02/12/20,5.9259375
37,02/13/20,53.3334375
38,02/14/20,47.4075
39,02/15/20,53.3334375
40,02/16/20,65.1853125
41,02/17/20,71.11125
42,02/18/20,100.7409375
43,02/19/20,136.2965625
44,02/20/20,171.85218749999999
45,02/21/20,183.7040625
46,02/22/20,219.25968749999998
47,02/23/20,254.8153125
48,02/24/20,254.8153125
49,02/25/20,242.9634375
50,02/26/20,237.0375
51,02/27/20,242.9634375
52,02/28/20,248.889375
53,02/29/20,284.445
54,03/01/20,260.74125
55,03/02/20,296.296875
56,03/03/20,284.445
57,03/04/20,242.9634375
58,03/05/20,242.9634375
59,03/06/20,231.1115625
60,03/07/20,231.1115625
61,03/08/20,225.185625
62,03/09/20,231.1115625
63,03/10/20,225.185625
64,03/11/20,237.0375
65,03/12/20,231.1115625
66,03/13/20,248.889375
67,03/14/20,242.9634375
68,03/15/20,242.9634375
69,03/16/20,225.185625
70,03/17/20,231.1115625
71,03/18/20,260.74125
72,03/19/20,272.593125
73,03/20/20,290.37093749999997
74,03/21/20,284.445
75,03/22/20,308.14875
76,03/23/20,308.14875
77,03/24/20,349.6303125
78,03/25/20,373.3340625
79,03/26/20,373.3340625
80,03/27/20,379.26
81,03/28/20,420.7415625
82,03/29/20,497.77875
83,03/30/20,509.630625
84,03/31/20,557.038125
85,04/01/20,628.149375
86,04/02/20,645.9271875
87,04/03/20,675.556875
88,04/04/20,675.556875
89,04/05/20,675.556875
90,04/06/20,717.0384375
91,04/07/20,782.22375
92,04/08/20,788.1496875
93,04/09/20,859.2609375
94,04/10/20,894.8165625
95,04/11/20,924.44625
96,04/12/20,851.8650000000004
97,04/13/20,873.915
98,04/14/20,870.975
99,04/15/20,917.28
100,04/16/20,879.06
101,04/17/20,876.1199999999999
102,04/18/20,879.0599999999997
103,04/19/20,910.665
104,04/20/20,901.11
105,04/21/20,896.7
106,04/22/20,931.98
107,04/23/20,900.375
108,04/24/20,914.34
109,04/25/20,931.245
110,04/26/20,918.015
111,04/27/20,915.0750000000003
112,04/28/20,948.15
113,04/29/20,947.415
114,04/30/20,928.305
115,05/01/20,918.75
116,05/02/20,905.52
117,05/03/20,905.52
118,05/04/20,930.51
119,05/05/20,904.785
120,05/06/20,920.955
121,05/07/20,918.0150000000003
122,05/08/20,896.6999999999998
123,05/09/20,914.34
124,05/10/20,928.305
125,05/11/20,893.0250000000002
126,05/12/20,887.8800000000001
127,05/13/20,832.02
128,05/14/20,829.8150000000003
129,05/15/20,834.2249999999998
130,05/16/20,866.565
131,05/17/20,824.6699999999997
132,05/18/20,795.2700000000002
133,05/19/20,804.0900000000003
134,05/20/20,800.4150000000002
135,05/21/20,794.5349999999999
136,05/22/20,754.845
137,05/23/20,740.1450000000002
138,05/24/20,753.375
139,05/25/20,760.725
140,05/26/20,757.7850000000002
141,05/27/20,741.6149999999999
142,05/28/20,720.3
143,05/29/20,679.8750000000001
144,05/30/20,691.635
145,05/31/20,662.97
146,06/01/20,642.39
147,06/02/20,620.34
148,06/03/20,626.9549999999998
149,06/04/20,600.495
150,06/05/20,565.95
151,06/06/20,529.1999999999998
152,06/07/20,524.0550000000002
153,06/08/20,533.61
154,06/09/20,518.91
155,06/10/20,468.93
156,06/11/20,476.28
157,06/12/20,448.35
158,06/13/20,458.6436781609195
159,06/14/20,434.65680775114737
160,06/15/20,415.75915420319745
161,06/16/20,409.2382461701004
162,06/17/20,380.6063829787234
163,06/18/20,357.18358531317494
164,06/19/20,334.0200117716303
165,06/20/20,313.42718446601936
166,06/21/20,305.3815950920245
167,06/22/20,296.7228623408126
168,06/23/20,271.62515489467165
169,06/24/20,269.190036900369
170,06/25/20,279.9472295514512
171,06/26/20,263.37716955941255
172,06/27/20,260.13183060109293
173,06/28/20,248.57828114590274
174,06/29/20,253.70961538461532
175,06/30/20,246.51224354731968
176,07/01/20,205.67958812840703
177,07/02/20,236.44922164566344
178,07/03/20,234.4011887072808
179,07/04/20,212.06636500754144
180,07/05/20,211.4688172043011
181,07/06/20,208.63537906137185
182,07/07/20,196.2450592885376
183,07/08/20,184.8991373589914
184,07/09/20,188.79944289693597
185,07/10/20,203.20815450643775
186,07/11/20,204.397913561848
187,07/12/20,215.5550660792952
