date,transmission_reduction,cocooning
1/10/20,0.495726919,1
1/11/20,0.495726919,1
1/12/20,0.495726919,1
1/13/20,0.495726919,1
1/14/20,0.495726919,1
1/15/20,0.495726919,1
1/16/20,0.495726919,1
1/17/20,0.495726919,1
1/18/20,0.495726919,1
1/19/20,0.495726919,1
1/20/20,0.495726919,1
1/21/20,0.495726919,1
1/22/20,0.495726919,1
1/23/20,0.495726919,1
1/24/20,0.495726919,1
1/25/20,0.495726919,1
1/26/20,0.495726919,1
1/27/20,0.495726919,1
1/28/20,0.495726919,1
1/29/20,0.495726919,1
1/30/20,0.495726919,1
1/31/20,0.495726919,1
2/1/20,0.495726919,1
2/2/20,0.495726919,1
2/3/20,0.495726919,1
2/4/20,0.495726919,1
2/5/20,0.495726919,1
2/6/20,0.495726919,1
2/7/20,0.495726919,1
2/8/20,0.495726919,1
2/9/20,0.495726919,1
2/10/20,0.495726919,1
2/11/20,0.495726919,1
2/12/20,0.495726919,1
2/13/20,0.495726919,1
2/14/20,0.495726919,1
2/15/20,0.495726919,1
2/16/20,0.495726919,1
2/17/20,0.495726919,1
2/18/20,0.495726919,1
2/19/20,0.495726919,1
2/20/20,0.495726919,1
2/21/20,0.495726919,1
2/22/20,0.495726919,1
2/23/20,0.495726919,1
2/24/20,0.495726919,1
2/25/20,0.495726919,1
2/26/20,0.495726919,1
2/27/20,0.495726919,1
2/28/20,0.495726919,1
2/29/20,0.495726919,1
3/1/20,0.495726919,1
3/2/20,0.495726919,1
3/3/20,0.495726919,1
3/4/20,0.495726919,1
3/5/20,0.495726919,1
3/6/20,0.495726919,1
3/7/20,0.495726919,1
3/8/20,0.716867568,1.92E-13
3/9/20,0.716867568,1.92E-13
3/10/20,0.716867568,1.92E-13
3/11/20,0.716867568,1.92E-13
3/12/20,0.716867568,1.92E-13
3/13/20,0.716867568,1.92E-13
3/14/20,0.716867568,1.92E-13
3/15/20,0.716867568,1.92E-13
3/16/20,0.716867568,1.92E-13
3/17/20,0.716867568,1.92E-13
3/18/20,0.716867568,1.92E-13
3/19/20,0.716867568,1.92E-13
3/20/20,0.716867568,1.92E-13
3/21/20,0.716867568,1.92E-13
3/22/20,0.716867568,1.92E-13
3/23/20,0.716867568,1.92E-13
3/24/20,0.716867568,1.92E-13
3/25/20,0.716867568,1.92E-13
3/26/20,0.716867568,1.92E-13
3/27/20,0.716867568,1.92E-13
3/28/20,0.716867568,1.92E-13
3/29/20,0.716867568,1.92E-13
3/30/20,0.716867568,1.92E-13
3/31/20,0.716867568,1.92E-13
4/1/20,0.291034027,1
4/2/20,0.291034027,1
4/3/20,0.291034027,1
4/4/20,0.291034027,1
4/5/20,0.291034027,1
4/6/20,0.291034027,1
4/7/20,0.291034027,1
4/8/20,0.291034027,1
4/9/20,0.291034027,1
4/10/20,0.769810002,0.952560297
4/11/20,0.769810002,0.952560297
4/12/20,0.769810002,0.952560297
4/13/20,0.769810002,0.952560297
4/14/20,0.769810002,0.952560297
4/15/20,0.769810002,0.952560297
4/16/20,0.769810002,0.952560297
4/17/20,0.769810002,0.952560297
4/18/20,0.769810002,0.952560297
4/19/20,0.769810002,0.952560297
4/20/20,0.769810002,0.952560297
4/21/20,0.769810002,0.952560297
4/22/20,0.769810002,0.952560297
4/23/20,0.769810002,0.952560297
4/24/20,0.769810002,0.952560297
4/25/20,0.769810002,0.952560297
4/26/20,0.769810002,0.952560297
4/27/20,0.769810002,0.952560297
4/28/20,0.769810002,0.952560297
4/29/20,0.769810002,0.952560297
4/30/20,0.769810002,0.952560297
5/1/20,0.769810002,0.952560297
5/2/20,0.769810002,0.952560297
5/3/20,0.769810002,0.952560297
5/4/20,0.769810002,0.952560297
5/5/20,0.769810002,0.952560297
5/6/20,0.769810002,0.952560297
5/7/20,0.769810002,0.952560297
5/8/20,0.769810002,0.952560297
5/9/20,0.769810002,0.952560297
5/10/20,0.769810002,0.952560297
5/11/20,0.769810002,0.952560297
5/12/20,0.769810002,0.952560297
5/13/20,0.769810002,0.952560297
5/14/20,0.769810002,0.952560297
5/15/20,0.769810002,0.952560297
5/16/20,0.769810002,0.952560297
5/17/20,0.769810002,0.952560297
5/18/20,0.769810002,0.952560297
5/19/20,0.769810002,0.952560297
5/20/20,0.769810002,0.952560297
5/21/20,0.769810002,0.952560297
5/22/20,0.769810002,0.952560297
5/23/20,0.769810002,0.952560297
5/24/20,0.769810002,0.952560297
5/25/20,0.769810002,0.952560297
5/26/20,0.769810002,0.952560297
5/27/20,0.769810002,0.952560297
5/28/20,0.769810002,0.952560297
5/29/20,0.769810002,0.952560297
5/30/20,0.769810002,0.952560297
5/31/20,0.769810002,0.952560297
6/1/20,0.769810002,0.952560297
6/2/20,0.769810002,0.952560297
6/3/20,0.769810002,0.952560297
6/4/20,0.769810002,0.952560297
6/5/20,0.769810002,0.952560297
6/6/20,0.769810002,0.952560297
6/7/20,0.769810002,0.952560297
6/8/20,0.769810002,0.952560297
6/9/20,0.769810002,0.952560297
6/10/20,0.769810002,0.952560297
6/11/20,0.769810002,0.952560297
6/12/20,0.769810002,0.952560297
