,date,hospitalized
0,2020-04-12,1655.0
1,2020-04-13,1713.0
2,2020-04-14,1767.0
3,2020-04-15,1769.0
4,2020-04-16,1806.0
5,2020-04-17,1749.0
6,2020-04-18,1726.0
7,2020-04-19,1840.0
8,2020-04-20,1910.0
9,2020-04-21,1876.0
10,2020-04-22,1952.0
11,2020-04-23,1932.0
12,2020-04-24,1888.0
13,2020-04-25,1850.0
14,2020-04-26,1869.0
15,2020-04-27,1895.0
16,2020-04-28,2015.0
17,2020-04-29,1982.0
18,2020-04-30,1962.0
19,2020-05-01,1888.0
20,2020-05-02,1883.0
21,2020-05-03,1860.0
22,2020-05-04,1912.0
23,2020-05-05,1933.0
24,2020-05-06,1947.0
25,2020-05-07,1911.0
26,2020-05-08,1907.0
27,2020-05-09,1793.0
28,2020-05-10,1813.0
29,2020-05-11,1850.0
30,2020-05-12,1827.0
31,2020-05-13,1790.0
32,2020-05-14,1749.0
33,2020-05-15,1724.0
34,2020-05-16,1745.0
35,2020-05-17,1704.0
36,2020-05-18,1695.0
37,2020-05-19,1661.0
38,2020-05-20,1645.0
39,2020-05-21,1587.0
40,2020-05-22,1517.0
41,2020-05-23,1491.0
42,2020-05-24,1520.0
43,2020-05-25,1528.0
44,2020-05-26,1540.0
45,2020-05-27,1460.0
46,2020-05-28,1440.0
47,2020-05-29,1335.0
48,2020-05-30,1320.0
49,2020-05-31,1290.0
50,2020-06-01,1310.0
51,2020-06-02,1269.0
52,2020-06-03,1218.0
53,2020-06-04,1164.0
54,2020-06-05,1081.0
55,2020-06-06,1021.0
56,2020-06-07,1017.0
57,2020-06-08,1040.0
58,2020-06-09,984.0
59,2020-06-10,947.0
60,2020-06-11,884.0
61,2020-06-12,847.0
62,2020-06-13,1094.0
63,2020-06-14,1121.0
64,2020-06-15,1111.0
65,2020-06-16,1120.0
66,2020-06-17,1099.0
67,2020-06-18,1105.0
68,2020-06-19,1013.0
69,2020-06-20,971.0
70,2020-06-21,942.0
71,2020-06-22,958.0
72,2020-06-23,885.0
73,2020-06-24,893.0
74,2020-06-25,851.0
75,2020-06-26,803.0
76,2020-06-27,785.0
77,2020-06-28,804.0
78,2020-06-29,819.0
79,2020-06-30,801.0
80,2020-07-01,867.0
81,2020-07-02,708.0
82,2020-07-03,706.0
83,2020-07-04,669.0
84,2020-07-05,711.0
85,2020-07-06,666.0
86,2020-07-07,766.0
87,2020-07-08,746.0
88,2020-07-09,704.0
89,2020-07-10,692.0
90,2020-07-11,678.0
91,2020-07-12,668.0
92,2020-07-13,708.0
93,2020-07-14,713.0
94,2020-07-15,683.0
95,2020-07-16,683.0
96,2020-07-17,655.0
97,2020-07-18,630.0
98,2020-07-19,680.0
99,2020-07-20,708.0
100,2020-07-21,715.0
101,2020-07-22,724.0
102,2020-07-23,716.0
103,2020-07-24,669.0
104,2020-07-25,679.0
