vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
1/10/21,0.022678,0,0,0,0,42149.1618,7793.344,14258.93,6258.823,32974.9662,26065.1272
1/11/21,0.001362,0,0,0,0,2532.0052,468.176,856.5732,375.9813,1980.8943,1565.7894
1/12/21,0.000068,0,0,0,0,126.0032,23.2928,42.6132,18.7224,98.571,77.924
1/13/21,0.001359,0,0,0,0,2525.1358,466.9,854.259,374.9591,1975.5351,1561.539
1/14/21,0.003048,0,0,0,0,5665.7142,1047.596,1916.6896,841.3244,4432.505,3503.682
1/15/21,0,0,0,0,0,0,0,0,0,0,0
1/16/21,0,0,0,0,0,0,0,0,0,0,0
1/17/21,0.003781,0,0,0,0,7026.8612,1299.2696,2377.1622,1043.4241,5497.3908,4345.4222
1/18/21,0.004099,0,0,0,0,7617.437,1408.4488,2576.9548,1131.1181,5959.4304,4710.6346
1/19/21,0.000607,0,0,0,0,1128.85,208.7304,381.8962,167.6139,883.1515,698.096
1/21/21,0.002019,0,0,0,0,3751.7196,693.68,1269.1924,557.099,2935.119,2320.0744
1/22/21,0.001797,0,0,0,0,3339.4272,617.468,1129.7286,495.8746,2612.5781,2065.1148
1/23/21,0.002965,0,0,0,0,5510.9922,1018.9904,1864.3674,818.3518,4311.4764,3408.0158
1/24/21,0,0,0,0,0,0,0,0,0,0,0
1/25/21,0.002965,0,0,0,0,5510.9922,1018.9904,1864.3674,818.3518,4311.4764,3408.0158
1/26/21,0.000226,0,0,0,0,420.8524,77.8128,142.3632,62.4887,329.2399,260.2726
1/27/21,0.001848,0,0,0,0,3433.7156,634.8912,1161.622,509.8895,2686.3309,2123.429
1/28/21,0.001536,0,0,0,0,1165.4012,1904.7432,394.2386,1529.6954,2233.7018,1765.6226
1/29/21,0.002057,0,0,0,0,0,3821.4344,0,3068.9941,2990.5612,2363.8986
1/30/21,0.002057,0,0,0,0,0,3821.4344,0,3068.9941,2990.5612,2363.8986
1/31/21,0,0,0,0,0,0,0,0,0,0,0
2/1/21,0.002057,0,0,0,0,0,3821.4344,0,3068.9941,2990.5612,2363.8986
2/2/21,0.001026,0,0,0,0,0,1906.576,0,1531.1749,1492.0268,1179.3894
2/3/21,0.001026,0,0,0,0,0,1906.576,0,1531.1749,1492.0268,1179.3894
2/4/21,0.001433,0,0,0,0,0,2662.3624,0,2138.1465,2083.4847,1646.9012
2/5/21,0.002489,0,0,0,0,0,4623.7832,0,3713.3567,3618.4489,2860.1972
2/6/21,0.004071,0,0,0,0,0,7564.6152,0,6075.1498,5919.8425,4679.3684
2/7/21,0,0,0,0,0,0,0,0,0,0,0
2/8/21,0.004071,0,0,0,0,0,7564.6152,0,6075.1498,5919.8425,4679.3684
2/9/21,0.000689,0,0,0,0,0,1280.1992,0,1028.118,1001.8514,791.8946
2/10/21,0.001635,0,0,0,0,0,3038.5272,0,2440.2335,2377.8579,1879.5784
2/11/21,0.001738,0,0,0,0,0,3230.0432,0,2594.0477,2527.7241,1998.0422
2/12/21,0.001738,0,0,0,0,0,3230.0432,0,2594.0477,2527.7241,1998.0422
2/13/21,0.003387,0,0,0,0,0,6293,0,5053.8913,4924.722,3892.7546
2/14/21,0,0,0,0,0,0,0,0,0,0,0
2/15/21,0.001805,0,0,0,0,0,3353.8616,0,2693.497,2624.6363,2074.646
2/16/21,0.000635,0,0,0,0,0,1179.9288,0,947.6063,923.3774,729.8774
2/17/21,0.000731,0,0,0,0,0,1359.0328,0,1091.4406,1063.546,840.6776
2/18/21,0.000745,0,0,0,0,0,1384.7384,0,1112.0729,1083.643,856.5844
2/19/21,0.000561,0,0,0,0,0,1043.1184,0,837.7198,816.321,645.2558
2/20/21,0.000561,0,0,0,0,0,1043.1184,0,837.7198,816.321,645.2558
2/21/21,0.000561,0,0,0,0,0,1043.1184,0,837.7198,816.321,645.2558
2/22/21,0.000516,0,0,0,0,0,958.856,0,770.0663,750.3837,593.124
2/23/21,0.001526,0,0,0,0,0,2834.5992,0,2276.4663,2218.2622,1753.4188
2/24/21,0.001841,0,0,0,0,0,3419.8424,0,2746.49,2676.2824,2115.4756
2/25/21,0.001809,0,0,0,0,0,3360.7288,0,2698.9846,2629.9955,2078.8964
2/26/21,0.002146,0,0,0,0,0,3987.1056,0,3202.0415,3120.2028,2466.359
2/27/21,0.005807,0,0,0,0,0,10789.5312,0,8665.0549,8443.5791,6674.2228
2/28/21,0,0,0,0,0,0,0,0,0,0,0
3/1/21,0.005807,0,0,0,0,0,10789.5312,0,8665.0549,8443.5791,6674.2228
3/2/21,0.00243,0,0,0,0,0,4514.0936,0,3625.2592,3532.606,2792.3518
3/3/21,0.008341,0,0,0,0,0,15498.5512,0,12446.899,12128.7309,9587.1636
3/4/21,0.002819,0,0,0,0,0,5237.3072,0,4206.084,4098.5758,3239.7064
3/5/21,0.001146,0,0,0,0,0,2192.7712,0,1761.0085,1583.2927,1251.5174
3/6/21,0.003276,0,0,0,0,0,6835.416,0,5489.5099,3785.6049,2992.3138
3/7/21,0.006809,0,0,0,0,0,14196.9384,0,11401.565,7882.4581,6230.7322
3/8/21,0,0,0,0,0,0,0,0,0,0,0
3/9/21,0.004844,0,0,0,0,0,10096.7328,0,8108.6822,5612.1989,4436.1618
3/10/21,0.013785,0,0,0,0,0,31958.812,0,25701.9547,11735.7229,9276.6268
3/11/21,0.005683,0,0,0,0,0,14277.9528,0,8687.1667,5256.6734,4155.1524
3/12/21,0,0,0,0,0,0,0,0,0,0,0
3/13/21,0.018816,0,0,0,0,0,44303.068,0,29347.1468,19309.2614,15263.0254
3/14/21,0.00596,0,0,0,0,0,15686.7032,0,9811.775,4499.3993,3556.5544
3/15/21,0.005028,0,0,0,0,0,13442.7528,0,8138.4067,3725.282,2944.6578
3/16/21,0.005523,0,0,0,0,0,14655.1152,0,8377.4401,4551.0454,3597.384
3/17/21,0.006015,0,0,0,0,14435.5198,0,6677.3448,2930.9702,4826.0234,3814.734
3/18/21,0.005329,0,0,0,0,12716.9714,0,6107.227,2680.7195,4150.5409,3280.7936
3/19/21,0.00612,0,0,0,0,14034.5908,0,7460.502,3274.7253,4811.9874,3803.625
3/20/21,0.006598,0,0,0,0,14909.8508,0,8911.0266,3911.4214,4534.6807,3584.4396
3/21/21,0.003126,0,0,0,0,0,0,18030.2514,0,0,0
3/22/21,0.006484,0,0,0,0,23028.2404,0,0,0,5901.7552,4665.0394
3/23/21,0.002203,0,0,0,0,0,0,12706.4476,0,0,0
3/24/21,0.006242,0,0,0,0,16543.4198,0,10975.7186,0,3003.0022,2373.7196
3/25/21,0.005602,0,0,0,0,12894.8696,0,12629.8662,0,2454.8007,1940.4042
3/26/21,0.005658,0,0,0,0,16345.7908,0,4504.5238,0,5252.0798,4151.5138
3/27/21,0.002089,0,0,0,0,7736.7206,0,0,0,1635.6725,1292.9266
3/28/21,0.002865,0,0,0,0,0,0,16524.4786,0,0,0
3/29/21,0.007415,0,0,0,0,23436.5096,0,7232.54,0,4308.2545,3405.472
3/30/21,0.003571,0,0,0,0,10051.58,0,5112.52,0,2010.8803,1589.4886
3/31/21,0.004203,0,0,0,0,10188.54,0,9184.0224,0,1610.1206,1272.7372
4/1/21,0.007244,0,0,0,0,25667.0102,0,6684.2076,0,2149.3901,1699.0008
4/2/21,0.005852,0,0,0,0,20448.9198,0,6010.0838,0,1564.6312,1236.7698
4/3/21,0.00451,0,0,0,0,19033.7806,0,0,0,1583.8031,1251.9038
4/4/21,0.00185,0,0,0,0,0,0,10669.659,0,0,0
4/5/21,0.009412,0,0,0,0,30906.8216,0,6160.1876,0,6528.9411,5160.7906
4/6/21,0.006465,0,0,0,0,20829.8398,0,6414.4038,0,3350.0742,2648.0636
4/7/21,0.006299,0,0,0,0,20245.0206,0,8604.1424,0,1721.5473,1360.8042
4/8/21,0.008868,0,0,0,0,31840.9102,0,7810.5314,0,2528.6492,1998.7828
4/9/21,0.007834,0,0,0,0,24213.8004,0,11372.83,0,2497.2277,1973.9244
4/10/21,0.009904,0,0,0,0,35418.0914,0,6790.0224,0,4241.7749,3352.9216
4/11/21,0.00719,0,0,0,0,27843.3902,0,3731.6076,0,2106.4527,1665.062
4/12/21,0.003665,0,0,0,0,12858.3398,0,3874.1038,0,863.3416,682.4146
4/13/21,0.004556,0,0,0,0,13613.1606,0,7460.3424,0,1274.3093,1007.2804
4/14/21,0.005596,0,0,0,0,23293.7502,0,0,0,2233.4785,1765.4616
4/15/21,0,0,0,0,0,0,0,0,0,0,0
4/16/21,0.063245,0,0,0,0,175290.8026,0,96211.8542,0,34089.1694,26945.8616
4/17/21,0,0,0,0,0,0,0,0,0,0,0
4/18/21,0.011066,0,0,0,0,38119.6702,0,12280.2624,0,2798.8103,2212.3332
4/19/21,0.003939,0,0,0,0,14807.8798,0,3313.9876,0,670.1233,529.69
4/20/21,0.002272,0,0,0,0,7372.1502,0,2597.8624,0,902.4191,713.3266
4/21/21,0.004794,0,0,0,0,16553.5206,0,4374.1838,0,1814.5996,1434.349
4/22/21,0.005248,0,0,0,0,18267.6606,0,5390.3038,0,1460.3501,1154.3378
4/23/21,0.004761,0,0,0,0,16621.701,0,4853.7552,0,1308.0276,1033.942
4/24/21,0,0,0,0,0,0,0,0,0,0,0
4/25/21,0.009334,0,0,0,0,31195.7216,0,10794.679,0,2866.7892,2266.0428
4/26/21,0.002183,0,0,0,0,7801.5198,0,2220.7276,0,451.8635,357.1624
4/27/21,0.002496,0,0,0,0,8711.0198,0,2534.6076,0,695.1648,549.493
4/28/21,0.002917,0,0,0,0,9896.5798,0,3274.0876,0,840.0865,664.0284
4/29/21,0,0,0,0,0,0,0,0,0,0,0
4/30/21,0,0,0,0,0,0,0,0,0,0,0
5/1/21,0.00782,0,0,0,0,22232.567,4110.7848,6133.4812,2692.2327,2668.1798,2109.0678
5/2/21,0.00149,0,0,0,0,1227.825,4110.7848,1248.737,548.1144,379.5143,300.0074
5/3/21,0.001498,0,0,0,0,1506.7954,4110.7848,1122.2008,492.5928,300.5618,237.5716
5/4/21,0.000945,0,0,0,0,3294.8296,0,681.1462,298.9935,252.5204,199.6078
5/5/21,0.002599,0,0,0,0,8422.1198,0,2103.1822,923.1811,1013.6225,801.2004
5/6/21,0.002349,0,0,0,0,8128.8114,0,1781.6148,782.0368,597.5189,472.3096
5/7/21,0.002918,0,0,0,0,9625.5702,0,2282.7056,1001.9712,1072.3823,847.665
5/8/21,0,0,0,0,0,0,0,0,0,0,0
5/9/21,0,0,0,0,0,0,0,0,0,0,0
5/10/21,0.004833,0,0,0,0,16569.2496,0,3719.4514,1632.6148,1309.814,1035.3588
5/11/21,0.001592,0,0,0,0,5618.1206,0,1048.8114,460.3666,469.249,370.9118
5/12/21,0.002061,0,0,0,0,6465.8816,0,1484.1736,651.4642,1156.4707,914.1258
5/13/21,0.002354,0,0,0,511.4349,7898.6544,0,1579.0824,693.1323,676.9818,535.1318
5/14/21,0.002059,0,0,0,292.95,6931.46,0,1482.0456,650.5496,574.2638,453.9556
5/15/21,0.002574,0,0,0,4065.309,6316.3812,0,1534.3412,673.4953,619.2428,489.4722
5/16/21,0,0,0,0,0,0,0,0,0,0,0
5/17/21,0.007803,0,0,0,12951.738,20270.4224,0,3866.31,1697.0941,1290.355,1019.9672
5/18/21,0.002294,0,0,0,4996.0251,5061.2284,0,1028.2762,451.3551,472.12,373.198
5/19/21,0.003582,0,0,0,8536.5351,7582.1484,0,1553.2006,681.7536,584.8227,462.2632
5/20/21,0.003561,0,0,0,7269.3171,8014.086,0,1717.562,753.8994,795.4584,628.7694
5/21/21,0,0,0,0,0,0,0,0,0,0,0
5/22/21,0.00505,0,0,3022.6635,4743,12731.5448,0,2556.5526,1122.1873,922.2609,729.008
5/23/21,0.00505,0,0,6677.6635,0,12731.5448,0,3666.1982,0,922.2609,729.008
5/24/21,0,0,0,0,0,0,0,0,0,0,0
